DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
1103.8332,8.5,8.8049,2.2745,-0.008198,112.6051,83.1639,0.325448,0.328675,2.8715,27.1362,20.0381,7.5776,-30.2814,42.674,1341.5057
1103.9856,8.5,8.8087,2.2803,-0.008692,111.9465,83.9949,0.331521,0.334622,2.9093,26.9047,20.2181,7.7658,-30.6792,42.674,1344.5044
1104.138,8.5,8.7809,2.2788,-0.008207,112.0411,82.8325,0.334586,0.337609,2.9175,25.9374,19.6713,7.6908,-30.7645,42.674,1348.6044
1104.2904,8.5,8.7497,2.2766,-0.007619,112.2143,81.4621,0.337338,0.340286,2.9226,24.8934,19.0486,7.5883,-30.8172,42.674,1352.8192
1104.4428,8.5,8.7186,2.2745,-0.007031,112.3875,80.0917,0.34009,0.342964,2.9277,23.8494,18.4259,7.4858,-30.8699,42.674,1357.0342
1104.5952,8.5,8.7289,2.2766,-0.007372,112.2078,81.0633,0.343322,0.346125,2.9202,23.2535,18.0395,7.5721,-30.9174,42.674,1354.5387
1104.7476,8.5,8.7641,2.2814,-0.008271,111.816,83.4419,0.346843,0.349577,2.905,22.927,17.7951,7.7718,-30.9617,42.674,1348.0114
1104.9,8.5,8.7993,2.2861,-0.009171,111.4242,85.8205,0.350363,0.353029,2.8899,22.6004,17.5508,7.9715,-31.0061,42.674,1341.484
1105.0524,8.5,8.8054,2.2953,-0.009043,110.4582,86.8835,0.350571,0.353225,2.8759,22.6329,17.5683,8.1729,-31.0523,42.674,1337.7897
1105.2048,8.5,8.7559,2.3131,-0.006954,108.3963,85.4356,0.344456,0.347206,2.8642,23.3504,18.0857,8.3775,-31.1019,42.674,1339.502
1105.3572,8.5,8.7064,2.3308,-0.004866,106.3343,83.9877,0.338341,0.341187,2.8525,24.0678,18.603,8.5822,-31.1516,42.674,1341.2142
1105.5096,8.5,8.6572,2.3462,-0.002972,104.5298,82.5766,0.332092,0.335043,2.8408,24.7979,19.1129,8.7652,-31.1253,42.674,1343.0515
1105.662,8.5,8.6134,2.3276,-0.003966,106.5543,81.7123,0.32385,0.327043,2.8293,25.7154,19.5126,8.6271,-29.9687,42.674,1346.7482
1105.8144,8.5,8.5696,2.309,-0.004961,108.5788,80.848,0.315608,0.319042,2.8177,26.6329,19.9122,8.489,-28.8121,42.674,1350.4448
1105.9668,8.5,8.5258,2.2904,-0.005955,110.6033,79.9837,0.307366,0.311042,2.8062,27.5503,20.3119,8.3509,-27.6556,42.674,1354.1416
1106.1192,8.5,8.5588,2.2814,-0.006007,111.2668,79.1496,0.309708,0.313242,2.8089,27.9036,20.3793,8.092,-27.2819,42.674,1350.1719
1106.2716,8.5,8.6131,2.2751,-0.005798,111.5512,78.3239,0.314997,0.318283,2.8155,28.0998,20.3542,7.7993,-27.1262,42.674,1344.067
1106.424,8.5,8.6675,2.2687,-0.005588,111.8356,77.4982,0.320286,0.323324,2.8221,28.2959,20.3291,7.5067,-26.9706,42.674,1337.962
1106.5764,8.5,8.6755,2.268,-0.005262,111.9857,77.3236,0.322594,0.325488,2.8253,27.6564,19.7902,7.2732,-27.1269,42.674,1339.3104
1106.7288,8.5,8.6373,2.2729,-0.004818,112.002,77.7967,0.321934,0.324791,2.8251,26.1855,18.74,7.0985,-27.5935,42.674,1348.0731
1106.8812,8.5,8.5991,2.2778,-0.004375,112.0184,78.2698,0.321275,0.324094,2.825,24.7147,17.6898,6.9237,-28.0602,42.674,1356.8358
1107.0336,8.5,8.5746,2.285,-0.003652,111.8209,78.9715,0.317989,0.320846,2.8365,23.6307,16.9188,6.8247,-28.6599,42.674,1365.8326
1107.186,8.5,8.5982,2.3002,-0.001937,110.867,80.4815,0.305417,0.308583,2.8891,23.9145,17.1347,6.993,-29.7305,42.674,1375.6575
1107.3384,8.5,8.6219,2.3155,-0.000221,109.9131,81.9914,0.292845,0.296319,2.9417,24.1983,17.3506,7.1613,-30.8011,42.674,1385.4822
1107.4908,8.5,8.6455,2.3308,0.001494,108.9593,83.5014,0.280273,0.284055,2.9943,24.4821,17.5665,7.3296,-31.8716,42.674,1395.307
1107.6432,8.5,8.6768,2.3256,7e-05,109.0181,83.4029,0.287196,0.290908,3.0093,23.4039,16.8495,7.2618,-32.8808,42.674,1389.1425
1107.7956,8.5,8.7085,2.319,-0.001554,109.1419,83.2012,0.295372,0.298989,3.0218,22.2382,16.0726,7.1788,-33.8861,42.674,1381.9506
1107.948,8.5,8.7403,2.3124,-0.003179,109.2658,82.9995,0.303549,0.30707,3.0344,21.0725,15.2957,7.0959,-34.8914,42.674,1374.7587
1108.1004,8.5,8.7362,2.3172,-0.002972,109.1805,84.4121,0.303829,0.307424,3.0406,20.7238,15.04,7.0749,-35.2824,42.674,1371.516
1108.2528,8.5,8.7136,2.3279,-0.001816,108.9868,86.6607,0.300021,0.303776,3.0434,20.7982,15.0542,7.086,-35.3553,42.674,1370.3186
1108.4052,8.5,8.6909,2.3386,-0.000659,108.7931,88.9094,0.296213,0.300129,3.0462,20.8726,15.0685,7.0972,-35.4283,42.674,1369.1213
1108.5576,8.5,8.6871,2.341,-0.001162,108.8898,90.2775,0.29724,0.301099,3.0415,20.786,14.9672,7.071,-35.5272,42.674,1368.8864
1108.71,8.5,8.7143,2.33,-0.004396,109.4645,90.1966,0.306228,0.309668,3.0246,20.4347,14.6756,6.9836,-35.669,42.674,1370.2354
1108.8624,8.5,8.7415,2.319,-0.00763,110.0393,90.1157,0.315215,0.318238,3.0076,20.0833,14.3841,6.8961,-35.8107,42.674,1371.5842
1109.0148,8.5,8.7642,2.3089,-0.010334,110.533,90.0763,0.322624,0.325301,2.9906,19.7848,14.1316,6.8238,-35.9539,42.674,1372.9176
1109.1672,8.5,8.7459,2.308,-0.008114,110.2739,90.4234,0.315363,0.318355,2.9731,19.9783,14.2427,6.893,-36.111,42.674,1374.1061
