DEPTH,BS,CALI,DENS,DENS_CORR,DRHO,DTC,DTS,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
23.622,12.25,,,,,,,,,,,,,,,,
23.7744,12.25,,,,,,,,,,,,,,,,
23.9268,12.25,,,,,,,,,,,,,,,,
24.0792,12.25,,,,,,,,,,,,,,,,
24.2316,12.25,,,,,,,,,,,,,,,,
24.384,12.25,,,,,,,,,,,,,,,,
24.5364,12.25,,,,,,,,,,,,,,,,
24.6888,12.25,,,,,,,,,,,,,,,,
24.8412,12.25,,,,,,,,,,,,,,,,
24.9936,12.25,,,,,,,,,,,,,,,,
25.146,12.25,,,,,,,,,,,,,,,,
25.2984,12.25,,,,,,,,,,,,,,,,
25.4508,12.25,,,,,,,,,,,,,,,,
25.6032,12.25,,,,,,,,,,,,,,,,
25.7556,12.25,,,,,,,,,,,,,,,,
25.908,12.25,,,,,,,,,,,,,,,,
26.0604,12.25,,,,,,,,,,,,,,,,
26.2128,12.25,,,,,,,,,,,,,,,,
26.3652,12.25,,,,,,,,,,,,,,,,
26.5176,12.25,,,,,,,,,,,,,,,,
26.67,12.25,,,,,,,,,,,,,,,,
26.8224,12.25,,,,,,,,,,,,,,,,
26.9748,12.25,,,,,,,,,,,,,,,,
27.1272,12.25,,,,,,,,,,,,,,,,
27.2796,12.25,,,,,,,,,,,,,,,,
27.432,12.25,,,,,,,,,,,,,,,,
27.5844,12.25,,,,,,,,,,,,,,,,
27.7368,12.25,,,,,,,,,,,,,,,,
27.8892,12.25,,,,,,,,,,,,,,,,
28.0416,12.25,,,,,,,,,,,,,,,,
28.194,12.25,,,,,,,,,,,,,,,,
28.3464,12.25,,,,,,,,,,,,,,,,
28.4988,12.25,,,,,,,,,,,,,,,,
28.6512,12.25,,,,,,,,,,,,,,,,
28.8036,12.25,,,,,,,,,,,,,,,,
28.956,12.25,,,,,,,,,,,,,,,,
29.1084,12.25,,,,,,,,,,,,,,,,
29.2608,12.25,,,,,,,,,,,,,,,,
29.4132,12.25,,,,,,,,,,,,,,,,
29.5656,12.25,,,,,,,,,,,,,,,,
29.718,12.25,,,,,,,,,,,,,,,,
29.8704,12.25,,,,,,,,,,,,,,,,
30.0228,12.25,,,,,,,,,,,,,,,,
30.1752,12.25,,,,,,,,,,,,,,,,
30.3276,12.25,,,,,,,,,,,,,,,,
30.48,12.25,,,,,,,,,,,,,,,,
30.6324,12.25,,,,,,,,,,,,,,,,
30.7848,12.25,,,,,,,,,,,,,,,,
30.9372,12.25,,,,,,,,,,,,,,,,
31.0896,12.25,,,,,,,,,,,,,,,,
31.242,12.25,,,,,,,,,,,,,,,,
31.3944,12.25,,,,,,,,,,,,,,,,
31.5468,12.25,,,,,,,,,,,,,,,,
31.6992,12.25,,,,,,,,,,,,,,,,
31.8516,12.25,,,,,,,,,,,,,,,,
32.004,12.25,,,,,,,,,,,,,,,,
32.1564,12.25,,,,,,,,,,,,,,,,
32.3088,12.25,,,,,,,,,,,,,,,,
32.4612,12.25,,,,,,,,,,,,,,,,
32.6136,12.25,,,,,,,,,,,,,,,,
32.766,12.25,,,,,,,,,,,,,,,,
32.9184,12.25,,,,,,,,,,,,,,,,
33.0708,12.25,,,,,,,,,,,,,,,,
33.2232,12.25,,,,,,,,,,,,,,,,
33.3756,12.25,,,,,,,,,,,,,,,,
33.528,12.25,,,,,,,,,,,,,,,,
33.6804,12.25,,,,,,,,,,,,,,,,
33.8328,12.25,,,,,,,,,,,,,,,,
33.9852,12.25,,,,,,,,,,,,,,,,
34.1376,12.25,,,,,,,,,,,,,,,,
34.29,12.25,,,,,,,,,,,,,,,,
34.4424,12.25,,,,,,,,,,,,,,,,
34.5948,12.25,,,,,,,,,,,,,,,,
34.7472,12.25,,,,,,,,,,,,,,,,
34.8996,12.25,,,,,,,,,,,,,,,,
35.052,12.25,,,,,,,,,,,,,,,,
35.2044,12.25,,,,,,,,,,,,,,,,
35.3568,12.25,,,,,,,,,,,,,,,,
35.5092,12.25,,,,,,,,,,,,,,,,
35.6616,12.25,,,,,,,,,,,,,,,,
35.814,12.25,,,,,,,,,,,,,,,,
35.9664,12.25,,,,,,,,,,,,,,,,
36.1188,12.25,,,,,,,,,,,,,,,,
36.2712,12.25,,,,,,,,,,,,,,,,
36.4236,12.25,,,,,,,,,,,,,,,,
36.576,12.25,,,,,,,,,,,,,,,,
36.7284,12.25,,,,,,,,,,,,,,,,
36.8808,12.25,,,,,,,,,,,,,,,,
37.0332,12.25,,,,,,,,,,,,,,,,
37.1856,12.25,,,,,,,,,,,,,,,,
37.338,12.25,,,,,,,,,,,,,,,,
37.4904,12.25,,,,,,,,,,,,,,,,
37.6428,12.25,,,,,,,,,,,,,,,,
37.7952,12.25,,,,,,,,,,,,,,,,
37.9476,12.25,,,,,,,,,,,,,,,,
38.1,12.25,,,,,,,,,,,,,,,,
38.2524,12.25,,,,,,,,,,,,,,,,
38.4048,12.25,,,,,,,,,,,,,,,,
38.5572,12.25,,,,,,,,,,,,,,,,
38.7096,12.25,,,,,,,,,,,,,,,,
38.862,12.25,,,,,,,,,,,,,,,,
39.0144,12.25,,,,,,,,,,,,,,,,
39.1668,12.25,,,,,,,,,,,,,,,,
39.3192,12.25,,,,,,,,,,,,,,,,
39.4716,12.25,,,,,,,,,,,,,,,,
