DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESS,SP,TEMP,TENS
67.056,8.5,,,,,,,,,,,,
67.2084,8.5,,,,,,,,,,,,
67.3608,8.5,,,,,,,,,,,,
67.5132,8.5,,,,,,,,,,,,
67.6656,8.5,,,,,,,,,,,,
67.818,8.5,,,,,,,,,,,,
67.9704,8.5,,,,,,,,,,,,
68.1228,8.5,,,,,,,,,,,,
68.2752,8.5,,,,,,,,,,,,
68.4276,8.5,,,,,,,,,,,,
68.58,8.5,,,,,,,,,,,,
68.7324,8.5,,,,,,,,,,,,
68.8848,8.5,,,,,,,,,,,,
69.0372,8.5,,,,,,,,,,,,
69.1896,8.5,,,,,,,,,,,,
69.342,8.5,,,,,,,,,,,,
69.4944,8.5,,,,,,,,,,,,
69.6468,8.5,,,,,,,,,,,,
69.7992,8.5,,,,,,,,,,,,
69.9516,8.5,,,,,,,,,,,,
70.104,8.5,,,,,,,,,,,,
70.2564,8.5,,,,,,,,,,,,
70.4088,8.5,,,,,,,,,,,,
70.5612,8.5,,,,,,,,,,,,
70.7136,8.5,,,,,,,,,,,,
70.866,8.5,,,,,,,,,,,,
71.0184,8.5,,,,,,,,,,,,
71.1708,8.5,,,,,,,,,,,,
71.3232,8.5,,,,,,,,,,,,
71.4756,8.5,,,,,,,,,,,,
71.628,8.5,,,,,,,,,,,,
71.7804,8.5,,,,,,,,,,,,
71.9328,8.5,,,,,,,,,,,,
72.0852,8.5,,,,,,,,,,,,
72.2376,8.5,,,,,,,,,,,,
72.39,8.5,,,,,,,,,,,,
72.5424,8.5,,,,,,,,,,,,
72.6948,8.5,,,,,,,,,,,,
72.8472,8.5,,,,,,,,,,,,
72.9996,8.5,,,,,,,,,,,,
73.152,8.5,,,,,,,,,,,,
73.3044,8.5,,,,,,,,,,,,
73.4568,8.5,,,,,,,,,,,,
73.6092,8.5,,,,,,,,,,,,
73.7616,8.5,,,,,,,,,,,,
73.914,8.5,,,,,,,,,,,,
74.0664,8.5,,,,,,,,,,,,
74.2188,8.5,,,,,,,,,,,,
74.3712,8.5,,,,,,,,,,,,
74.5236,8.5,,,,,,,,,,,,
74.676,8.5,,,,,,,,,,,,
74.8284,8.5,,,,,,,,,,,,
74.9808,8.5,,,,,,,,,,,,
75.1332,8.5,,,,,,,,,,,,
75.2856,8.5,,,,,,,,,,,,
75.438,8.5,,,,,,,,,,,,
75.5904,8.5,,,,,,,,,,,,
75.7428,8.5,,,,,,,,,,,,
75.8952,8.5,,,,,,,,,,,,
76.0476,8.5,,,,,,,,,,,,
76.2,8.5,,,,,,,,,,,,
76.3524,8.5,,,,,,,,,,,,
76.5048,8.5,,,,,,,,,,,,
76.6572,8.5,,,,,,,,,,,,
76.8096,8.5,,,,,,,,,,,,
76.962,8.5,,,,,,,,,,,,
77.1144,8.5,,,,,,,,,,,,
77.2668,8.5,,,,,,,,,,,,
77.4192,8.5,,,,,,,,,,,,
77.5716,8.5,,,,,,,,,,,,
77.724,8.5,,,,,,,,,,,,
77.8764,8.5,,,,,,,,,,,,
78.0288,8.5,,,,,,,,,,,,
78.1812,8.5,,,,,,,,,,,,
78.3336,8.5,,,,,,,,,,,,
78.486,8.5,,,,,,,,,,,,
78.6384,8.5,,,,,,,,,,,,
78.7908,8.5,,,,,,,,,,,,
78.9432,8.5,,,,,,,,,,,,
79.0956,8.5,,,,,,,,,,,,
79.248,8.5,,,,,,,,,,,,
79.4004,8.5,,,,,,,,,,,,
79.5528,8.5,,,,,,,,,,,,
79.7052,8.5,,,,,,,,,,,,
79.8576,8.5,,,,,,,,,,,,
80.01,8.5,,,,,,,,,,,,
80.1624,8.5,,,,,,,,,,,,
80.3148,8.5,,,,,,,,,,,,
80.4672,8.5,,,,,,,,,,,,
80.6196,8.5,,,,,,,,,,,,
80.772,8.5,,,,,,,,,,,,
80.9244,8.5,,,,,,,,,,,,
81.0768,8.5,,,,,,,,,,,,
81.2292,8.5,,,,,,,,,,,,
81.3816,8.5,,,,,,,,,,,,
81.534,8.5,,,,,,,,,,,,
81.6864,8.5,,,,,,,,,,,,
81.8388,8.5,,,,,,,,,,,,
81.9912,8.5,,,,,,,,,,,,
82.1436,8.5,,,,,,,,,,,,
82.296,8.5,,,,,,,,,,,,
82.4484,8.5,,,,,,,,,,,,
82.6008,8.5,,,,,,,,,,,,
82.7532,8.5,,,,,,,,,,,,
82.9056,8.5,,,,,,,,,,,,
83.058,8.5,,,,,,,,,,,,
83.2104,8.5,,,,,,,,,,,,
83.3628,8.5,,,,,,,,,,,,
83.5152,8.5,,,,,,,,,,,,
83.6676,8.5,,,,,,,,,,,,
83.82,8.5,,,,,,,,,,,,
83.9724,8.5,,,,,,,,,,,,
84.1248,8.5,,,,,,,,,,,,
84.2772,8.5,,,,,,,,,,,,
84.4296,8.5,,,,,,,,,,,,
84.582,8.5,,,,,,,,,,,,
84.7344,8.5,,,,,,,,,,,,
84.8868,8.5,,,,,,,,,,,,
85.0392,8.5,,,,,,,,,,,,
85.1916,8.5,,,,,,,,,,,,
85.344,8.5,,,,,,,,,,,,
85.4964,8.5,,,,,,,,,,,,
85.6488,8.5,,,,,,,,,,,,
85.8012,8.5,,,,,,,,,,,,
85.9536,8.5,,,,,,,,,,,,
86.106,8.5,,,,,,,,,,,,
86.2584,8.5,,,,,,,,,,,,
86.4108,8.5,,,,,,,,,,,,
86.5632,8.5,,,,,,,,,,,,
86.7156,8.5,,,,,,,,,,,,
