DEPTH,BS,CALI,DENS,DRHO,DTC,GR,GR_CORR,NEUT,NEUT_CORR,PEF,RESD,RESD_CORR,RESS,RESS_CORR,SP,TEMP,TENS
592.6836,8.5,11.1896,,,114.162,98.6345,112.0956,,,,25.8964,26.3765,17.0102,19.2543,118.4536,32.975,644.4337
592.836,8.5,11.1465,,,114.0572,98.2929,111.5498,,,,25.3256,25.8176,16.8074,19.0015,118.7069,32.9845,642.9088
592.9884,8.5,11.1034,,,113.9525,97.9514,111.004,,,,24.7548,25.2587,16.6046,18.7487,118.9601,32.994,641.3839
593.1408,8.5,11.0723,,,114.0572,99.8932,112.9509,,,,24.84,25.3233,16.7338,18.852,119.0831,32.9928,641.985
593.2932,8.5,11.0421,,,114.1793,102.0232,115.1032,,,,24.9793,25.4392,16.8903,18.9846,119.1954,32.9907,642.7613
593.4456,8.5,11.012,,,114.3013,104.1532,117.2555,,,,25.1185,25.5552,17.0468,19.1172,119.3076,32.9886,643.5376
593.598,8.5,10.9824,,,114.6023,104.6208,117.6903,,,,25.1807,25.6072,17.1913,19.2453,119.3733,32.9835,643.9212
593.7504,8.5,10.953,,,115.0026,104.1655,117.1718,,,,25.2001,25.6238,17.3292,19.3709,119.4132,32.9767,644.0868
593.9028,8.5,10.9237,,,115.4029,103.7103,116.6533,,,,25.2195,25.6404,17.467,19.4965,119.4532,32.9699,644.2524
594.0552,8.5,10.8968,,,115.508,104.502,117.4008,,,,25.2946,25.7128,17.5977,19.6219,119.5019,32.9637,643.9905
594.2076,8.5,10.8743,,,115.0935,107.4896,120.3776,,,,25.4676,25.8834,17.7161,19.7472,119.566,32.9587,642.976
594.36,8.5,10.8518,,,114.679,110.4771,123.3544,,,,25.6407,26.054,17.8344,19.8725,119.6302,32.9537,641.9614
594.5124,8.5,10.8279,,,114.2964,112.8692,125.6997,,,,25.8292,26.2374,17.963,20.0023,119.7357,32.9495,641.2144
594.6648,8.5,10.7877,,,114.274,108.5387,120.9136,,,,26.1919,26.5644,18.2081,20.1833,120.3075,32.954,643.4871
594.8172,8.5,10.7476,,,114.2517,104.2083,116.1275,,,,26.5547,26.8915,18.4532,20.3644,120.8794,32.9585,645.7599
594.9696,8.5,10.7075,,,114.2293,99.8779,111.3415,,,,26.9174,27.2186,18.6983,20.5455,121.4513,32.963,648.0327
595.122,8.5,10.6163,,,114.389,98.6504,109.593,,,,26.5582,26.8676,18.4904,20.2634,122.3232,32.9746,647.321
595.2744,8.5,10.5123,,,114.594,98.1962,108.6015,,,,26.019,26.3477,18.1696,19.8658,123.2698,32.988,645.8657
595.4268,8.5,10.4084,,,114.7989,97.7419,107.6099,,,,25.4798,25.8277,17.8487,19.4683,124.2165,33.0014,644.4103
595.5792,8.5,10.3383,,,114.611,98.3613,107.9286,,,,25.5567,25.8911,17.9262,19.4649,125.3691,33.0012,644.5014
595.7316,8.5,10.2996,,,114.0599,99.9728,109.4582,,,,26.2031,26.4938,18.3719,19.8258,126.7121,32.9886,646.0218
595.884,8.5,10.2609,,,113.5089,101.5844,110.9878,,,,26.8494,27.0964,18.8176,20.1866,128.0551,32.976,647.5421
596.0364,8.5,10.2098,,,113.1493,102.7802,111.9874,,,,27.3549,27.5667,19.1581,20.4505,129.5042,32.9671,648.7273
596.1888,8.5,10.1192,,,113.3999,102.6513,111.2982,,,,27.4115,27.6151,19.1635,20.4055,131.2917,32.9701,648.8442
596.3412,8.5,10.0286,,,113.6505,102.5224,110.6091,,,,27.4681,27.6635,19.169,20.3605,133.0792,32.973,648.9612
596.4936,8.5,9.938,,,113.9011,102.3935,109.9199,,,,27.5248,27.7119,19.1745,20.3155,134.8667,32.976,649.0782
596.646,8.5,9.8857,,,111.6418,98.5885,105.6949,,,,28.8302,28.9398,19.8842,20.9322,137.2539,32.9854,648.0697
596.7984,8.5,9.8351,,,109.2725,94.6224,101.315,,,,30.1904,30.2194,20.6248,21.578,139.6673,32.995,647.0118
596.9508,8.5,9.7846,,,106.9031,90.6563,96.935,,,,31.5506,31.4991,21.3654,22.2237,142.0807,33.0047,645.9539
597.1032,8.5,9.6548,,,107.6102,87.1391,92.7865,,,,31.1901,31.1069,21.0014,21.7586,144.074,33.0072,646.6647
597.2556,8.5,9.4873,,,109.784,83.836,88.7482,,,,30.0093,29.9178,20.1109,20.7639,145.867,33.0063,648.2188
597.408,8.5,9.3199,,,111.9578,80.533,84.71,,,,28.8285,28.7287,19.2204,19.7693,147.66,33.0054,649.7728
597.5604,8.5,9.1982,,,113.8169,80.2981,83.9383,,,,27.434,27.3573,18.2011,18.7026,149.5129,33.0052,649.8937
597.7128,8.5,9.1465,,,115.1964,84.7367,88.1421,,,,25.7141,25.7082,16.9856,17.5262,151.4572,33.0061,647.832
