DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,DRHO,PEF,DTC
1167.232,8.5,8.589,96.23,-377.661,5.209,8.203,9.68,2.341,0.328,0.016,3.073,104.03
1167.384,8.5,8.54,109.145,-377.258,5.358,8.417,9.943,2.382,0.331,0.021,3.086,104.594
1167.536,8.5,8.51,110.971,-376.288,5.845,8.984,10.616,2.376,0.341,0.021,3.071,104.122
1167.689,8.5,8.51,107.042,-375.242,5.865,8.744,10.321,2.391,0.332,0.012,3.053,103.567
1167.841,8.5,8.544,107.851,-374.125,5.573,8.557,10.122,2.396,0.31,0.008,3.052,104.338
1167.994,8.5,8.578,111.779,-372.767,5.007,7.746,9.137,2.378,0.314,0.007,3.027,104.712
1168.146,8.5,8.622,109.85,-372.281,5.769,9.712,11.609,2.376,0.326,0.006,2.951,105.745
1168.298,8.5,8.57,87.951,-372.354,6.089,11.237,13.677,2.333,0.343,0.005,2.865,105.315
1168.451,8.5,8.622,99.984,-372.433,5.352,9.289,11.293,2.274,0.332,0.004,2.777,105.134
1168.603,8.5,8.705,87.211,-372.583,5.384,9.337,11.418,2.273,0.318,0.005,2.763,103.676
1168.756,8.5,8.794,95.073,-372.862,5.741,10.289,12.575,2.312,0.314,0.004,2.75,103.035
1168.908,8.5,8.824,88.558,-373.404,5.5,10.032,12.246,2.319,0.315,0.004,2.779,103.053
1169.06,8.5,8.787,94.216,-373.671,4.629,8.176,9.925,2.311,0.33,0.004,2.802,101.812
1169.213,8.5,8.678,100.549,-374.022,5.831,10.634,13.001,2.377,0.335,0.007,2.848,101.227
1169.365,8.5,8.63,102.319,-374.642,5.963,10.704,12.986,2.381,0.317,0.009,2.903,100.243
1169.518,8.5,8.563,107.525,-375.546,5.22,9.425,11.424,2.371,0.311,0.017,2.946,99.633
1169.67,8.5,8.499,97.503,-375.888,4.847,8.771,10.707,2.364,0.315,0.022,2.961,99.454
1169.822,8.5,8.473,106.14,-375.933,5.278,9.374,11.53,2.378,0.319,0.022,2.928,99.222
1169.975,8.5,8.421,97.505,-376.271,5.417,9.617,11.883,2.357,0.32,0.012,2.883,98.047
1170.127,8.5,8.409,103.653,-376.987,5.361,9.395,11.686,2.341,0.313,0.006,2.863,92.589
1170.28,8.5,8.443,96.457,-377.925,5.133,9.129,11.451,2.342,0.303,0.008,2.88,91.003
1170.432,8.5,8.533,84.536,-378.971,4.633,7.863,9.726,2.351,0.293,0.011,2.911,90.33
1170.584,8.5,8.54,107.505,-379.304,5.376,9.209,11.296,2.375,0.29,0.012,2.95,90.248
1170.737,8.5,8.51,104.261,-379.058,6.253,10.582,12.932,2.404,0.312,0.018,3.02,95.262
1170.889,8.5,8.51,101.477,-378.638,5.812,9.435,11.424,2.405,0.294,0.02,3.08,97.319
1171.042,8.5,8.473,104.342,-378.487,5.616,9.187,11.12,2.401,0.308,0.021,3.106,99.021
1171.194,8.5,8.622,113.47,-378.321,5.257,8.495,10.213,2.39,0.312,0.011,3.094,100.743
1171.346,8.5,8.51,114.245,-378.388,5.03,8.136,9.76,2.375,0.353,0.004,3.061,100.951
1171.499,8.5,8.544,118.013,-378.529,5.044,8.004,9.596,2.346,0.346,0.0,3.007,100.731
1171.651,8.5,8.555,92.158,-378.496,5.413,8.673,10.477,2.371,0.323,0.0,2.977,100.136
1171.804,8.5,8.544,102.933,-379.133,5.633,9.243,11.158,2.388,0.306,0.001,2.952,99.469
1171.956,8.5,8.54,96.363,-379.075,5.538,8.92,10.65,2.371,0.308,0.0,2.98,99.88
1172.108,8.5,8.578,104.638,-379.3,5.484,8.822,10.468,2.367,0.303,0.0,2.997,100.499
1172.261,8.5,8.6,99.233,-379.46,5.067,7.924,9.338,2.361,0.295,0.001,3.018,101.884
1172.413,8.5,8.678,109.779,-379.117,5.161,8.034,9.453,2.37,0.303,0.003,3.039,103.489
1172.566,8.5,8.869,123.78,-378.517,5.911,9.21,10.837,2.389,0.313,0.005,3.04,103.448
