DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TEMP,TENS
19.05,17.0,,,,,,,,,,,,29.2525,652.7882
19.2024,17.0,,,,,,,,,,,,29.2525,652.7882
19.3548,17.0,,,,,,,,,,,,29.2525,652.7882
19.5072,17.0,,,,,,,,,,,,29.2525,652.7882
19.6596,17.0,,,,,,,,,,,,29.2525,652.7882
19.812,17.0,,,,,,,,,,,,29.2525,652.7882
19.9644,17.0,,,,,,,,,,,,29.2525,652.7882
20.1168,17.0,,,,,,,,,,,,29.2525,652.7882
20.2692,17.0,,,,,,,,,,,,29.2525,652.7882
20.4216,17.0,,,,,,,,,,,,29.2525,652.7882
20.574,17.0,,,,,,,,,,,,29.2525,652.7882
20.7264,17.0,,,,,,,,,,,,29.2525,652.7882
20.8788,17.0,,,,,,,,,,,,29.2525,652.7882
21.0312,17.0,,,,,,,,,,,,29.2525,652.7882
21.1836,17.0,,,,,,,,,,,,29.2525,652.7882
21.336,17.0,,,,,,,,,,,,29.2525,652.7882
21.4884,17.0,,,,,,,,,,,,29.2525,652.7882
21.6408,17.0,,,,,,,,,,,,29.2525,652.7882
21.7932,17.0,,,,,,,,,,,,29.2525,652.7882
21.9456,17.0,,,,,,,,,,,,29.2525,652.7882
22.098,17.0,,,,,,,,,,,,29.2525,652.7882
22.2504,17.0,,,,,,,,,,,,29.2525,652.7882
22.4028,17.0,,,,,,,,,,,,29.2525,652.7882
22.5552,17.0,,,,,,,,,,,,29.2525,652.7882
22.7076,17.0,,,,,,,,,,,,29.2525,652.7882
22.86,17.0,,,,,,,,,,,,29.2525,652.7882
23.0124,17.0,,,,,,,,,,,,29.2525,652.7882
23.1648,17.0,,,,,,,,,,,,29.2525,652.7882
23.3172,17.0,,,,,,,,,,,,29.2525,652.7882
23.4696,17.0,,,,,,,,,,,,29.2525,652.7882
23.622,17.0,,,,,,,,,,,,29.2525,652.7882
23.7744,17.0,,,,,,,,,,,,29.2525,652.7882
23.9268,17.0,,,,,,,,,,,,29.2525,652.7882
24.0792,17.0,,,,,,,,,,,,29.2525,652.7882
24.2316,17.0,,,,,,,,,,,,29.2525,652.7882
24.384,17.0,,,,,,,,,,,,29.2525,652.7882
24.5364,17.0,,,,,,,,,,,,29.2525,652.7882
24.6888,17.0,,,,,,,,,,,,29.2525,652.7882
24.8412,17.0,,,,,,,,,,,,29.2525,652.7882
24.9936,17.0,,,,,,,,,,,,29.2525,652.7882
25.146,17.0,,,,,,,,,,,,29.2525,652.7882
25.2984,17.0,,,,,,,,,,,,29.2525,652.7882
25.4508,17.0,,,,,,,,,,,,29.2525,652.7882
25.6032,17.0,,,,,,,,,,,,29.2525,652.7882
25.7556,17.0,,,,,,,,,,,,29.2525,652.7882
25.908,17.0,,,,,,,,,,,,29.2525,652.7882
26.0604,17.0,,,,,,,,,,,,29.2525,654.0347
26.2128,17.0,,,,,,,,,,,,29.2525,657.1798
26.3652,17.0,,,,,,,,,,,,29.2525,660.3249
26.5176,17.0,,,,,,,,,,,,29.2525,662.9393
26.67,17.0,,,,,,,,,,,,29.2525,661.4898
26.8224,17.0,,,,,,,,,,,,29.2525,660.0402
26.9748,17.0,,,,,,,,,,,,29.2525,658.5907
27.1272,17.0,,,,,,,,,,,,29.2525,659.9138
