DEPT,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,DRHO,PEF,DTC
446.38,8.5,8.296,102.492,7.384,19.248,25.981,2.263,0.395,0.024,2.883,125.156
446.532,8.5,8.342,103.04,7.831,21.618,29.49,2.266,0.397,0.021,2.955,125.487
446.684,8.5,8.4,101.908,7.668,22.145,30.627,2.258,0.384,0.013,2.883,125.187
446.837,8.5,8.458,113.219,7.478,22.291,31.05,2.243,0.4,0.007,2.853,125.047
446.989,8.5,8.505,118.025,7.794,25.434,35.934,2.253,0.393,0.003,2.851,124.668
447.142,8.5,8.563,111.333,8.185,27.656,39.255,2.235,0.393,0.0,2.793,123.824
447.294,8.5,8.621,107.756,8.317,29.126,41.556,2.239,0.378,-0.003,2.791,123.819
447.446,8.5,8.679,101.703,8.17,27.218,38.744,2.251,0.384,-0.005,2.766,124.099
447.599,8.5,8.76,120.111,8.401,27.241,38.582,2.228,0.401,-0.006,2.863,124.012
447.751,8.5,8.829,97.755,8.638,28.865,41.066,2.277,0.401,-0.004,2.859,123.648
447.904,8.5,8.922,109.11,8.224,25.592,36.001,2.249,0.393,-0.002,2.74,123.57
448.056,8.5,8.466,107.406,7.715,22.12,30.864,2.237,0.408,-0.002,2.871,123.093
448.208,8.5,8.203,116.523,7.741,21.693,30.25,2.248,0.411,-0.004,2.872,123.621
448.361,8.5,8.249,106.423,7.648,22.8,31.625,2.244,0.42,-0.007,2.906,123.762
448.513,8.5,8.319,109.157,7.611,24.758,34.16,2.235,0.408,-0.009,2.964,122.971
448.666,8.5,8.389,116.177,7.746,25.836,35.387,2.264,0.394,-0.007,2.932,122.832
448.818,8.5,8.342,106.671,7.668,25.449,34.63,2.26,0.393,-0.004,2.918,122.915
448.97,8.5,8.327,114.031,7.514,24.873,33.75,2.235,0.406,-0.001,2.992,122.995
449.123,8.5,8.327,104.01,7.642,26.071,35.582,2.244,0.409,-0.001,2.862,123.356
449.275,8.5,8.327,99.518,7.725,26.785,36.602,2.257,0.393,-0.003,2.75,123.443
449.428,8.5,8.342,113.76,7.669,27.663,37.453,2.263,0.378,-0.003,2.792,123.433
449.58,8.5,8.365,117.678,7.463,26.841,35.619,2.266,0.37,-0.002,2.871,123.283
449.732,8.5,8.404,122.264,7.457,26.281,34.26,2.261,0.393,-0.002,2.843,123.046
449.885,8.5,8.435,111.778,7.602,26.214,33.722,2.254,0.393,-0.005,2.9,122.982
450.037,8.5,8.458,108.412,7.654,25.652,32.349,2.265,0.381,-0.004,2.868,122.583
450.19,8.5,8.47,112.29,7.535,24.58,30.473,2.26,0.367,-0.003,2.729,123.125
450.342,8.5,8.365,121.487,7.292,23.852,29.584,2.254,0.391,-0.001,2.838,123.756
450.494,8.5,8.377,113.177,7.252,25.419,31.602,2.253,0.426,-0.004,2.823,123.69
450.647,8.5,8.404,113.712,7.741,27.266,34.079,2.249,0.441,-0.007,2.827,121.965
450.799,8.5,8.435,104.141,7.925,25.714,32.424,2.271,0.426,-0.007,2.784,113.091
450.952,8.5,8.481,110.258,9.15,30.57,39.717,2.417,0.395,-0.005,3.133,112.102
451.104,8.5,8.493,105.44,8.613,25.122,33.108,2.251,0.373,-0.005,2.937,112.892
451.256,8.5,8.528,107.686,9.871,30.22,41.004,2.211,0.36,-0.004,2.726,116.536
451.409,8.5,8.651,105.821,12.729,45.734,65.733,2.155,0.359,-0.003,2.462,126.532
451.561,8.5,8.783,100.033,13.489,38.501,55.573,2.167,0.377,-0.001,2.395,128.874
451.714,8.5,8.945,101.059,15.899,60.797,88.841,2.155,0.382,-0.002,2.44,129.9
451.866,8.5,9.05,96.506,19.382,105.869,165.556,2.166,0.361,-0.006,2.522,129.368
452.018,8.5,9.085,87.371,16.572,108.629,178.317,2.117,0.341,-0.01,2.455,129.175
452.171,8.5,9.142,100.029,11.877,90.428,155.264,2.154,0.373,-0.009,2.364,128.194
452.323,8.5,9.224,94.948,9.964,66.823,113.404,2.153,0.401,-0.006,2.443,127.83
452.476,8.5,9.332,101.937,9.518,54.64,90.253,2.118,0.45,-0.003,2.526,127.758
452.628,8.5,9.432,98.732,8.597,41.441,64.595,2.104,0.442,0.004,2.504,127.829
452.78,8.5,9.351,103.097,7.082,29.642,42.75,2.089,0.413,0.008,2.363,126.474
452.933,8.5,9.247,108.409,6.793,30.992,42.851,2.213,0.371,0.01,2.583,123.842
453.085,8.5,9.123,103.225,7.323,35.481,46.573,2.269,0.357,0.007,2.848,121.687
453.238,8.5,8.922,123.635,6.854,28.888,36.459,2.256,0.365,0.006,2.814,119.514
453.39,8.5,8.922,115.723,6.718,27.429,33.632,2.242,0.372,0.006,2.729,119.247
453.542,8.5,8.922,111.944,7.088,28.486,34.082,2.229,0.38,0.007,2.679,120.392
453.695,8.5,8.853,105.619,7.738,30.25,36.108,2.269,0.398,0.005,2.821,121.092
453.847,8.5,8.853,132.465,8.149,30.453,36.809,2.272,0.401,0.004,2.79,120.717
454.0,8.5,8.887,112.61,8.209,30.718,38.425,2.253,0.394,0.004,2.713,119.416
454.152,8.5,8.86,112.366,9.063,31.979,40.595,2.269,0.396,0.004,2.716,118.883
454.304,8.5,8.775,116.901,9.453,26.687,33.611,2.272,0.385,0.0,2.69,118.513
454.457,8.5,8.713,118.358,10.251,26.143,33.696,2.285,0.375,-0.003,2.712,118.255
454.609,8.5,8.698,104.594,11.082,24.783,32.617,2.291,0.374,-0.004,2.862,119.929
454.762,8.5,8.713,101.149,13.032,33.622,45.706,2.231,0.377,-0.004,2.865,122.756
454.914,8.5,8.737,98.786,14.87,68.476,104.013,2.155,0.389,-0.007,2.45,124.119
455.066,8.5,8.818,81.129,12.47,71.152,114.268,2.138,0.391,-0.009,2.364,125.804
455.219,8.5,8.883,98.149,9.994,68.026,112.448,2.15,0.389,-0.007,2.371,129.434
455.371,8.5,8.961,98.994,8.449,60.818,101.131,2.139,0.369,-0.002,2.393,129.112
455.524,8.5,8.945,95.03,7.899,54.974,90.839,2.113,0.391,0.001,2.396,129.403
455.676,8.5,8.969,104.349,7.454,45.897,72.653,2.138,0.421,0.002,2.59,127.906
455.828,8.5,8.969,88.378,6.668,35.806,53.313,2.164,0.403,0.003,2.621,124.33
455.981,8.5,8.814,96.721,6.266,37.216,53.011,2.209,0.399,0.006,2.537,120.181
456.133,8.5,8.729,110.058,6.661,37.03,50.784,2.269,0.402,0.006,2.804,117.995
456.286,8.5,8.574,117.672,6.62,29.874,39.597,2.274,0.414,0.002,2.783,116.262
456.438,8.5,8.493,105.092,7.091,28.176,36.612,2.262,0.41,0.0,2.818,116.642
456.59,8.5,8.458,108.066,7.64,27.621,35.374,2.268,0.382,0.0,2.864,118.705
456.743,8.5,8.481,106.721,8.262,33.049,42.448,2.297,0.367,0.001,2.893,118.978
456.895,8.5,8.539,105.704,8.118,34.295,43.83,2.28,0.371,-0.001,2.824,119.597
457.048,8.5,8.528,101.761,7.909,30.789,39.144,2.251,0.401,-0.004,2.801,120.047
457.2,8.5,8.505,112.802,8.264,32.602,41.748,2.224,0.412,-0.006,2.854,120.926
457.352,8.5,8.52,107.999,8.269,33.129,42.849,2.247,0.411,-0.004,2.856,121.106
457.505,8.5,8.528,104.898,8.405,30.521,39.645,2.263,0.391,-0.002,2.76,119.6
457.657,8.5,8.551,115.464,9.289,34.431,45.912,2.29,0.352,0.003,2.886,118.886
457.81,8.5,8.574,100.563,9.045,33.766,45.565,2.278,0.332,0.003,2.845,120.037
457.962,8.5,8.597,96.466,8.788,41.717,57.069,2.25,0.36,-0.003,2.645,121.51
458.114,8.5,8.651,90.613,10.025,75.1,111.274,2.238,0.357,-0.014,2.577,122.631
458.267,8.5,8.744,88.268,9.559,80.677,124.892,2.167,0.358,-0.022,2.659,124.199
458.419,8.5,8.822,92.431,8.824,63.003,95.87,2.198,0.347,-0.022,2.579,123.708
458.572,8.5,8.922,104.152,8.878,54.502,80.093,2.229,0.361,-0.013,2.634,123.533
458.724,8.5,9.038,89.697,8.913,55.137,82.283,2.193,0.336,-0.008,2.66,124.241
458.876,8.5,9.131,100.041,9.494,52.37,76.149,2.148,0.341,-0.005,2.633,124.352
459.029,8.5,8.334,89.872,9.547,37.967,51.109,2.131,0.346,-0.007,2.597,123.316
459.181,8.5,8.296,98.351,8.819,36.835,47.459,2.21,0.358,-0.001,2.578,117.138
459.334,8.5,8.284,95.888,9.295,51.525,64.7,2.324,0.325,0.004,2.837,110.559
459.486,8.5,8.311,97.726,9.376,49.844,61.409,2.375,0.324,0.005,3.151,109.733
459.638,8.5,8.304,120.42,8.334,28.082,33.713,2.277,0.343,-0.002,2.834,109.519
459.791,8.5,8.28,118.288,10.182,29.837,36.054,2.261,0.39,-0.007,2.848,113.536
459.943,8.5,8.319,107.43,11.934,30.788,37.238,2.281,0.388,-0.009,2.92,119.041
460.096,8.5,8.365,118.026,11.031,27.673,33.157,2.266,0.394,-0.009,2.9,117.876
460.248,8.5,8.435,102.405,10.651,31.43,38.114,2.254,0.374,-0.01,2.99,118.66
460.4,8.5,8.458,104.938,12.367,46.394,57.555,2.188,0.369,-0.014,2.838,120.312
460.553,8.5,8.493,89.78,13.088,86.539,124.56,2.158,0.346,-0.016,2.48,121.176
460.705,8.5,8.698,89.501,10.25,81.792,134.031,2.153,0.341,-0.016,2.465,123.342
460.858,8.5,8.961,95.091,8.149,65.139,105.484,2.169,0.358,-0.011,2.531,123.628
461.01,8.5,9.131,90.394,7.01,55.962,88.661,2.158,0.371,-0.009,2.482,122.805
461.162,8.5,9.038,98.596,6.808,52.026,79.618,2.166,0.4,-0.007,2.455,122.682
461.315,8.5,9.189,90.607,6.549,51.038,76.795,2.159,0.42,-0.002,2.458,122.775
461.467,8.5,9.409,95.87,6.095,51.348,75.681,2.146,0.435,0.006,2.331,122.8
461.62,8.5,9.56,104.323,5.988,53.011,75.625,2.129,0.43,0.014,2.471,123.376
461.772,8.5,9.579,91.307,6.567,57.79,81.728,2.104,0.428,0.011,2.501,124.398
461.924,8.5,9.556,92.312,8.0,63.699,92.337,2.187,0.422,0.002,2.557,125.733
462.077,8.5,9.208,94.979,9.235,67.647,102.473,2.176,0.396,-0.008,2.522,126.741
462.229,8.5,9.34,100.888,9.919,71.757,115.874,2.131,0.39,-0.009,2.474,127.28
462.382,8.5,9.487,97.193,10.251,68.699,112.886,2.146,0.382,-0.008,2.494,127.491
462.534,8.5,9.595,96.7,9.758,61.623,100.904,2.137,0.399,-0.006,2.447,126.88
462.686,8.5,9.587,99.34,9.097,60.208,99.316,2.128,0.408,-0.001,2.426,126.662
462.839,8.5,9.56,95.235,8.184,58.593,95.18,2.129,0.437,0.003,2.363,127.113
462.991,8.5,9.224,87.508,7.086,56.105,88.38,2.125,0.435,0.002,2.324,127.283
463.144,8.5,9.085,95.573,6.312,52.639,79.947,2.135,0.434,-0.006,2.495,126.069
463.296,8.5,8.644,92.801,5.877,52.875,78.297,2.204,0.431,-0.015,2.595,125.012
463.448,8.5,8.226,100.468,5.639,43.324,61.4,2.227,0.41,-0.018,2.719,124.125
463.601,8.5,8.072,93.651,5.152,29.739,39.087,2.185,0.395,-0.013,2.696,121.537
463.753,8.5,8.041,110.593,5.494,31.526,40.354,2.218,0.376,-0.009,2.719,119.237
463.906,8.5,7.979,96.0,6.236,36.25,46.3,2.255,0.401,-0.007,2.798,119.019
464.058,8.5,8.041,98.305,6.369,33.779,42.231,2.272,0.399,-0.007,2.91,116.977
464.21,8.5,8.118,107.88,6.857,32.16,38.716,2.253,0.394,-0.007,2.94,116.745
464.363,8.5,8.133,104.753,7.573,31.353,37.25,2.279,0.364,-0.006,2.886,117.121
464.515,8.5,8.11,108.529,7.982,28.395,33.7,2.281,0.37,-0.004,2.907,116.704
464.668,8.5,8.048,102.094,8.293,28.35,34.247,2.265,0.371,-0.002,2.903,117.164
464.82,8.5,7.994,106.625,8.748,28.247,34.642,2.309,0.367,-0.001,2.847,116.895
464.972,8.5,8.075,101.188,9.885,33.509,41.741,2.31,0.377,0.0,2.829,116.037
465.125,8.5,8.18,116.064,10.366,31.74,39.459,2.292,0.381,-0.002,2.827,116.083
465.277,8.5,8.249,106.424,10.007,28.944,36.48,2.277,0.4,-0.004,2.864,118.958
465.43,8.5,8.273,96.071,12.082,44.812,59.498,2.226,0.369,-0.008,2.613,121.437
465.582,8.5,8.377,93.844,15.588,83.987,120.856,2.169,0.374,-0.01,2.549,124.522
465.734,8.5,8.505,80.773,16.547,75.791,115.511,2.141,0.38,-0.01,2.469,126.708
465.887,8.5,8.644,87.898,15.589,37.092,55.016,2.12,0.435,-0.009,2.5,127.156
466.039,8.5,8.644,95.952,14.831,32.008,47.221,2.15,0.419,-0.009,2.49,127.681
466.192,8.5,8.621,94.752,16.404,59.652,90.833,2.119,0.381,-0.008,2.581,128.238
466.344,8.5,8.667,92.892,16.596,114.702,186.514,2.118,0.385,-0.006,2.461,128.456
466.496,8.5,8.721,93.452,13.559,96.182,158.558,2.12,0.403,-0.006,2.569,128.295
466.649,8.5,8.713,91.666,11.65,71.362,117.451,2.13,0.411,-0.008,2.594,127.491
466.801,8.5,8.586,79.301,10.563,46.057,71.196,2.148,0.407,-0.008,2.67,127.221
466.954,8.5,8.489,90.114,8.835,30.793,45.128,2.152,0.433,-0.007,2.775,125.816
467.106,8.5,8.466,96.282,7.918,27.912,39.932,2.214,0.43,0.002,2.833,116.221
467.258,8.5,8.481,108.577,8.624,41.285,59.424,2.36,0.389,0.012,3.018,111.775
467.411,8.5,8.041,112.3,7.731,28.755,39.326,2.357,0.348,0.015,3.242,109.941
467.563,8.5,7.994,108.669,7.143,23.859,31.543,2.31,0.372,0.009,2.893,108.674
467.716,8.5,8.017,112.528,7.927,27.457,36.143,2.338,0.377,0.0,2.911,116.912
467.868,8.5,8.041,114.006,7.907,26.142,34.327,2.307,0.372,-0.003,2.911,118.45
468.02,8.5,8.041,107.607,7.734,25.578,33.771,2.314,0.354,-0.005,2.884,117.086
468.173,8.5,8.056,110.524,7.982,26.982,36.432,2.299,0.358,-0.007,3.014,117.21
468.325,8.5,8.056,111.578,7.726,26.862,36.705,2.287,0.369,-0.007,3.031,116.904
468.478,8.5,8.041,125.953,7.495,25.664,34.863,2.284,0.391,-0.008,2.979,116.865
468.63,8.5,8.064,111.729,7.724,26.377,36.167,2.27,0.386,-0.01,3.042,116.662
468.782,8.5,8.079,110.095,7.963,27.418,38.177,2.291,0.37,-0.01,3.066,116.684
468.935,8.5,8.072,111.14,7.739,26.009,36.218,2.307,0.353,-0.009,2.973,117.317
469.087,8.5,8.064,103.528,7.581,25.101,35.092,2.281,0.342,-0.007,2.973,118.311
469.24,8.5,8.017,112.528,7.785,26.031,36.791,2.288,0.333,-0.007,2.947,118.597
469.392,8.5,7.994,104.581,7.777,26.278,37.35,2.29,0.352,-0.007,2.936,117.729
469.544,8.5,8.029,117.361,7.965,29.041,42.033,2.3,0.349,-0.009,2.945,117.499
469.697,8.5,8.041,100.353,7.845,27.511,39.833,2.27,0.36,-0.01,3.04,117.986
469.849,8.5,8.041,100.694,7.885,25.675,37.317,2.276,0.357,-0.01,3.009,117.927
470.002,8.5,8.025,115.579,7.798,24.729,36.213,2.289,0.391,-0.009,2.996,118.872
470.154,8.5,8.041,102.401,7.625,23.442,34.303,2.266,0.382,-0.008,2.929,118.365
470.306,8.5,8.064,111.046,7.937,24.484,35.729,2.296,0.379,-0.006,2.901,118.368
470.459,8.5,8.122,112.693,8.177,25.577,36.932,2.306,0.36,-0.005,2.887,118.499
470.611,8.5,8.191,111.657,8.134,26.462,37.864,2.289,0.364,-0.004,2.838,117.828
470.764,8.5,8.203,105.868,8.188,28.668,41.005,2.296,0.341,-0.003,2.852,117.46
470.916,8.5,8.188,100.646,8.529,30.162,43.101,2.262,0.356,-0.002,2.917,117.294
