DEPTH,BS,CALI,DENS,DRHO,DTC,GR,GR_CORR,NEUT,NEUT_CORR,PEF,RESD,RESD_CORR,RESM,RESS,RESS_CORR,SP,TEMP,TENS
1598.676,8.5,14.8755,2.4228,0.036405,94.3936,105.6688,134.8961,0.224602,0.156875,3.2456,3.9633,4.1887,,3.1222,3.8723,89.0875,46.4356,751.1935
1598.8284,8.5,15.0133,2.4262,0.038926,94.4567,108.6617,139.2355,0.222619,0.154682,3.2063,3.959,4.1854,,3.1187,3.8874,89.0836,46.4356,750.7051
1598.9808,8.5,15.1511,2.4295,0.041448,94.5198,111.6546,143.575,0.220636,0.152489,3.167,3.9547,4.182,,3.1152,3.9025,89.0796,46.4356,750.2169
1599.1332,8.5,15.0797,2.4321,0.040286,94.2958,114.7174,147.2034,0.222184,0.154011,3.1638,4.0003,4.2302,,3.1452,3.932,88.9938,46.4356,747.0221
1599.2856,8.5,14.9783,2.4345,0.038593,94.0303,117.7904,150.7292,0.224242,0.156067,3.1658,4.0532,4.2858,,3.1802,3.9634,88.8961,46.4356,743.4373
1599.438,8.5,14.8768,2.437,0.0369,93.7648,120.8633,154.2552,0.226299,0.158124,3.1678,4.106,4.3414,,3.2151,3.9949,88.7984,46.4356,739.8524
1599.5904,8.5,14.8101,2.4364,0.03744,93.4115,120.6118,153.674,0.226247,0.158417,3.1844,4.1459,4.3834,,3.2388,4.0164,88.7243,46.4356,739.9366
1599.7428,8.5,14.7671,2.4336,0.039512,92.9979,118.0801,150.276,0.224749,0.157502,3.2111,4.1768,4.4159,,3.255,4.0309,88.6665,46.4356,742.5373
1599.8952,8.5,14.7242,2.4309,0.041583,92.5843,115.5484,146.878,0.22325,0.156587,3.2377,4.2077,4.4485,,3.2711,4.0454,88.6086,46.4356,745.138
1600.0476,8.5,14.6921,2.4291,0.043126,92.3937,113.8364,144.5679,0.222272,0.156012,3.2459,4.2159,4.4569,,3.2707,4.0401,88.5512,46.4356,747.3329
1600.2,8.5,14.6839,2.4296,0.043507,92.6943,113.9292,144.6529,0.222442,0.156184,3.2136,4.1743,4.4123,,3.2341,3.991,88.4947,46.4356,748.6346
1600.3524,8.5,14.6758,2.4301,0.043889,92.9949,114.0219,144.7379,0.222612,0.156357,3.1812,4.1326,4.3677,,3.1975,3.942,88.4383,46.4356,749.9362
