DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,DRHO,PEF,DTC
62.179,12.5,,,,,,,,,,,
62.332,12.5,,,,,,,,,,,
62.484,12.5,,,,,,,,,,,
62.636,12.5,,,,,,,,,,,
62.789,12.5,,,,,,,,,,,
62.941,12.5,,,,,,,,,,,
63.094,12.5,,,,,,,,,,,
63.246,12.5,,,,,,,,,,,
63.398,12.5,,,,,,,,,,,
63.551,12.5,,,,,,,,,,,
63.703,12.5,,,,,,,,,,,
63.856,12.5,,,,,,,,,,,
64.008,12.5,,,,,,,,,,,
64.16,12.5,,,,,,,,,,,
64.313,12.5,,,,,,,,,,,
64.465,12.5,,,,,,,,,,,
64.618,12.5,,,,,,,,,,,
64.77,12.5,,,,,,,,,,,
64.922,12.5,,,,,,,,,,,
65.075,12.5,,,,,,,,,,,
65.227,12.5,,,,,,,,,,,
65.38,12.5,,,,,,,,,,,
65.532,12.5,,,,,,,,,,,
65.684,12.5,,,,,,,,,,,
65.837,12.5,,,,,,,,,,,
65.989,12.5,,,,,,,,,,,
66.142,12.5,,,,,,,,,,,
66.294,12.5,,,,,,,,,,,
66.446,12.5,,,,,,,,,,,
66.599,12.5,,,,,,,,,,,
66.751,12.5,,,,,,,,,,,
66.904,12.5,,,,,,,,,,,
67.056,12.5,,,,,,,,,,,
67.208,12.5,,,,,,,,,,,
67.361,12.5,,,,,,,,,,,
67.513,12.5,,,,,,,,,,,
67.666,12.5,,,,,,,,,,,
67.818,12.5,,,,,,,,,,,
67.97,12.5,,,,,,,,,,,
68.123,12.5,,,,,,,,,,,
68.275,12.5,,,,,,,,,,,
68.428,12.5,,,,,,,,,,,
68.58,12.5,,,,,,,,,,,
68.732,12.5,,,,,,,,,,,
68.885,12.5,,,,,,,,,,,
69.037,12.5,,,,,,,,,,,
69.19,12.5,,,,,,,,,,,
69.342,12.5,,,,,,,,,,,
69.494,12.5,,,,,,,,,,,
69.647,12.5,,,,,,,,,,,
69.799,12.5,,,,,,,,,,,
69.952,12.5,,,,,,,,,,,
70.104,12.5,,,,,,,,,,,
