DEPTH,BS,CALI,DENS,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
445.008,8.5,8.2367,2.1815,128.5899,104.347,0.37014,0.345366,2.6126,59.4584,35.3685,5.4793,-207.0458,40.7105,678.7253
445.1604,8.5,8.3228,2.1763,129.8536,99.44,0.39064,0.367645,2.6664,71.2333,40.4707,5.2926,-206.9453,40.7174,657.2554
445.3128,8.5,8.3726,2.1577,129.9871,102.707,0.41492,0.394413,2.6762,65.132,37.8202,4.9833,-206.8917,40.7244,691.2748
445.4652,8.5,8.3183,2.1922,130.9721,100.3815,0.34701,0.319159,2.6926,62.577,37.364,5.2215,-206.9125,40.7314,659.0697
445.6176,8.5,8.2322,2.1674,130.5767,101.4784,0.35683,0.331594,2.604,55.8815,33.9902,5.1303,-206.825,40.7383,712.5936
445.77,8.5,8.1597,2.1838,129.9933,104.2754,0.33653,0.306888,2.6075,55.9176,34.4375,5.3219,-206.8125,40.7453,705.7897
445.9224,8.5,8.1959,2.1792,129.805,108.8644,0.37141,0.346829,2.6009,52.1654,33.0014,5.2569,-206.8333,40.7523,684.4709
446.0748,8.5,8.1959,2.1981,129.2276,106.1686,0.34134,0.313336,2.7493,58.7606,36.9527,5.3045,-206.925,40.7593,711.2329
446.2272,8.5,8.1506,2.2084,128.409,105.0852,0.37177,0.347537,2.8173,54.0276,34.5493,4.9933,-206.9667,40.7662,704.7314
446.3796,8.5,8.1688,2.2184,127.6351,95.0234,0.35371,0.328483,2.8285,51.4291,33.4786,5.105,-206.8242,40.7732,695.3571
446.532,8.5,8.2639,2.2181,126.9281,87.9542,0.3313,0.300058,2.8277,54.501,35.7872,5.5643,-206.3393,40.7801,698.9858
446.6844,8.5,8.2775,2.2241,127.0675,109.2472,0.36015,0.334942,2.8903,50.6049,33.8029,5.359,-206.1208,40.7871,704.7314
446.8368,8.5,8.2865,2.1818,128.6819,91.2503,0.37314,0.347473,2.7758,40.4552,28.403,5.133,-206.1708,40.7941,691.9551
446.9892,8.5,8.3998,2.2162,130.1086,109.9907,0.39057,0.366661,2.8159,40.6097,29.2343,5.5034,-206.0417,40.801,689.7629
447.1416,8.5,8.495,2.2175,130.5173,106.0573,0.35864,0.332095,2.8043,38.6323,28.4286,5.6742,-205.4609,40.808,722.2703
447.294,8.5,8.5674,2.2157,129.7164,112.7168,0.34731,0.318941,2.7992,36.2527,27.0785,5.3285,-204.933,40.8149,676.7599
447.4464,8.5,8.9027,2.2021,130.0668,114.4113,0.36142,0.334848,2.8219,40.7442,30.1176,5.4358,-204.5917,40.8219,692.0308
447.5988,8.5,9.025,2.2114,130.089,118.2595,0.38606,0.360548,2.9284,43.7378,32.0024,5.8495,-204.2773,40.8289,696.718
447.7512,8.5,9.2697,2.2413,130.124,124.5748,0.38728,0.362063,2.8876,36.7267,27.2955,5.847,-203.9125,40.8358,698.9859
447.9036,8.5,9.4645,2.2841,130.4168,116.3048,0.45176,0.435084,2.8326,39.3,28.3937,5.832,-203.525,40.8428,675.8527
448.056,8.5,9.3784,2.2235,128.2302,101.8384,0.36106,0.334515,2.7011,46.2496,31.9934,5.7475,-202.7625,40.8498,708.5113
448.2084,8.5,9.4464,2.2229,127.1824,98.1537,0.37307,0.345666,2.6632,57.4464,37.4909,5.6817,-202.25,40.8567,684.4708
448.3608,8.5,9.4736,2.1922,126.4119,103.9997,0.34206,0.313573,2.7727,60.5902,38.7825,5.8117,-201.9375,40.8637,708.9648
448.5132,8.5,9.5551,2.1896,126.1559,104.5587,0.36863,0.342054,2.6077,66.9145,43.2985,6.3563,-201.875,40.8706,660.2037
448.6656,8.5,9.5913,2.2166,125.1021,118.2538,0.39812,0.374861,2.6997,77.3616,48.5125,5.8487,-201.7333,40.8776,692.3332
448.818,8.5,9.7092,2.1981,124.3293,110.0497,0.36492,0.338021,2.6636,85.064,51.5668,5.4244,-201.4958,40.8846,680.0862
