DEPTH,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP
394.5636,8.5,12.1668,2.2057,132.5708,125.1956,0.381756,2.9404,21.0236,18.1846,12.1763,-286.8784
394.716,8.5,12.2884,2.2005,132.8378,128.7961,0.411738,2.9764,21.9296,18.879,12.1086,-286.7277
394.8684,8.5,12.3709,2.1957,133.6959,139.597,0.411592,2.9329,22.6217,19.4373,12.0192,-286.7432
395.0208,8.5,12.384,2.1923,134.0407,131.1822,0.437828,2.8425,21.1342,18.2027,11.6666,-287.013
395.1732,8.5,12.2914,2.1992,133.8346,127.2986,0.437147,2.902,20.8332,17.8566,11.1906,-287.241
395.3256,8.5,12.0458,2.169,132.8657,131.6935,0.459599,2.9354,21.3794,18.1827,10.8841,-287.3933
395.478,8.5,11.9001,2.2125,132.0955,144.8145,0.453394,2.8959,20.9876,17.8219,10.9422,-287.392
395.6304,8.5,11.7656,2.2228,131.5935,127.2686,0.417042,3.041,19.959,16.9136,11.0783,-287.3872
395.7828,8.5,11.6857,2.2013,130.6804,131.5777,0.385349,2.9098,20.8231,17.5504,11.264,-287.3637
395.9352,8.5,11.671,2.1978,131.5634,129.626,0.397476,2.9132,22.1205,18.6044,11.2613,-287.0731
396.0876,8.5,11.6735,2.2103,131.0356,127.6872,0.405943,2.8995,23.8877,19.9457,11.2118,-286.8114
396.24,8.5,11.6222,2.2022,130.4051,121.4533,0.418704,2.8901,23.667,19.7883,11.5057,-286.7721
396.3924,8.5,11.5495,2.1906,130.8115,132.2579,0.392425,2.8138,22.3114,18.6552,11.7525,-286.8665
396.5448,8.5,11.5097,2.2124,131.4673,132.7514,0.374547,2.9494,21.0489,17.5424,11.6137,-286.7951
396.6972,8.5,11.4857,2.1999,131.8858,114.2893,0.36657,2.892,21.3419,17.6954,11.4541,-286.7689
396.8496,8.5,11.4626,2.2099,132.0178,124.6935,0.371079,2.9619,21.1491,17.4842,10.7951,-286.9004
397.002,8.5,11.4367,2.2118,131.4695,117.8342,0.375493,2.9035,19.3557,16.0985,9.8232,-287.2015
397.1544,8.5,11.3691,2.2021,132.0628,133.7133,0.381183,2.8636,18.5233,15.4578,9.5787,-287.241
397.3068,8.5,11.2805,2.2024,131.8595,116.9493,0.37768,2.837,19.5286,16.2663,9.5652,-287.1504
397.4592,8.5,11.2192,2.1921,131.5083,131.3246,0.37538,2.9422,21.0686,17.465,9.5768,-287.1664
397.6116,8.5,11.188,2.2086,132.0824,130.1286,0.364009,2.9441,22.9865,18.8171,9.3377,-287.0679
397.764,8.5,11.1798,2.2089,132.9758,130.1767,0.350244,2.964,22.8625,18.7334,9.3875,-286.9104
397.9164,8.5,11.186,2.2118,132.6025,122.61,0.35402,2.9418,21.8908,17.9811,9.3782,-286.4981
398.0688,8.5,11.187,2.221,132.7537,109.419,0.346825,2.9487,21.9361,17.9708,9.4094,-286.1646
398.2212,8.5,11.1965,2.2222,133.4697,120.7832,0.367854,2.9123,22.4001,18.2621,9.46,-285.9119
398.3736,8.5,11.2368,2.2188,132.1866,126.208,0.367959,2.8914,22.7994,18.5193,9.5569,-285.4994
398.526,8.5,11.2334,2.2286,131.522,126.9495,0.385702,2.8771,23.4133,19.0055,9.9068,-285.3679
398.6784,8.5,11.2392,2.2421,132.8203,115.0921,0.364852,2.9909,23.0886,18.8216,10.4095,-285.496
398.8308,8.5,11.2301,2.2269,131.5098,116.9489,0.369058,3.0184,22.1232,18.0935,10.5319,-285.6391
398.9832,8.5,11.1894,2.2132,131.3981,119.339,0.365059,2.9631,22.0597,18.0809,10.7994,-285.7515
399.1356,8.5,11.1866,2.2054,132.6548,128.6152,0.38578,2.9314,23.0183,18.8606,11.0382,-285.9353
399.288,8.5,11.1886,2.2023,132.3431,125.0541,0.37446,3.0286,23.9034,19.5713,11.2655,-286.0309
399.4404,8.5,11.2186,2.2026,132.1573,128.3786,0.363988,3.0362,22.4254,18.4754,11.5427,-286.027
399.5928,8.5,11.2154,2.208,132.2812,130.6054,0.331103,3.0302,21.0,17.3906,12.0113,-285.929
399.7452,8.5,11.1884,2.2145,131.4389,119.4318,0.344462,2.982,21.7244,17.9583,12.6992,-285.7708
399.8976,8.5,11.1836,2.2323,130.4149,124.877,0.333495,3.0472,22.5727,18.651,12.9113,-285.6556
400.05,8.5,11.1397,2.2265,130.3642,120.2872,0.338698,2.9825,22.3756,18.5395,12.6637,-285.339
400.2024,8.5,11.0868,2.2277,130.4426,119.7602,0.335598,2.9145,21.8699,18.1758,12.4283,-285.0876
400.3548,8.5,11.0841,2.2285,130.4756,114.6602,0.336805,2.9417,22.3156,18.5428,12.0017,-284.8141
400.5072,8.5,11.0479,2.2163,130.3895,115.4972,0.352014,3.0177,22.436,18.6067,11.42,-284.6249
400.6596,8.5,11.0014,2.2093,129.8428,118.8372,0.370593,2.9602,22.4358,18.518,10.8505,-284.4819
400.812,8.5,10.9401,2.2189,129.5141,138.2882,0.381976,2.8957,22.5177,18.5381,10.5478,-284.1655
400.9644,8.5,10.8667,2.2249,129.375,113.0775,0.356363,2.8851,22.2088,18.1948,9.8685,-284.1189
401.1168,8.5,10.8236,2.2309,129.3109,120.109,0.367362,2.9157,20.2656,16.6168,8.9313,-284.2761
401.2692,8.5,10.7526,2.2223,129.0169,119.1849,0.366305,2.9129,20.285,16.6274,8.7628,-284.2215
401.4216,8.5,10.7253,2.2264,128.5878,115.0925,0.38177,2.9972,22.5397,18.2959,9.0098,-283.9897
401.574,8.5,10.6893,2.2321,127.8314,127.688,0.357941,2.9846,23.3402,18.8664,8.9395,-283.6637
401.7264,8.5,10.6716,2.2639,126.9553,122.9451,0.35157,2.967,23.9418,19.2272,8.6775,-283.2848
401.8788,8.5,10.6418,2.2825,126.8222,131.8156,0.351715,2.96,25.2655,20.143,8.6594,-282.751
402.0312,8.5,10.6112,2.2623,126.8881,121.0403,0.385825,2.8949,25.5833,20.2487,8.2725,-282.1749
402.1836,8.5,10.58,2.2558,127.2873,113.4221,0.373718,2.8943,24.627,19.4463,8.0728,-281.7739
402.336,8.5,10.5416,2.2456,127.5038,121.3254,0.370706,2.9066,23.765,18.6936,7.9505,-281.5559
402.4884,8.5,10.4966,2.2369,127.4842,136.5556,0.353172,2.9639,23.2896,18.2424,7.8216,-281.4803
402.6408,8.5,10.4582,2.2276,127.4645,133.7537,0.360889,2.9135,23.5273,18.4256,7.7368,-281.3187
402.7932,8.5,10.4261,2.227,127.3791,130.9574,0.346768,2.9041,24.4312,19.0874,7.662,-281.2363
402.9456,8.5,10.3835,2.2344,127.8509,125.2739,0.349566,2.9271,24.1972,18.9383,7.5806,-281.1422
403.098,8.5,10.3744,2.2268,128.2631,118.901,0.359097,2.9188,24.399,19.0697,7.7057,-281.0519
403.2504,8.5,10.3798,2.2243,128.558,123.9682,0.374947,2.9092,24.3337,18.9973,7.9693,-280.9366
403.4028,8.5,10.3702,2.238,128.8501,119.255,0.378998,2.907,24.3042,18.8883,8.0082,-280.9195
403.5552,8.5,10.3703,2.2246,128.7874,130.3069,0.378862,2.8298,24.0235,18.6021,8.1068,-280.864
403.7076,8.5,10.384,2.2133,128.6407,114.9315,0.384497,2.892,23.1721,17.9518,8.1813,-280.5905
403.86,8.5,10.4371,2.2238,128.3819,130.4303,0.39082,2.844,24.4333,18.7781,8.5723,-280.1791
404.0124,8.5,10.4718,2.2188,128.089,109.529,0.381589,2.7779,25.785,19.688,9.1701,-279.8101
404.1648,8.5,10.4886,2.2347,127.776,121.5754,0.368367,2.8575,26.0779,19.7532,9.293,-279.2991
404.3172,8.5,10.5056,2.2388,127.7177,109.3112,0.395491,2.8678,24.5947,18.6133,9.191,-278.8197
