DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESS,SP,TEMP,TENS
1762.506,8.5,8.6456,2.4773,0.0003962,85.0078,113.8673,0.272883,0.271372,3.1698,5.705,5.9582,-440.4064,48.2664,1781.2245
1762.6584,8.5,8.652,2.4831,0.0010383,84.9153,115.8873,0.260348,0.258859,3.1752,5.6988,5.9496,-440.8859,48.2664,1770.4307
1762.8108,8.5,8.6584,2.4889,0.0016803,84.8227,117.9073,0.247813,0.246346,3.1806,5.6926,5.9409,-441.3654,48.2664,1759.6368
1762.9632,8.5,8.6649,2.4946,0.0023224,84.7302,119.9273,0.235278,0.233833,3.1859,5.6864,5.9323,-441.8449,48.2664,1748.843
1763.1156,8.5,8.6496,2.4974,0.0001347,85.057,118.9456,0.236191,0.234634,3.159,5.6529,5.9015,-441.8172,48.2664,1750.455
1763.268,8.5,8.6274,2.4992,-0.0029538,85.5173,117.0083,0.241385,0.239675,3.1219,5.6108,5.8636,-441.628,48.2664,1756.0164
1763.4204,8.5,8.6053,2.501,-0.0060423,85.9776,115.071,0.246579,0.244715,3.0848,5.5687,5.8258,-441.4389,48.2664,1761.5776
1763.5728,8.5,8.6084,2.5004,-0.0048154,86.3852,114.1764,0.253835,0.252017,3.0829,5.5157,5.7807,-441.2257,48.2664,1760.2825
1763.7252,8.5,8.6392,2.4969,0.0011299,86.7353,114.4218,0.263347,0.261793,3.1196,5.451,5.7279,-440.9862,48.2664,1751.4901
1763.8776,8.5,8.67,2.4935,0.0070752,87.0853,114.6673,0.272859,0.271569,3.1563,5.3862,5.675,-440.7468,48.2664,1742.6978
1764.03,8.5,8.6901,2.4916,0.0112894,87.3411,114.9351,0.281376,0.280316,3.1865,5.3326,5.6312,-440.5577,48.2664,1735.4017
1764.1824,8.5,8.6667,2.4956,0.0084406,87.2126,115.2936,0.28583,0.284866,3.1907,5.3247,5.6245,-440.5744,48.2664,1734.2108
1764.3348,8.5,8.6432,2.4997,0.0055919,87.0842,115.6521,0.290283,0.289416,3.1949,5.3167,5.6177,-440.5912,48.2664,1733.0199
1764.4872,8.5,8.6197,2.5038,0.0027431,86.9557,116.0107,0.294737,0.293967,3.199,5.3088,5.611,-440.6078,48.2664,1731.8289
1764.6396,8.5,8.6361,2.4966,0.0003774,87.2776,119.1035,0.296156,0.295335,3.2367,5.2796,5.5852,-440.9829,48.2664,1745.108
1764.792,8.5,8.6562,2.4884,-0.001944,87.6409,122.447,0.297296,0.296412,3.2774,5.2484,5.5576,-441.3908,48.2664,1759.714
1764.9444,8.5,8.6763,2.4802,-0.0042655,88.0041,125.7905,0.298436,0.297489,3.3182,5.2172,5.53,-441.7987,48.2664,1774.3199
1765.0968,8.5,8.6714,2.4839,-0.003743,88.1218,125.884,0.296703,0.295729,3.3084,5.2268,5.5417,-441.8703,48.2664,1773.3395
1765.2492,8.5,8.6522,2.4944,-0.0015871,88.0985,124.1107,0.293319,0.292338,3.2697,5.2599,5.576,-441.7487,48.2664,1763.4065
1765.4016,8.5,8.6329,2.505,0.0005689,88.0752,122.3375,0.289934,0.288948,3.231,5.2929,5.6103,-441.6272,48.2664,1753.4735
1765.554,8.5,8.6229,2.5106,0.0017104,88.0381,121.2719,0.289421,0.288428,3.2072,5.3133,5.6345,-441.4647,48.2664,1744.5712
1765.7064,8.5,8.6296,2.5072,0.0010035,87.9759,121.4957,0.294137,0.29314,3.2106,5.3109,5.6403,-441.2274,48.2664,1737.5468
1765.8588,8.5,8.6363,2.5037,0.0002966,87.9136,121.7195,0.298854,0.297853,3.214,5.3085,5.6462,-440.9902,48.2664,1730.5225
1766.0112,8.5,8.6412,2.5003,-0.0004198,87.8626,121.8246,0.303289,0.302288,3.2164,5.3059,5.6514,-440.7961,48.2664,1724.6501
1766.1636,8.5,8.6242,2.4973,-0.0012565,87.9529,120.4338,0.304177,0.303234,3.2066,5.3003,5.6483,-441.1449,48.2664,1733.3019
1766.316,8.5,8.6073,2.4943,-0.0020932,88.0432,119.043,0.305065,0.304179,3.1969,5.2947,5.6451,-441.4938,48.2664,1741.9536
1766.4684,8.5,8.5903,2.4913,-0.00293,88.1335,117.6522,0.305953,0.305125,3.1871,5.2891,5.642,-441.8427,48.2664,1750.6053
1766.6208,8.5,8.5881,2.4931,-0.0016499,88.2816,120.0047,0.308228,0.307487,3.1849,5.2953,5.6471,-442.0553,48.2664,1756.3508
1766.7732,8.5,8.5899,2.4963,0.0001839,88.4448,123.3363,0.310864,0.310221,3.1848,5.3047,5.6544,-442.2324,48.2664,1761.3361
1766.9256,8.5,8.5916,2.4994,0.0020177,88.608,126.668,0.313501,0.312954,3.1847,5.314,5.6616,-442.4095,48.2664,1766.3214
1767.078,8.5,8.6008,2.4994,0.002222,88.0623,126.5173,0.307571,0.306874,3.1805,5.4491,5.8102,-442.4473,48.2664,1766.506
1767.2304,8.5,8.6172,2.4966,0.0008722,86.8404,123.0449,0.29347,0.292385,3.1726,5.7042,6.0937,-442.3522,48.2664,1762.1116
1767.3828,8.5,8.6336,2.4937,-0.0004777,85.6185,119.5726,0.279369,0.277897,3.1647,5.9593,6.3771,-442.2571,48.2664,1757.7172
1767.5352,8.5,8.6425,2.492,-0.0013288,84.5579,116.3158,0.266931,0.265188,3.1539,6.1581,6.5981,-442.125,48.2664,1754.0393
1767.6876,8.5,8.6264,2.4944,-0.0005195,84.0344,113.7765,0.260036,0.258401,3.1336,6.1699,6.6113,-441.8699,48.2664,1752.7468
