DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
209.9,25.797268,883.789063,88.411812,0.47257,12.257201,0.079185,2.095294,2.852768,151.056351,178.582962,1.637831,36.03838,37.726685,38.895939,40.4086,43.281162,45.308777,55.012478,12.25
210.0,25.778997,883.789063,88.187225,0.474829,12.31841,0.080329,2.107466,2.86362,151.229843,178.444397,1.615979,35.329247,36.911732,38.005909,39.419357,42.097336,43.982983,53.025421,12.25
210.1,25.74642,878.90625,88.535286,0.473613,12.338695,0.086441,2.112293,2.866929,151.661072,178.280304,1.623118,32.125542,33.538799,34.515343,35.776108,38.162663,39.841503,47.896736,12.25
210.2,25.634384,883.789063,88.807281,0.465781,12.293271,0.09635,2.10867,2.853084,152.150848,178.263885,1.642511,31.001934,32.395416,33.359028,34.603951,36.963055,38.624477,46.590553,12.25
210.3,25.610243,878.90625,90.450943,0.450548,12.235813,0.109112,2.103149,2.828856,152.514069,178.267548,1.69476,30.391346,31.82226,32.813438,34.095936,36.532066,38.252102,46.483902,12.25
210.4,25.654921,883.789063,90.787788,0.432969,12.196734,0.119197,2.097842,2.799348,152.557281,178.587524,1.720975,30.530666,32.034874,33.078632,34.431278,37.00695,38.830238,47.536232,12.25
210.5,25.795689,888.671875,91.823837,0.416449,12.184148,0.121987,2.095865,2.7781,152.324387,178.745239,1.727374,29.954065,31.468609,32.520615,33.885212,36.487396,38.332279,47.124775,12.25
210.6,25.844597,888.671875,91.062103,0.408395,12.164684,0.116245,2.098011,2.787778,151.776169,178.99411,1.690093,29.989813,31.511925,32.569347,33.941162,36.557667,38.413124,47.248688,12.25
210.7,25.829487,883.789063,91.802711,0.408821,12.150861,0.104864,2.104559,2.810672,151.215927,179.136322,1.638481,30.696703,32.237705,33.307777,34.695457,37.340591,39.215118,48.131535,12.25
210.8,25.599037,893.554688,92.834717,0.418121,12.174422,0.091463,2.112187,2.853728,150.667435,179.29129,1.565955,33.421661,35.10479,36.273708,37.789742,40.680054,42.728718,52.463497,12.25
210.9,25.649734,888.671875,95.026367,0.428434,12.23476,0.080702,2.117601,2.887812,150.425247,179.276703,1.517215,33.894539,35.649227,36.869198,38.453041,41.477375,43.624619,53.806347,12.25
211.0,25.730743,883.789063,95.256821,0.43543,12.288601,0.077206,2.119023,2.910821,150.348099,179.24115,1.505918,32.066715,33.805573,35.016884,36.592239,39.608616,41.756439,51.912766,12.25
211.1,25.747375,883.789063,95.504204,0.438823,12.294253,0.083383,2.118556,2.916081,150.497955,179.147247,1.528587,30.487305,32.215237,33.421265,34.992485,38.009159,40.16341,50.311291,12.25
211.2,25.861557,883.789063,94.930313,0.438807,12.242059,0.097265,2.120322,2.90128,150.625275,179.085266,1.559443,31.478203,33.327156,34.61974,36.306194,39.551521,41.87468,52.79287,12.25
211.3,25.62133,883.789063,94.093903,0.438874,12.175751,0.110886,2.119872,2.859273,150.742477,178.878326,1.597653,32.617752,34.55526,35.910454,37.679428,41.08606,43.526585,54.978065,12.25
