DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
195.1,25.626,859.375,82.687,0.463,12.625,0.099,2.112,2.743,154.731,177.406,1.597,27.553,30.64,32.888,35.931,42.135,46.855,66.543,12.25
195.2,25.581,859.375,83.783,0.471,12.56,0.111,2.109,2.722,155.068,177.729,1.606,26.585,29.564,31.734,34.671,40.66,45.216,64.202,12.25
195.3,25.6,859.375,83.886,0.473,12.524,0.116,2.104,2.706,155.192,177.522,1.59,25.831,28.733,30.846,33.708,39.544,43.986,62.478,12.25
195.4,25.575,859.375,84.212,0.468,12.521,0.112,2.097,2.694,154.933,177.593,1.54,26.256,29.222,31.383,34.311,40.287,44.838,63.746,12.25
195.5,25.59,859.375,83.352,0.46,12.535,0.101,2.095,2.7,154.535,177.6,1.486,26.17,29.16,31.34,34.297,40.339,44.948,64.036,12.25
195.6,25.618,864.258,84.048,0.451,12.557,0.087,2.097,2.713,154.081,177.312,1.427,25.847,28.847,31.037,34.011,40.1,44.754,63.961,12.25
195.7,25.677,859.375,84.878,0.445,12.593,0.074,2.102,2.743,153.817,176.989,1.387,25.357,28.341,30.522,33.488,39.569,44.226,63.382,12.25
195.8,25.622,859.375,86.464,0.442,12.642,0.064,2.107,2.768,153.79,177.14,1.364,25.605,28.639,30.858,33.876,40.072,44.82,64.333,12.25
195.9,25.619,864.258,86.867,0.442,12.694,0.062,2.11,2.798,154.19,176.928,1.377,27.166,30.366,32.706,35.886,42.41,47.406,67.955,12.25
196.0,25.697,864.258,86.945,0.446,12.723,0.067,2.109,2.794,154.87,176.753,1.408,28.611,31.936,34.364,37.66,44.411,49.571,70.878,12.25
196.1,25.646,859.375,86.04,0.451,12.697,0.079,2.107,2.77,155.681,177.067,1.448,28.077,31.275,33.607,36.768,43.225,48.148,68.583,12.25
196.2,25.574,859.375,85.516,0.456,12.598,0.092,2.096,2.737,156.339,177.33,1.483,28.507,31.681,33.991,37.117,43.485,48.327,68.52,12.25
196.3,25.691,859.375,86.343,0.458,12.478,0.107,2.085,2.718,156.74,177.467,1.501,27.073,30.04,32.197,35.111,41.038,45.535,64.376,12.25
196.4,25.707,859.375,88.297,0.459,12.393,0.118,2.072,2.715,156.694,177.553,1.491,25.636,28.419,30.44,33.169,38.714,42.916,60.568,12.25
196.5,25.681,869.141,90.02,0.459,12.378,0.124,2.067,2.726,156.256,177.692,1.461,24.663,27.332,29.27,31.888,37.203,41.229,58.187,12.25
196.6,25.709,883.789,90.829,0.462,12.406,0.122,2.066,2.757,155.569,177.624,1.419,25.055,27.747,29.701,32.337,37.687,41.736,58.805,12.25
196.7,25.649,864.258,90.964,0.467,12.454,0.116,2.074,2.787,154.968,177.482,1.38,25.43,28.145,30.115,32.773,38.161,42.237,59.469,12.25
196.8,25.719,869.141,90.17,0.471,12.507,0.105,2.081,2.816,154.63,177.289,1.362,24.917,27.544,29.447,32.013,37.207,41.13,57.747,12.25
196.9,25.605,874.023,90.234,0.472,12.566,0.097,2.09,2.824,154.721,177.359,1.357,25.422,28.073,29.991,32.576,37.801,41.742,58.492,12.25
197.0,25.664,869.141,90.04,0.465,12.638,0.093,2.093,2.825,155.174,177.293,1.371,26.378,29.098,31.065,33.711,39.056,43.082,60.216,12.25
197.1,25.662,869.141,89.2,0.454,12.718,0.096,2.094,2.823,155.946,177.359,1.393,27.591,30.43,32.483,35.245,40.823,45.023,62.911,12.25
197.2,25.635,869.141,86.925,0.433,12.786,0.102,2.094,2.818,156.746,177.468,1.432,27.011,29.808,31.831,34.555,40.058,44.206,61.863,12.25
197.3,25.672,869.141,84.684,0.415,12.823,0.11,2.098,2.802,157.366,177.484,1.476,26.944,29.752,31.785,34.522,40.057,44.232,61.976,12.25
197.4,25.65,869.141,83.668,0.399,12.84,0.113,2.1,2.77,157.592,177.645,1.523,26.795,29.604,31.639,34.38,39.926,44.112,61.895,12.25
197.5,25.716,869.141,84.257,0.404,12.852,0.109,2.099,2.734,157.441,177.961,1.572,26.052,28.781,30.758,33.42,38.807,42.873,60.131,12.25
197.6,25.786,859.375,86.687,0.43,12.866,0.099,2.093,2.688,156.882,177.897,1.609,25.477,28.143,30.073,32.673,37.932,41.9,58.754,12.25
197.7,25.661,864.258,88.325,0.471,12.886,0.089,2.088,2.652,156.023,177.914,1.636,24.98,27.586,29.473,32.014,37.153,41.03,57.491,12.25
197.8,25.715,859.375,88.76,0.51,12.914,0.079,2.082,2.628,155.019,177.866,1.653,25.204,27.838,29.744,32.312,37.506,41.425,58.068,12.25
