TVD,GR,T-TEMP,ROP
60.198,50.2816,24.1664,21.1232
60.3504,52.1946,24.2083,20.8276
60.5028,50.7978,24.2039,20.5287
60.6552,49.0825,24.1996,20.1172
60.8076,48.7742,24.1952,19.7057
60.96,50.0024,24.1987,19.2942
61.1124,50.3457,24.2076,19.8752
61.2648,51.0889,24.2165,20.7927
61.4172,51.7732,24.224,21.7102
61.5696,50.8889,24.2196,21.5279
61.722,48.7461,24.2152,20.0861
61.8744,48.4186,24.2108,18.6443
62.0268,49.3459,24.2359,17.6844
62.1792,49.8078,24.2275,18.8396
62.3316,49.8244,24.219,19.9949
62.484,50.2155,24.2105,21.1501
62.6364,49.4999,24.2392,21.2076
62.7888,48.8896,24.2392,21.1497
62.9412,48.4455,24.2392,21.0918
63.0936,48.3646,24.2392,20.9292
63.246,48.8326,24.2439,20.7036
63.3984,47.4052,24.2486,20.4781
63.5508,47.7432,24.2533,19.3852
63.7032,48.9284,24.2671,16.6357
63.8556,49.5124,24.2626,13.8863
64.008,50.9069,24.2581,11.5164
64.1604,50.3065,24.298,14.7932
64.3128,49.4239,24.2752,18.07
64.4652,45.9047,24.2524,21.3468
64.6176,43.7632,24.2876,21.3827
64.77,43.1279,24.2549,20.517
64.9224,43.2178,24.2222,19.6513
65.0748,44.2883,24.1671,17.9384
65.2272,46.1918,24.1135,15.384
65.3796,47.3819,24.1082,12.8297
65.532,46.5142,24.1309,11.3164
65.6844,46.9177,24.1229,13.4715
65.8368,46.6575,24.1148,15.6265
65.9892,46.8921,24.1068,17.7816
66.1416,46.2412,24.1287,18.2569
66.294,46.2337,24.109,18.6257
66.4464,44.0982,24.0893,18.9945
66.5988,43.1745,24.0696,19.1582
66.7512,43.5611,24.0997,19.2161
66.9036,42.7395,24.0883,19.274
67.056,43.1194,24.0769,18.3325
67.2084,43.6611,24.0654,15.7537
67.3608,44.9563,24.1139,13.175
67.5132,46.9905,24.1004,11.1175
67.6656,48.7516,24.0835,13.8365
67.818,48.7329,24.0665,16.5554
67.9704,46.8987,24.0841,19.2743
68.1228,43.196,24.0706,19.8772
68.2752,39.4294,24.0572,20.0082
68.4276,37.2301,24.0437,20.1393
68.58,36.6688,24.0816,20.344
68.7324,36.4808,24.0732,20.6123
68.8848,37.1862,24.0647,20.8805
69.0372,38.5983,24.0563,20.9995
69.1896,40.0158,24.1103,20.6856
69.342,41.1305,24.1016,20.3716
