DEPT,GR,T-TEMP,ROP
60.198,51.5328,24.8032,21.1259
60.3504,52.6,24.8032,20.8302
60.5028,52.0,24.8032,20.5324
60.6552,50.5165,24.8032,20.121
60.8076,49.255,24.8032,19.7095
60.96,49.6193,24.8032,19.298
61.1124,49.1667,24.8032,19.8666
61.2648,49.2954,24.8032,20.7841
61.4172,50.0,24.8032,21.7015
61.5696,50.0,24.8032,21.5416
61.722,47.6667,24.8032,20.0999
61.8744,47.7795,24.8032,18.6582
62.0268,48.6638,24.8032,17.6731
62.1792,49.1096,24.8032,18.8283
62.3316,49.1944,24.8032,19.9835
62.484,49.3333,24.8032,21.1387
62.6364,48.2351,24.8032,21.2082
62.7888,47.4231,24.8032,21.1503
62.9412,47.0,24.8032,21.0923
63.0936,47.1658,24.8032,20.9315
63.246,47.6701,24.8032,20.7059
63.3984,47.125,24.8032,20.4804
63.5508,47.0712,24.8032,19.4136
63.7032,47.3333,24.8032,16.6643
63.8556,48.0364,24.8032,13.915
64.008,48.2899,24.8032,11.482
64.1604,49.0283,24.8032,14.7586
64.3128,49.1667,24.8032,18.0352
64.4652,46.0516,24.8032,21.3118
64.6176,43.7047,24.7375,21.392
64.77,41.3399,24.6031,20.5264
64.9224,41.4683,24.4687,19.6608
65.0748,42.336,24.3343,17.9664
65.2272,45.1668,24.2,15.4121
65.3796,46.3518,24.0656,12.8579
65.532,46.4289,23.9312,11.2925
65.6844,47.0465,23.7968,13.4474
65.8368,46.4705,23.6624,15.6024
65.9892,46.2744,23.528,17.7573
66.1416,45.3803,23.4252,18.2527
66.294,46.3368,23.4252,18.6215
66.4464,45.1667,23.4252,18.9903
66.5988,44.5002,23.4252,19.1575
66.7512,44.2143,23.4252,19.2155
66.9036,43.1259,23.4252,19.2734
67.056,42.8949,23.4252,18.3625
67.2084,43.0044,23.4252,15.7839
67.3608,44.443,23.4252,13.2053
67.5132,45.4813,23.4252,11.0855
67.6656,47.2857,23.4252,13.8043
67.818,47.0162,23.4252,16.5231
67.9704,45.5077,23.4252,19.2419
68.1228,42.7564,23.4252,19.8756
68.2752,40.0688,23.4252,20.0067
68.4276,37.4068,23.4252,20.1377
68.58,36.7053,23.4252,20.3408
68.7324,36.875,23.4252,20.609
68.8848,37.4286,23.4252,20.8772
69.0372,38.8301,23.4252,21.0034
69.1896,39.9379,23.4252,20.6894
69.342,41.0458,23.4252,20.3755
69.4944,41.3752,23.4252,20.0615
69.6468,40.3753,23.4252,20.326
69.7992,39.4024,23.4252,20.6125
69.9516,38.5,23.4252,20.899
70.104,38.0836,23.4252,21.0129
70.2564,38.9485,23.4252,21.0464
70.4088,40.6832,23.4252,21.0799
70.5612,41.1269,23.4252,21.0902
70.7136,40.9206,23.4252,21.0658
70.866,42.9634,23.4252,21.0414
71.0184,42.1847,23.4252,21.0115
71.1708,41.871,23.4252,20.9414
71.3232,42.0,23.4252,20.8713
71.4756,42.4315,23.4252,20.8012
71.628,42.7588,23.4252,20.6236
71.7804,43.3333,23.4817,20.4255
71.9328,43.179,23.8,20.2274
72.0852,43.2505,24.1183,20.3956
72.2376,41.4648,24.4366,20.8528
72.39,41.5179,24.7549,21.31
72.5424,40.9687,24.8032,21.4967
72.6948,41.1147,24.8032,20.9816
72.8472,41.153,24.8032,20.4665
72.9996,41.8333,24.8032,19.9514
73.152,42.6069,24.8032,20.2084
73.3044,42.9897,24.8032,20.4675
73.4568,42.191,24.8032,20.7266
73.6092,41.7063,24.8032,20.5991
73.7616,41.0938,24.8032,20.3187
73.914,40.7966,24.8032,20.0382
74.0664,42.7198,24.8032,19.9849
74.2188,43.2081,24.8032,20.2257
74.3712,43.2245,24.8032,20.4665
74.5236,43.0205,24.8032,20.3665
74.676,42.0658,24.8032,18.4066
74.8284,41.4719,24.8032,16.4468
74.9808,40.5717,23.793,14.4869
75.1332,39.9999,23.6092,18.4198
75.2856,40.0,23.8568,23.2021
75.438,40.9058,24.1043,27.9844
75.5904,40.7188,24.3519,28.9808
75.7428,40.9897,24.5995,27.3806
75.8952,39.9063,24.8032,25.7804
76.0476,38.2817,24.8032,24.8571
76.2,39.0831,24.8032,25.424
76.3524,39.5,24.8032,25.9909
76.5048,39.2224,24.8032,26.5036
76.6572,40.6662,24.8032,25.3484
76.8096,41.0836,24.8032,24.1932
76.962,40.6667,24.8032,23.038
77.1144,40.4166,24.8032,23.1962
77.2668,40.0359,24.8032,23.7905
77.4192,39.7142,24.8032,24.3849
77.5716,39.5477,24.8032,24.6928
77.724,39.959,24.8032,24.6776
77.8764,40.1098,24.8032,24.6624
78.0288,39.9406,24.8032,24.6846
78.1812,39.4681,24.8032,24.8674
78.3336,39.4749,24.8032,25.0503
78.486,39.157,24.8032,25.2332
78.6384,38.7717,24.8032,25.4161
78.7908,38.0443,24.8032,25.599
78.9432,37.0,24.8032,25.7818
79.0956,36.3169,24.8032,24.8844
79.248,37.5852,24.8032,23.3452
79.4004,37.8606,24.8032,21.806
79.5528,39.514,24.8032,20.7799
79.7052,39.8538,24.8032,20.722
79.8576,40.0412,24.8032,20.6641
80.01,39.0978,24.8032,20.6178
