DEPT,GR,T-TEMP,ROP
60.198,50.2909,24.1664,21.1259
60.3504,52.1871,24.2083,20.8302
60.5028,50.8254,24.204,20.5324
60.6552,49.1037,24.1996,20.121
60.8076,48.7594,24.1953,19.7095
60.96,49.9898,24.1986,19.298
61.1124,50.3409,24.2075,19.8666
61.2648,51.0889,24.2164,20.7841
61.4172,51.7809,24.224,21.7015
61.5696,50.9085,24.2197,21.5416
61.722,48.7602,24.2153,20.0999
61.8744,48.4247,24.2109,18.6582
62.0268,49.3367,24.236,17.6731
62.1792,49.8089,24.2276,18.8283
62.3316,49.8139,24.2191,19.9835
62.484,50.2183,24.2106,21.1387
62.6364,49.5083,24.2392,21.2082
62.7888,48.8905,24.2392,21.1503
62.9412,48.4455,24.2392,21.0923
63.0936,48.3656,24.2392,20.9315
63.246,48.829,24.2438,20.7059
63.3984,47.4102,24.2485,20.4804
63.5508,47.7242,24.2533,19.4136
63.7032,48.9066,24.2672,16.6643
63.8556,49.5265,24.2627,13.915
64.008,50.9,24.2582,11.482
64.1604,50.3159,24.2982,14.7586
64.3128,49.4405,24.2755,18.0352
64.4652,45.9202,24.2527,21.3118
64.6176,43.7761,24.2879,21.392
64.77,43.1045,24.2552,20.5264
64.9224,43.219,24.2225,19.6608
65.0748,44.2596,24.1679,17.9664
65.2272,46.1964,24.1138,15.4121
65.3796,47.3659,24.1078,12.8579
65.532,46.5031,24.131,11.2925
65.6844,46.9088,24.123,13.4474
65.8368,46.6631,24.1149,15.6024
65.9892,46.8921,24.1069,17.7573
66.1416,46.2193,24.1289,18.2527
66.294,46.2563,24.1092,18.6215
66.4464,44.0982,24.0895,18.9903
66.5988,43.1785,24.0698,19.1575
66.7512,43.5679,24.0999,19.2155
66.9036,42.7576,24.0884,19.2734
67.056,43.1113,24.077,18.3625
67.2084,43.6379,24.0656,15.7839
67.3608,44.9299,24.1103,13.2053
67.5132,46.9649,24.1006,11.0855
67.6656,48.7926,24.0837,13.8043
67.818,48.7537,24.0667,16.5231
67.9704,46.9175,24.0843,19.2419
