DEPT,ROP,GR,T-TEMP
64.9224,21.1253,45.3142,22.0472
65.0748,21.0223,45.3064,22.0472
65.2272,20.8028,46.8468,22.0472
65.3796,20.5834,47.7203,22.0472
65.532,20.3633,49.5437,22.0472
65.6844,20.1408,49.8193,22.0472
65.8368,19.9183,48.8389,22.0472
65.9892,19.6958,47.3005,22.0472
66.1416,19.7225,46.4029,22.0472
66.294,19.7682,46.3097,22.0472
66.4464,19.8139,46.4967,22.0472
66.5988,19.8972,46.523,22.0472
66.7512,20.0008,43.585,22.0472
66.9036,20.1044,42.501,22.0472
67.056,19.9438,41.9545,22.0472
67.2084,19.3281,42.3606,22.0472
67.3608,18.7124,44.8669,22.0472
67.5132,18.2097,46.6053,22.0472
67.6656,18.8985,45.362,22.0472
67.818,19.5874,43.0759,22.0472
67.9704,20.2762,38.9824,22.0472
68.1228,20.5524,36.2854,22.0472
68.2752,20.7292,36.1893,22.0472
68.4276,20.906,37.5471,22.0472
68.58,20.5676,37.6397,22.0472
68.7324,19.7629,38.5837,22.0472
68.8848,18.9583,37.9849,22.0472
69.0372,18.5129,36.7088,22.0472
69.1896,19.1804,36.772,22.0472
69.342,19.848,36.9085,22.0472
69.4944,20.5155,37.1625,22.0472
69.6468,20.1877,37.1133,22.0472
69.7992,19.8219,37.0,22.0472
69.9516,19.4562,37.3204,22.0472
70.104,19.313,37.4695,22.0472
70.2564,19.2733,38.6221,22.0472
70.4088,19.2337,38.8536,22.0472
70.5612,19.2896,38.4444,22.0472
70.7136,19.4877,38.4522,22.0472
70.866,19.6858,38.465,22.0472
71.0184,19.8744,37.9461,22.0472
71.1708,19.9932,38.9181,22.0472
71.3232,20.1121,37.3478,22.0472
71.4756,20.231,38.034,22.0472
71.628,19.2874,39.1955,22.0472
71.7804,18.1414,39.8231,22.0472
71.9328,16.9953,41.5746,22.0472
72.0852,17.6538,40.9414,22.0472
72.2376,19.7356,39.8378,22.0472
72.39,21.8174,38.808,22.0472
72.5424,23.08,38.8484,22.0472
72.6948,22.2174,39.1248,22.0472
72.8472,21.3548,39.5189,22.0472
72.9996,20.4923,40.0951,22.0472
73.152,20.49,40.696,22.0472
73.3044,20.49,38.8211,22.0472
73.4568,20.49,37.3417,22.0472
73.6092,20.5424,36.3291,22.0472
73.7616,20.6156,35.0959,22.0472
73.914,20.6887,34.5487,22.0472
74.0664,20.73,35.9357,22.0472
74.2188,20.73,35.7992,22.0472
74.3712,20.73,34.1283,22.0472
74.5236,20.7026,34.1455,22.0472
74.676,20.5258,33.6078,22.0472
74.8284,20.3491,33.9313,22.0472
74.9808,20.1723,34.8355,22.0472
75.1332,20.2672,34.6929,22.0472
75.2856,20.4013,35.1389,22.0472
75.438,20.5354,35.2882,22.0472
75.5904,20.505,35.9411,22.0472
75.7428,20.3618,35.4248,22.0472
75.8952,20.2185,34.8689,22.0472
76.0476,20.1362,34.3873,22.0472
76.2,20.188,35.1102,22.0472
76.3524,20.2398,35.9035,22.0472
76.5048,20.2891,36.0429,22.0472
76.6572,20.2617,36.754,22.0472
76.8096,20.2343,34.7142,22.0472
76.962,20.2068,34.5953,22.0472
77.1144,20.2984,35.1404,22.0472
77.2668,20.4294,35.5663,22.0472
77.4192,20.5605,35.6863,22.0472
77.5716,20.5928,35.9713,22.0472
77.724,20.5135,36.3217,22.0472
77.8764,20.4343,36.6965,22.0472
78.0288,20.3654,37.0522,22.0472
78.1812,20.341,36.5554,22.0472
78.3336,20.3166,36.0372,22.0472
78.486,20.2922,36.2165,22.0472
78.6384,20.5225,36.8533,22.0472
78.7908,20.7785,37.3507,22.0472
78.9432,21.0346,38.6667,22.0472
79.0956,20.9139,38.0184,22.0472
79.248,20.5695,37.574,22.0472
79.4004,20.2251,37.8565,22.0472
79.5528,19.9926,37.4619,22.0472
79.7052,19.9713,37.3002,22.0472
79.8576,19.9499,37.5821,22.0472
80.01,19.9478,36.7176,22.0472
80.1624,20.2191,35.857,22.0472
80.3148,20.4903,36.2119,22.0472
80.4672,20.7616,35.934,22.0472
80.6196,19.5714,37.4174,22.0472
80.772,17.9803,37.5234,22.0472
80.9244,16.3893,37.7547,22.0472
81.0768,16.2205,38.4149,22.0472
81.2292,17.4519,38.3467,22.0472
81.3816,18.6833,38.9808,22.0472
81.534,19.298,41.1058,22.0472
81.6864,17.7648,41.9815,22.0472
81.8388,16.2317,41.9669,22.0472
81.9912,14.6985,42.25,22.0472
82.1436,16.0,40.805,22.0472
82.296,17.4753,40.1842,22.0472
82.4484,18.9505,39.0318,22.0472
82.6008,19.3895,37.741,22.0472
82.7532,19.2981,36.5714,22.0472
82.9056,19.2066,36.4843,22.0472
83.058,19.2068,36.3309,22.0472
83.2104,19.3562,35.3732,22.0472
83.3628,19.5055,36.6445,22.0472
83.5152,19.6658,37.0862,22.0472
83.6676,19.9249,36.6948,22.0472
83.82,20.184,37.0888,22.0472
83.9724,20.4431,37.2053,22.0472
84.1248,20.4176,37.853,22.0472
84.2772,20.3292,37.393,22.0472
84.4296,20.2408,37.9983,22.0472
84.582,19.9392,38.6853,22.0472
84.7344,19.4546,39.7549,22.0472
84.8868,18.97,38.9396,22.0472
85.0392,18.7644,39.0881,22.0472
85.1916,19.3649,39.6667,22.0472
85.344,19.9654,39.6902,22.0472
85.4964,20.5658,40.3464,22.0472
85.6488,20.2348,40.4488,22.0472
85.8012,19.8812,40.3415,22.0472
85.9536,19.5276,38.2955,22.0472
86.106,19.6468,36.5902,22.0472
86.2584,19.973,36.6962,22.0472
86.4108,20.2991,36.5547,22.0472
86.5632,20.4445,37.3961,22.0472
86.7156,20.3348,39.0631,22.0472
86.868,20.225,39.3751,22.0472
87.0204,20.1557,38.6632,22.0472
87.1728,20.3477,38.309,22.0472
87.3252,20.5398,38.2077,22.0472
87.4776,20.7318,38.8913,22.0472
87.63,20.2998,39.0413,22.0472
87.7824,19.7603,38.7685,22.0472
