DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
1241.3,38.914726,1860.351563,99.387077,0.340393,8.441942,0.03647,2.30062,2.97094,100.79744,-111.852051,1.372628,11.630204,12.831774,13.70102,14.870847,17.233946,19.014462,26.605343,8.5
1241.4,38.742039,1865.234375,99.10495,0.339519,8.453803,0.036256,2.305679,2.983426,100.514694,-112.071251,1.415375,12.668485,13.952456,14.879945,16.126482,18.639257,20.528376,28.647892,8.5
1241.5,39.079666,1865.234375,99.650665,0.33731,8.462221,0.036893,2.311264,2.974148,100.203903,-112.180847,1.454221,13.439804,14.738377,15.673072,16.925236,19.436577,21.314568,29.470472,8.5
1241.6,38.976631,1865.234375,101.129799,0.33617,8.469499,0.037603,2.315608,2.945261,99.965912,-112.223473,1.481907,13.189598,14.374319,15.22268,16.353884,18.606064,20.277308,27.617706,8.5
1241.7,38.956989,1865.234375,101.47567,0.332975,8.475532,0.038282,2.318601,2.913913,99.786621,-112.235641,1.493091,13.694921,14.845325,15.665462,16.754639,18.909513,20.497957,27.555927,8.5
1241.8,39.049652,1855.46875,100.17971,0.331324,8.48356,0.038792,2.31974,2.888595,99.687126,-112.238693,1.501107,13.931863,15.048127,15.84156,16.892439,18.96279,20.482147,27.267834,8.5
1241.9,38.92638,1860.351563,99.967987,0.33006,8.494258,0.039407,2.320412,2.862839,99.668785,-112.193031,1.492268,14.152282,15.290051,16.09894,17.170488,19.28219,20.832378,27.770182,8.5
1242.0,39.063156,1860.351563,99.865585,0.331441,8.500373,0.038857,2.317452,2.840311,99.746178,-112.211288,1.475709,13.971228,15.130828,15.956884,17.05316,19.219721,20.814941,27.916571,8.5
1242.1,39.003189,1840.820313,100.497284,0.333302,8.493959,0.038711,2.314487,2.82492,99.892181,-112.159546,1.458866,13.407021,14.582984,15.423721,16.543127,18.766737,20.412815,27.697393,8.5
1242.2,39.091084,1860.351563,100.536888,0.338185,8.478804,0.038563,2.311061,2.818647,100.031288,-112.034714,1.447691,13.12093,14.321178,15.181738,16.330517,18.621778,20.325222,27.797564,8.5
