DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,HVOL,AVOL,BIT
1852.3,50.684361,2534.179688,117.696762,0.330209,8.500008,0.048195,2.452183,3.22671,90.491707,-138.031403,2.251165,5.031055,5.028481,5.026765,5.024621,5.020765,5.018196,5.00519,0.130403,0.042721,8.5
1852.4,50.732555,2509.765625,117.642349,0.336809,8.573234,0.045649,2.451472,3.24746,90.760002,-138.01619,2.371496,5.276742,5.272979,5.270473,5.267341,5.261708,5.257957,5.238969,0.132615,0.044933,8.5
1852.5,50.695122,2514.648438,119.446617,0.342168,8.644224,0.043598,2.452285,3.265274,91.108604,-138.052719,2.658929,5.263577,5.248874,5.239095,5.226897,5.205012,5.190474,5.116822,0.134361,0.04668,8.5
1852.6,50.691631,2519.53125,120.104767,0.347415,8.686242,0.040774,2.449815,3.289574,91.490036,-138.077072,3.063941,5.337863,5.302612,5.279241,5.250171,5.198249,5.16392,4.990076,0.135185,0.047503,8.5
1852.7,50.689697,2514.648438,121.657669,0.350088,8.697278,0.036662,2.44243,3.305898,91.844551,-138.177536,3.52591,5.511151,5.45381,5.415914,5.368915,5.285341,5.230349,4.951603,0.135172,0.04749,8.5
1852.8,50.700039,2514.648438,120.08847,0.352077,8.685421,0.033096,2.436166,3.338466,92.106316,-138.226242,3.927851,5.362257,5.287844,5.23881,5.178157,5.070745,5.000378,4.643889,0.134631,0.046949,8.5
1852.9,50.733418,2514.648438,119.404953,0.350428,8.662455,0.030869,2.43182,3.341935,92.198395,-138.259735,4.200623,5.27167,5.188449,5.1337,5.066075,4.946587,4.868498,4.472602,0.133818,0.046137,8.5
1853.0,50.695866,2514.648438,118.828705,0.34871,8.632978,0.031495,2.429782,3.335694,92.077759,-138.305405,4.320651,5.243348,5.156923,5.100099,5.029948,4.9061,4.825233,4.415066,0.132933,0.045251,8.5
1853.1,50.735981,2514.648438,118.533195,0.344835,8.605125,0.034323,2.42666,3.308562,91.730247,-138.399796,4.354136,4.948489,4.867844,4.814811,4.749332,4.633707,4.558191,4.174548,0.132224,0.044543,8.5
1853.2,50.707428,2509.765625,117.670998,0.341618,8.586986,0.040526,2.427147,3.291782,91.208847,-138.402832,4.367128,4.795999,4.715877,4.663208,4.598197,4.483453,4.408553,4.02805,0.131775,0.044093,8.5
1853.3,50.699532,2514.648438,115.741631,0.336082,8.575883,0.048484,2.430593,3.27294,90.563545,-138.4272,4.385732,5.031816,4.94314,4.884892,4.813047,4.686378,4.60379,4.184069,0.131508,0.043827,8.5
1853.4,50.679264,2514.648438,113.176949,0.329121,8.569613,0.055236,2.434107,3.266659,89.910507,-138.475906,4.429382,5.508461,5.402045,5.332246,5.246264,5.094974,4.996546,4.49799,0.131312,0.043631,8.5
1853.5,50.703079,2504.882813,110.820282,0.321289,8.563118,0.057964,2.435165,3.269772,89.358246,-138.451553,4.47136,5.592508,5.488286,5.419887,5.335586,5.187133,5.090466,4.600819,0.131147,0.043466,8.5
1853.6,50.69846,2509.765625,110.827957,0.314334,8.558835,0.058078,2.438372,3.292157,88.997398,-138.445465,4.524862,5.669279,5.580614,5.522275,5.450209,5.322851,5.239604,4.818368,0.13107,0.043388,8.5
1853.7,50.71175,2509.765625,112.955475,0.311187,8.558083,0.0575,2.443792,3.315975,88.836136,-138.469818,4.564349,5.607582,5.553194,5.517228,5.472599,5.393175,5.340866,5.075713,0.131077,0.043395,8.5
1853.8,50.747219,2504.882813,116.247704,0.31207,8.559271,0.058216,2.450297,3.326953,88.851692,-138.448502,4.61716,5.521294,5.501272,5.487965,5.471375,5.441641,5.421908,5.322047,0.13118,0.043499,8.5
1853.9,50.715508,2504.882813,119.371109,0.318296,8.564831,0.06015,2.455155,3.323593,89.011223,-138.433273,4.661288,5.405582,5.416134,5.423181,5.432001,5.447914,5.458549,5.512397,0.131463,0.043781,8.5
1854.0,50.729485,2504.882813,120.154778,0.323548,8.577693,0.063532,2.460738,3.322411,89.286827,-138.515488,4.702959,5.267954,5.289086,5.303221,5.320943,5.352992,5.374465,5.483006,0.131957,0.044276,8.5
1854.1,50.681679,2509.765625,118.918205,0.325244,8.597056,0.066788,2.467441,3.320086,89.577713,-138.539825,4.718851,5.312747,5.328043,5.338265,5.351069,5.374196,5.389668,5.467838,0.132558,0.044876,8.5
1854.2,50.685822,2504.882813,115.986519,0.319957,8.616729,0.066667,2.47181,3.312445,89.809975,-138.524612,4.645181,5.29762,5.29551,5.294105,5.292348,5.289187,5.287082,5.276454,0.133068,0.045387,8.5
1854.3,50.675358,2504.882813,114.695259,0.311976,8.630179,0.060567,2.468543,3.312165,89.885628,-138.582458,4.385582,5.602655,5.584733,5.572818,5.557959,5.531312,5.513618,5.424278,0.133366,0.045684,8.5
1854.4,50.72081,2509.765625,114.294456,0.303142,8.636008,0.052289,2.46443,3.317813,89.877693,-138.555054,3.895525,5.665996,5.638668,5.620522,5.597923,5.557473,5.530668,5.395253,0.133468,0.045786,8.5
1854.5,50.704269,2524.414063,115.200874,0.298721,8.636776,0.042375,2.455157,3.315892,89.764122,-138.500259,3.254713,5.45959,5.431944,5.413591,5.390738,5.349844,5.322753,5.185916,0.133462,0.04578,8.5
1854.6,50.689041,2524.414063,117.300362,0.298844,8.635608,0.034559,2.446075,3.303707,89.659714,-138.430222,2.602227,5.012093,4.993556,4.981237,4.96588,4.938358,4.920094,4.827734,0.13342,0.045739,8.5
1854.7,50.731838,2524.414063,119.573235,0.302697,8.634088,0.030257,2.439657,3.291838,89.580833,-138.442413,2.101756,4.832365,4.821424,4.814144,4.805058,4.788749,4.777906,4.72312,0.13343,0.045748,8.5
1854.8,50.745193,2548.828125,121.066826,0.305509,8.636242,0.029896,2.439104,3.283494,89.660789,-138.457642,1.814553,5.033689,5.030375,5.028167,5.025407,5.020445,5.017139,5.000449,0.133637,0.045956,8.5
1854.9,50.723373,2543.945313,120.91333,0.305797,8.647486,0.030714,2.441282,3.260006,89.84185,-138.561142,1.772268,5.077334,5.082797,5.086442,5.091002,5.09922,5.104707,5.132394,0.134136,0.046455,8.5
1855.0,50.73196,2524.414063,120.612396,0.303766,8.668481,0.03098,2.445186,3.244995,90.097099,-138.637253,1.9608,5.06977,5.082417,5.090866,5.101446,5.120547,5.13332,5.197797,0.134882,0.0472,8.5
1855.1,50.670086,2524.414063,118.771889,0.30128,8.69555,0.030193,2.450169,3.239773,90.363525,-138.749908,2.379273,5.012638,5.026102,5.035099,5.046366,5.066712,5.080321,5.148994,0.135672,0.047991,8.5
1855.2,50.711124,2524.414063,116.327141,0.301455,8.719273,0.028438,2.454464,3.254639,90.668549,-138.871674,2.94841,5.079105,5.088302,5.094442,5.102128,5.115992,5.125255,5.172028,0.136262,0.04858,8.5
1855.3,50.701649,2519.53125,114.813118,0.306004,8.733354,0.025664,2.455049,3.2691,90.999741,-138.947784,3.541704,5.347843,5.346825,5.346147,5.345299,5.343773,5.342756,5.33762,0.136557,0.048875,8.5
1855.4,50.699978,2514.648438,115.698769,0.315903,8.738143,0.022922,2.45269,3.298964,91.332008,-139.045212,3.985367,5.330307,5.316789,5.307796,5.296576,5.27644,5.263059,5.195434,0.136628,0.048946,8.5
1855.5,50.695568,2509.765625,117.736595,0.32563,8.737897,0.021939,2.450366,3.325958,91.63015,-139.121338,4.21524,5.229241,5.204651,5.188322,5.167983,5.131572,5.107441,4.985574,0.136623,0.048941,8.5
