DEPTH,BS:1,BS:2,BS:3,BS:4,BS:5,BS:6,DNPH:1,DNPH:2,DSO8,DSOZ,DTCO:1,DTCO:2,DTCO:3,DTCO:4,DTRP:1,DTRP:2,DTRP:3,DTRP:4,DTRS:1,DTRS:2,DTRS:3,DTRS:4,DTSM:1,DTSM:2,DTSM:3,DTSM:4,DTTP:1,DTTP:2,DTTP:3,DTTP:4,DTTS:1,DTTS:2,DTTS:3,DTTS:4,DT_XD_R,DT_XD_T,ECGR:1,ECGR:2,ECGR:3,ECGR:4,ECGR:5,ECGR:6,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HTEM:1,HTEM:2,HTNP,PEF8,PEFZ,RHO8,RHOZ,RLA1:1,RLA1:2,RLA2:1,RLA2:2,RLA3:1,RLA3:2,RLA4:1,RLA4:2,RLA5:1,RLA5:2,RM_HRLT:1,RM_HRLT:2,RT_HRLT:1,RT_HRLT:2,RXO8,RXOZ,RXO_HRLT:1,RXO_HRLT:2,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TENS:4,TENS:5,TENS:6,TNPH
1728.6732,,8.5,,8.5,8.5,,0.0104464,,,0.001244,,92.415,,92.415,,90.311,,90.311,,176.4447,,176.4447,,172.3545,,172.3545,,94.5321,,94.5321,,177.29,,177.29,172.2901,172.4047,,120.9748,,120.9748,121.8272,,8.8006,8.9119,,0.000744,,2.6893,,2.527,,47.0405,,,,3.2894,,2.4544,4.462,,4.669,,4.7995,,4.857,,4.9072,,0.124522,,5.1707,,,4.3071,3.2042,,-395.6082,,,1874.2393,,1874.2393,1876.0203,,0.33482
1728.8256,,8.5,,8.5,8.5,,0.0104852,,,0.001244,,92.1817,,92.1817,,90.2705,,90.2705,,176.6752,,176.6752,,172.2856,,172.2856,,94.0505,,94.0505,,177.7193,,177.7193,172.1676,172.386,,119.8149,,119.8149,120.9149,,8.7889,8.9038,,0.000639,,3.1823,,2.897,,47.0672,,,,3.3024,,2.4559,4.459,,4.6708,,4.8037,,4.8583,,4.9062,,0.124624,,5.1764,,,4.4129,3.1938,,-395.4207,,,1884.5,,1884.5,1873.1989,,0.334472
1728.978,,8.5,,8.5,8.5,,0.0099952,,,0.00449,,92.0418,,92.0418,,90.3305,,90.3305,,177.2171,,177.2171,,172.3331,,172.3331,,93.7934,,93.7934,,178.1636,,178.1636,172.1238,172.5593,,118.9151,,118.9151,119.546,,8.7864,8.913,,0.001578,,3.3813,,3.0287,,47.0892,,,,3.3123,,2.4572,4.4349,,4.655,,4.7815,,4.8387,,4.886,,0.124876,,5.1627,,,4.4023,3.1691,,-395.375,,,1917.5597,,1917.5597,1909.5765,,0.323647
1729.1304,,8.5,,8.5,8.5,,0.0096708,,,0.008676,,91.9304,,91.9304,,90.4339,,90.4339,,176.4237,,176.4237,,172.397,,172.397,,93.5225,,93.5225,,178.6109,,178.6109,171.9926,172.8257,,119.3414,,119.3414,119.6731,,8.8081,8.9335,,0.002968,,3.2669,,2.9399,,47.1426,,,,3.3166,,2.4564,4.443,,4.6636,,4.7888,,4.8503,,4.8974,,0.1251,,5.176,,,4.3951,3.1732,,-395.436,,,1928.7073,,1928.7073,1933.0616,,0.318292
1729.2828,,8.5,,8.5,8.5,,0.0099488,,,0.012958,,91.7334,,91.7334,,90.6421,,90.6421,,176.8273,,176.8273,,172.3061,,172.3061,,92.9615,,92.9615,,178.6797,,178.6797,171.7614,172.8404,,120.5938,,120.5938,120.7907,,8.8037,8.9244,,0.004483,,3.0998,,2.8318,,47.1646,,,,3.3164,,2.455,4.4414,,4.6415,,4.7657,,4.8278,,4.8735,,0.125056,,5.124,,,4.4067,3.2117,,-395.5488,,,1908.7562,,1908.7562,1917.587,,0.323482
1729.4352,,8.5,,8.5,8.5,,0.0103048,,,0.014497,,91.5737,,91.5737,,91.1129,,91.1129,,178.5897,,178.5897,,172.134,,172.134,,92.3173,,92.3173,,177.9612,,177.9612,171.4574,172.8086,,121.3486,,121.3486,122.139,,8.8104,8.9289,,0.005185,,2.9755,,2.7364,,47.1913,,,,3.3063,,2.4549,4.42,,4.6025,,4.7263,,4.7875,,4.8332,,0.1245,,5.0613,,,4.3634,3.2242,,-395.5472,,,1888.9801,,1888.9801,1890.3792,,0.33312
1729.5876,,8.5,,8.5,8.5,,0.010544,,,0.013044,,91.5196,,91.5196,,91.9071,,91.9071,,179.4041,,179.4041,,172.0212,,172.0212,,91.5691,,91.5691,,177.3631,,177.3631,170.9945,173.0408,,120.3376,,120.3376,121.4652,,8.8037,8.9295,,0.0047,,2.7304,,2.5416,,47.2157,,,,3.2857,,2.4593,4.3907,,4.5776,,4.7049,,4.7629,,4.8114,,0.123724,,5.0496,,,4.3169,3.1813,,-395.5137,,,1890.0426,,1890.0426,1887.3109,,0.3383
1729.74,,8.5,,8.5,8.5,,0.010978,,,0.010053,,91.6705,,91.6705,,92.9937,,92.9937,,179.7487,,179.7487,,171.9626,,171.9626,,90.7717,,90.7717,,177.4864,,177.4864,170.6988,173.1847,,118.9236,,118.9236,119.6591,,8.7684,8.879,,0.003556,,2.9684,,2.7226,,47.2157,,,,3.2692,,2.4669,4.3839,,4.5799,,4.7078,,4.7648,,4.8143,,0.123098,,5.0647,,,4.3945,3.1573,,-395.6555,,,1893.6844,,1893.6844,1895.3265,,0.339065
1729.8924,,8.5,,8.5,8.5,,0.0113024,,,0.006437,,92.1727,,92.1727,,93.6788,,93.6788,,180.3673,,180.3673,,172.087,,172.087,,90.9352,,90.9352,,177.2512,,177.2512,170.9563,173.194,,118.6327,,118.6327,118.8311,,8.7174,8.8231,,0.002315,,3.434,,3.082,,47.2157,,,,3.273,,2.4711,4.4162,,4.6288,,4.7575,,4.8161,,4.8639,,0.12292,,5.1356,,,4.5465,3.1579,,-395.8765,,,1887.4249,,1887.4249,1889.5226,,0.337034
1730.0448,,8.5,,8.5,8.5,,0.0111048,,,0.005095,,92.2727,,92.2727,,93.728,,93.728,,180.7658,,180.7658,,172.4784,,172.4784,,90.892,,90.892,,177.1781,,177.1781,171.6728,173.3049,,119.7234,,119.7234,119.8074,,8.6981,8.8266,,0.001846,,3.4889,,3.1231,,47.2157,,,,3.294,,2.4693,4.4665,,4.7012,,4.8343,,4.8915,,4.9348,,0.123398,,5.2354,,,4.5956,3.1651,,-396.0153,,,1887.7444,,1887.7444,1883.6168,,0.332698
1730.1972,,8.5,,8.5,8.5,,0.010522,,,0.006993,,92.0729,,92.0729,,93.7524,,93.7524,,181.0121,,181.0121,,172.9073,,172.9073,,90.3735,,90.3735,,178.4976,,178.4976,172.383,173.448,,120.4346,,120.4346,121.2226,,8.7502,8.8814,,0.002295,,3.2484,,2.9451,,47.2157,,,,3.3036,,2.4641,4.4844,,4.7219,,4.856,,4.9133,,4.9506,,0.124178,,5.2539,,,4.5471,3.1761,,-396.1555,,,1904.387,,1904.387,1897.9104,,0.3282
1730.3496,,8.5,,8.5,8.5,,0.010122,,,0.011068,,92.0105,,92.0105,,93.7795,,93.7795,,181.6838,,181.6838,,173.1843,,173.1843,,90.1775,,90.1775,,179.9192,,179.9192,172.8211,173.5464,,119.3993,,119.3993,120.5758,,8.7958,8.9156,,0.003202,,2.6064,,2.4867,,47.2157,,,,3.2854,,2.4597,4.4487,,4.6692,,4.7997,,4.8586,,4.8907,,0.12441,,5.1686,,,4.4516,3.1812,,-396.3445,,,1915.7448,,1915.7448,1917.5507,,0.324825
1730.502,,8.5,,8.5,8.5,,0.0100756,,,0.012728,,92.0486,,92.0486,,93.6728,,93.6728,,182.1982,,182.1982,,173.3815,,173.3815,,90.3919,,90.3919,,179.9693,,179.9693,173.1505,173.6248,,117.6558,,117.6558,118.6556,,8.8053,8.9192,,0.003612,,1.7582,,1.8639,,47.2157,,,,3.2484,,2.4572,4.3651,,4.5629,,4.6897,,4.7461,,4.7739,,0.123554,,5.0164,,,4.3139,3.1721,,-396.3322,,,1902.7634,,1902.7634,1910.1971,,0.324015
1730.6544,,8.5,,8.5,8.5,,0.009978,,,0.009051,,91.9548,,91.9548,,93.3006,,93.3006,,181.052,,181.052,,173.5321,,173.5321,,90.3961,,90.3961,,179.6035,,179.6035,173.4756,173.6126,,117.2928,,117.2928,117.4595,,8.8005,8.9255,,0.002827,,1.3618,,1.5616,,47.2157,,,,3.2148,,2.4564,4.306,,4.487,,4.6107,,4.6626,,4.6892,,0.122049,,4.9033,,,4.2708,3.1769,,-395.9832,,,1885.0219,,1885.0219,1886.9807,,0.322465
1730.8068,,8.5,,8.5,8.5,,0.0097708,,,0.003808,,91.6845,,91.6845,,92.8996,,92.8996,,179.4352,,179.4352,,173.5437,,173.5437,,90.2994,,90.2994,,180.692,,180.692,173.8101,173.2808,,119.0599,,119.0599,118.8739,,8.7892,8.9189,,0.001546,,1.8554,,1.9399,,47.2157,,,,3.2032,,2.4585,4.3132,,4.4898,,4.6121,,4.6601,,4.6848,,0.120793,,4.8873,,,4.3499,3.2079,,-395.6235,,,1886.7073,,1886.7073,1882.1237,,0.31602
1730.9592,,8.5,,8.5,8.5,,0.0097268,,,0.000756,,91.5565,,91.5565,,93.0633,,93.0633,,179.0454,,179.0454,,173.4226,,173.4226,,90.2378,,90.2378,,181.8162,,181.8162,174.1837,172.675,,121.4004,,121.4004,121.406,,8.7596,8.897,,0.000524,,2.7364,,2.5893,,47.2157,,,,3.2169,,2.4613,4.359,,4.5485,,4.6683,,4.7151,,4.7369,,0.120444,,4.949,,,4.5198,3.2348,,-395.5137,,,1897.2091,,1897.2091,1896.9885,,0.310718
1731.1116,,8.5,,8.5,8.5,,0.0097244,,,0.0,,91.6511,,91.6511,,93.5917,,93.5917,,178.7644,,178.7644,,173.2319,,173.2319,,89.9754,,89.9754,,181.6751,,181.6751,174.5278,171.9529,,122.5275,,122.5275,123.3211,,8.7814,8.9172,,-0.000105,,3.3026,,3.0048,,47.2157,,,,3.2415,,2.4623,4.4169,,4.6325,,4.7489,,4.7926,,4.8144,,0.121242,,5.0505,,,4.6371,3.2479,,-395.5945,,,1887.9553,,1887.9553,1895.5441,,0.31421
1731.264,,8.5,,8.5,8.5,,0.0096024,,,0.001415,,91.7071,,91.7071,,93.9089,,93.9089,,178.163,,178.163,,172.9348,,172.9348,,89.6853,,89.6853,,179.3182,,179.3182,174.8923,170.948,,121.4958,,121.4958,122.9324,,8.8495,8.974,,-0.000617,,3.5571,,3.1915,,47.2157,,,,3.2589,,2.4615,4.4368,,4.6692,,4.782,,4.8224,,4.8473,,0.122951,,5.0976,,,4.6598,3.246,,-395.6722,,,1872.2444,,1872.2444,1871.8835,,0.322009
1731.4164,,8.5,,8.5,8.5,,0.0092756,,,0.008972,,91.4804,,91.4804,,93.9588,,93.9588,,177.706,,177.706,,172.6462,,172.6462,,88.9972,,88.9972,,177.6586,,177.6586,175.2064,170.0967,,119.506,,119.506,120.6047,,8.9071,9.0249,,-0.001722,,3.5812,,3.1883,,47.2157,,,,3.2683,,2.4576,4.4474,,4.6774,,4.79,,4.827,,4.8582,,0.124461,,5.1022,,,4.6529,3.2698,,-395.7027,,,1884.1521,,1884.1521,1875.2981,,0.324131
1731.5688,,8.5,,8.5,8.5,,0.0086536,,,0.020013,,91.1886,,91.1886,,93.8459,,93.8459,,177.6147,,177.6147,,172.4418,,172.4418,,88.4091,,88.4091,,177.6687,,177.6687,175.0894,169.8331,,118.8145,,118.8145,119.4369,,8.9435,9.0818,,-0.002936,,3.1467,,2.8797,,47.2157,,,,3.2777,,2.4519,4.4477,,4.6565,,4.7686,,4.8005,,4.8389,,0.124683,,5.0522,,,4.6891,3.3262,,-395.8568,,,1907.1117,,1907.1117,1903.0593,,0.319027
1731.7212,,8.5,,8.5,8.5,,0.0082368,,,0.023844,,90.9463,,90.9463,,93.6396,,93.6396,,177.7055,,177.7055,,172.0527,,172.0527,,88.141,,88.141,,178.0661,,178.0661,174.4959,169.6212,,118.8644,,118.8644,119.8991,,8.9542,9.0995,,-0.002836,,2.3392,,2.3329,,47.2157,,,,3.2975,,2.449,4.4493,,4.6336,,4.7425,,4.7744,,4.8191,,0.123971,,5.0005,,,4.8292,3.3806,,-396.25,,,1910.4513,,1910.4513,1914.8112,,0.310841
1731.8736,,8.5,,8.5,8.5,,0.0086536,,,0.017669,,90.712,,90.712,,93.4792,,93.4792,,177.4242,,177.4242,,171.4268,,171.4268,,87.9249,,87.9249,,177.62,,177.62,173.8167,169.0608,,117.886,,117.886,119.1939,,8.867,9.0124,,-0.00108,,2.4729,,2.4515,,47.2157,,,,3.3234,,2.4529,4.4897,,4.6589,,4.772,,4.8102,,4.8593,,0.12352,,5.0317,,,4.986,3.4169,,-396.7043,,,1892.2223,,1892.2223,1899.5521,,0.30486
1732.026,,8.5,,8.5,8.5,,0.0092512,,,0.007287,,90.3451,,90.3451,,93.1129,,93.1129,,176.759,,176.759,,170.6641,,170.6641,,87.3731,,87.3731,,176.6014,,176.6014,173.1787,168.1509,,115.5535,,115.5535,116.9952,,8.8051,8.9306,,0.000819,,3.4771,,3.1775,,47.2157,,,,3.344,,2.4613,4.5883,,4.7649,,4.8875,,4.9347,,4.9888,,0.124334,,5.1889,,,5.0815,3.429,,-396.971,,,1878.3071,,1878.3071,1877.3267,,0.305241
1732.1784,,8.5,,8.5,8.5,,0.0094292,,,0.002041,,89.6529,,89.6529,,92.0735,,92.0735,,175.8036,,175.8036,,169.761,,169.761,,86.6219,,86.6219,,175.7852,,175.7852,172.4645,167.096,,112.9273,,112.9273,114.1157,,8.8039,8.9113,,0.001032,,3.9505,,3.513,,47.2157,,,,3.3563,,2.4674,4.6917,,4.906,,5.0359,,5.091,,5.1507,,0.126968,,5.4156,,,5.1075,3.3928,,-397.061,,,1885.344,,1885.344,1881.8441,,0.305924
