DEPTH,BS:1,BS:2,DNPH:1,DNPH:2,DT:1,DT:2,ECGR:1,ECGR:2,ECGR:3,HART:1,HART:2,HCAL:1,HCAL:2,HDRA:1,HDRA:2,HLLD,HLLS,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HRLD,HRLS,HTEM:1,HTEM:2,HTEM:3,HTNP,RHO8,RHOZ,RXO8,RXOZ,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TNPH:1,TNPH:2
589.788,,8.5,,0.0036495,,136.7815,,,84.5249,,48.6532,,8.7173,,-0.0012,39.9694,30.5183,,1.3406,,1.1997,,,,,34.041,,,2.2802,,1.8107,,62.9366,,,783.1821,,0.312322
589.9404,,8.5,,0.0045502,,127.2902,,,85.3993,,43.9988,,8.5975,,0.0018,36.0088,27.3498,,1.1337,,1.0957,,,,,34.041,,,2.3017,,1.8029,,60.2827,,,784.4291,,0.311982
590.0928,,8.5,,0.0052239,,117.7167,,,81.0956,,43.3963,,8.5212,,0.0046,35.0731,26.5927,,1.3441,,1.2743,,,,,34.041,,,2.3708,,2.2426,,60.031,,,781.7698,,0.314381
590.2452,,8.5,,0.0036373,,103.7309,,,74.3982,,57.3951,,8.5673,,0.01,45.5398,34.2618,,2.9163,,2.8379,,,,,34.041,,,2.4602,,4.0987,,59.1703,,,785.339,,0.258818
590.3976,,8.5,,0.0016134,,91.2315,,,66.1902,,95.4241,,8.7027,,0.0203,73.898,53.8978,,12.4403,,11.6114,,,,,34.041,,,2.5222,,9.6104,,55.7989,,,792.2025,,0.208149
590.55,,8.5,,0.0013624,,89.5613,,,61.2724,,130.943,,8.6913,,0.0325,101.0604,73.921,,24.797,,22.4843,,,,,34.041,,,2.5096,,12.2245,,55.53,,,800.8015,,0.190073
590.7024,,8.5,,0.0013003,,99.6418,,,67.5904,,87.244,,8.8009,,0.0404,69.2568,53.4494,,5.7365,,5.4245,,,,,34.041,,,2.4526,,5.7654,,53.9623,,,782.627,,0.226163
590.8548,,8.5,,0.0018878,,125.807,,,78.9943,,48.5688,,8.9076,,0.0362,39.4772,31.5967,,1.0188,,1.1644,,,,,34.041,,,2.3856,,3.0885,,54.1153,,,779.2717,,0.295635
591.0072,,8.5,,0.0028492,,136.1028,,,89.9104,,35.034,,8.9538,,0.0237,28.6892,23.2294,,1.0658,,1.1599,,,,,34.041,,,2.3416,,2.4497,,51.6584,,,781.0915,,0.356616
591.1596,,8.5,,0.0022746,,132.0849,,,95.224,,31.5512,,9.0721,,0.0095,25.9631,21.2606,,1.4316,,1.3751,,,,,34.041,,,2.3151,,2.3068,,52.1933,,,792.8198,,0.372597
591.312,,8.5,,0.0011137,,135.8385,,,96.652,,30.2164,,9.2363,,0.0032,24.9903,20.6832,,1.3937,,1.3569,,,,,34.041,,,2.3073,,2.2674,,49.6022,,,793.0267,,0.375502
591.4644,,8.5,,0.0021495,,135.6263,,,98.0481,,29.1399,,9.1269,,0.0023,24.2968,20.4053,,1.4117,,1.3853,,,,,34.041,,,2.3078,,2.2926,,48.4319,,,753.7205,,0.382741
591.6168,,8.5,,0.0026122,,132.533,,,101.0541,,28.5402,,9.1067,,-0.0002,23.9897,20.4649,,1.353,,1.3408,,,,,34.041,,,2.307,,2.2537,,50.5975,,,757.1341,,0.395329
591.7692,,8.5,,0.0023624,,141.7098,,,104.6349,,27.8972,,9.1268,,-0.0021,23.5035,20.1361,,1.2882,,1.2695,,,,,34.041,,,2.3012,,2.1477,,46.3385,,,817.5626,,0.391497
591.9216,,8.5,,0.0018251,,140.2958,,,103.6433,,27.2448,,9.1499,,-0.0037,22.8625,19.4397,,1.3489,,1.2858,,,,,34.041,,,2.2958,,2.0731,,45.9537,,,814.5409,,0.378902
592.074,,8.5,,0.0013498,,136.7812,,,102.4026,,26.402,,9.173,,-0.0023,21.9689,18.3911,,1.5318,,1.3882,,,,,34.041,,,2.2922,,2.0243,,47.0295,,,801.7752,,0.366468
592.2264,,8.5,,0.0006502,,137.5285,,,100.5856,,25.9561,,9.199,,-0.001,21.4587,17.7337,,1.4764,,1.3426,,,,,34.041,,,2.2945,,1.9984,,44.9772,,,778.7071,,0.343935
592.3788,,8.5,,0.0001624,,137.2735,,,102.7147,,26.2855,,9.2393,,0.001,21.6436,17.6705,,1.4411,,1.3165,,,,,34.041,,,2.2985,,1.9914,,43.9069,,,764.2072,,0.335228
592.5312,,8.5,,-0.0004875,,135.3675,,,104.1139,,26.7264,,9.2682,,0.0011,21.9348,17.7947,,1.3608,,1.2863,,,,,34.041,,,2.2954,,2.0635,,43.944,,,784.3154,,0.313044
592.6836,,8.5,,-0.0010122,,129.8613,,,106.6865,,27.489,,9.3086,,-0.0006,22.5026,18.203,,1.3849,,1.338,,,,,34.041,,,2.2875,,2.1689,,42.0873,,,800.3493,,0.303796
592.836,,8.5,,-0.0009122,,128.7329,,,107.8575,,28.2931,,9.3316,,-0.0033,23.1232,18.6699,,1.3984,,1.3622,,,,,34.041,,,2.2762,,2.23,,42.2255,,,787.8358,,0.316135
592.9884,,8.5,,-0.0002752,,124.4996,,,110.295,,28.829,,9.3345,,-0.0024,23.5196,18.8806,,1.3343,,1.3217,,,,,34.041,,,2.2811,,2.2301,,41.2435,,,776.8941,,0.347303
593.1408,,8.5,,-3.76e-05,,102.2102,,,111.9228,,28.4671,,9.3345,,0.0001,23.1859,18.5119,,1.387,,1.3493,,,,,34.041,,,2.2901,,2.2059,,42.0612,,,776.5001,,0.360118
593.2932,,8.5,,-0.0001376,,98.5456,,,109.0872,,28.4825,,9.3345,,0.002,23.1412,18.4015,,1.2977,,1.2939,,,,,34.041,,,2.2969,,2.2391,,40.9618,,,791.6352,,0.35391
593.4456,,8.5,,-0.0004749,,103.8453,,,107.5493,,28.8184,,9.3345,,0.0016,23.3923,18.5605,,1.1986,,1.2574,,,,,34.041,,,2.2939,,2.2632,,41.0938,,,808.5085,,0.339726
593.598,,8.5,,-0.0006498,,133.2182,,,105.4104,,29.5233,,9.336,,-0.0001,23.9883,19.0795,,1.1863,,1.2484,,,,,34.041,,,2.2871,,2.3039,,41.2017,,,785.9022,,0.330774
593.7504,,8.5,,-0.0006003,,136.5778,,,108.5823,,28.8786,,9.349,,-0.0016,23.4855,18.7331,,1.2761,,1.3062,,,,,34.041,,,2.2838,,2.2956,,38.9312,,,759.5117,,0.339674
593.9028,,8.5,,-0.0010373,,125.9303,,,108.953,,28.2192,,9.3749,,-0.0024,22.9462,18.335,,1.3552,,1.3472,,,,,34.041,,,2.2834,,2.3059,,39.219,,,783.7966,,0.326617
594.0552,,8.5,,-0.0012251,,102.1498,,,107.4827,,27.8733,,9.3721,,-0.0011,22.6542,18.1032,,1.4232,,1.3878,,,,,34.041,,,2.2937,,2.3171,,40.1942,,,791.9044,,0.316886
594.2076,,8.5,,-0.0014624,,98.409,,,103.6784,,26.9812,,9.3822,,0.0009,21.9607,17.6057,,1.4684,,1.4189,,,,,34.041,,,2.3022,,2.3024,,39.3524,,,776.0452,,0.307871
594.36,,8.5,,-0.0014498,,98.249,,,99.9986,,25.4888,,9.4038,,0.0028,20.765,16.7264,,1.3906,,1.3552,,,,,34.041,,,2.3045,,2.2557,,39.6007,,,769.6407,,0.317768
594.5124,,8.5,,-0.0011627,,98.4739,,,99.9666,,24.8436,,9.4297,,0.0031,20.2612,16.3326,,1.3565,,1.3219,,,,,34.041,,,2.2948,,2.175,,38.5157,,,777.6183,,0.33962
594.6648,,8.5,,-0.0011875,,98.9198,,,105.1782,,25.4407,,9.4686,,0.0024,20.7626,16.7302,,1.324,,1.2921,,,,,34.041,,,2.2861,,2.1727,,37.681,,,772.1903,,0.35281
594.8172,,8.5,,-0.0012627,,102.7098,,,107.3538,,26.2685,,9.4874,,0.0016,21.436,17.2987,,1.418,,1.3721,,,,,34.041,,,2.2866,,2.2581,,38.983,,,775.7567,,0.356594
594.9696,,8.5,,-0.0016624,,125.1861,,,108.3963,,26.5562,,9.5206,,0.0011,21.6903,17.5737,,1.4637,,1.4348,,,,,34.041,,,2.2926,,2.3435,,38.2664,,,782.0501,,0.350332
