DEPT,CALI,BS,GR,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
722.833,9.293,8.5,110.77,0.017,0.053,8.202,10.739,11.952,12.605,13.487,17.202,115.596,0.005,2.94,2.278,0.42,1.484,1867.6
722.986,9.247,8.5,121.332,-0.019,0.051,8.178,10.932,12.212,12.86,13.785,17.677,115.223,0.004,2.884,2.268,0.404,1.569,1879.133
723.138,9.2,8.5,118.239,0.02,0.047,7.428,10.113,11.245,11.799,12.612,16.217,114.692,0.004,2.896,2.289,0.387,1.441,1884.533
723.29,9.2,8.5,105.34,0.089,0.069,7.111,9.954,11.046,11.568,12.322,15.958,107.324,0.004,2.969,2.338,0.374,1.403,1878.2
723.443,9.193,8.5,104.232,0.046,0.067,9.183,13.813,15.615,16.418,17.49,23.102,97.799,0.004,3.182,2.493,0.343,2.647,1926.267
723.595,9.27,8.5,105.636,-0.036,0.0,10.208,16.351,18.844,19.962,21.309,28.431,97.272,-0.001,3.34,2.506,0.33,8.56,1918.813
723.748,9.316,8.5,116.784,-0.024,0.0,6.412,8.793,9.789,10.215,10.865,14.014,98.045,-0.004,2.961,2.322,0.359,1.671,1916.866
723.9,9.278,8.5,124.179,0.028,0.044,6.6,9.058,10.184,10.643,11.357,14.702,104.839,-0.004,2.905,2.284,0.401,1.328,1864.0
724.052,9.247,8.5,113.435,0.014,0.053,7.958,11.135,12.623,13.277,14.157,18.489,113.815,-0.001,2.873,2.294,0.435,1.515,1858.733
724.205,9.247,8.5,123.845,0.003,0.055,8.336,11.837,13.406,14.135,15.086,19.743,114.96,0.0,2.752,2.295,0.428,1.53,1881.667
724.357,9.247,8.5,120.734,0.004,0.054,7.838,11.113,12.257,12.938,13.815,17.917,114.942,-0.003,2.84,2.292,0.436,1.417,1895.933
724.51,9.293,8.5,105.735,-0.021,0.055,8.039,11.208,12.231,12.926,13.848,17.833,115.033,-0.006,2.849,2.284,0.435,1.457,1883.067
724.662,9.316,8.5,118.072,0.056,0.057,8.404,11.407,12.713,13.389,14.394,18.524,115.068,-0.006,3.006,2.276,0.416,1.498,1872.813
724.814,9.247,8.5,115.947,0.047,0.055,8.155,10.61,11.884,12.427,13.374,17.019,115.159,-0.004,2.912,2.277,0.39,1.459,1910.667
724.967,9.2,8.5,118.956,0.02,0.06,8.555,11.212,12.462,13.115,14.131,17.983,114.983,-0.003,2.891,2.276,0.376,1.425,1885.133
725.119,9.177,8.5,120.275,-0.002,0.063,8.989,11.803,13.071,13.876,14.963,19.04,114.899,-0.002,2.898,2.292,0.384,1.519,1908.333
725.272,9.189,8.5,116.034,0.019,0.066,9.3,12.223,13.526,14.408,15.525,19.768,114.483,-0.002,2.858,2.282,0.39,1.634,1896.667
725.424,9.177,8.5,108.731,0.009,0.069,9.748,12.93,14.385,15.295,16.518,21.104,113.816,0.0,2.837,2.299,0.404,1.755,1885.733
725.576,9.2,8.5,113.581,0.0,0.069,9.268,12.09,13.489,14.286,15.463,19.658,113.443,0.0,2.817,2.297,0.398,1.736,1891.933
725.729,9.216,8.5,118.312,-0.007,0.071,9.248,11.715,12.993,13.729,14.905,18.709,113.21,0.001,2.837,2.289,0.39,1.642,1914.687
725.881,9.258,8.5,107.741,0.022,0.081,9.806,12.413,13.737,14.496,15.752,19.732,113.207,0.002,2.917,2.298,0.37,1.749,1887.4
726.034,9.27,8.5,105.277,0.021,0.086,10.037,12.43,13.644,14.388,15.631,19.359,114.212,0.002,2.832,2.311,0.381,1.868,1871.2
726.186,9.27,8.5,115.936,0.023,0.079,9.707,11.988,13.046,13.773,14.952,18.438,114.554,0.002,2.836,2.311,0.38,1.75,1895.467
726.338,9.262,8.5,117.097,0.003,0.074,9.634,12.115,13.199,13.936,15.133,18.796,114.79,0.0,2.86,2.3,0.398,1.773,1892.5
726.491,9.2,8.5,116.447,0.008,0.069,8.932,10.95,11.947,12.548,13.6,16.741,114.961,0.0,2.93,2.296,0.389,1.665,1916.2
726.643,9.177,8.5,122.783,-0.014,0.067,9.105,11.133,12.174,12.757,13.811,17.0,114.94,0.0,2.823,2.293,0.393,1.634,1886.067
726.796,9.2,8.5,111.55,-0.008,0.063,9.4,11.771,12.928,13.539,14.655,18.233,114.762,0.0,2.885,2.294,0.368,1.699,1927.4
