DEPTH,BS:1,BS:2,DNPH:1,DNPH:2,DPHZ:1,DPHZ:2,DSOZ:1,DSOZ:2,DT:1,DT:2,ECGR,EHGR:1,EHGR:2,GR:1,GR:2,GR:3,GR_EDIT,HART:1,HART:2,HCAL:1,HCAL:2,HDRA:1,HDRA:2,HRLD:1,HRLD:2,HRLS:1,HRLS:2,HTEM:1,HTEM:2,HTNP:1,HTNP:2,PEF8:1,PEF8:2,RHO8,RHOZ,RXO8,RXOZ,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TENS:4,VCL
898.5504,,6.125,,0.0190462,,0.19,,0.155504,,106.4673,98.5154,,0.946,98.5154,,,98.5154,,20.2395,,7.0837,,0.0563,,15.6984,,13.8719,,33.6909,,0.339613,,3.2997,,2.3851,,3.5074,,57.4202,,995.4175,,,
898.7028,,6.125,,0.0197261,,0.1931,,0.13992,,106.6848,100.266,,0.9455,100.266,,,100.266,,20.5314,,7.0724,,0.0473,,16.0441,,14.2135,,33.7923,,0.347713,,3.2751,,2.3797,,3.5326,,57.0615,,972.7957,,,
898.8552,,6.125,,0.0202784,,0.1974,,0.123765,,106.8293,101.4588,,0.9446,101.4588,,,101.4588,,21.047,,7.0489,,0.0376,,16.3672,,14.4781,,33.8414,,0.346378,,3.2394,,2.3724,,3.5543,,56.9067,,957.5071,,,
899.0076,,6.125,,0.0203,,0.2004,,0.111811,,106.6208,101.2738,,0.9439,101.2738,,,101.2738,,21.5015,,7.0319,,0.032,,16.6338,,14.6256,,33.8414,,0.336363,,3.1958,,2.3672,,3.5507,,56.7808,,973.376,,,
899.16,,6.125,,0.0199277,,0.2007,,0.106192,,106.3343,102.7784,,0.9436,102.7784,,,102.7784,,21.4931,,7.0259,,0.0302,,16.5861,,14.4939,,33.8414,,0.322479,,3.159,,2.3668,,3.5149,,56.5644,,1007.8108,,,
899.3124,,6.125,,0.019397,,0.1982,,0.104789,,106.0455,106.1606,,0.9436,106.1606,,,106.1606,,20.8745,,7.0262,,0.0316,,16.1501,,14.0952,,33.8414,,0.312005,,3.1417,,2.371,,3.4901,,56.3558,,1022.4167,,,
899.4648,,6.125,,0.0190508,,0.1955,,0.102641,,105.7087,107.4405,,0.9436,107.4405,,,107.4405,,19.9056,,7.0259,,0.035,,15.6179,,13.6514,,33.8414,,0.302743,,3.1427,,2.3756,,3.5155,,56.2846,,1006.4513,,,
899.6172,,6.125,,0.0188246,,0.196,,0.095528,,105.594,105.574,,0.9444,105.574,,,105.574,,19.2285,,7.0461,,0.0368,,15.2541,,13.3543,,33.8414,,0.295478,,3.143,,2.3749,,3.5764,,56.1539,,980.7094,,,
899.7696,,6.125,,0.0187477,,0.1998,,0.084194,,105.748,102.948,,0.9458,102.948,,,102.948,,19.4228,,7.0782,,0.0342,,15.4194,,13.5114,,33.8414,,0.299802,,3.1259,,2.3682,,3.644,,56.125,,966.4177,,,
899.922,,6.125,,0.0190492,,0.2049,,0.071948,,105.9667,102.7486,,0.9457,102.7486,,,102.7486,,20.6983,,7.0752,,0.0282,,16.2419,,14.2074,,33.8414,,0.31488,,3.094,,2.3596,,3.6833,,56.3269,,968.6154,,,
900.0744,,6.125,,0.0194523,,0.2089,,0.061878,,106.2159,102.9731,,0.945,102.9731,,,102.9731,,21.8715,,7.0603,,0.0236,,17.0655,,14.8737,,33.8414,,0.328412,,3.0705,,2.3528,,3.673,,56.626,,977.6378,,,
900.2268,,6.125,,0.0198216,,0.2118,,0.058689,,106.4846,101.2973,,0.9443,101.2973,,,101.2973,,21.8167,,7.044,,0.0231,,17.1496,,14.9192,,33.8414,,0.329559,,3.0767,,2.3479,,3.6154,,56.8904,,979.6052,,,
900.3792,,6.125,,0.0202538,,0.2127,,0.071945,,106.6272,100.1783,,0.9418,100.1783,,,100.1783,,20.8439,,6.9855,,0.0265,,16.6217,,14.447,,33.8414,,0.324733,,3.1149,,2.3464,,3.5437,,57.0788,,967.6587,,,
900.5316,,6.125,,0.0206462,,0.2114,,0.103665,,106.5559,102.016,,0.9389,102.016,,,102.016,,19.8326,,6.9167,,0.0327,,16.1189,,13.9579,,33.8414,,0.324952,,3.1752,,2.3484,,3.5078,,57.2644,,956.2511,,,
900.684,,6.125,,0.0211769,,0.2101,,0.140818,,106.5607,105.4087,,0.9361,105.4087,,,105.4087,,19.6284,,6.8533,,0.0398,,15.841,,13.6234,,33.8414,,0.32873,,3.2416,,2.3507,,3.4989,,57.5625,,967.7716,,,
900.8364,,6.125,,0.0218477,,0.2083,,0.167113,,106.7817,107.1394,,0.9331,107.1394,,,107.1394,,19.5644,,6.7841,,0.047,,15.4613,,13.2078,,33.8414,,0.335349,,3.2974,,2.3538,,3.4679,,57.9067,,992.0121,,,
