DEPTH,ADTEMP:1,ADTEMP:2,ADTEMP:3,ARH16P:1,ARH16P:2,ARH16P:3,ARH32P:1,ARH32P:2,ARH32P:3,ARH48P:1,ARH48P:2,ARH48P:3,DGRCC:1,DGRCC:2,DGRCC:3,DGRCC:4,GBCGC:1,GBCGC:2,GBCGC:3,R09P:1,R09P:2,R09P:3,R15P:1,R15P:2,R15P:3,R27P:1,R27P:2,R27P:3,R39P:1,R39P:2,R39P:3,TVD:1,TVD:2,TVD:3,TVD:4
415.8996,29.9072,,,,,,,,,,,,78.3261,76.6457,,,,,,19.0786,18.5866,18.5866,71.6535,66.4812,66.4812,55.7144,52.7413,52.7413,40.7208,39.3636,39.3636,414.7669,414.7708,,
416.052,29.9072,,,,,,,,,,,,88.7872,87.626,,,,,,16.499,16.0665,16.0665,31.8861,33.1873,33.1873,29.4875,30.4672,30.4672,25.7623,26.4136,26.4136,414.9097,414.9071,,
416.2044,29.9072,,,,,,,,,,,,74.8541,77.9232,,,,,,13.7975,16.8857,16.8857,24.0595,29.0762,29.0762,26.205,28.8278,28.8278,25.1888,26.646,26.646,415.0598,415.06,,
416.3568,29.9072,,,,,,,,,,,,85.9289,86.1331,,,,,,43.6001,39.9293,39.9293,64.0698,59.0236,59.0236,45.1665,42.6637,42.6637,35.7733,34.4266,34.4266,415.2113,415.2174,,
416.5092,29.9072,,,,,,,,,,,,106.0661,104.135,,,,,,14.6053,16.9015,16.9015,20.3469,22.9504,22.9504,21.2932,22.6315,22.6315,22.8408,23.584,23.584,415.3577,415.3617,,
416.6616,29.9072,,,,,,,,,,,,101.2824,100.958,,,,,,12.7661,12.5503,12.5503,16.6417,16.4206,16.4206,19.0381,18.7603,18.7603,21.3403,21.08,21.08,415.5035,415.5011,,
416.814,29.9072,,,,,,,,,,,,93.3652,93.3466,,,,,,8.5883,8.9854,8.9854,11.4788,12.028,12.028,14.0956,14.6915,14.6915,17.1528,17.6966,17.6966,415.6482,415.6444,,
416.9664,29.9072,,,,,,,,,,,,77.6237,78.3406,,,,,,10.0466,10.1155,10.1155,15.3343,15.5453,15.5453,18.7765,18.8466,18.8466,21.8897,21.9036,21.9036,415.7938,415.7898,,
417.1188,29.9072,,,,,,,,,,,,75.8471,75.4392,,,,,,12.9358,12.8618,12.8618,23.5342,23.4559,23.4559,25.1007,25.0662,25.0662,26.842,26.7748,26.7748,415.9511,415.9516,,
417.2712,29.9072,,,,,,,,,,,,77.0865,76.3896,,,,,,13.4635,13.5312,13.5312,25.1924,26.0258,26.0258,27.6659,28.2043,28.2043,28.4422,28.8765,28.8765,416.0894,416.0833,,
417.4236,29.9072,,,,,,,,,,,,76.8801,77.0141,,,,,,12.563,12.6678,12.6678,27.3235,26.9702,26.9702,32.5711,31.9699,31.9699,32.3069,31.808,31.808,416.2462,416.2482,,
417.576,29.9072,,,,,,,,,,,,70.7859,72.0539,,,,,,14.1223,14.1211,14.1211,29.9816,29.7596,29.7596,31.8792,31.9116,31.9116,30.8967,30.8762,30.8762,416.3965,416.4007,,
417.7284,29.9072,,,,,,,,,,,,76.6235,76.0117,,,,,,13.6018,13.7466,13.7466,23.9216,25.5238,25.5238,32.8595,32.865,32.865,30.8598,30.9986,30.9986,416.5497,416.5532,,
417.8808,29.9072,,,,,,,,,,,,76.1903,76.3243,,,,,,13.5344,13.5307,13.5307,29.7825,30.1014,30.1014,35.329,35.4634,35.4634,33.2057,33.3333,33.3333,416.691,416.6897,,
418.0332,29.9072,,,,,,,,,,,,77.6888,78.0562,,,,,,13.6745,13.6715,13.6715,31.9877,31.9163,31.9163,35.1888,35.2619,35.2619,33.8898,33.9064,33.9064,416.8412,416.8423,,
418.1856,29.9072,,,,,,,,,,,,88.6433,85.3996,,,,,,13.6353,13.6307,13.6307,30.7437,30.6212,30.6212,36.1155,35.8128,35.8128,34.0541,33.9345,33.9345,416.9893,416.9885,,
418.338,29.9072,,,,,,,,,,,,73.5537,73.6422,,,,,,12.473,12.5234,12.5234,24.5825,25.116,25.116,29.6284,30.3086,30.3086,30.0092,30.4833,30.4833,417.1398,417.1406,,
418.4904,29.9072,,,,,,,,,,,,75.8578,75.6169,,,,,,11.2153,11.6946,11.6946,23.0214,24.6636,24.6636,30.0469,31.6331,31.6331,31.6598,32.3942,32.3942,417.2822,417.2845,,
418.6428,29.9072,,,,,,,,,,,,74.5281,74.2662,,,,,,17.6968,17.3326,17.3326,49.4144,47.6314,47.6314,53.1047,51.1821,51.1821,44.9393,43.8236,43.8236,417.4361,417.438,,
418.7952,29.9072,,,,,,,,,,,,70.0644,71.2664,,,,,,17.8545,17.9413,17.9413,43.3611,44.1863,44.1863,42.5225,43.6147,43.6147,37.952,38.7306,38.7306,417.5799,417.5824,,
418.9476,29.9072,,,,,,,,,,,,78.5226,78.0679,,,,,,18.2224,18.5226,18.5226,36.8597,37.6543,37.6543,41.2261,41.5617,41.5617,37.9096,37.9709,37.9709,417.735,417.735,,
