DEPTH,BS:1,BS:2,BS:3,DNPH:1,DNPH:2,DNPH:3,DT:1,DT:2,DT:3,ECGR,EHGR:1,EHGR:2,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HDRA:3,HMIN:1,HMIN:2,HMIN:3,HMNO:1,HMNO:2,HMNO:3,HTEM:1,HTEM:2,HTEM:3,HTNP:1,HTNP:2,PEF8:1,PEF8:2,PEFZ,RHO8:1,RHO8:2,RHOZ,RLA1:1,RLA1:2,RLA1:3,RLA2:1,RLA2:2,RLA2:3,RLA3:1,RLA3:2,RLA3:3,RLA4:1,RLA4:2,RLA4:3,RLA5:1,RLA5:2,RLA5:3,RT_HRLT:1,RT_HRLT:2,RT_HRLT:3,RXO8:1,RXO8:2,RXOZ,SP:1,SP:2,SP:3,TENS:1,TENS:2,TENS:3,TNPH
1797.8628,8.5,,8.5,-0.0046319,,-0.0041133,97.415,,97.306,120.2448,118.3492,,10.9453,,10.9492,0.038587,,0.0387,1.3499,,1.3301,1.5216,,1.5073,51.3421,,51.3421,0.3041,,3.443,,3.4966,2.4452,,2.4412,5.0657,,5.0543,4.9913,,4.9846,5.0076,,4.9921,5.0172,,5.0059,4.9949,,4.9868,5.1559,,5.1001,3.3034,,3.387,-34.4958,,-34.5277,1758.7227,,1756.9159,0.3063
1798.0152,8.5,,8.5,-0.0038597,,-0.0052751,97.3248,,97.2485,121.1025,120.8142,,10.5955,,11.0894,0.029318,,0.0296,1.635,,1.636,1.7964,,1.7918,51.3421,,51.3421,0.304073,,3.4585,,3.4831,2.4458,,2.4354,5.1832,,5.1758,5.0669,,5.0561,5.0862,,5.0758,5.1019,,5.0975,5.0752,,5.0773,5.274,,5.303,3.6731,,3.5532,-34.6193,,-34.5813,1765.8826,,1761.4398,0.2986
1798.1676,8.5,,8.5,-0.0001595,,0.0004185,97.4421,,97.4996,119.843,120.5495,,10.1028,,10.2657,0.02816,,0.0276,1.7938,,1.9166,1.9297,,2.0408,51.3421,,51.3421,0.306824,,3.4931,,3.4888,2.4508,,2.4298,5.1649,,5.1653,5.0287,,5.0271,5.0489,,5.0493,5.0658,,5.0695,5.0416,,5.0466,5.2606,,5.2857,3.7479,,3.599,-34.8017,,-34.8169,1784.5983,,1786.391,0.3053
1798.32,8.5,,8.5,0.0018271,,0.0020858,97.5118,,97.4842,119.0405,118.8521,,9.9728,,10.0218,0.035716,,0.0353,1.6401,,1.7153,1.7464,,1.8087,51.3421,,51.3421,0.303925,,3.5192,,3.5122,2.4341,,2.433,5.0903,,5.0871,4.9642,,4.9595,4.9925,,4.9945,5.0166,,5.0175,5.0017,,5.0023,5.0737,,5.233,3.3192,,3.3886,-34.9158,,-34.9259,1782.5264,,1788.0688,0.3064
1798.4724,8.5,,8.5,0.0025272,,0.0024115,97.6248,,97.6238,119.6428,119.2145,,9.8887,,9.9469,0.042913,,0.0433,1.4989,,1.5172,1.6107,,1.6248,51.3421,,51.3421,0.298638,,3.5464,,3.5409,2.4269,,2.4426,5.0031,,5.008,4.9523,,4.9666,4.9969,,5.0181,5.0342,,5.0602,5.0292,,5.0567,5.0666,,5.1578,3.1407,,3.2637,-34.7785,,-34.833,1778.7719,,1772.6556,0.3015
1798.6248,8.5,,8.5,0.0030512,,0.0031142,97.6238,,97.6655,117.8396,117.4681,,9.8598,,9.8412,0.039746,,0.0398,1.639,,1.6133,1.7893,,1.7653,51.3421,,51.3421,0.300355,,3.5521,,3.5592,2.4444,,2.446,4.9783,,4.9858,4.987,,4.9952,5.0412,,5.0497,5.0875,,5.099,5.0866,,5.1003,5.1881,,5.2171,3.6142,,3.5667,-34.3659,,-34.3866,1792.5076,,1792.7815,0.2993
1798.7772,8.5,,8.5,0.0034119,,0.0033929,97.471,,97.4714,116.5939,114.4759,,9.8326,,9.8246,0.029235,,0.029,1.8449,,1.8722,2.0421,,2.0753,51.3421,,51.3421,0.305108,,3.5369,,3.5629,2.4541,,2.439,5.0682,,5.0495,5.0909,,5.0664,5.1485,,5.1241,5.2022,,5.1788,5.2069,,5.1834,5.2744,,5.2736,4.2685,,4.0548,-34.1258,,-34.0376,1815.6188,,1813.8599,0.3034
1798.9296,8.5,,8.5,0.0036671,,0.0036885,97.448,,97.3945,115.2554,115.7567,,9.8227,,9.81,0.025436,,0.0245,1.7175,,1.8122,1.9545,,2.0434,51.3421,,51.3421,0.313085,,3.5775,,3.5504,2.4525,,2.4279,5.0671,,5.1161,5.0967,,5.1538,5.1627,,5.2242,5.2209,,5.2826,5.2344,,5.3013,5.2881,,5.3932,4.4116,,4.2097,-34.1535,,-34.1687,1813.4524,,1822.4691,0.3084
1799.082,8.5,,8.5,0.0035508,,0.0035885,97.3736,,97.4492,115.9391,115.4205,,9.8422,,9.8629,0.033339,,0.0329,1.4739,,1.4785,1.6847,,1.6905,51.3421,,51.3421,0.316879,,3.5855,,3.5249,2.4333,,2.422,4.9863,,4.9873,5.0278,,5.0324,5.0946,,5.0899,5.1516,,5.1444,5.1724,,5.1639,5.3015,,5.3051,3.8406,,3.7983,-34.226,,-34.2223,1781.6169,,1781.4063,0.3166
1799.2344,8.5,,8.5,0.0023677,,0.0025911,97.2005,,97.1641,118.8724,119.9727,,10.084,,10.0027,0.045347,,0.0456,1.3745,,1.3939,1.5326,,1.5385,51.3421,,51.3421,0.314989,,3.5236,,3.4916,2.402,,2.4181,4.9677,,4.9774,5.0056,,5.0128,5.0606,,5.0616,5.1117,,5.1127,5.133,,5.1315,5.3131,,5.3269,3.2597,,3.3362,-34.3211,,-34.3125,1784.5898,,1772.2585,0.3158
1799.3868,8.5,,8.5,0.0002092,,0.0002487,97.2738,,97.2241,120.6309,124.4016,,10.4821,,10.3228,0.052416,,0.0525,1.3059,,1.2929,1.4583,,1.4484,51.3421,,51.3421,0.304923,,3.4389,,3.4665,2.3912,,2.4167,5.027,,5.0271,5.0548,,5.0525,5.0997,,5.0919,5.1457,,5.1404,5.1666,,5.1614,5.3373,,5.3524,3.0862,,3.1477,-34.3635,,-34.391,1828.0797,,1829.751,0.3109
