DEPTH,BS:1,BS:2,BS:3,DNPH:1,DNPH:2,DNPH:3,DT:1,DT:2,DT:3,ECGR:1,ECGR:2,ECGR:3,HART:1,HART:2,HART:3,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HDRA:3,HLLD,HLLS,HMIN:1,HMIN:2,HMIN:3,HMNO:1,HMNO:2,HMNO:3,HRLD:1,HRLD:2,HRLS:1,HRLS:2,HTEM:1,HTEM:2,HTEM:3,HTNP:1,HTNP:2,PEF8:1,PEF8:2,PEFZ,RHO8:1,RHO8:2,RHOZ,RXO8:1,RXO8:2,RXOZ,SP:1,SP:2,SP:3,TENS:1,TENS:2,TENS:3,TNPH
188.214,,,8.5,,,-0.0077995,,,86.9561,,,48.1634,,,3.0299,,,3.6695,,,0.2162,0.0417,0.0063,,,0.1089,,,0.0753,,,,,,,27.2952,,,,,9.6785,,,2.1513,,,0.0793,,,46.5003,,,676.2979,0.626077
188.3664,,,8.5,,,-0.0074011,,,76.6297,,,49.0112,,,2.5399,,,3.6929,,,0.2136,0.0393,0.0055,,,0.1089,,,0.0754,,,,,,,27.2952,,,,,9.6104,,,2.1388,,,0.0794,,,47.248,,,669.5202,0.538032
188.5188,,,8.5,,,-0.0071008,,,76.1442,,,48.9938,,,3.2028,,,3.693,,,0.2086,0.0397,0.0031,,,0.1088,,,0.0754,,,,,,,27.2952,,,,,9.5494,,,2.1348,,,0.0796,,,46.128,,,669.5023,0.493018
188.6712,,,8.5,,,-0.006701,,,83.9191,,,48.5635,,,5.2147,,,3.693,,,0.2053,0.0399,0.0002,,,0.1099,,,0.0759,,,,,,,27.2952,,,,,9.4894,,,2.1344,,,0.0799,,,47.6834,,,674.9312,0.417498
188.8236,,,8.5,,,-0.0067997,,,83.9132,,,48.3193,,,3.4878,,,3.693,,,0.2008,0.0425,0.0071,,,0.1093,,,0.0759,,,,,,,27.2952,,,,,9.4615,,,2.1259,,,0.0802,,,47.6875,,,671.3262,0.433158
188.976,,,8.5,,,-0.0069995,,,83.8249,,,46.1571,,,3.0834,,,3.6695,,,0.2001,0.0424,0.0086,,,0.1092,,,0.076,,,,,,,27.2952,,,,,9.4339,,,2.1223,,,0.0805,,,48.8719,,,671.3167,0.477284
189.1284,,,8.5,,,-0.0073989,,,83.3808,,,48.6649,,,3.7817,,,3.6694,,,0.1997,0.0407,0.0048,,,0.1103,,,0.0766,,,,,,,27.2952,,,,,9.3839,,,2.1201,,,0.0809,,,49.3114,,,673.1263,0.542828
189.2808,,,8.5,,,-0.0074,,,83.3074,,,50.3922,,,2.6972,,,3.6694,,,0.2022,0.041,0.0079,,,0.1104,,,0.0767,,,,,,,27.2952,,,,,9.3227,,,2.1214,,,0.081,,,50.1852,,,673.1311,0.552774
189.4332,,,8.5,,,-0.0071008,,,83.6307,,,50.2055,,,2.8913,,,3.6694,,,0.2106,0.0404,0.0062,,,0.1103,,,0.0767,,,,,,,27.2952,,,,,9.2659,,,2.126,,,0.0811,,,50.4992,,,670.8691,0.498144
189.5856,,,8.5,,,-0.0073992,,,83.9615,,,50.2658,,,6.6006,,,3.6929,,,0.2196,0.0434,0.0065,,,0.1109,,,0.077,,,,,,,27.2952,,,,,9.2594,,,2.1278,,,0.0814,,,50.9364,,,675.3871,0.54757
189.738,,,8.5,,,-0.0074,,,84.1707,,,48.1021,,,3.6567,,,3.6695,,,0.2257,0.0415,0.0056,,,0.1115,,,0.0774,,,,,,,27.2952,,,,,9.2209,,,2.1339,,,0.0817,,,50.3765,,,673.5894,0.541616
189.8904,,,8.5,,,-0.0074997,,,84.0892,,,55.0308,,,3.148,,,3.6929,,,0.2262,0.0411,0.0063,,,0.112,,,0.0777,,,,,,,27.2952,,,,,9.1707,,,2.1304,,,0.0819,,,50.562,,,674.037,0.569227
190.0428,,,8.5,,,-0.0070013,,,84.3024,,,52.58,,,3.2506,,,3.693,,,0.2287,0.0407,0.0054,,,0.1112,,,0.0774,,,,,,,27.2952,,,,,9.1239,,,2.1283,,,0.0819,,,51.5599,,,673.1335,0.475347
190.1952,,,8.5,,,-0.0069003,,,84.2654,,,51.4593,,,3.3082,,,3.6695,,,0.2321,0.0425,0.0083,,,0.1113,,,0.0773,,,,,,,27.2952,,,,,9.1094,,,2.1284,,,0.0817,,,49.8171,,,682.1791,0.465525
190.3476,,,8.5,,,-0.0071992,,,84.3032,,,47.8677,,,2.6284,,,3.6812,,,0.2339,0.0421,0.0111,,,0.111,,,0.0772,,,,,,,27.2952,,,,,9.1101,,,2.1383,,,0.0816,,,49.1891,,,665.9164,0.503799
190.5,,,8.5,,,-0.0079979,,,84.4751,,,48.3138,,,5.6376,,,3.693,,,0.2283,0.0432,0.0065,,,0.1105,,,0.077,,,,,,,27.2952,,,,,9.0882,,,2.1471,,,0.0817,,,49.6862,,,670.85,0.685323
190.6524,,,8.5,,,-0.0079003,,,83.8949,,,49.0187,,,3.663,,,3.693,,,0.2192,0.0405,0.0052,,,0.1107,,,0.0772,,,,,,,27.2952,,,,,9.0603,,,2.1502,,,0.0819,,,49.1888,,,674.0299,0.669842
190.8048,,,8.5,,,-0.0077005,,,84.4171,,,47.0215,,,4.3341,,,3.6695,,,0.2091,0.0405,0.0023,,,0.1111,,,0.0775,,,,,,,27.2952,,,,,9.0264,,,2.1495,,,0.0822,,,47.6914,,,671.3239,0.610456
190.9572,,,8.5,,,-0.0071016,,,84.5788,,,51.0495,,,3.0719,,,3.6929,,,0.2058,0.0406,0.0047,,,0.1116,,,0.0778,,,,,,,27.2952,,,,,9.016,,,2.1475,,,0.082,,,48.5602,,,668.6023,0.50408
191.1096,,,8.5,,,-0.0071997,,,84.5784,,,51.3815,,,3.1716,,,3.6695,,,0.2097,0.0424,0.0077,,,0.1122,,,0.0774,,,,,,,27.2952,,,,,9.0688,,,2.1458,,,0.081,,,48.5002,,,669.4999,0.510083
191.262,,,8.5,,,-0.0072997,,,84.4049,,,52.7842,,,3.066,,,3.6929,,,0.2175,0.041,0.0068,,,0.1098,,,0.0758,,,,,,,27.2952,,,,,9.1603,,,2.1483,,,0.0798,,,48.2507,,,668.5975,0.537727
191.4144,,,8.5,,,-0.0072003,,,77.1235,,,50.8736,,,4.6266,,,3.693,,,0.2245,0.0393,0.0007,,,0.1097,,,0.0756,,,,,,,27.2952,,,,,9.2502,,,2.1591,,,0.0792,,,49.3097,,,667.6904,0.511669
191.5668,,,8.5,,,-0.0072,,,77.1891,,,48.5799,,,6.1589,,,3.693,,,0.2294,0.0398,0.0016,,,0.1094,,,0.0754,,,,,,,27.2952,,,,,9.3025,,,2.1731,,,0.079,,,49.5618,,,670.8547,0.511301
191.7192,,,8.5,,,-0.0072,,,63.5773,,,52.4419,,,3.0923,,,3.6812,,,0.2294,0.0403,0.0041,,,0.1086,,,0.075,,,,,,,27.2952,,,,,9.3528,,,2.1726,,,0.0788,,,49.2508,,,667.6964,0.513793
191.8716,,,8.5,,,-0.0072,,,71.5013,,,52.4838,,,3.1081,,,3.693,,,0.2278,0.0406,0.0065,,,0.109,,,0.0751,,,,,,,27.2952,,,,,9.3809,,,2.17,,,0.0787,,,49.811,,,668.1403,0.524173
192.024,,,8.5,,,-0.007599,,,71.6125,,,55.6655,,,3.6065,,,3.693,,,0.225,0.042,0.0059,,,0.1084,,,0.0749,,,,,,,27.2952,,,,,9.3846,,,2.172,,,0.0787,,,49.9995,,,672.2131,0.60399
192.1764,,,8.5,,,-0.0073008,,,71.4994,,,50.878,,,2.7657,,,3.693,,,0.227,0.0393,0.0053,,,0.1085,,,0.0749,,,,,,,27.2952,,,,,9.3623,,,2.1919,,,0.0787,,,48.8156,,,665.8903,0.534184
192.3288,,,8.5,,,-0.0070008,,,71.4542,,,50.674,,,4.7123,,,3.693,,,0.2264,0.0396,0.0011,,,0.1081,,,0.0748,,,,,,,27.2952,,,,,9.3481,,,2.2059,,,0.0788,,,48.3138,,,673.1121,0.484829
192.4812,,,8.5,,,-0.0069003,,,71.7638,,,47.6593,,,5.1267,,,3.693,,,0.2234,0.0399,0.0012,,,0.1085,,,0.0751,,,,,,,27.2952,,,,,9.3335,,,2.2075,,,0.079,,,47.5645,,,672.2263,0.460863
192.6336,,,8.5,,,-0.0069,,,71.4364,,,50.5289,,,3.2992,,,3.693,,,0.221,0.0398,0.0057,,,0.1091,,,0.0754,,,,,,,27.2952,,,,,9.2997,,,2.1999,,,0.0793,,,47.2508,,,669.9619,0.46479
192.786,,,8.5,,,-0.0069,,,71.3879,,,49.3357,,,3.3055,,,3.693,,,0.222,0.0418,0.0077,,,0.1083,,,0.0752,,,,,,,27.2952,,,,,9.2544,,,2.1961,,,0.0795,,,46.7513,,,673.5751,0.472081
192.9384,,,8.5,,,-0.0069997,,,71.32,,,48.5468,,,3.5635,,,3.693,,,0.2282,0.0423,0.0071,,,0.1088,,,0.0756,,,,,,,27.5741,,,,,9.2004,,,2.2059,,,0.0798,,,47.2487,,,668.6083,0.472698
193.0908,,,8.5,,,-0.0069003,,,71.5953,,,48.6069,,,4.2448,,,3.693,,,0.2302,0.0392,0.0019,,,0.1095,,,0.0759,,,,,,,27.5748,,,,,9.1648,,,2.2111,,,0.0802,,,45.2552,,,674.9288,0.465519
