DEPTH,BS:1,BS:2,DNPH:1,DNPH:2,DSO8,DSOZ,DT:1,DT:2,ECGR:1,ECGR:2,HART:1,HART:2,HDRA:1,HDRA:2,HLLD,HLLS,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HRLD,HRLS,HTEM:1,HTEM:2,HTNP,PEF8,PEFZ,RHO8,RHOZ,RXO8,RXOZ,SP:1,SP:2,TENS:1,TENS:2,TNPH
1774.5456,8.5,8.5,0.009836,0.0113646,0.029,0.030484,87.5161,87.536,119.7612,122.357,6.1364,6.0998,0.0046,0.011092,5.5197,5.8661,3.3654,4.4407,3.124,3.9531,6.0523,6.3083,47.1479,48.2664,0.280755,3.2483,3.1843,2.4739,2.488,5.1268,5.4323,-453.8875,-441.5087,1773.9775,1770.1686,0.339562
1774.698,8.5,8.5,0.0095348,0.013117,0.0249,0.042806,87.5609,87.5746,120.0127,119.8233,6.0313,5.9372,0.0072,0.01448,5.3951,5.7683,2.1091,1.6072,2.2716,1.8979,5.9335,6.2235,47.1479,48.2664,0.276529,3.2446,3.2151,2.4738,2.4885,5.2261,5.5048,-454.1644,-442.0611,1758.9983,1741.1073,0.320062
1774.8504,8.5,8.5,0.009402,0.0115484,0.0194,0.034954,87.7483,87.612,119.096,122.5415,5.8673,5.9226,0.0081,0.012733,5.3761,5.7468,2.1323,2.4017,2.3156,2.5267,5.7447,6.0769,47.1479,48.2664,0.277972,3.1766,3.1944,2.482,2.485,5.4996,5.3781,-454.472,-442.5553,1730.7021,1723.8416,0.30288
1775.0028,8.5,8.5,0.0098355,0.0118954,0.0192,0.025028,87.9525,88.039,119.0591,126.9032,5.8475,5.9383,0.0121,0.008264,5.371,5.7706,1.7802,1.8564,2.0366,2.134,5.7506,6.1117,47.1479,48.2664,0.280721,3.123,3.1904,2.4933,2.4753,5.1897,5.4835,-454.5111,-442.7414,1740.9943,1806.799,0.305688
1775.1552,8.5,8.5,0.0099578,0.0120769,0.0746,0.029172,88.0041,87.9361,118.6353,124.4472,5.8837,5.9693,0.0288,0.010643,5.3757,5.7959,2.6864,2.5857,2.6971,2.612,5.7995,6.1836,47.1479,48.2664,0.288882,3.2235,3.2207,2.5133,2.4705,5.4167,5.3944,-454.3382,-442.5639,1782.9784,1821.9834,0.312413
1775.3076,8.5,8.5,0.0096124,0.0113277,0.1681,0.057353,88.249,88.283,119.6065,122.4047,5.9666,6.0222,0.0477,0.019238,5.4198,5.8298,3.2334,1.8639,3.0864,2.0862,5.8413,6.2168,47.1479,48.2664,0.282712,3.4167,3.2955,2.504,2.4793,5.5226,4.8875,-454.2261,-442.4303,1780.1506,1794.3658,0.311588
1775.46,8.5,8.5,0.0097126,0.0116908,0.1187,0.088132,88.6026,88.1873,122.4255,122.3605,5.8931,5.9226,0.0566,0.033608,5.359,5.7833,1.7873,1.2002,2.0189,1.4666,5.79,6.161,47.1479,48.2664,0.279101,3.3278,3.3736,2.4933,2.4948,5.0464,5.1528,-454.2504,-442.0087,1758.5391,1782.0531,0.313457
1775.6124,8.5,8.5,0.0102919,0.0117115,0.0937,0.111758,89.0098,88.639,123.9161,126.8449,5.8483,5.9553,0.0448,0.044309,5.2719,5.6759,1.553,3.3883,1.8367,3.2257,5.7273,6.0819,47.1479,48.2664,0.28303,3.362,3.4389,2.5239,2.5084,5.0147,4.7286,-454.2607,-441.9375,1750.0573,1747.663,0.285523
1775.7648,8.5,8.5,0.0104505,0.01217,0.0618,0.124926,89.2386,89.3434,124.1767,123.2396,5.7565,5.5486,0.0242,0.055079,5.2276,5.6153,2.1672,1.584,2.299,1.8182,5.6335,5.9851,47.1479,48.2664,0.293966,3.3384,3.4775,2.5115,2.5171,5.4523,4.8279,-454.1248,-441.8692,1758.5975,1748.6964,0.290503
1775.9172,8.5,8.5,0.0100744,0.0114231,0.0009,0.125838,89.1404,88.7805,120.6662,121.1964,5.5699,5.64,0.0089,0.056407,5.1346,5.5317,4.2353,1.2943,3.8537,1.5894,5.4698,5.8379,47.1479,48.2664,0.298776,3.3118,3.4585,2.5034,2.5292,6.0162,4.4367,-454.0025,-441.5668,1746.1302,1737.6973,0.280583
