DEPT,CALI,BS,GR,SP,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
115.672,3.789,8.5,45.751,-223.512,0.558,0.271,0.017,0.016,0.014,0.011,0.005,0.005,60.518,0.251,7.373,2.173,0.759,0.053,1293.5
115.824,3.789,8.5,49.216,-223.813,0.591,0.279,0.082,0.066,0.06,0.053,0.039,0.039,60.549,0.255,7.481,2.217,0.666,0.053,1297.4
115.976,3.789,8.5,50.603,-224.55,0.554,0.266,0.04,0.034,0.03,0.027,0.019,0.019,60.47,0.257,7.589,2.185,0.501,0.053,1313.5
116.129,3.766,8.5,40.189,-225.325,0.54,0.278,0.02,0.017,0.015,0.013,0.007,0.007,61.25,0.253,7.619,2.2,0.559,0.053,1303.0
116.281,3.789,8.5,50.604,-225.76,0.523,0.277,0.009,0.006,0.005,0.004,0.0,0.0,61.134,0.246,7.702,2.187,0.573,0.052,1305.0
116.434,3.789,8.5,42.285,-225.229,0.506,0.279,0.017,0.014,0.012,0.01,0.004,0.004,61.202,0.242,7.687,2.197,0.557,0.051,1291.6
116.586,3.789,8.5,46.443,-224.725,0.511,0.284,0.021,0.018,0.015,0.013,0.007,0.007,66.932,0.242,7.637,2.213,0.552,0.052,1313.333
116.738,3.766,8.5,45.733,-224.425,0.507,0.291,0.002,0.002,0.002,0.001,100000.0,100000.0,66.898,0.244,7.721,2.204,0.611,0.052,1287.0
116.891,3.766,8.5,43.653,-223.938,0.478,0.283,0.019,0.017,0.015,0.013,0.007,0.007,66.858,0.236,7.607,2.165,0.698,0.051,1293.333
117.043,3.766,8.5,41.576,-223.5,0.472,0.283,0.021,0.018,0.016,0.014,0.007,0.007,66.851,0.221,7.775,2.188,0.771,0.052,1309.0
117.196,3.766,8.5,34.646,-222.875,0.466,0.285,0.021,0.018,0.016,0.014,0.007,0.007,61.181,0.21,7.824,2.161,0.737,0.052,1305.833
117.348,3.789,8.5,39.512,-221.8,0.447,0.289,0.047,0.038,0.033,0.029,0.02,0.02,66.821,0.211,7.765,2.149,0.877,0.052,1294.8
117.5,3.766,8.5,38.111,-221.031,0.481,0.284,0.015,0.013,0.011,0.01,0.004,0.004,66.805,0.216,7.884,2.166,0.71,0.052,1298.667
117.653,3.789,8.5,56.149,-220.65,0.495,0.284,0.023,0.019,0.017,0.015,0.008,0.008,66.758,0.22,7.891,2.182,0.655,0.051,1302.6
117.805,3.789,8.5,38.819,-220.604,0.483,0.285,0.067,0.056,0.05,0.045,0.034,0.034,67.261,0.216,8.113,2.17,0.749,0.051,1296.833
117.958,3.789,8.5,38.819,-221.288,0.468,0.284,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,67.317,0.213,7.864,2.163,0.999,0.051,1298.0
118.11,3.766,8.5,31.182,-222.219,0.463,0.283,0.005,0.007,0.006,0.005,0.001,0.001,67.417,0.212,8.02,2.186,0.845,0.051,1295.833
118.262,3.789,8.5,35.353,-222.875,0.468,0.289,0.067,0.055,0.047,0.043,0.034,0.034,67.349,0.218,7.98,2.176,0.595,0.051,1288.2
118.415,3.789,8.5,31.194,-223.031,0.444,0.291,0.025,0.024,0.021,0.018,0.012,0.012,67.354,0.216,7.794,2.162,0.537,0.051,1297.5
118.567,3.789,8.5,40.898,-223.087,0.463,0.284,0.012,0.01,0.009,0.008,0.002,0.002,67.483,0.21,7.887,2.181,0.638,0.051,1289.8
118.72,3.789,8.5,32.58,-222.875,0.451,0.284,0.021,0.018,0.015,0.013,0.007,0.007,67.412,0.201,7.761,2.163,0.65,0.051,1302.167
118.872,3.766,8.5,39.496,-222.212,0.477,0.289,0.019,0.016,0.014,0.012,0.006,0.006,67.547,0.197,7.778,2.167,0.575,0.05,1290.0
119.024,3.766,8.5,38.111,-221.875,0.447,0.292,0.016,0.013,0.012,0.01,0.005,0.005,67.416,0.199,7.892,2.161,0.599,0.051,1297.5
119.177,3.766,8.5,45.733,-221.813,0.464,0.282,0.028,0.025,0.022,0.019,0.013,0.013,67.477,0.205,8.061,2.168,0.568,0.05,1306.0
119.329,3.789,8.5,45.75,-221.854,0.493,0.275,0.017,0.015,0.013,0.011,0.005,0.005,67.879,0.206,7.878,2.185,0.535,0.05,1297.667
119.482,3.766,8.5,40.189,-222.075,0.487,0.29,0.02,0.017,0.015,0.013,0.006,0.006,67.753,0.202,7.949,2.198,0.499,0.051,1304.2
119.634,3.766,8.5,38.111,-222.104,0.476,0.289,0.019,0.016,0.014,0.012,0.006,0.006,68.039,0.2,8.001,2.188,0.584,0.051,1300.833
119.786,3.766,8.5,46.426,-222.413,0.472,0.284,0.021,0.017,0.015,0.013,0.007,0.007,67.982,0.209,8.294,2.196,0.644,0.05,1296.2
119.939,3.789,8.5,36.739,-222.844,0.527,0.288,0.021,0.017,0.015,0.013,0.007,0.007,68.012,0.222,8.326,2.262,0.54,0.05,1305.0
120.091,3.789,8.5,49.217,-223.337,0.489,0.284,0.021,0.017,0.015,0.013,0.007,0.007,68.271,0.223,8.273,2.24,0.461,0.05,1301.8
120.244,3.789,8.5,45.058,-223.667,0.452,0.288,0.019,0.016,0.014,0.012,0.006,0.006,68.376,0.218,8.251,2.216,0.46,0.05,1310.333
120.396,3.766,8.5,41.575,-223.2,0.438,0.285,0.02,0.017,0.015,0.013,0.007,0.007,67.94,0.21,8.158,2.199,0.504,0.05,1298.8
120.548,3.789,8.5,45.751,-223.094,0.454,0.286,0.019,0.016,0.014,0.012,0.006,0.006,67.96,0.208,8.154,2.234,0.53,0.05,1306.6
120.701,3.766,8.5,47.118,-223.175,0.469,0.285,0.019,0.016,0.014,0.012,0.006,0.006,67.926,0.208,8.224,2.222,0.566,0.05,1304.333
120.853,3.766,8.5,40.19,-223.052,0.467,0.286,0.019,0.016,0.014,0.012,0.006,0.006,68.497,0.212,8.253,2.25,0.597,0.049,1312.8
121.006,3.789,8.5,54.762,-222.188,0.461,0.283,0.019,0.016,0.014,0.012,0.006,0.006,68.343,0.211,8.434,2.232,0.744,0.049,1297.833
121.158,3.766,8.5,36.032,-221.104,0.46,0.28,0.02,0.017,0.015,0.013,0.006,0.006,76.521,0.206,8.254,2.205,1.001,0.049,1308.6
121.31,3.766,8.5,29.796,-220.288,0.433,0.29,0.021,0.018,0.016,0.013,0.007,0.007,77.159,0.201,8.362,2.184,0.848,0.05,1301.167
