DEPTH,BS:1,BS:2,BS:3,BS:4,DNPH:1,DNPH:2,DNPH:3,DNPH:4,DPHZ:1,DPHZ:2,DPHZ:3,DPHZ:4,DT:1,DT:2,DT:3,DT:4,ECGR:1,ECGR:2,ECGR:3,EHGR:1,EHGR:2,EHGR:3,EHGR:4,HART:1,HART:2,HART:3,HART:4,HCAL:1,HCAL:2,HCAL:3,HCAL:4,HDRA:1,HDRA:2,HDRA:3,HDRA:4,HLLD:1,HLLD:2,HLLD:3,HLLS:1,HLLS:2,HLLS:3,HRLD,HRLS,HTEM:1,HTEM:2,HTEM:3,HTEM:4,HTNP,NPHI:1,NPHI:2,NPHI:3,PEF8,PEFZ:1,PEFZ:2,RHO8,RHOZ:1,RHOZ:2,RHOZ:3,RXO8,RXOZ:1,RXOZ:2,RXOZ:3,SP:1,SP:2,SP:3,SP:4,TENS:1,TENS:2,TENS:3,TENS:4
853.2876,6.125,,,,0.0265688,,,,0.214,,,,104.9878,,,,90.033,,,88.4061,,,,22.6859,,,,5.9014,,,,0.05,,,,18.1784,,,13.9751,,,,,35.2387,,,,,0.313029,,,,,,,2.344,,,,5.0603,,,85.1367,,,,965.9155,,,
853.44,6.125,,,,0.0268417,,,,0.2197,,,,106.5674,,,,90.5527,,,95.9001,,,,25.9789,,,,5.9014,,,,0.0442,,,,19.6677,,,15.0262,,,,,35.2387,,,,,0.327771,,,,,,,2.3343,,,,5.0812,,,83.625,,,,967.5785,,,
853.5924,6.125,,,,0.0273271,,,,0.2378,,,,108.7959,,,,90.4007,,,87.5888,,,,30.0651,,,,5.8965,,,,0.0381,,,,21.6057,,,16.242,,,,,35.2387,,,,,0.322814,,,,,,,2.3034,,,,4.4341,,,81.9635,,,,986.4597,,,
853.7448,6.125,,,,0.0274042,,,,0.261,,,,110.7962,,,,87.3463,,,83.2179,,,,28.0878,,,,5.8569,,,,0.0394,,,,20.4826,,,15.2898,,,,,35.2387,,,,,0.3396,,,,,,,2.2636,,,,3.5005,,,80.4414,,,,976.783,,,
853.8972,6.125,,,,0.028075,,,,0.2777,,,,111.3725,,,,84.9399,,,86.7168,,,,21.3322,,,,5.831,,,,0.046,,,,17.3788,,,13.018,,,,,35.2387,,,,,0.341583,,,,,,,2.235,,,,2.9024,,,78.5651,,,,945.4752,,,
854.0496,6.125,,,,0.0278896,,,,0.2725,,,,110.2181,,,,84.6408,,,79.6078,,,,19.0507,,,,5.8051,,,,0.0562,,,,15.388,,,11.6784,,,,,35.2387,,,,,0.343511,,,,,,,2.244,,,,2.7609,,,77.1315,,,,946.3449,,,
854.202,6.125,,,,0.0274896,,,,0.2512,,,,108.1975,,,,83.3577,,,83.2591,,,,21.449,,,,5.7704,,,,0.0587,,,,17.0292,,,12.9439,,,,,35.2387,,,,,0.331754,,,,,,,2.2805,,,,3.1657,,,75.7995,,,,947.4221,,,
854.3544,6.125,,,,0.0270417,,,,0.2284,,,,106.4185,,,,87.7459,,,81.1641,,,,27.5317,,,,5.8099,,,,0.0547,,,,19.1666,,,14.6199,,,,,35.2387,,,,,0.324167,,,,,,,2.3196,,,,3.8888,,,74.3945,,,,955.7097,,,
854.5068,6.125,,,,0.0268792,,,,0.2171,,,,105.2248,,,,87.7248,,,93.2828,,,,27.0143,,,,5.873,,,,0.0416,,,,19.9678,,,15.5459,,,,,35.2387,,,,,0.313942,,,,,,,2.3388,,,,4.714,,,73.1576,,,,956.3238,,,
854.6592,6.125,,,,0.0266,,,,0.2167,,,,105.2072,,,,89.3227,,,85.9608,,,,24.2501,,,,5.9014,,,,0.0304,,,,18.8888,,,15.0422,,,,,35.2387,,,,,0.298194,,,,,,,2.3394,,,,4.9247,,,72.2461,,,,967.2479,,,
854.8116,6.125,,,,0.0263729,,,,0.2161,,,,105.272,,,,88.5395,,,88.8501,,,,23.0345,,,,5.9224,,,,0.0282,,,,17.8894,,,14.4783,,,,,35.2387,,,,,0.29816,,,,,,,2.3406,,,,4.9731,,,71.8385,,,,978.8525,,,
854.964,6.125,,,,0.0267,,,,0.2147,,,,104.8867,,,,90.531,,,91.5981,,,,22.0297,,,,5.9272,,,,0.0352,,,,17.2984,,,14.2519,,,,,35.2387,,,,,0.306865,,,,,,,2.3428,,,,5.0091,,,71.6745,,,,974.4487,,,
855.1164,6.125,,,,0.0270688,,,,0.215,,,,104.1932,,,,92.5236,,,92.5492,,,,21.4056,,,,5.941,,,,0.0445,,,,17.1706,,,14.1509,,,,,35.2387,,,,,0.32139,,,,,,,2.3424,,,,5.0161,,,71.5026,,,,976.1497,,,
855.2688,6.125,,,,0.0271896,,,,0.2133,,,,103.5385,,,,95.0244,,,95.2818,,,,22.1113,,,,5.9014,,,,0.0472,,,,17.6424,,,14.3684,,,,,35.2387,,,,,0.324592,,,,,,,2.3451,,,,5.0546,,,71.8385,,,,983.5677,,,
855.4212,6.125,,,,0.0271688,,,,0.2096,,,,102.9817,,,,101.1749,,,99.5368,,,,23.3727,,,,5.8666,,,,0.0406,,,,18.313,,,14.8853,,,,,35.2387,,,,,0.321306,,,,,,,2.3516,,,,5.0974,,,72.4961,,,,996.6466,,,
855.5736,6.125,,,,0.0269208,,,,0.2081,,,,103.3651,,,,100.3352,,,108.2941,,,,23.5613,,,,5.937,,,,0.032,,,,18.4775,,,15.194,,,,,35.2387,,,,,0.320525,,,,,,,2.3541,,,,5.0874,,,73.6706,,,,987.0453,,,
855.726,6.125,,,,0.0267583,,,,0.2205,,,,101.6848,,,,100.1028,,,90.8268,,,,22.437,,,,6.0954,,,,0.0199,,,,18.0642,,,15.0129,,,,,35.2387,,,,,0.319204,,,,,,,2.333,,,,4.968,,,75.2109,,,,972.8421,,,
855.8784,6.125,,,,0.0261854,,,,0.2232,,,,94.8982,,,,91.2869,,,98.2877,,,,20.8291,,,,6.1336,,,,0.0209,,,,16.0005,,,13.5058,,,,,35.2387,,,,,0.301069,,,,,,,2.3283,,,,4.6866,,,76.5781,,,,971.4247,,,
856.0308,6.125,,,,0.0247729,,,,0.1995,,,,87.1388,,,,90.3592,,,82.7214,,,,18.9666,,,,6.1336,,,,0.0408,,,,17.1274,,,14.455,,,,,35.2387,,,,,0.263071,,,,,,,2.3689,,,,5.4343,,,78.526,,,,973.2014,,,
856.1832,6.125,,,,0.0239458,,,,0.1775,,,,86.8404,,,,82.6812,,,89.7589,,,,36.9102,,,,6.1052,,,,0.066,,,,24.3051,,,19.6193,,,,,35.2387,,,,,0.237471,,,,,,,2.4065,,,,5.8757,,,80.737,,,,971.4625,,,
856.3356,6.125,,,,0.0244146,,,,0.1938,,,,89.2807,,,,80.4752,,,75.5593,,,,47.0925,,,,6.0114,,,,0.0735,,,,30.4679,,,23.7696,,,,,35.2387,,,,,0.256866,,,,,,,2.3786,,,,4.8331,,,82.7839,,,,977.8318,,,
856.488,6.125,,,,0.0259104,,,,0.2391,,,,97.9483,,,,79.8878,,,76.9884,,,,29.3073,,,,5.8666,,,,0.0618,,,,25.7959,,,20.4988,,,,,35.2387,,,,,0.306473,,,,,,,2.3013,,,,3.1851,,,84.0013,,,,981.1675,,,
856.6404,6.125,,,,0.0274646,,,,0.2753,,,,110.1866,,,,78.2955,,,86.8497,,,,24.9711,,,,5.8124,,,,0.046,,,,21.55,,,17.2459,,,,,35.2387,,,,,0.334854,,,,,,,2.2392,,,,2.5492,,,84.0182,,,,983.823,,,
856.7928,6.125,,,,0.0279271,,,,0.2878,,,,112.0835,,,,77.7874,,,69.1144,,,,27.7196,,,,5.8148,,,,0.0324,,,,21.6048,,,17.151,,,,,35.2387,,,,,0.338367,,,,,,,2.218,,,,2.4676,,,82.5469,,,,980.8559,,,
856.9452,6.125,,,,0.0276896,,,,0.2914,,,,112.5436,,,,74.2849,,,74.7041,,,,29.8408,,,,5.873,,,,0.0185,,,,22.8801,,,18.0881,,,,,35.2387,,,,,0.32705,,,,,,,2.2117,,,,2.6066,,,80.3516,,,,962.0883,,,
