TVD,ROP,GR,T-TEMP
64.9224,21.1255,46.0129,21.8535
65.0748,21.0197,46.3418,21.8392
65.2272,20.8002,48.0192,21.8883
65.3796,20.5808,48.2921,21.8751
65.532,20.3606,50.4137,21.8618
65.6844,20.1381,50.5359,21.8486
65.8368,19.9156,49.0751,21.8834
65.9892,19.6931,48.6427,21.87
66.1416,19.723,47.5268,21.8565
66.294,19.7688,47.4499,21.8582
66.4464,19.8145,47.9183,21.8926
66.5988,19.8985,46.667,21.8783
66.7512,20.0021,43.7269,21.864
66.9036,20.1057,42.8658,21.9026
67.056,19.936,42.386,21.8981
67.2084,19.3203,42.6715,21.8937
67.3608,18.7046,46.4621,21.8972
67.5132,18.2184,47.7583,21.8963
67.6656,18.9073,45.0557,21.8874
67.818,19.5962,42.9812,21.8786
67.9704,20.2851,38.8286,21.9029
68.1228,20.5547,36.2559,21.8985
68.2752,20.7315,36.1525,21.894
68.4276,20.9083,36.7502,21.8896
68.58,20.557,36.7787,21.9083
68.7324,19.7523,37.0601,21.9126
68.8848,18.9476,37.5223,21.9168
69.0372,18.5218,36.7997,21.9332
69.1896,19.1894,37.4695,21.92
69.342,19.8569,38.201,21.9067
69.4944,20.5245,37.9332,21.8934
69.6468,20.1827,38.2386,21.9296
69.7992,19.8169,38.2997,21.9206
69.9516,19.4511,38.1052,21.9115
70.104,19.3124,38.3383,21.9497
70.2564,19.2728,39.0835,21.9403
70.4088,19.2332,39.3155,21.9308
70.5612,19.2923,38.7722,21.9214
70.7136,19.4905,39.2652,21.9532
70.866,19.6886,39.028,21.9364
71.0184,19.876,38.4381,21.9197
71.1708,19.9949,39.5087,21.9808
71.3232,20.1138,38.2245,21.9714
71.4756,20.2327,38.9451,21.962
71.628,19.271,40.3413,21.9527
71.7804,18.1248,40.4589,21.9459
71.9328,16.9787,41.8968,21.9365
72.0852,17.6842,41.4216,21.9271
72.2376,19.7661,39.9007,21.9486
72.39,21.848,38.8532,21.9487
72.5424,23.0673,38.8427,21.9447
72.6948,22.2047,38.9194,21.9406
72.8472,21.342,39.5831,21.9365
72.9996,20.49,40.2524,21.9283
73.152,20.49,40.9694,21.9182
73.3044,20.49,39.707,21.9082
73.4568,20.49,37.8611,21.9442
73.6092,20.5435,36.5526,21.9308
73.7616,20.6167,35.4328,21.9174
73.914,20.6898,34.5032,21.9118
74.0664,20.73,36.337,21.9159
74.2188,20.73,35.723,21.9115
74.3712,20.73,33.9579,21.9071
74.5236,20.6999,34.2008,21.9625
74.676,20.5231,33.8584,21.9494
74.8284,20.3463,33.8135,21.9362
74.9808,20.1695,34.524,21.9231
75.1332,20.2693,34.6956,21.9658
75.2856,20.4034,35.2953,21.9658
75.438,20.5376,35.4191,21.9658
75.5904,20.5027,36.3833,21.958
75.7428,20.3595,35.7647,21.9505
75.8952,20.2162,35.0242,21.9505
76.0476,20.137,35.4673,21.9505
76.2,20.1888,35.6345,21.981
76.3524,20.2407,37.1472,21.973
76.5048,20.2887,37.6731,21.9651
76.6572,20.2613,37.7738,21.9572
76.8096,20.2338,36.037,21.9959
76.962,20.2064,35.7526,21.9886
77.1144,20.3005,35.9385,21.9814
77.2668,20.4316,35.9194,21.9741
77.4192,20.5627,36.3866,21.9668
77.5716,20.5915,36.797,22.006
77.724,20.5122,36.6599,21.9985
77.8764,20.4329,37.2879,21.9911
78.0288,20.365,37.46,21.9836
78.1812,20.3406,36.5523,22.0087
78.3336,20.3162,36.5185,22.0019
78.486,20.2918,36.7348,21.995
78.6384,20.5269,37.7208,21.9881
78.7908,20.7829,39.6735,21.9813
