DEPT,HVOL,AVOL,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
877.0,0.140478,0.052796,37.324902,1516.113281,103.063225,0.369822,8.869378,0.078852,2.219903,2.798744,120.982578,17.855641,0.767928,28.045402,31.189265,33.478647,36.578156,42.89831,47.707504,67.560993,8.5
877.1,0.140107,0.052425,37.317331,1503.90625,101.526558,0.359635,8.851174,0.083214,2.221425,2.791928,120.997288,17.992477,0.770563,24.601378,27.373243,29.392631,32.127715,37.708344,41.957678,59.443071,8.5
877.2,0.140335,0.052653,37.274786,1516.113281,100.171589,0.355073,8.845966,0.087243,2.219506,2.778834,120.995121,18.007682,0.794029,22.903944,25.67251,27.70219,30.466975,36.159222,40.534817,58.213284,8.5
877.3,0.141264,0.053583,37.27392,1516.113281,100.031898,0.357614,8.865556,0.089925,2.219032,2.773459,120.708954,17.844998,0.813108,21.61393,24.527741,26.686083,29.653897,35.855206,40.696606,59.624126,8.5
877.4,0.14257,0.054889,37.277407,1499.023438,101.131111,0.364718,8.904502,0.089827,2.223365,2.786369,119.963905,17.443612,0.809588,21.290236,24.523307,26.947975,30.31982,37.4916,43.195518,64.536722,8.5
877.5,0.143793,0.056111,37.285456,1496.582031,103.250946,0.371367,8.94748,0.087015,2.234058,2.809404,118.765137,16.826327,0.782662,23.048454,26.975618,29.959773,34.159636,43.262531,50.6457,76.902351,8.5
877.6,0.144594,0.056912,37.300924,1494.140625,105.604244,0.373615,8.98092,0.083565,2.250939,2.833783,117.282047,16.029635,0.747407,25.601048,30.421952,34.131433,39.412167,51.066092,60.69696,93.270805,8.5
877.7,0.144797,0.057115,37.273653,1477.050781,107.497204,0.369995,8.997369,0.081167,2.270129,2.86271,115.788345,15.219259,0.733289,25.066856,30.208983,34.211487,39.969616,52.889727,63.751728,98.847008,8.5
877.8,0.144406,0.056725,37.254757,1474.609375,109.290813,0.360651,8.993555,0.079959,2.285949,2.900866,114.561535,14.536596,0.760259,22.605357,27.585165,31.501069,37.187349,50.13521,61.186666,95.640144,8.5
877.9,0.143599,0.055917,37.278137,1501.464844,110.763844,0.347291,8.973078,0.07985,2.295917,2.936908,113.771549,13.904108,0.830612,21.682882,26.599744,30.482535,36.142498,49.108761,60.244797,94.454369,8.5
878.0,0.142548,0.054866,37.269211,1501.464844,111.604229,0.33401,8.943229,0.080619,2.300429,2.967311,113.445415,13.361323,0.931218,21.861983,26.703068,30.51262,36.048059,48.665216,59.445469,92.95359,8.5
878.1,0.141344,0.053662,37.266857,1501.464844,112.623367,0.325511,8.907364,0.081388,2.300212,2.98852,113.556889,13.118058,1.048183,22.540496,27.209345,30.84857,36.090826,47.877529,57.807772,89.714981,8.5
878.2,0.140122,0.052441,37.326927,1533.203125,113.819649,0.324939,8.867678,0.080747,2.294533,2.995831,114.062077,13.072446,1.160334,23.199794,27.612129,31.011393,35.855864,46.565517,55.431719,85.136875,8.5
878.3,0.139139,0.051458,37.267929,1535.644531,113.635799,0.331289,8.830405,0.078103,2.282663,2.981607,114.899303,12.93865,1.246864,22.664681,26.640194,29.671387,33.950649,43.270678,50.867861,77.268543,8.5
