DEPT,CALI,BS,GR,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
3461.004,6.58641,6.25,101.2095,-0.0101,0.0001,33.03722,35.30976,35.26391,33.83487,35.47818,36.0055,63.67129,-0.00406,3.49569,2.61106,0.15459,7.4135,7383.80028
3461.1564,6.60161,6.25,87.01257,-0.01444,0.0001,34.00266,35.64285,35.96541,34.42721,36.08392,36.33422,63.78964,-0.00589,3.63288,2.61987,0.15517,9.94939,7411.80023
3461.3088,6.6168,6.25,81.08387,0.05154,0.0001,24.86049,25.02242,25.57215,24.43406,25.49184,25.3214,64.31631,-0.00389,3.68807,2.63136,0.16929,11.53948,7506.68759
3461.4612,6.53324,6.25,87.84661,-0.00024,0.0001,13.4143,13.28746,13.6605,13.43482,13.97987,13.78278,64.58703,0.00286,3.42118,2.5973,0.15295,10.51255,7548.00073
3461.6136,6.54843,6.25,104.9335,0.00821,0.0001,18.60526,17.68854,18.23642,18.86055,19.36259,18.57724,64.81749,0.00793,3.49405,2.61951,0.14598,7.5524,7587.7492
3461.766,6.51045,6.25,100.0081,0.06536,0.0001,39.42529,39.31754,39.6424,41.21054,43.21046,44.2346,66.93438,0.01205,3.59681,2.64022,0.15153,6.43265,7533.73211
3461.9184,6.48766,6.25,89.88242,0.09242,0.0001,16.09492,15.89407,15.74016,16.04933,16.97357,16.66562,65.55946,0.01365,3.52733,2.6623,0.18044,6.69346,7506.33464
3462.0708,6.49526,6.25,106.3388,0.05125,0.0001,12.755,12.69501,12.67636,12.89179,13.77359,13.59672,65.7727,0.01423,3.52653,2.62696,0.19009,6.60395,7466.62439
3462.2232,6.50285,6.25,95.79558,0.04217,0.0001,13.90251,13.48315,13.52595,13.5267,14.41386,13.88431,68.04794,0.01335,3.51241,2.61281,0.19059,6.36358,7419.1335
3462.3756,6.50285,6.25,93.84544,0.04413,0.0001,14.97518,14.42743,14.53521,14.51353,15.44028,14.84523,68.22985,0.01106,3.52991,2.62014,0.20353,7.0295,7378.24975
