DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
741.35,,1538.086,,,13.447,0.064,2.191,2.833,127.354,,1.674,37.488,37.196,37.003,36.763,36.335,36.052,34.659,12.25
741.45,,1523.438,,,13.447,0.064,2.19,2.824,127.368,,1.629,36.149,35.834,35.625,35.366,34.905,34.601,33.105,12.25
741.55,,1572.266,,,13.447,0.063,2.19,2.819,127.566,,1.597,33.224,33.758,34.119,34.575,35.411,35.98,38.759,12.25
741.65,,1577.148,,,13.447,0.062,2.188,2.798,128.048,,1.559,33.743,35.755,37.163,39.002,42.543,45.08,57.049,12.25
741.75,,1528.32,,,13.447,0.06,2.186,2.767,128.475,,1.555,31.835,35.172,37.588,40.843,47.429,52.4,74.011,12.25
741.85,,1528.32,,,13.447,0.058,2.183,2.742,128.787,,1.57,32.106,36.624,39.983,44.62,54.362,62.012,92.673,12.25
741.95,,1572.266,,,13.447,0.057,2.182,2.736,128.726,,1.609,30.522,35.277,38.851,43.833,54.466,62.95,95.387,12.25
742.05,,1538.086,,,,0.056,2.18,2.743,128.432,,1.644,29.859,34.361,37.733,42.417,52.363,60.257,90.711,12.25
742.15,,1557.617,,,,0.058,2.181,2.765,127.84,,1.701,28.559,32.26,34.99,38.73,46.498,52.524,76.66,12.25
742.25,,1557.617,,,,0.059,2.181,2.8,127.226,,1.747,29.926,33.121,35.438,38.565,44.903,49.698,70.064,12.25
742.35,,1577.148,,,,0.061,2.183,2.834,126.718,,1.783,31.434,34.026,35.871,38.32,43.157,46.716,62.414,12.25
742.45,,1538.086,,,,0.062,2.181,2.85,126.517,,1.798,31.647,33.821,35.352,37.365,41.28,44.116,57.032,12.25
742.55,,1499.023,,,,0.062,2.179,2.851,126.595,,1.791,31.199,33.143,34.506,36.289,39.733,42.209,53.54,12.25
742.65,,1621.094,,,,0.062,2.177,2.851,126.984,,1.747,32.29,34.498,36.053,38.096,42.07,44.947,58.148,12.25
742.75,,1562.5,,,,,,,127.668,,1.688,31.598,34.032,35.759,38.041,42.521,45.798,60.524,12.25
742.85,,1616.211,,,,,,,128.552,,1.639,31.152,33.971,35.99,38.685,44.053,48.039,65.578,12.25
742.95,,1586.914,,,,,,,129.391,,1.603,31.131,34.345,36.67,39.798,46.118,50.88,71.168,12.25
743.05,,1586.914,,,,,,,129.926,,1.579,30.478,34.031,36.627,40.152,47.375,52.898,75.79,12.25
743.15,,1586.914,,,,,,,130.024,,1.569,29.399,33.122,35.862,39.608,47.364,53.361,77.459,12.25
743.25,,1586.914,,,,,,,129.631,,1.571,28.178,32.021,34.871,38.792,46.994,53.404,78.454,12.25
743.35,,1582.031,,,,,,,128.89,,1.572,27.79,31.879,34.934,39.167,48.121,55.201,82.184,12.25
743.45,,1586.914,,,,,,,128.015,,1.573,26.511,30.643,33.75,38.079,47.321,54.697,82.221,12.25
743.55,,1606.445,,,,,,,127.309,,1.573,26.158,30.349,33.509,37.927,47.397,54.991,82.935,12.25
743.65,,1577.148,,,,,,,126.967,,1.573,27.582,32.026,35.38,40.071,50.137,58.217,87.82,12.25
743.75,,1586.914,,,,,,,127.071,,1.572,28.153,32.649,36.039,40.775,50.922,59.054,89.159,12.25
743.85,,1547.852,,,,,,,127.539,,1.572,30.218,34.809,38.251,43.035,53.205,61.288,91.701,12.25
743.95,,1591.797,,,,,,,128.111,,1.572,30.127,34.397,37.575,41.964,51.195,58.451,86.368,12.25
744.05,,1611.328,,,,,,,128.498,,1.572,31.867,36.109,39.247,43.555,52.535,59.529,86.828,12.25
744.15,,1611.328,,,,,,,128.436,,1.572,30.551,34.575,37.547,41.625,50.113,56.713,82.743,12.25
744.25,,1557.617,,,,,,,127.893,,1.572,30.749,34.84,37.865,42.019,50.677,57.419,83.844,12.25
744.35,,1616.211,,,,,,,126.94,,1.572,28.645,32.624,35.58,39.654,48.198,54.894,80.984,12.25
744.45,,1562.5,,,,,,,125.852,,1.572,28.102,32.115,35.103,39.233,47.93,54.774,81.209,12.25
