TVD,GR,T-TEMP
466.8012,77.9492,30.315
466.9536,76.1773,30.315
467.106,76.6373,30.315
467.2584,75.947,30.315
467.4108,74.4553,30.315
467.5632,74.25,30.315
467.7156,74.0,30.315
467.868,73.8542,30.315
468.0204,73.9192,30.315
468.1728,76.2065,30.315
468.3252,76.2512,30.315
468.4776,75.8981,30.315
468.63,76.4699,30.315
468.7824,75.6246,30.315
468.9348,75.655,30.315
469.0872,75.8516,30.315
469.2396,75.7143,30.315
469.392,76.2358,30.315
469.5444,76.4286,30.315
469.6968,75.5504,30.315
469.8492,75.3187,30.315
470.0016,74.1252,30.315
470.154,73.9627,30.315
470.3064,74.4706,30.315
470.4588,75.1577,30.315
470.6112,76.0965,30.315
470.7636,77.0244,30.315
470.916,77.742,30.315
471.0684,78.248,30.315
471.2208,78.6475,30.315
471.3732,78.4943,30.315
471.5256,77.2418,30.315
471.678,76.0704,30.315
471.8304,76.2128,30.315
471.9828,76.7036,30.315
472.1352,78.2494,30.315
472.2876,77.5379,30.315
472.44,75.9975,30.315
472.5924,75.6,30.315
472.7448,74.1651,30.315
472.8972,74.519,30.315
473.0496,75.9018,30.315
473.202,77.4484,30.315
473.3544,78.5879,30.6391
473.5068,80.053,31.1437
473.6592,80.1512,31.6483
473.8116,79.1367,31.6929
473.964,78.212,31.6929
474.1164,73.2093,31.6929
474.2688,73.9097,31.6929
474.4212,73.2059,31.6929
474.5736,75.3333,31.6929
474.726,76.6532,31.6929
474.8784,77.2633,31.6929
475.0308,78.3233,31.6929
475.1832,77.7374,31.6929
475.3356,77.8571,31.6929
475.488,79.2338,31.6929
475.6404,78.0097,31.6929
475.7928,77.6131,31.6929
475.9452,76.7336,31.6929
476.0976,74.9541,31.6929
476.25,73.2149,31.6929
476.4024,72.2488,31.6929
476.5548,70.8889,31.6929
476.7072,70.8921,31.6929
476.8596,73.0559,31.6929
477.012,74.2371,31.6929
477.1644,77.2881,31.6929
477.3168,77.795,31.6929
477.4692,77.6806,31.6929
477.6216,77.8396,31.6929
477.774,77.4102,31.6929
477.9264,77.3745,31.6929
478.0788,78.8281,31.6929
478.2312,79.4289,31.6929
478.3836,80.4168,31.6929
478.536,79.9014,31.6929
478.6884,78.854,31.6929
478.8408,78.6432,31.6929
478.9932,76.5916,31.6929
479.1456,74.6344,31.6929
479.298,73.3663,31.6929
479.4504,71.9015,31.6929
479.6028,73.4494,31.6929
479.7552,75.8064,31.6929
479.9076,76.1492,31.6929
480.06,78.4832,31.6929
480.2124,77.0657,31.6929
480.3648,76.1275,31.6929
480.5172,77.2293,31.6929
480.6696,77.2741,31.6929
480.822,77.375,31.6929
480.9744,77.6809,31.6929
481.1268,78.1411,31.6929
481.2792,77.0031,31.6929
481.4316,77.0147,31.6929
481.584,77.2006,31.6929
481.7364,76.3149,31.6929
481.8888,77.2816,31.6929
482.0412,77.9918,31.6929
482.1936,77.3317,31.6929
482.346,77.3016,31.6929
482.4984,77.0098,31.6929
482.6508,76.0,31.6929
482.8032,77.0679,31.6929
482.9556,78.5952,31.6929
483.108,78.8235,31.6929
483.2604,80.7129,31.6929
483.4128,80.2118,31.6929
483.5652,79.5622,31.6929
483.7176,80.2079,31.6929
483.87,79.6702,31.6929
484.0224,78.2671,31.6929
484.1748,77.0419,31.6929
484.3272,76.9763,31.6929
484.4796,75.5828,31.6929
484.632,76.2188,31.6929
484.7844,77.7332,31.6929
484.9368,77.5302,31.6929
485.0892,78.1195,31.6929
485.2416,80.6538,31.6929
485.394,79.8808,31.6929
485.5464,79.8,31.6929
485.6988,78.4444,31.6929
485.8512,77.5932,31.6929
486.0036,76.4589,31.6929
486.156,76.1234,31.6929
486.3084,77.2429,31.6929
486.4608,77.5315,31.6929
486.6132,77.4707,31.6929
486.7656,76.6178,31.6929
486.918,75.1088,31.6929
487.0704,75.6122,31.6929
487.2228,75.8328,31.6929
487.3752,75.1639,31.6929
487.5276,74.875,31.6929
487.68,75.3306,31.6929
487.8324,75.7483,31.6929
487.9848,75.5296,31.6929
488.1372,75.326,31.6929
488.2896,76.0437,31.6929
488.442,76.0,31.6929
488.5944,76.4441,31.6929
488.7468,78.2546,31.6929
488.8992,78.1203,31.6929
489.0516,78.6399,31.6929
489.204,79.4119,31.6929
489.3564,80.7637,31.6929
489.5088,80.8571,31.6929
489.6612,80.1117,31.6929
489.8136,79.3846,31.6929
489.966,80.087,31.6929
490.1184,80.0996,31.6929
490.2708,79.4267,31.6929
490.4232,80.0,31.6929
490.5756,80.0184,31.6929
490.728,78.4286,31.6929
490.8804,78.5285,31.6929
491.0328,79.1384,31.6929
491.1852,79.0248,31.6929
491.3376,79.193,31.6929
491.49,79.6955,31.6929
491.6424,80.4147,31.6929
491.7948,80.7379,31.6929
491.9472,79.6993,31.6929
492.0996,79.6175,31.6929
492.252,80.1902,31.6929
492.4044,81.4355,31.6929
492.5568,82.6349,31.6929
492.7092,83.1765,31.6929
492.8616,83.468,31.6929
493.014,82.0,31.6929
493.1664,80.2667,31.6929
493.3188,79.2234,31.6929
493.4712,79.6813,31.6929
493.6236,80.7816,31.6929
493.776,79.6679,31.6929
493.9284,79.4026,31.6929
494.0808,78.3126,31.6929
494.2332,76.3143,31.6929
494.3856,76.7022,31.6929
494.538,76.4555,31.6929
494.6904,78.7486,31.6929
494.8428,80.6911,31.6929
494.9952,84.361,31.6929
495.1476,83.2783,31.6929
495.3,81.2066,31.6929
495.4524,79.3129,31.6929
495.6048,76.8595,31.6929
495.7572,75.0157,31.6929
495.9096,76.0902,31.6929
496.062,74.4622,31.6929
496.2144,75.0645,31.6929
496.3668,76.4605,31.6929
496.5192,75.4025,31.6929
496.6716,76.3242,31.6929
496.824,77.0019,31.6929
496.9764,77.3793,31.6929
497.1288,76.7745,31.6929
497.2812,76.9803,31.6929
497.4336,77.6322,31.6929
497.586,76.62,31.6929
497.7384,78.5617,31.6929
497.8908,78.846,31.6929
498.0432,77.4444,31.6929
498.1956,75.8534,31.6929
498.348,75.2207,31.6929
498.5004,73.331,31.6929
498.6528,75.2222,31.6929
498.8052,75.9185,31.6929
498.9576,76.4099,31.6929
499.11,75.8255,31.6929
499.2624,75.7375,31.6929
499.4148,76.1536,31.6929
499.5672,76.1945,31.6929
499.7196,75.9666,31.6929
499.872,75.246,31.6929
500.0244,75.598,31.6929
500.1768,74.4821,31.6929
500.3292,74.6066,31.6929
500.4816,75.8167,31.6929
500.634,75.3412,31.6929
500.7864,75.9749,31.6929
500.9388,76.7668,31.6929
501.0912,76.1759,31.6929
501.2436,75.2383,31.6929
501.396,75.8469,31.6929
501.5484,76.0,31.6929
501.7008,77.6178,31.6929
501.8532,79.1997,31.6929
502.0056,80.6172,31.6929
502.158,79.9085,31.6929
502.3104,79.7983,31.6929
502.4628,79.1254,31.6929
502.6152,77.7537,31.6929
502.7676,78.4395,31.6929
502.92,78.312,31.6929
503.0724,78.7116,31.6929
503.2248,78.0512,31.6929
503.3772,77.2924,31.6929
503.5296,77.8333,31.6929
503.682,77.5888,31.6929
503.8344,76.418,31.6929
503.9868,76.6364,31.6929
504.1392,74.9129,31.6929
504.2916,76.0,31.6929
504.444,77.4863,31.6929
504.5964,77.8774,31.6929
504.7488,79.8066,31.6929
504.9012,78.8189,31.6929
505.0536,76.9697,31.6929
505.206,75.4521,31.6929
505.3584,74.1709,31.6929
505.5108,74.2776,31.6929
505.6632,73.5307,31.6929
505.8156,75.9575,31.6929
505.968,76.4006,31.6929
506.1204,75.867,31.6929
506.2728,77.3333,31.6929
506.4252,76.0,31.6929
506.5776,75.3092,31.6929
506.73,76.0,31.6929
506.8824,76.2766,31.6929
507.0348,77.1667,31.6929
507.1872,77.9413,31.6929
507.3396,78.4271,31.6929
507.492,78.3531,31.6929
507.6444,78.1172,31.6929
507.7968,78.7033,31.6929
507.9492,77.3502,31.6929
508.1016,77.3295,31.6929
508.254,75.7089,31.6929
508.4064,74.0912,31.6929
508.5588,72.3333,31.6929
508.7112,70.9032,31.6929
508.8636,71.2753,31.6929
509.016,72.2431,31.6929
509.1684,74.3475,31.6929
509.3208,75.6011,31.6929
509.4732,75.9987,31.6929
509.6256,75.6971,31.6929
509.778,74.9567,31.6929
509.9304,74.6103,31.6929
510.0828,75.8009,31.6929
510.2352,75.7391,31.6929
510.3876,76.1541,31.6929
510.54,77.6,31.6929
510.6924,77.0,31.6929
510.8448,77.1662,31.6929
510.9972,77.0547,31.6929
511.1496,76.2705,31.6929
511.302,75.8044,31.6929
511.4544,75.9779,31.6929
511.6068,75.9241,31.6929
511.7592,77.1309,31.6929
511.9116,76.5005,31.6929
512.064,77.3125,31.6929
512.2164,77.7578,31.6929
512.3688,77.3333,31.6929
512.5212,76.5257,31.6929
512.6736,77.3836,31.6929
512.826,76.6667,31.6929
512.9784,75.6675,31.6929
513.1308,75.2192,31.6929
513.2832,75.3855,31.6929
513.4356,74.9794,31.6929
