DEPT,TNPH_SAN:1,DPHI_SAN:1,CS:1,RLA4,TENS:1,TNPH_DOL:1,NPHI_DOL,GDEV_EDTC,DPHZ,RSOZ,RHOZ,RLA5,TNPH_LIM:1,VCL,NPOR_DOL:1,NPOR:1,SMIN,PEFZ,TNPH:1,RLA1,DT,RXOZ,AZIM,NPHI_SAN,NPOR_SAN:1,TNPH:2,RLA0,RHGX,RXO,GR:1,CVEL:1,SVEL,CALI,SPHI,RO,CVEL:2,TNPH_SAN:2,TNPH_DOL:2,NPOR:2,SMNO,TNPH_LIM:2,GR:2,DPHI_SAN:2,RLA2,UZ,DPHI_DOL:1,GR:3,DCAL,DPHI_DOL:2,MRES,INCL,NPOR_LIM:1,GR:4,ITT,CS:2,HTEN,NPOR_LIM:2,NPHI,NPOR_SAN:2,DPHI_LIM:1,RT,BS,NPOR_DOL:2,NPHI_LIM,DSOZ,DPHI_LIM:2,TENS:2,RLA3
1626.2604,0.36668,0.1449,526.8538,4.70981,3794.86713,0.27923,0.23459,39.9361,0.1676,0.12233,2.42341,4.9613,0.31985,0.72634,0.29196,0.33314,0.53036,3.24054,0.31985,4.21816,95.46001,2.49634,346.67,0.3375,0.34703,0.31944,0.09826,2.91022,3.02072,114.424,-524.1739,3192.96,8.78588,0.25835,8.07596,-526.8538,0.3663,0.27957,0.30002,0.67798,0.31944,128.3978,0.13733,4.40191,7.90673,0.23059,112.4978,0.28588,0.23734,0.0983,39.02082,0.33314,125.9658,0.05359,524.1739,1303.063,0.30002,0.29451,0.37983,0.1749,5.37897,8.5,0.26123,0.29451,0.16612,0.1676,3793.99937,4.58356
1626.4128,0.35672,0.12488,528.0159,4.74309,3714.99926,0.27033,0.20817,39.94203,0.17042,0.11749,2.41857,4.99402,0.30906,0.71169,0.26059,0.29842,0.55915,3.18764,0.30906,4.24393,94.95858,2.5313,346.67,0.3155,0.36262,0.30891,0.10012,2.89521,3.03644,112.5194,-529.3562,3209.821,8.71651,0.25642,8.28972,-528.0159,0.35658,0.27046,0.31498,0.71019,0.30891,119.0205,0.14026,4.42174,7.76325,0.2332,109.3195,0.21651,0.21948,0.099,39.01316,0.29842,120.8259,0.05354,529.3562,1309.43993,0.31498,0.27331,0.34613,0.15558,5.41573,8.5,0.27598,0.27331,0.15306,0.17042,3658.33392,4.61059
1626.5652,0.34472,0.11851,527.5131,4.73211,3774.18696,0.25936,0.21156,39.91232,0.1685,0.12088,2.42187,4.98367,0.29616,0.70114,0.25105,0.28701,0.57186,3.14896,0.29616,4.25212,94.94337,2.57034,346.67,0.31824,0.32977,0.29596,0.0994,2.88332,3.03195,111.1482,-530.3521,3210.334,8.72807,0.25636,8.73143,-527.5131,0.34454,0.25953,0.28119,0.72327,0.29596,115.4831,0.13826,4.41247,7.67872,0.23142,116.9215,0.22807,0.21381,0.0989,39.00518,0.28701,118.0594,0.0535,530.3521,1285.09087,0.28119,0.27603,0.33557,0.14944,5.37866,8.5,0.24569,0.27603,0.15593,0.1685,3807.49915,4.59095
1626.7176,0.35613,0.13598,532.585,4.7039,3755.75038,0.27128,0.21586,39.91543,0.16521,0.12758,2.42749,4.94973,0.30842,0.70441,0.25295,0.2901,0.51936,3.15239,0.30842,4.21379,95.60777,2.57537,346.67,0.3217,0.35833,0.31003,0.09831,2.90103,3.01125,111.5734,-531.548,3188.025,8.7011,0.25892,8.45042,-532.585,0.35762,0.26992,0.31074,0.67106,0.31003,119.0963,0.13485,4.37483,7.70366,0.22838,107.5734,0.2011,0.22939,0.09945,38.99723,0.2901,117.721,0.05345,531.548,1297.68624,0.31074,0.27946,0.33788,0.16629,5.35402,8.5,0.27194,0.27946,0.17102,0.16521,3740.6657,4.55411
1626.87,0.36193,0.15943,535.9424,4.64866,3792.40098,0.27706,0.25733,39.92043,0.16643,0.13725,2.42541,4.90371,0.31469,0.67751,0.30395,0.34547,0.50452,3.20805,0.31469,4.12646,96.16565,2.46047,346.67,0.35584,0.40366,0.31687,0.10046,2.90623,3.01611,108.0764,-536.0856,3169.531,8.73964,0.26104,8.24178,-535.9424,0.36394,0.27522,0.3571,0.65171,0.31687,118.4754,0.13612,4.32209,7.83343,0.22951,110.4322,0.23964,0.2503,0.10034,38.98949,0.34547,116.4713,0.0534,536.0856,1294.95324,0.3571,0.30985,0.39237,0.18893,5.36123,8.5,0.31467,0.30985,0.18949,0.16643,3800.99992,4.49776
1627.0224,0.37889,0.12767,533.8766,4.86076,3763.93342,0.29289,0.25357,39.90967,0.16716,0.13499,2.42415,5.13177,0.33318,0.68363,0.30753,0.35111,0.48726,3.28735,0.33318,4.31872,96.27367,2.41219,346.67,0.35281,0.40187,0.33566,0.10221,2.92434,3.19076,108.8724,-535.1024,3165.975,8.71651,0.26145,7.76343,-533.8766,0.38115,0.29081,0.35674,0.62351,0.33566,111.3396,0.13688,4.5127,8.02319,0.23019,105.2965,0.21651,0.22198,0.10165,38.98192,0.35111,119.1587,0.05335,535.1024,1299.4193,0.35674,0.30732,0.39653,0.15828,5.61639,8.5,0.31257,0.30732,0.21855,0.16716,3816.99957,4.72254
1627.1748,0.36084,0.12393,532.3049,5.02227,3786.18726,0.27329,0.26834,39.93134,0.16207,0.15622,2.43287,5.3128,0.31352,0.70212,0.26746,0.30623,0.51148,3.35318,0.31352,4.43893,96.75818,2.41452,346.67,0.36472,0.34184,0.31241,0.10408,2.91035,3.40085,111.2754,-534.5232,3150.122,8.67027,0.26327,8.39374,-532.3049,0.35982,0.27423,0.29433,0.65856,0.31241,127.3234,0.13159,4.65932,8.21117,0.22548,111.505,0.17027,0.21864,0.10295,38.97408,0.30623,117.1238,0.05331,534.5232,1305.86277,0.29433,0.31728,0.3536,0.15467,5.88289,8.5,0.25654,0.31728,0.25852,0.16207,3786.49974,4.88494
1627.3272,0.37366,0.12819,531.0096,4.86849,3830.06772,0.28474,0.23446,39.94231,0.15906,0.17781,2.43801,5.15132,0.32746,0.71843,0.28564,0.32708,0.39195,3.37161,0.32746,4.291,96.4728,2.38677,346.67,0.3374,0.36189,0.32598,0.10836,2.92824,2.9146,113.3962,-531.6102,3159.44,8.62402,0.2622,8.11487,-531.0096,0.37231,0.28599,0.31545,0.52265,0.32598,112.533,0.12848,4.52347,8.27251,0.2227,118.3023,0.12402,0.22244,0.10443,38.96629,0.32708,114.8389,0.05326,531.6102,1311.90608,0.31545,0.29443,0.37329,0.15878,5.6223,8.5,0.27497,0.29443,0.2825,0.15906,3853.33319,4.72179
1627.4796,0.35261,0.13965,527.6151,4.8055,3817.31206,0.26591,0.23622,39.90466,0.16156,0.18043,2.43374,5.08308,0.30462,0.69235,0.27079,0.30902,0.39179,3.33821,0.30462,4.22598,95.64917,2.21625,346.67,0.33882,0.36459,0.30368,0.10917,2.90148,2.878,110.005,-525.6486,3186.646,8.52382,0.25908,8.66349,-527.6151,0.35173,0.2667,0.31662,0.51487,0.30368,104.9588,0.13107,4.46246,8.17723,0.22501,111.4259,0.02382,0.23266,0.10478,38.95848,0.30902,110.5796,0.05321,525.6486,1321.99349,0.31662,0.29562,0.35698,0.16984,5.55848,8.5,0.27794,0.29562,0.27011,0.16156,3849.00112,4.66306
1627.632,0.34962,0.15447,528.8896,4.89177,3736.66634,0.26337,0.21552,39.8945,0.16955,0.14835,2.42008,5.18272,0.30141,0.67615,0.25828,0.29526,0.48478,3.29163,0.30141,4.28102,95.99188,2.077,346.67,0.32142,0.34343,0.3007,0.1087,2.88788,2.92898,107.9,-527.4797,3175.269,8.65485,0.26039,8.53539,-528.8896,0.34895,0.26398,0.29515,0.61181,0.3007,115.8322,0.13935,4.52469,8.02112,0.23239,100.8972,0.15485,0.24588,0.10402,38.95075,0.29526,107.8579,0.05316,527.4797,1300.48174,0.29515,0.27919,0.34348,0.18414,5.68435,8.5,0.25824,0.27919,0.23576,0.16955,3720.33397,4.7284
