DEPT,GR
216.5,69.4634
217.0,70.4287
217.5,69.0604
218.0,70.3431
218.5,70.7027
219.0,68.0069
219.5,67.6424
220.0,70.1985
220.5,68.0098
221.0,71.1459
221.5,74.1697
222.0,71.5314
222.5,68.9898
223.0,70.5059
223.5,72.0972
224.0,69.2939
224.5,67.5274
225.0,66.6357
225.5,68.2526
226.0,67.6897
226.5,67.5408
227.0,69.9605
227.5,68.2432
228.0,67.435
228.5,65.8359
229.0,70.389
229.5,67.5175
230.0,68.7283
230.5,68.2858
231.0,70.7753
231.5,71.7102
232.0,69.4956
232.5,66.185
233.0,69.5182
233.5,69.0962
234.0,68.1299
234.5,66.9118
235.0,69.0907
235.5,69.4115
236.0,70.8877
236.5,69.6352
237.0,71.7831
237.5,69.1012
238.0,67.1311
238.5,70.0943
239.0,68.8248
239.5,69.0436
240.0,71.9112
240.5,70.9266
241.0,72.1238
241.5,70.0677
242.0,69.6181
242.5,72.7064
243.0,75.3948
243.5,73.096
244.0,71.6516
244.5,74.6905
245.0,73.0545
245.5,68.8961
246.0,70.4847
246.5,68.2415
247.0,71.0593
247.5,68.4463
248.0,71.1868
248.5,71.5036
249.0,69.3738
249.5,67.7443
250.0,71.1553
250.5,70.2982
251.0,68.475
251.5,70.0135
252.0,67.4071
252.5,64.727
253.0,66.2713
253.5,68.7113
254.0,68.0718
254.5,71.3453
255.0,69.3873
255.5,68.2334
256.0,71.5981
256.5,69.2381
257.0,69.3404
257.5,70.077
258.0,67.874
258.5,69.9811
259.0,68.2096
259.5,67.2767
260.0,68.2594
260.5,69.8363
261.0,71.3384
261.5,68.6938
262.0,70.6827
262.5,69.7948
263.0,68.4367
263.5,68.7155
264.0,69.5057
264.5,66.8852
265.0,68.1622
265.5,71.0025
266.0,70.0055
266.5,72.7107
267.0,73.4732
267.5,69.1478
268.0,69.6937
268.5,73.0972
269.0,69.6292
269.5,70.1745
270.0,67.7802
270.5,68.3609
271.0,70.1752
271.5,69.2861
272.0,70.5704
272.5,70.0244
273.0,70.7584
273.5,69.2652
274.0,65.7351
274.5,71.5954
275.0,73.3099
275.5,68.6715
276.0,63.874
276.5,64.8035
277.0,65.9437
277.5,64.8133
278.0,68.906
278.5,67.5222
279.0,65.2427
279.5,68.2485
280.0,68.0596
280.5,70.3197
281.0,68.6847
281.5,69.4722
282.0,67.1522
282.5,64.7761
283.0,70.6389
283.5,73.0221
284.0,71.6983
284.5,74.1191
285.0,74.8723
285.5,69.0606
286.0,61.4642
286.5,64.7937
287.0,67.0543
287.5,64.3908
288.0,67.1383
288.5,67.5457
289.0,65.4445
289.5,72.1199
290.0,70.1962
290.5,74.882
291.0,73.6186
291.5,71.3743
292.0,71.5848
292.5,68.0321
293.0,70.8149
293.5,73.3547
294.0,73.6152
294.5,72.1424
295.0,68.8477
295.5,69.3404
296.0,64.03
296.5,63.3335
297.0,67.9641
297.5,71.9786
298.0,68.6743
298.5,69.029
299.0,73.1788
299.5,75.1255
300.0,74.2071
300.5,72.1992
301.0,68.6112
301.5,67.9183
302.0,69.1878
302.5,71.1044
303.0,73.6272
303.5,72.944
304.0,73.0194
304.5,70.8134
305.0,69.3678
305.5,67.4524
306.0,61.6698
306.5,53.3657
307.0,57.3455
307.5,67.8933
308.0,68.3024
308.5,69.2551
309.0,67.531
309.5,69.1995
310.0,69.7137
310.5,67.9268
311.0,70.2129
311.5,69.3368
312.0,71.3109
312.5,71.1177
313.0,71.6553
313.5,75.8921
314.0,75.6466
314.5,70.5542
315.0,70.4816
315.5,67.2456
316.0,70.8802
316.5,70.7174
317.0,72.1547
317.5,74.6562
318.0,76.7138
318.5,73.8852
319.0,69.0163
319.5,77.2674
320.0,71.7311
320.5,72.3945
321.0,79.994
321.5,77.9609
322.0,68.7549
322.5,70.3672
323.0,71.3251
323.5,70.7187
324.0,67.0367
324.5,66.9946
325.0,69.4208
325.5,71.4955
326.0,70.3867
326.5,72.2137
327.0,68.772
327.5,66.0819
328.0,66.6259
328.5,69.5536
329.0,63.568
329.5,64.9715
330.0,67.6541
330.5,69.1722
331.0,65.6438
331.5,68.3106
332.0,66.0462
332.5,64.4382
333.0,61.4912
333.5,62.8357
334.0,69.2159
334.5,66.981
335.0,69.8985
335.5,67.5949
336.0,69.4776
336.5,68.6289
337.0,69.0086
337.5,64.7285
338.0,68.3671
338.5,69.7385
339.0,68.2985
339.5,71.3879
340.0,70.5703
340.5,78.4193
341.0,75.9704
341.5,72.8409
342.0,72.1835
342.5,70.9427
343.0,70.4141
343.5,74.3602
344.0,73.5188
344.5,69.3938
345.0,72.0798
345.5,70.1284
346.0,72.0262
346.5,73.118
347.0,70.2208
347.5,72.795
348.0,72.4092
348.5,73.5021
349.0,73.4126
349.5,74.0938
350.0,74.9611
350.5,69.7681
351.0,70.7126
351.5,73.1493
352.0,73.3044
352.5,72.3472
353.0,70.5293
353.5,75.1318
354.0,74.9535
354.5,71.3493
355.0,74.7856
355.5,72.3904
356.0,72.5952
356.5,70.5077
357.0,71.3854
357.5,71.0055
358.0,68.5484
358.5,70.5124
359.0,69.9309
359.5,71.8825
360.0,70.7436
360.5,70.5478
361.0,70.1543
361.5,71.6573
362.0,69.2169
362.5,68.7091
363.0,70.2118
363.5,71.5157
364.0,68.2044
364.5,68.848
365.0,72.0112
365.5,71.0889
366.0,68.2819
366.5,71.0097
367.0,67.983
367.5,64.2437
368.0,65.7068
368.5,64.9627
369.0,64.7759
369.5,63.1578
370.0,65.0319
370.5,65.3463
371.0,63.9532
371.5,67.4886
372.0,67.9191
372.5,68.4097
373.0,70.0886
373.5,70.8592
374.0,70.9444
374.5,72.5125
375.0,72.3875
375.5,70.1696
376.0,71.8581
376.5,69.3285
377.0,65.964
377.5,62.2375
378.0,64.4379
378.5,62.1015
379.0,63.8704
379.5,66.8319
380.0,65.4335
380.5,66.8044
381.0,70.9234
381.5,69.3318
382.0,70.3284
382.5,74.0792
383.0,73.5555
383.5,70.8405
384.0,73.4527
384.5,74.0623
385.0,73.5655
385.5,74.4387
386.0,74.4266
386.5,74.7224
