TVD,ROP,GR
83.82,0.8779,16.6922
83.9724,0.8764,16.536
84.1248,0.894,16.3797
84.2772,0.8699,15.9736
84.4296,0.8337,15.6
84.582,0.8471,15.2673
84.7344,0.8615,15.4098
84.8868,0.859,15.5744
85.0392,0.8766,15.7391
85.1916,0.9093,15.8781
85.344,0.8812,16.2
85.4964,0.6924,18.2833
85.6488,0.6299,19.5389
85.8012,0.6707,20.0
85.9536,0.475,19.9143
86.106,0.2296,19.8032
86.2584,0.2007,19.692
86.4108,0.1652,18.2
86.5632,0.0998,17.8923
86.7156,0.0633,17.6139
86.868,0.0588,18.2758
87.0204,0.0634,18.9376
87.1728,0.0797,19.5995
87.3252,0.0953,19.4119
87.4776,0.1232,18.8511
87.63,0.1507,18.9024
87.7824,0.1488,17.9368
87.9348,0.1268,17.3088
88.0872,0.1741,17.2754
88.2396,0.3424,17.7075
88.392,0.4941,17.7627
88.5444,0.5246,17.9725
88.6968,0.5221,18.2131
88.8492,0.53,17.713
89.0016,0.5272,17.2
89.154,0.516,17.2
89.3064,0.5133,17.8186
89.4588,0.5331,18.8957
89.6112,0.5649,19.9727
89.7636,0.5883,19.8
89.916,0.6012,19.7761
90.0684,0.6072,20.1602
90.2208,0.6027,20.7594
90.3732,0.5993,21.3585
90.5256,0.6089,21.4
90.678,0.6128,21.4
90.8304,0.604,18.9984
90.9828,0.5973,16.2901
91.1352,0.5892,14.6
91.2876,0.5918,14.6
91.44,0.6209,15.4156
91.5924,0.5448,16.8312
91.7448,0.4068,18.2468
91.8972,0.3635,18.4
92.0496,0.3582,18.343
92.202,0.3163,18.0203
92.3544,0.2546,17.6977
92.5068,0.2121,17.6
92.6592,0.2028,17.9812
92.8116,0.2734,19.6122
92.964,0.3916,20.9748
93.1164,0.4462,20.5865
93.2688,0.4603,20.0
93.4212,0.465,19.1283
93.5736,0.437,18.3353
93.726,0.4882,17.4252
93.8784,0.5787,17.4
94.0308,0.5756,17.2434
94.1832,0.579,18.3269
94.3356,0.6464,18.0531
94.488,0.6699,17.7018
94.6404,0.6367,17.7878
94.7928,0.634,18.3712
94.9452,0.6643,17.6
95.0976,0.6947,17.7104
95.25,0.736,18.3259
95.4024,0.7835,18.9413
95.5548,0.7936,19.2
95.7072,0.7333,19.1253
95.8596,0.6781,19.4396
96.012,0.668,20.0691
96.1644,0.6705,19.6
96.3168,0.6696,20.0721
96.4692,0.6608,20.4292
96.6216,0.6902,21.1599
96.774,0.7481,22.0917
96.9264,0.7416,21.3476
97.0788,0.6941,21.0
97.2312,0.7023,21.0
97.3836,0.7192,20.5843
97.536,0.7051,20.1605
97.6884,0.7287,19.7367
97.8408,0.807,19.313
97.9932,1.0479,18.8892
98.1456,1.7593,18.4654
98.298,2.6528,18.0417
98.4504,2.7768,17.6179
98.6028,2.6111,17.1941
98.7552,1.8756,16.7704
98.9076,1.083,16.3466
99.06,0.7868,16.0
99.2124,0.7006,16.0
99.3648,0.7048,16.0
99.5172,0.7656,16.0
99.6696,0.777,16.0
99.822,0.7331,16.0
99.9744,0.7364,16.0
100.1268,0.8178,14.3841
100.2792,0.8287,14.4429
100.4316,0.7743,14.1528
100.584,0.6662,13.6015
100.7364,0.4902,13.5119
100.8888,0.3721,13.6547
101.0412,0.3321,13.7976
101.1936,0.3325,13.9405
101.346,0.3344,14.1746
101.4984,0.3182,14.5714
101.6508,0.3304,14.4047
101.8032,0.4373,14.6188
101.9556,0.5235,14.9939
102.108,0.5105,15.3689
102.2604,0.541,15.4294
102.4128,0.6139,16.2857
102.5652,0.6373,16.4066
102.7176,0.6289,17.4149
102.87,0.6273,20.9247
103.0224,0.6158,24.4345
103.1748,0.6341,27.9443
103.3272,0.6775,27.5714
103.4796,0.6756,27.5714
103.632,0.6297,27.5974
103.7844,0.5998,26.308
103.9368,0.5941,24.9955
104.0892,0.5821,23.6829
104.2416,0.558,24.575
104.394,0.5647,24.625
104.5464,0.5925,26.2976
104.6988,0.6064,26.4122
104.8512,0.5863,25.4714
105.0036,0.5386,22.7757
105.156,0.5134,20.08
105.3084,0.5426,19.5
105.4608,0.5977,19.5
105.6132,0.6608,19.7155
105.7656,0.6433,20.039
105.918,0.5194,20.3625
106.0704,0.4287,20.8541
106.2228,0.415,22.2875
106.3752,0.4241,23.0755
106.5276,0.4433,23.0356
106.68,0.4549,23.4492
106.8324,0.4652,23.9658
106.9848,0.4823,24.4825
107.1372,0.4812,25.364
107.2896,0.4744,24.3
107.442,0.4859,24.5556
107.5944,0.487,24.4655
107.7468,0.4593,25.435
107.8992,0.4369,26.4044
108.0516,0.4689,26.9509
108.204,0.5367,26.6862
108.3564,0.6095,26.4214
108.5088,0.6287,26.1567
108.6612,0.5835,25.892
108.8136,0.5585,25.6273
108.966,0.5479,25.3626
109.1184,0.5072,24.8624
109.2708,0.5164,24.5
109.4232,0.5067,24.1784
109.5756,0.4124,23.8035
109.728,0.3402,23.5535
109.8804,0.3303,24.0
110.0328,0.3242,24.0
110.1852,0.3176,22.5658
110.3376,0.3103,21.1112
110.49,0.3141,20.8
110.6424,0.3595,20.6713
110.7948,0.405,21.0776
110.9472,0.4504,21.4942
111.0996,0.4958,20.6
111.252,0.5413,20.9862
111.4044,0.5867,21.9862
111.5568,0.6322,22.8
111.7092,0.6776,22.8
111.8616,0.7231,19.4332
112.014,0.7685,17.0165
112.1664,0.8139,15.6
112.3188,0.9281,16.1335
112.4712,1.0169,17.3647
112.6236,0.9524,18.3333
112.776,0.8487,18.0136
112.9284,0.832,17.3487
113.0808,0.8634,16.3786
113.2332,0.7429,16.7153
113.3856,0.5426,18.0486
113.538,0.3997,18.6
113.6904,0.3817,18.398
113.8428,0.4348,17.1835
113.9952,0.4878,15.9335
114.1476,0.5143,15.8
114.3,0.5314,15.8933
114.4524,0.5212,16.3933
114.6048,0.4866,16.8933
114.7572,0.4631,17.0
114.9096,0.4629,17.0
115.062,0.4572,15.8856
115.2144,0.4378,14.4689
115.3668,0.4386,13.6
115.5192,0.4594,13.6
115.6716,0.455,16.1645
115.824,0.4421,17.5812
115.9764,0.4536,19.1772
116.1288,0.4695,19.034
116.2812,0.4633,18.2266
116.4336,0.4488,17.4765
116.586,0.4405,17.1872
116.7384,0.4423,19.3606
116.8908,0.4471,20.1014
117.0432,0.4499,19.3681
117.1956,0.4491,19.4733
117.348,0.4514,18.2791
117.5004,0.4511,18.4594
117.6528,0.454,17.9214
117.8052,0.4606,17.8495
117.9576,0.4558,17.0
118.11,0.4467,16.9106
118.2624,0.4766,16.8085
118.4148,0.608,16.7064
118.5672,0.7892,16.6044
118.7196,0.8414,16.5023
118.872,0.8134,16.4002
119.0244,0.7915,16.2982
119.1768,0.7972,16.1961
119.3292,0.8318,16.094
119.4816,0.8659,15.6719
119.634,0.8533,14.9505
119.7864,0.8354,13.9487
119.9388,0.8567,13.3853
120.0912,0.8564,13.6473
120.2436,0.7354,13.9896
120.396,0.4902,14.6686
120.5484,0.2899,15.3252
120.7008,0.2185,14.7321
120.8532,0.192,14.7
121.0056,0.1271,16.6327
121.158,0.0622,17.1331
121.3104,0.0028,17.9838
121.4628,0.0678,18.7413
121.6152,0.1328,17.7987
121.7676,0.1977,17.8996
121.92,0.2627,18.5478
122.0724,0.3277,18.9669
122.2248,0.3927,19.6812
122.3772,0.4495,19.8833
122.5296,0.4864,19.4
122.682,0.497,19.8485
122.8344,0.4947,18.6607
122.9868,0.4951,17.8953
123.1392,0.5061,17.8191
123.2916,0.5114,17.4487
123.444,0.5095,16.1345
123.5964,0.5056,15.5918
123.7488,0.4945,14.6547
123.9012,0.4781,14.1503
124.0536,0.4657,15.2587
124.206,0.4643,16.4345
124.3584,0.4715,18.1878
124.5108,0.5051,19.6783
124.6632,0.5288,21.6413
124.8156,0.4835,22.095
124.968,0.4353,25.9878
125.1204,0.4626,26.5495
125.2728,0.5055,28.0614
125.4252,0.5011,29.5919
125.5776,0.4549,32.5922
125.73,0.4171,34.7298
125.8824,0.4136,35.6127
126.0348,0.4761,36.1898
126.1872,0.5369,35.8618
126.3396,0.5181,34.6843
126.492,0.484,34.2049
126.6444,0.4757,34.277
126.7968,0.4747,30.8054
126.9492,0.4826,23.9136
127.1016,0.4796,17.0219
127.254,0.4813,16.25
127.4064,0.5162,16.1868
127.5588,0.5516,16.5862
127.7112,0.5604,17.3381
127.8636,0.5451,18.09
128.016,0.5328,18.8419
128.1684,0.5412,18.9594
128.3208,0.5401,19.1715
128.4732,0.5301,19.5
128.6256,0.5202,17.8503
128.778,0.5142,17.7496
128.9304,0.5083,16.011
129.0828,0.4904,15.1751
129.2352,0.4691,14.8687
129.3876,0.4729,15.5971
129.54,0.4932,16.9861
129.6924,0.4856,22.5741
129.8448,0.4315,29.3956
129.9972,0.3479,36.9336
130.1496,0.3192,41.2222
130.302,0.3338,42.472
130.4544,0.3121,43.1125
130.6068,0.2697,43.4286
130.7592,0.2282,44.3379
130.9116,0.2027,45.6366
131.064,0.2034,47.0991
131.2164,0.2219,46.8634
131.3688,0.23,46.7697
131.5212,0.2382,47.5575
131.6736,0.2463,47.6998
131.826,0.2544,47.4029
131.9784,0.2625,48.0
132.1308,0.2707,48.9251
132.2832,0.2788,49.0571
132.4356,0.2869,50.106
132.588,0.295,49.5762
132.7404,0.2982,49.4512
132.8928,0.2845,48.7339
133.0452,0.2794,49.3322
133.1976,0.2931,48.4757
133.35,0.2982,49.8571
133.5024,0.2974,48.7335
133.6548,0.3058,47.7674
133.8072,0.318,49.3595
133.9596,0.3278,50.3244
134.112,0.328,50.6048
134.2644,0.3174,53.3489
134.4168,0.3111,51.3057
134.5692,0.3101,48.6976
134.7216,0.3123,48.0
134.874,0.3141,49.2486
135.0264,0.3017,50.8276
135.1788,0.2878,52.4065
135.3312,0.2917,53.9855
135.4836,0.2922,54.0
135.636,0.2862,53.5757
135.7884,0.295,52.3682
135.9408,0.304,51.1606
136.0932,0.3022,50.9735
136.2456,0.3055,50.8346
136.398,0.307,50.4688
136.5504,0.3051,50.75
136.7028,0.3126,51.0897
136.8552,0.305,51.4324
137.0076,0.29,51.7752
137.16,0.2894,52.1179
137.3124,0.2907,52.4607
137.4648,0.293,52.8034
137.6172,0.2891,53.1462
137.7696,0.274,53.4889
137.922,0.2796,53.8317
138.0744,0.2964,54.1744
138.2268,0.3034,54.5172
138.3792,0.298,54.8599
138.5316,0.2905,54.113
138.684,0.286,53.5
138.8364,0.2934,52.5369
138.9888,0.2987,51.7746
139.1412,0.311,50.8579
139.2936,0.4213,50.4
139.446,0.6251,50.6327
139.5984,0.7482,50.4079
139.7508,0.7714,51.3228
139.9032,0.7735,52.8032
140.0556,0.7101,53.5211
140.208,0.5568,51.021
140.3604,0.422,48.521
140.5128,0.3598,50.6388
140.6652,0.3137,53.9722
140.8176,0.3044,55.3974
140.97,0.3023,53.8589
141.1224,0.3001,52.3204
141.2748,0.2994,49.8265
141.4272,0.3129,50.6598
141.5796,0.3588,51.2
141.732,0.4884,50.8408
141.8844,0.5466,53.9742
142.0368,0.4503,57.141
142.1892,0.3291,53.7478
142.3416,0.2835,52.5425
142.494,0.3061,50.0402
142.6464,0.3041,48.01
142.7988,0.2933,47.4
142.9512,0.3021,48.4
143.1036,0.275,48.4
143.256,0.3015,48.4
143.4084,0.4342,48.4
143.5608,0.4825,48.5038
143.7132,0.4272,48.6791
143.8656,0.3819,48.8544
144.018,0.3592,48.4933
144.1704,0.37,47.2
144.3228,0.3715,47.2448
144.4752,0.3727,47.3721
144.6276,0.3763,47.497
144.78,0.3731,47.6
144.9324,0.3786,47.6
145.0848,0.3603,49.0636
145.2372,0.296,50.5802
145.3896,0.2611,51.2
145.542,0.3018,51.2
145.6944,0.3441,47.6791
145.8468,0.3952,46.0124
145.9992,0.4885,46.0405
146.1516,0.525,47.842
146.304,0.4439,48.3673
146.4564,0.3915,47.8679
146.6088,0.3919,47.4193
146.7612,0.362,47.0
146.9136,0.346,47.2758
147.066,0.3567,46.3896
147.2184,0.3669,45.1991
147.3708,0.3675,44.0086
147.5232,0.3645,43.8
147.6756,0.3845,43.5298
147.828,0.4479,43.267
147.9804,0.6723,44.259
148.1328,0.9006,45.251
148.2852,1.0576,46.243
148.4376,1.0537,46.4
148.59,0.7538,46.5824
148.7424,0.5735,47.2052
148.8948,0.5946,47.5729
149.0472,0.5786,47.9405
149.1996,0.4835,48.068
149.352,0.4181,47.6
149.5044,0.464,47.2636
149.6568,0.5198,47.5294
149.8092,0.5166,49.3628
149.9616,0.5097,51.1962
150.114,0.5028,52.5848
150.2664,0.4959,52.8
150.4188,0.489,52.9978
150.5712,0.4822,56.5221
150.7236,0.4753,60.0676
150.876,0.4684,60.1266
151.0284,0.4615,56.6457
151.1808,0.4546,53.1648
151.3332,0.4477,55.0
151.4856,0.4409,55.1539
151.638,0.434,55.1823
151.7904,0.4494,53.7399
151.9428,0.4654,52.2976
152.0952,0.4656,50.6
152.2476,0.4668,50.3256
152.4,0.4709,50.2801
152.5524,0.4707,51.173
152.7048,0.4733,52.0659
152.8572,0.4759,53.0
153.0096,0.4785,52.7732
153.162,0.4811,54.2908
153.3144,0.4837,55.5
153.4668,0.4863,52.4158
153.6192,0.4889,48.5311
153.7716,0.4915,45.4
153.924,0.4941,45.9968
154.0764,0.4967,48.1978
154.2288,0.4993,49.9687
154.3812,0.5019,48.7221
154.5336,0.5045,46.693
154.686,0.5071,44.664
154.8384,0.5097,42.635
154.9908,0.4931,40.7867
155.1432,0.4898,39.6883
155.2956,0.476,38.8584
155.448,0.4403,38.75
155.6004,0.4267,39.5408
155.7528,0.4222,40.8715
155.9052,0.4113,42.2022
156.0576,0.4217,43.5329
156.21,0.4666,44.8635
156.3624,0.4771,46.1942
156.5148,0.4457,46.6126
156.6672,0.5014,45.6304
156.8196,0.6779,44.6482
156.972,0.8738,45.4019
157.1244,0.8956,45.8
157.2768,0.7582,45.9982
157.4292,0.6593,45.4198
157.5816,0.6247,44.8365
157.734,0.6343,44.6
157.8864,0.5867,44.6
158.0388,0.464,44.5009
158.1912,0.3996,44.3342
158.3436,0.4669,44.2
158.496,0.5637,44.2
158.6484,0.631,46.4829
158.8008,0.671,49.5777
158.9532,0.6744,52.2
159.1056,0.6933,52.2
159.258,0.7017,51.5924
159.4104,0.5802,47.503
159.5628,0.4659,43.4137
159.7152,0.5022,42.4
159.8676,0.6498,42.1025
160.02,0.758,41.6025
160.1724,0.7734,41.2
160.3248,0.7808,41.2
160.4772,0.8082,41.2853
160.6296,0.791,41.7229
160.782,0.7697,42.1604
160.9344,0.748,41.4994
161.0868,0.7317,40.7859
161.2392,0.7396,39.4603
161.3916,0.7587,38.7042
161.544,0.762,40.2314
161.6964,0.7601,41.8703
161.8488,0.763,42.6
162.0012,0.7753,42.9953
162.1536,0.8011,41.0647
162.306,0.7494,39.8418
162.4584,0.6865,40.2
162.6108,0.702,41.1901
162.7632,0.7288,41.5294
162.9156,0.7326,41.6046
163.068,0.7214,41.7257
163.2204,0.6932,43.0251
163.3728,0.6895,44.4934
163.5252,0.7075,44.6704
163.6776,0.6451,45.0592
163.83,0.4937,45.3985
163.9824,0.4068,42.3071
164.1348,0.4839,40.8603
164.2872,0.5915,39.9658
164.4396,0.6314,40.2823
164.592,0.6298,40.0479
164.7444,0.6157,39.7527
164.8968,0.5992,40.055
165.0492,0.5891,40.5669
165.2016,0.5918,41.0788
165.354,0.6038,41.5907
165.5064,0.6212,42.1027
165.6588,0.6424,42.6146
165.8112,0.6499,43.1265
165.9636,0.6635,43.3333
166.116,0.6703,42.4381
166.2684,0.5918,43.5512
166.4208,0.5424,44.8773
166.5732,0.5767,44.1136
166.7256,0.5943,42.822
166.878,0.5999,41.0714
167.0304,0.5993,39.6602
167.1828,0.5891,38.8629
167.3352,0.5852,38.7112
167.4876,0.7446,38.9511
167.64,0.9057,40.3109
167.7924,0.9263,42.6049
167.9448,1.029,42.7274
168.0972,1.2636,40.5494
168.2496,1.3797,38.3713
168.402,1.1458,36.1932
168.5544,0.9793,35.75
168.7068,0.9953,35.75
168.8592,0.9062,35.3928
169.0116,0.7744,34.9359
169.164,0.7289,34.75
169.3164,0.6835,36.1234
169.4688,0.638,38.425
169.6212,0.5926,40.7267
169.7736,0.9491,43.0283
169.926,1.2183,43.0
170.0784,0.9862,43.0
170.2308,0.7473,43.9566
170.3832,0.6441,43.7362
170.5356,0.5766,43.5159
170.688,0.5664,43.2955
170.8404,0.5685,41.6
170.9928,0.573,41.6
171.1452,0.5802,41.4332
171.2976,0.5636,46.1655
171.45,0.5108,50.8979
171.6024,0.4858,52.1938
171.7548,0.5304,51.4
171.9072,0.5681,49.7418
172.0596,0.5737,46.5582
172.212,0.5752,43.3747
172.3644,0.5766,40.1912
172.5168,0.5775,37.0077
172.6692,0.5468,37.2964
172.8216,0.4708,37.6
172.974,0.46,37.6665
173.1264,0.5195,39.5275
173.2788,0.5429,41.3927
173.4312,0.5467,43.2579
173.5836,0.553,45.123
173.736,0.5555,43.8206
173.8884,0.5534,43.5206
174.0408,0.5493,40.884
174.1932,0.5456,41.6693
174.3456,0.542,42.9975
174.498,0.5412,42.0016
174.6504,0.5451,42.2492
174.8028,0.5463,42.6659
174.9552,0.5129,44.1213
175.1076,0.4522,49.7774
175.26,0.4108,55.4335
175.4124,0.4107,56.0012
175.5648,0.4544,52.342
175.7172,0.5201,48.6828
175.8696,0.5452,46.0602
176.022,0.4998,47.0
176.1744,0.4389,47.4786
176.3268,0.4108,49.9841
176.4792,0.4047,52.4947
176.6316,0.3992,53.1997
176.784,0.3986,52.5021
176.9364,0.6912,50.8785
177.0888,1.2758,49.6286
177.2412,1.0083,49.8
177.3936,0.5401,52.3607
177.546,0.51,55.1173
177.6984,0.4351,55.9866
177.8508,0.3812,55.5385
178.0032,0.3582,56.1423
178.1556,0.3588,56.4078
178.308,0.3665,55.0029
178.4604,0.3743,53.2012
178.6128,0.382,51.4011
178.7652,0.3897,53.6276
178.9176,0.3975,55.1781
179.07,0.403,56.4272
179.2224,0.3715,56.0044
179.3748,0.3424,51.002
179.5272,0.3608,46.0017
179.6796,0.4013,45.4
179.832,0.4698,43.5003
179.9844,0.6684,42.2502
180.1368,0.8912,40.6003
180.2892,0.9474,41.1614
180.4416,1.0328,42.6295
180.594,1.0221,43.6247
180.7464,0.8817,43.0
180.8988,0.9047,45.0765
181.0512,1.0835,47.3507
181.2036,1.0617,50.0
181.356,0.9092,47.5193
181.5084,0.8208,44.3414
181.6608,0.8102,41.3994
181.8132,0.8238,41.8009
181.9656,0.9187,44.1744
182.118,1.3303,46.5479
182.2704,1.3181,46.8
182.4228,0.9742,43.2315
182.5752,0.8794,39.7313
182.7276,0.9251,37.7201
182.88,0.8636,38.8333
183.0324,0.7539,39.3773
183.1848,0.7423,41.3096
183.3372,0.8265,42.053
183.4896,0.8257,40.9376
183.642,0.7785,39.8221
183.7944,0.7627,40.0012
183.9468,0.7275,41.3763
184.0992,0.7369,43.3201
184.2516,0.8025,43.8571
184.404,0.7308,44.6783
184.5564,0.669,46.726
184.7088,0.6965,48.7737
184.8612,0.6645,49.479
185.0136,0.6733,48.1803
185.166,0.77,46.7566
185.3184,0.8784,46.1111
185.4708,1.0738,46.0018
185.6232,1.0826,46.7074
185.7756,0.9426,46.3935
185.928,0.9551,46.1429
186.0804,0.9053,46.1429
186.2328,0.8271,45.0754
186.3852,0.9623,44.8291
186.5376,1.196,44.1366
186.69,1.1182,43.5714
186.8424,0.7896,43.4885
186.9948,0.6063,43.0772
187.1472,0.5493,42.6663
187.2996,0.5155,42.5714
187.452,0.5226,42.8717
187.6044,0.5235,43.3337
187.7568,0.5324,43.542
187.9092,0.6133,45.4444
188.0616,0.7144,45.4444
188.214,0.7097,45.5721
188.3664,0.6442,45.8967
188.5188,0.5856,46.2214
188.6712,0.6553,46.2857
188.8236,0.7571,46.6212
188.976,0.7777,44.8156
189.1284,0.7129,42.6078
189.2808,0.6235,41.8571
189.4332,0.5618,42.6321
189.5856,0.5722,44.2036
189.738,0.6177,44.5
189.8904,0.531,44.5241
190.0428,0.4485,45.077
190.1952,0.4996,45.9163
190.3476,0.528,46.75
190.5,0.4931,47.0
190.6524,0.5337,48.1393
190.8048,0.6405,49.2048
190.9572,0.6476,48.9816
191.1096,0.5205,48.7583
191.262,0.4421,49.375
191.4144,0.4508,51.8258
191.5668,0.4871,52.1292
191.7192,0.4575,51.5385
191.8716,0.4196,52.0833
192.024,0.417,49.9757
192.1764,0.3922,47.2482
192.3288,0.355,47.8602
192.4812,0.3838,48.274
192.6336,0.4479,49.015
192.786,0.4718,51.0022
192.9384,0.4669,51.7165
193.0908,0.4891,52.4
193.2432,0.5156,50.8269
193.3956,0.5127,48.7435
193.548,0.509,46.6601
193.7004,0.4952,47.4324
193.8528,0.4536,48.6263
194.0052,0.4203,50.0627
194.1576,0.4123,49.6645
194.31,0.4183,49.5456
194.4624,0.4244,50.0721
194.6148,0.4146,50.3389
194.7672,0.4192,51.4342
194.9196,0.4314,53.1009
195.072,0.4255,52.8
195.2244,0.4146,51.9265
195.3768,0.4094,52.0985
195.5292,0.4123,51.0565
195.6816,0.4186,52.5244
195.834,0.4571,54.3995
195.9864,0.5679,55.1982
196.1388,0.6997,56.5419
196.2912,0.7297,57.1769
196.4436,0.6566,55.1429
196.596,0.5915,55.1306
196.7484,0.5305,51.7628
196.9008,0.398,49.4142
197.0532,0.2944,48.4286
197.2056,0.3091,48.2932
