DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HDP3,HDPT,HDP4,HDP5,HDP6,HVOL,AVOL,HP01,HP02,BIT
1716.8,50.059732,3374.023438,120.158325,0.310094,8.759107,0.041287,2.474767,3.274568,88.777005,93.399036,3.591975,4.884451,4.667923,4.862723,4.823858,4.798121,0.137409,0.049727,4.928199,4.901903,8.5
1716.9,50.077796,3374.023438,120.680429,0.310057,8.766871,0.040855,2.47186,3.276147,88.880793,93.369042,3.615197,5.142255,4.94771,5.122761,5.087859,5.064725,0.137624,0.049943,5.18147,5.157905,8.5
1717.0,50.092127,3376.173799,122.010975,0.31088,8.772812,0.044276,2.473651,3.283754,88.949846,93.319816,3.634048,5.069712,4.920628,5.054803,5.02808,5.010345,0.137563,0.049882,5.099664,5.081671,8.5
1717.1,50.150507,3383.258854,123.235036,0.312293,8.762833,0.050358,2.476951,3.296409,88.939122,93.308256,3.629337,4.793021,4.682448,4.781981,4.762174,4.749016,0.136854,0.049172,4.815177,4.80187,8.5
1717.2,50.148696,3388.671875,122.334211,0.313026,8.727365,0.056245,2.476623,3.306849,88.810865,93.328494,3.579628,4.6729,4.571032,4.662732,4.644484,4.632359,0.135505,0.047823,4.693304,4.681051,8.5
1717.3,50.113264,3381.987586,118.863582,0.312775,8.676345,0.060027,2.471714,3.297444,88.586311,93.378759,3.48988,4.851439,4.730523,4.83936,4.817693,4.803303,0.13399,0.046308,4.875688,4.861124,8.5
1717.4,50.110197,3376.277387,114.899671,0.311528,8.629878,0.061694,2.466017,3.268759,88.323473,93.436301,3.394648,4.970229,4.818223,4.955025,4.927776,4.909695,0.132867,0.045186,5.000779,4.982426,8.5
1717.5,50.128436,3376.626476,111.880789,0.309604,8.6039,0.061047,2.460767,3.243655,88.088377,93.477753,3.33788,5.200995,5.001994,5.181056,5.14536,5.121701,0.132514,0.044833,5.241107,5.217002,8.5
1717.6,50.120546,3371.717869,110.497711,0.30668,8.607157,0.059187,2.458611,3.225791,87.912615,93.530331,3.332873,5.316596,5.074259,5.292269,5.248763,5.219959,0.133022,0.04534,5.365587,5.336138,8.5
1717.7,50.08854,3366.80929,111.681111,0.302894,8.636897,0.058216,2.463607,3.210519,87.797215,93.613422,3.376762,5.125821,4.876853,5.100808,5.056094,5.026502,0.13413,0.046448,5.176214,5.145919,8.5
1717.8,50.113685,3368.971956,114.368041,0.299381,8.678832,0.058108,2.473532,3.204352,87.722844,93.655811,3.455771,4.991346,4.771375,4.96927,4.92978,4.90363,0.135359,0.047677,5.035795,5.009078,8.5
1717.9,50.137693,3371.640658,116.537277,0.297527,8.715988,0.057123,2.482223,3.206313,87.668586,93.702132,3.548059,4.937126,4.768028,4.920191,4.889859,4.869744,0.136348,0.048666,4.971176,4.950717,8.5
1718.0,50.095402,3371.549084,116.975281,0.297545,8.742218,0.054106,2.486134,3.209981,87.632429,93.766622,3.615696,4.868939,4.761386,4.858195,4.838921,4.826117,0.137072,0.049391,4.890504,4.877553,8.5
1718.1,50.072658,3381.325736,116.471306,0.299366,8.762323,0.049107,2.484329,3.212976,87.618852,93.792754,3.650373,4.928397,4.878445,4.923419,4.914474,4.908524,0.137652,0.04997,4.938373,4.932384,8.5
1718.2,50.098925,3388.671875,116.004618,0.303882,8.779146,0.043802,2.478216,3.224799,87.622319,93.791218,3.671556,5.139674,5.123526,5.138068,5.135179,5.133255,0.13813,0.050449,5.142886,5.140958,8.5
1718.3,50.105145,3391.15696,116.295687,0.311349,8.792787,0.041088,2.472541,3.250124,87.617756,93.80525,3.705777,5.191232,5.164772,5.188599,5.183865,5.180712,0.138514,0.050833,5.196503,5.193339,8.5
1718.4,50.143126,3391.044267,116.925347,0.319026,8.803552,0.04285,2.472584,3.282954,87.563596,93.840339,3.743107,5.035617,4.95526,5.0276,5.013209,5.003642,0.13885,0.051168,5.051697,5.042041,8.5
1718.5,50.150263,3391.207526,117.097385,0.323456,8.814097,0.046954,2.476071,3.310015,87.436142,93.804507,3.773174,4.905781,4.745219,4.889704,4.860909,4.841814,0.139248,0.051567,4.938106,4.918684,8.5
1718.6,50.130039,3390.99391,115.989393,0.322546,8.828837,0.049451,2.476748,3.320232,87.213029,93.770642,3.795335,4.925119,4.679189,4.900405,4.856241,4.827025,0.13978,0.052098,4.97493,4.944982,8.5
1718.7,50.135,3391.257676,113.600457,0.316345,8.847737,0.048709,2.473498,3.311186,86.913577,93.740196,3.81976,5.119755,4.796972,5.087226,5.029199,4.990884,0.140403,0.052721,5.185442,5.145928,8.5
