DEPTH,BS:1,BS:2,BS:3,DNPH:1,DNPH:2,DNPH:3,DT:1,DT:2,DT:3,ECGR,EHGR:1,EHGR:2,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HDRA:3,HMIN:1,HMIN:2,HMIN:3,HMNO:1,HMNO:2,HMNO:3,HTEM:1,HTEM:2,HTEM:3,HTNP:1,HTNP:2,PEF8:1,PEF8:2,PEFZ,RHO8:1,RHO8:2,RHOZ,RLA1:1,RLA1:2,RLA1:3,RLA2:1,RLA2:2,RLA2:3,RLA3:1,RLA3:2,RLA3:3,RLA4:1,RLA4:2,RLA4:3,RLA5:1,RLA5:2,RLA5:3,RT_HRLT:1,RT_HRLT:2,RT_HRLT:3,RXO8:1,RXO8:2,RXOZ,RXO_HRLT:1,RXO_HRLT:2,RXO_HRLT:3,SP:1,SP:2,SP:3,TENS:1,TENS:2,TENS:3,TNPH
1276.5024,,8.5,8.5,,0.0081471,0.0076645,,93.5079,94.7311,99.9166,,100.6219,,8.7114,8.6864,,0.0004783,-0.008,,3.0505,3.124,,2.7276,2.7711,,41.2272,42.0257,,0.289584,,2.9595,2.9385,,2.4549,2.4172,,4.7554,4.5786,,5.4538,5.2613,,5.7305,5.4266,,5.7313,5.4692,,5.8442,5.6,,6.683,6.3009,,3.9713,3.9457,,3.8869,3.8584,,195.4136,173.8306,,1382.8754,1370.3502,0.2697
1276.6548,,8.5,8.5,,0.00811831,0.0071599,,93.8899,96.2952,99.7648,,99.3573,,8.7092,8.6629,,0.0007271,-0.0084,,3.1003,3.0319,,2.7631,2.6978,,41.2272,42.0257,,0.288715,,2.8883,2.9542,,2.4551,2.3973,,4.8032,4.3614,,5.596,4.8634,,5.7929,5.0138,,5.8141,5.0825,,5.9347,5.2235,,6.8165,5.7478,,4.0294,3.7391,,3.8849,3.6641,,195.4296,173.8306,,1371.4139,1390.9109,0.2507
1276.8072,,8.5,8.5,,0.00806225,0.0072178,,95.1893,97.4612,98.9325,,98.9927,,8.6568,8.6504,,0.000715,-0.0082,,2.9615,2.5249,,2.6331,2.2854,,41.2272,42.0257,,0.280376,,2.8651,2.9693,,2.4324,2.3805,,4.651,4.4032,,5.3735,4.8086,,5.5178,4.9902,,5.5701,5.0788,,5.6909,5.2378,,6.52,5.7934,,3.7685,3.4755,,3.6305,3.4279,,195.5856,173.5806,,1360.4755,1427.754,0.2494
1276.9596,,8.5,8.5,,0.0082942,0.007571,,96.5795,97.6152,96.6529,,95.7782,,8.6314,8.6326,,-4.89e-05,-0.0082,,2.4718,2.2417,,2.2316,2.0651,,41.2272,42.0257,,0.281186,,2.8455,2.9992,,2.389,2.382,,4.3926,4.6043,,4.9026,5.0332,,5.0457,5.2727,,5.1208,5.3818,,5.2482,5.5628,,5.9403,6.334,,3.3488,3.3415,,3.3134,3.3149,,195.8072,173.1694,,1368.5077,1439.6248,0.2565
1277.112,,8.5,8.5,,0.00846868,0.0079869,,97.5492,92.8265,94.2407,,94.7977,,8.6053,8.6279,,-0.0001828,-0.0068,,1.9964,2.2357,,1.873,2.1205,,41.2272,42.0257,,0.278802,,2.8168,3.0567,,2.3797,2.428,,4.4773,5.0334,,4.859,5.708,,5.0625,5.992,,5.1617,6.1254,,5.3155,6.3529,,5.985,7.299,,2.9945,3.883,,3.0958,3.8131,,195.849,172.8528,,1361.1104,1433.3698,0.2701
1277.2644,,8.5,8.5,,0.00819272,0.0074691,,96.7925,83.5631,90.6866,,90.915,,8.6264,8.5013,,0.0015592,-0.0045,,2.0256,5.8236,,1.9318,5.486,,41.2272,42.0257,,0.270571,,2.8992,3.1736,,2.4064,2.5108,,4.7135,6.452,,5.1327,7.6841,,5.4128,8.018,,5.5307,8.2283,,5.7129,8.5149,,6.5208,9.0366,,3.3486,6.7538,,3.2812,6.5903,,195.7497,172.5999,,1362.7764,1426.6647,0.2354
1277.4168,,8.5,8.5,,0.00738508,0.0059888,,90.9861,73.4247,86.1753,,92.3012,,8.5904,8.5092,,0.0090732,-0.0037,,2.6298,30.2877,,2.4844,27.403,,41.2272,42.0257,,0.247354,,2.9574,3.34,,2.4714,2.5857,,5.0642,8.573,,5.6934,10.2822,,6.0202,10.9353,,6.178,11.2116,,6.3924,11.5715,,7.1576,12.1666,,4.2011,30.792,,4.0186,30.1826,,195.6291,172.6875,,1379.0884,1404.5485,0.1901
1277.5692,,8.5,8.5,,0.00615123,0.0049197,,81.1259,64.6437,82.199,,87.2592,,8.4571,8.5411,,0.0159418,-0.0041,,10.5831,65.7507,,9.6652,59.0179,,41.2272,42.0257,,0.196081,,3.1698,3.4375,,2.5968,2.6163,,6.2561,9.1349,,7.3491,10.9307,,7.7842,11.652,,7.9629,11.8608,,8.241,12.2574,,8.4314,17.3494,,18.3972,82.4082,,7.8518,79.97,,195.5744,172.8972,,1387.9403,1400.9528,0.1632
1277.7216,,8.5,8.5,,0.00509697,0.0052066,,71.257,64.2656,84.6858,,85.8498,,8.4886,8.5646,,0.0153604,-0.0063,,42.8729,37.6909,,38.576,33.7358,,41.2272,42.0612,,0.162287,,3.6068,3.4031,,2.705,2.592,,8.3078,7.1469,,9.9751,8.2633,,10.5923,8.7078,,10.8432,8.8419,,11.2034,9.1273,,12.2505,11.1071,,86.0008,38.2472,,23.7619,36.1796,,195.6485,173.2097,,1402.4907,1418.1683,0.1749
1277.874,,8.5,8.5,,0.00496855,0.0063599,,64.6516,72.7403,91.5047,,86.6924,,8.5477,8.5839,,0.0082746,-0.0074,,69.8366,13.0113,,62.6239,11.6026,,41.2272,42.1898,,0.162391,,3.5932,3.2525,,2.6641,2.5412,,9.262,5.421,,11.1261,5.9884,,11.8922,6.2394,,12.1221,6.3559,,12.5155,6.5474,,17.7248,6.035,,156.104,13.2462,,46.2805,11.9451,,195.605,173.6361,,1405.766,1446.0378,0.2116
