DEPTH,BS:1,BS:2,BS:3,BS:4,CALI:1,CALI:2,CALI:3,CALI:4,CALI:5,CALI:6,CALI:7,CALI:8,CAPD,DPHI,DRHO:1,DRHO:2,DRHO:3,DRHO:4,DT:1,DT:2,DT:3,GR:1,GR:2,GR:3,GR:4,GR:5,GR:6,GR:7,GR:8,GR:9,GRCF,LLD:1,LLD:2,LLD:3,LLD:4,LLG:1,LLG:2,LLS:1,LLS:2,LLS:3,LLS:4,MINV:1,MINV:2,MINV:3,MINV:4,MINV:5,MINV:6,MINV:7,MLL:1,MLL:2,MLL:3,MLL:4,MLL:5,MLL:6,MLL:7,MNOR:1,MNOR:2,MNOR:3,MNOR:4,MNOR:5,MNOR:6,MNOR:7,NPHI:1,NPHI:2,NPHI:3,NPHI:4,PEDF:1,PEDF:2,PEDF:3,PEDF:4,RHOB:1,RHOB:2,RHOB:3,RHOB:4,SP:1,SP:2,SP:3,TEMP:1,TEMP:2,TEMP:3,TEMP:4,TEMP:5,TEMP:6,TEMP:7,TENS:1,TENS:2,TENS:3
1392.4788,8.5,8.5,8.5,8.5,9.1245,9.119,,,9.119,9.0035,9.119,9.1245,8.9655,0.172603,0.0129173,,0.0124174,0.0129173,97.9341,97.799,97.9341,114.133,116.3852,113.0753,,107.7436,113.0753,116.3972,113.0753,116.3852,116.1587,5.2958,89.074,4.2657,5.2958,5.205,5.205,4.8171,75.5877,4.2657,4.8171,2.3784,2.4265,,2.6375,2.4265,2.4265,2.3784,2.3688,2.3657,,2.2435,2.3657,2.3657,2.3688,1.6972,1.756,,1.7107,1.756,1.756,1.6972,0.233459,,0.289432,0.233459,3.2245,,3.1849,3.2245,2.4148,,2.4202,2.4148,154.955,154.7437,154.955,39.9625,39.5996,40.332,,38.8672,40.332,39.5996,683.2161,1056.6896,916.9932
1392.6312,8.5,8.5,8.5,8.5,9.1245,9.119,,,9.119,9.0109,9.119,9.1245,8.9724,0.176074,0.0138857,,0.0281944,0.0138857,98.2231,98.1169,98.2231,115.2203,111.698,119.8653,,138.578,119.8653,113.8057,119.8653,111.698,115.7437,5.2194,72.1375,3.9931,5.2194,5.1317,5.1317,4.7598,59.0639,3.9931,4.7598,2.211,2.5509,,2.4972,2.5509,2.5509,2.211,2.1974,2.0931,,2.0013,2.0931,2.0931,2.1974,1.6499,1.7919,,1.6814,1.7919,1.7919,1.6499,0.247755,,0.255609,0.247755,3.1971,,3.3068,3.1971,2.4089,,2.4321,2.4089,155.5245,155.3161,155.5245,39.9679,39.5996,40.332,,38.8672,40.332,39.5996,686.6705,1059.2513,926.9972
1392.7836,8.5,8.5,8.5,8.5,9.1245,9.119,,,9.119,9.0478,9.119,9.1245,8.9891,0.178596,0.0177524,,0.0163093,0.0177524,98.3988,98.3463,98.3988,114.0617,104.05,124.9326,,131.202,124.9326,106.7874,124.9326,104.05,116.5584,5.0997,68.6826,3.9021,5.0997,5.0142,5.0142,4.6594,46.0881,3.9021,4.6594,1.9887,2.4113,,1.8772,2.4113,2.4113,1.9887,2.1485,2.0021,,2.019,2.0021,2.0021,2.1485,1.5596,1.7157,,1.427,1.7157,1.7157,1.5596,0.260546,,0.215179,0.260546,3.1472,,2.9425,3.1472,2.4046,,2.3953,2.4046,155.9184,155.7758,155.9184,39.967,39.5996,40.332,,38.8672,40.332,39.5996,688.8645,1068.1577,925.8141
1392.936,8.5,8.5,8.5,8.5,9.1245,9.119,,,9.119,9.0488,9.119,9.1245,9.0194,0.178285,0.0206734,,0.0076904,0.0206734,98.4193,98.4172,98.4193,113.8666,99.5297,123.0065,,106.3846,123.0065,100.8323,123.0065,99.5297,110.472,4.9719,85.9994,3.9423,4.9719,4.888,4.888,4.5469,43.9973,3.9423,4.5469,1.8082,2.2165,,1.8798,2.2165,2.2165,1.8082,2.1888,2.0423,,2.1778,2.0423,2.0423,2.1888,1.4636,1.5934,,1.5013,1.5934,1.5934,1.4636,0.266882,,0.203296,0.266882,3.1087,,3.2426,3.1087,2.4051,,2.3882,2.4051,156.3874,156.2299,156.3874,39.9625,39.5996,40.332,,38.8672,40.332,39.5996,679.7346,1069.929,909.5545
1393.0884,8.5,8.5,8.5,8.5,9.1245,9.119,,,9.119,9.0883,9.119,9.1245,9.0417,0.174843,0.0220858,,0.0232568,0.0220857,98.424,98.4206,98.424,114.0095,101.8083,118.8439,,119.3624,118.8439,100.5598,118.8439,101.8083,119.5711,4.9156,153.9293,4.0727,4.9156,4.8337,4.8337,4.497,75.2671,4.0727,4.497,1.8375,1.9812,,1.9714,1.9812,1.9812,1.8375,2.2417,2.1727,,2.3277,2.1727,2.1727,2.2417,1.459,1.5331,,1.5448,1.5331,1.5331,1.459,0.261871,,0.228491,0.261871,3.0815,,3.4579,3.0815,2.411,,2.4197,2.411,156.5765,156.5283,156.5765,39.977,39.5996,40.332,,38.8672,40.332,39.5996,673.0527,1051.4941,910.6918
1393.2408,8.5,8.5,8.5,8.5,9.1245,9.119,,,9.119,9.1214,9.119,9.1245,9.0619,0.171716,0.0209827,,0.0182837,0.0209827,98.4613,98.4467,98.4613,114.7872,108.5568,115.9373,,112.9576,115.9373,106.4009,115.9373,108.5568,115.552,4.8814,156.2617,4.1281,4.8814,4.8011,4.8011,4.4692,116.3262,4.1281,4.4692,1.8938,2.0257,,1.9842,2.0257,2.0257,1.8938,2.2858,2.2281,,2.2323,2.2281,2.2281,2.2858,1.4841,1.5287,,1.4674,1.5287,1.5287,1.4841,0.252723,,0.214139,0.252723,3.043,,3.3076,3.043,2.4164,,2.417,2.4164,156.5571,156.567,156.5571,39.9882,39.5996,40.332,,38.8672,40.332,39.5996,673.4994,1046.4272,924.5488
1393.3932,8.5,8.5,8.5,8.5,9.1245,9.119,,,9.119,9.1287,9.119,9.1245,9.087,0.170556,0.0184609,,0.0059519,0.0184609,98.5968,98.5495,98.5968,115.8789,112.8326,114.1515,,108.7374,114.1515,111.9177,114.1515,112.8326,112.1359,4.8441,143.1016,4.1763,4.8441,4.7649,4.7649,4.4478,263.912,4.1763,4.4478,1.985,2.0345,,2.0337,2.0345,2.0345,1.985,2.3168,2.2763,,2.336,2.2763,2.2763,2.3168,1.5296,1.5587,,1.4508,1.5587,1.5587,1.5296,0.248714,,0.217545,0.248714,2.9899,,2.9324,2.9899,2.4183,,2.4118,2.4183,156.398,156.4648,156.398,39.9789,39.5996,40.332,,38.8672,40.332,39.5996,676.1331,1048.5417,920.45
1393.5456,8.5,8.5,8.5,8.5,9.1238,9.119,,,9.119,9.1431,9.119,9.1238,9.1127,0.170268,0.0164661,,0.0055356,0.016466,98.8146,98.7532,98.8146,117.7639,109.5503,113.5832,,103.6299,113.5832,110.7097,113.5832,109.5503,116.8362,4.805,89.7134,4.2044,4.805,4.7245,4.7245,4.4046,370.6316,4.2044,4.4046,1.9938,2.0458,,1.9919,2.0458,2.0458,1.9938,2.2812,2.3044,,2.4917,2.3044,2.3044,2.2812,1.5456,1.5728,,1.5715,1.5728,1.5728,1.5456,0.247743,,0.214931,0.247743,2.989,,3.494,2.989,2.4188,,2.4008,2.4188,156.3426,156.3335,156.3426,39.9847,39.5996,40.332,,38.8672,40.332,39.5996,674.7366,1056.2026,907.8068
1393.698,8.5,8.5,8.5,8.5,9.1214,9.119,,,9.119,9.1413,9.119,9.1214,9.1308,0.168973,0.0163649,,0.0152854,0.0163648,98.9937,98.9517,98.9937,119.737,103.0387,111.3961,,126.3725,111.3961,104.7277,111.3961,103.0387,122.2457,4.7574,101.1559,4.1999,4.7574,4.6761,4.6761,4.3579,362.6255,4.1999,4.3579,1.9586,2.0244,,2.054,2.0244,2.0244,1.9586,2.2598,2.2999,,2.1818,2.2999,2.2999,2.2598,1.5522,1.5711,,1.611,1.5711,1.5711,1.5522,0.245856,,0.220316,0.245856,3.0564,,3.1391,3.0564,2.4211,,2.4188,2.4211,156.7585,156.6439,156.7585,39.9915,39.5996,40.332,,38.8672,40.332,39.5996,684.3162,1057.2477,914.358
1393.8504,8.5,8.5,8.5,8.5,9.1141,9.119,,,9.119,9.1413,9.119,9.1141,9.1298,0.167965,0.0175948,,0.0177151,0.0175948,98.7632,98.8369,98.7632,116.7117,100.992,107.9229,,120.6796,107.9229,101.3287,107.9229,100.992,116.5198,4.7395,142.1805,4.1818,4.7395,4.6573,4.6573,4.3331,300.1246,4.1818,4.3331,1.8891,1.9948,,1.9377,1.9948,1.9948,1.8891,2.2191,2.2818,,2.2927,2.2818,2.2818,2.2191,1.5363,1.5575,,1.4459,1.5575,1.5575,1.5363,0.237117,,0.241645,0.237117,3.1084,,3.0124,3.1084,2.4228,,2.4179,2.4228,157.0057,156.9348,157.0057,39.9916,39.5996,40.332,,38.8672,40.332,39.5996,679.9677,1049.5436,916.574
