DEPT,RHO8,PEFZ,DT,RLA2,RLA4,RT,RLA0,RXO8,GR,BS,CALI,TVDSS,TENS,RLA3,RLA1,RLA5,SP,HDRA,TNPH
1685.544,2.511,3.383,88.515,5.618,5.705,5.729,0.08,5.472,104.915,8.5,8.925,1360.552,3488.401,5.684,5.707,5.826,-349.817,-0.003,0.277
1685.696,2.512,3.372,87.515,6.103,6.255,6.342,0.081,6.211,114.783,8.5,8.899,1360.693,3365.799,6.223,6.132,6.404,-351.508,-0.004,0.256
1685.849,2.515,3.292,85.321,6.515,6.731,6.935,0.081,6.541,118.179,8.5,8.959,1360.837,3628.866,6.655,6.467,6.886,-350.317,-0.002,0.25
1686.001,2.538,3.224,82.48,7.182,7.538,7.997,0.08,7.831,107.359,8.5,9.026,1360.98,3791.801,7.367,6.991,7.678,-350.137,-0.002,0.246
1686.154,2.504,3.215,82.457,6.633,6.983,7.34,0.081,6.48,98.936,8.5,9.011,1361.125,3733.125,6.802,6.499,7.098,-348.85,-0.002,0.248
1686.306,2.498,3.25,83.202,6.318,6.659,6.942,0.081,5.822,103.25,8.5,9.003,1361.27,3541.199,6.509,6.24,6.769,-347.163,-0.003,0.258
1686.458,2.486,3.289,84.018,6.143,6.46,6.672,0.082,6.031,112.065,8.5,8.959,1361.411,3554.0,6.369,6.136,6.579,-345.65,-0.003,0.26
1686.611,2.512,3.295,84.869,6.12,6.396,6.561,0.08,6.016,104.551,8.5,8.944,1361.554,3561.466,6.347,6.131,6.519,-343.892,-0.001,0.266
1686.763,2.513,3.296,85.63,6.385,6.55,6.729,0.079,6.487,106.198,8.5,8.914,1361.697,3524.267,6.498,6.277,6.672,-342.429,0.0,0.263
1686.916,2.522,3.315,85.56,6.777,6.895,7.071,0.079,6.927,113.05,8.5,8.884,1361.84,3533.866,6.835,6.584,7.0,-341.75,0.0,0.263
1687.068,2.515,3.324,85.317,6.855,6.983,7.049,0.08,7.103,110.78,8.5,8.824,1361.983,3503.133,6.94,6.803,7.087,-341.375,-0.001,0.259
1687.22,2.506,3.316,83.072,6.766,6.931,7.005,0.08,6.914,108.454,8.5,8.835,1362.125,3552.467,6.868,6.757,7.033,-341.629,-0.001,0.256
1687.373,2.511,3.303,80.675,4.652,4.698,4.72,0.082,7.78,110.346,8.5,8.802,1362.272,3610.499,4.642,4.652,4.753,-341.329,-0.002,0.26
1687.525,2.501,3.301,81.901,3.646,3.734,3.717,0.082,4.954,83.096,8.5,8.779,1362.419,3533.934,3.72,3.742,3.769,-345.0,0.0,0.26
1687.678,2.448,3.327,82.535,5.387,5.6,5.601,0.082,4.819,99.844,8.5,8.667,1362.562,3521.533,5.578,5.454,5.653,-342.817,0.002,0.276
1687.83,2.505,3.332,86.516,6.322,6.54,6.668,0.082,6.265,98.294,8.5,8.772,1362.705,3574.267,6.509,6.229,6.575,-341.567,0.006,0.303
1687.982,2.514,3.32,87.878,6.765,6.878,7.623,0.082,6.097,113.658,8.5,8.802,1362.846,3590.667,6.841,6.1,6.916,-339.758,0.005,0.311
1688.135,2.516,3.272,87.522,6.898,7.101,8.061,0.083,6.397,105.593,8.5,8.794,1362.988,3493.866,7.054,6.15,7.129,-338.475,0.002,0.299
1688.287,2.519,3.197,86.914,6.845,7.239,8.099,0.083,6.02,102.598,8.5,8.824,1363.129,3431.2,7.189,6.34,7.272,-337.164,0.002,0.294
1688.44,2.507,3.151,85.495,6.949,7.539,8.53,0.084,5.444,102.41,8.5,8.884,1363.272,3505.601,7.449,6.524,7.58,-336.367,0.009,0.297
1688.592,2.461,3.126,87.913,5.319,5.848,6.612,0.084,4.799,98.146,8.5,8.817,1363.42,3521.187,5.693,5.044,5.882,-336.629,0.021,0.287
1688.744,2.415,3.124,87.403,4.205,4.627,5.148,0.082,3.905,93.807,8.5,8.809,1363.561,3555.214,4.426,3.992,4.642,-336.862,0.024,0.287
1688.897,2.41,3.153,86.473,6.249,6.932,7.977,0.082,3.389,87.676,8.5,8.764,1363.699,3428.934,6.593,5.763,6.933,-337.087,0.029,0.286
1689.049,2.524,3.182,86.872,7.252,7.889,8.964,0.082,6.521,103.856,8.5,8.757,1363.847,3552.188,7.652,6.703,7.876,-336.513,0.022,0.295
1689.202,2.541,3.209,84.166,7.244,7.664,8.913,0.083,7.17,108.373,8.5,8.891,1363.995,3518.734,7.584,6.475,7.691,-334.492,0.018,0.292
1689.354,2.507,3.212,84.982,6.637,6.908,8.097,0.083,6.451,109.735,8.5,8.813,1364.137,3482.0,6.908,5.804,6.978,-332.862,0.003,0.291
1689.506,2.483,3.178,85.757,6.444,6.72,7.927,0.082,5.957,111.546,8.5,8.847,1364.278,3559.133,6.734,5.674,6.805,-331.987,-0.002,0.288
1689.659,2.493,3.1,85.737,6.75,7.144,8.39,0.082,5.804,117.559,8.5,8.854,1364.421,3504.0,7.163,6.067,7.256,-332.992,-0.001,0.288
1689.811,2.44,2.995,87.351,7.185,7.722,9.171,0.082,4.959,104.566,8.5,8.768,1364.567,3484.312,7.671,6.397,7.859,-331.125,0.001,0.286
1689.964,2.334,2.907,89.747,6.489,7.063,8.514,0.081,3.089,101.005,8.5,8.734,1364.712,3412.067,6.86,5.689,7.227,-330.65,0.001,0.295
1690.116,2.289,2.852,92.056,5.995,6.634,8.045,0.081,2.193,95.066,8.5,8.544,1364.854,3442.801,6.322,5.273,6.819,-329.4,-0.002,0.311
1690.268,2.287,2.846,93.32,6.337,7.086,8.668,0.082,2.052,86.911,8.5,8.555,1364.997,3498.4,6.752,5.57,7.303,-330.075,-0.004,0.315
1690.421,2.3,2.885,91.539,6.085,6.743,8.226,0.082,2.054,95.44,8.5,8.555,1365.14,3469.2,6.497,5.333,6.944,-332.508,0.0,0.317
1690.573,2.362,3.004,88.267,6.361,6.829,8.312,0.083,3.006,105.793,8.5,8.585,1365.284,3572.666,6.68,5.412,7.005,-329.337,0.014,0.306
1690.726,2.514,3.114,86.354,7.015,7.351,8.678,0.083,4.843,104.355,8.5,8.72,1365.427,3493.133,7.283,6.135,7.507,-326.75,0.025,0.293
1690.878,2.508,3.186,84.815,6.748,7.025,8.082,0.082,5.779,111.18,8.5,8.839,1365.569,3455.134,7.017,6.087,7.135,-323.167,0.022,0.275
1691.03,2.506,3.186,84.424,6.541,6.8,7.676,0.082,5.821,104.34,8.5,8.869,1365.711,3522.999,6.821,5.995,6.9,-320.25,0.011,0.266
1691.183,2.49,3.169,85.037,6.22,6.461,7.006,0.08,5.873,108.821,8.5,8.88,1365.855,3588.6,6.48,5.874,6.533,-323.598,0.002,0.265
1691.335,2.465,3.151,84.754,5.359,5.589,5.851,0.08,4.917,106.39,8.5,8.869,1365.997,3560.866,5.594,5.218,5.647,-329.896,0.0,0.267
1691.488,2.485,3.118,84.466,5.843,6.149,6.485,0.081,5.791,103.279,8.5,8.854,1366.144,3531.625,6.12,5.7,6.223,-330.021,-0.001,0.282
1691.64,2.49,3.11,83.75,6.18,6.526,6.877,0.081,5.583,107.763,8.5,8.891,1366.29,3526.268,6.441,6.052,6.612,-330.496,0.0,0.277
1691.792,2.49,3.111,82.808,6.074,6.421,6.698,0.081,5.449,107.53,8.5,8.914,1366.433,3488.666,6.269,6.009,6.518,-328.879,0.001,0.267
