DEPTH,BS:1,BS:2,BS:3,BS:4,BS:5,BS:6,DNPH:1,DNPH:2,DTCO:1,DTCO:2,DTCO:3,DTCO:4,DTRP:1,DTRP:2,DTRP:3,DTRP:4,DTRS:1,DTRS:2,DTRS:3,DTRS:4,DTSM:1,DTSM:2,DTSM:3,DTSM:4,DTTP:1,DTTP:2,DTTP:3,DTTP:4,DTTS:1,DTTS:2,DTTS:3,DTTS:4,DT_XD_R,DT_XD_T,ECGR:1,ECGR:2,ECGR:3,ECGR:4,ECGR:5,EHGR,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HTEM:1,HTEM:2,HTNP,PEF8,PEFZ,RHO8,RHOZ,RLA1:1,RLA1:2,RLA2:1,RLA2:2,RLA3:1,RLA3:2,RLA4:1,RLA4:2,RLA5:1,RLA5:2,RT_HRLT:1,RT_HRLT:2,RXO8,RXOZ,RXO_HRLT:1,RXO_HRLT:2,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TENS:4,TENS:5,TENS:6,TNPH
1409.3952,8.5,8.5,8.5,8.5,8.5,8.5,0.0047882,0.00141439,97.9692,,97.9692,,99.3413,,99.3413,,,,,,197.6121,,197.6121,,96.7101,,96.7101,,,,,,194.6636,200.5604,108.4976,,108.4976,,108.9074,111.0686,9.2163,9.3111,9.5561,0.0084,0.0043,2.9996,2.3096,2.7027,2.2341,43.0237,42.0257,0.343049,3.1203,3.1287,2.4275,2.414,4.6055,4.65,4.9228,4.92,5.0991,5.1083,5.1961,5.1976,5.2564,5.253,5.4382,5.4234,4.0018,4.0477,3.9686,3.9351,-436.8988,-443.5625,1587.6935,,1587.6935,,1587.6887,1607.6943,0.338429
1409.5476,8.5,8.5,8.5,8.5,8.5,8.5,0.00223554,0.00285424,97.9509,,97.9509,,99.4101,,99.4101,,,,,,198.666,,198.666,,96.5261,,96.5261,,,,,,196.5222,200.8099,110.0389,,110.0389,,110.5515,115.118,9.4684,9.5869,9.4321,0.004,0.001752,2.6731,2.51,2.498,2.3629,43.0237,42.0257,0.34097,3.1654,3.0847,2.4193,2.4064,4.6883,4.7526,4.9268,4.985,5.0955,5.1495,5.1797,5.2329,5.2454,5.2888,5.383,5.4823,3.9672,4.0535,3.9612,3.8137,-436.9952,-443.5721,1608.5414,,1608.5414,,1608.5508,1564.6426,0.323399
1409.7,8.5,8.5,8.5,8.5,8.5,8.5,0.00306863,0.00390849,97.9861,,97.9861,,99.4949,,99.4949,,,,,,199.7791,,199.7791,,96.5197,,96.5197,,,,,,198.0078,201.5505,108.7634,,108.7634,,109.7611,120.4951,9.2758,9.5074,9.3449,0.0028,0.002654,1.9788,1.8219,2.011,1.8672,43.0237,42.0257,0.334438,3.2064,3.0852,2.4088,2.4003,4.6975,4.6787,4.9998,4.9778,5.1758,5.182,5.2609,5.2509,5.3212,5.3102,5.5564,5.5997,3.6894,3.9248,3.8451,3.7111,-437.0673,-443.6827,1579.0576,,1579.0576,,1579.0505,1604.672,0.328426
1409.8524,8.5,8.5,8.5,8.5,8.5,8.5,0.00483223,0.00393137,97.9787,,97.9787,,99.4509,,99.4509,,,,,,200.8227,,200.8227,,96.4845,,96.4845,,,,,,199.4341,202.2109,112.7021,,112.7021,,113.5235,113.4651,9.1068,9.2886,9.2977,0.0007,0.0026,1.9165,1.7691,1.9305,1.8268,43.0237,42.0257,0.335454,3.1017,3.0906,2.4061,2.3963,4.6373,4.5928,5.0007,4.9888,5.2374,5.2345,5.3039,5.3034,5.3727,5.3651,5.7897,5.857,3.6523,3.7011,3.6416,3.5691,-437.1732,-443.7452,1600.1802,,1600.1802,,1600.1779,1601.7468,0.332702
1410.0048,8.5,8.5,8.5,8.5,8.5,8.5,0.00478475,0.00309151,98.0407,,98.0407,,99.308,,99.308,,,,,,200.9255,,200.9255,,96.7022,,96.7022,,,,,,200.2043,201.6463,113.1361,,113.1361,,113.6669,122.7093,9.2556,9.3734,9.3835,-0.0006,0.002431,1.6947,2.3389,1.7553,2.1985,43.0237,42.0257,0.329283,2.9888,3.1157,2.4188,2.402,4.6482,4.5745,5.0121,5.0058,5.2854,5.2746,5.3551,5.3461,5.4097,5.4004,5.8966,5.912,3.642,3.6274,3.5728,3.693,-437.1346,-443.769,1610.63,,1610.63,,1610.6417,1544.689,0.351005
1410.1572,8.5,8.5,8.5,8.5,8.5,8.5,0.00449914,0.00292288,98.114,,98.114,,98.7753,,98.7753,,,,,,200.8539,,200.8539,,97.1867,,97.1867,,,,,,200.5502,201.1577,111.3148,,111.3148,,111.761,114.7835,9.2838,9.3846,9.3547,-0.0006,0.0027,2.3344,2.9161,2.2108,2.6525,43.0237,42.0257,0.315603,3.086,3.116,2.4386,2.415,4.7227,4.7009,5.1136,5.1217,5.3937,5.403,5.4759,5.4808,5.5233,5.5267,6.0141,5.9766,4.0878,3.7824,3.7198,3.8647,-437.197,-443.9809,1571.2568,,1571.2568,,1571.259,1533.949,0.346169
1410.3096,8.5,8.5,8.5,8.5,8.5,8.5,0.00514748,0.003,98.0852,,98.0852,,98.165,,98.165,,,,,,200.9756,,200.9756,,97.7006,,97.7006,,,,,,200.5593,201.3922,109.2673,,109.2673,,109.6136,117.4599,9.2237,9.3032,9.37,0.0003,0.002177,2.8588,2.0758,2.6227,2.0975,43.0237,42.0257,0.321772,3.1864,3.1029,2.4341,2.4265,4.8662,4.8765,5.2461,5.2159,5.5356,5.5017,5.6296,5.6089,5.6706,5.6283,6.0859,5.9678,4.1655,4.0351,3.9609,4.0135,-437.3607,-443.9952,1558.4386,,1558.4386,,1558.4235,1568.7142,0.346931
1410.462,8.5,8.5,8.5,8.5,8.5,8.5,0.00429151,0.0032,98.0372,,98.0372,,97.5549,,97.5549,,,,,,200.9896,,200.9896,,98.2148,,98.2148,,,,,,200.0446,201.9349,110.3832,,110.3832,,110.8424,114.0408,9.2473,9.3519,9.346,0.0018,0.000146,2.349,2.3831,2.2659,2.2843,43.0237,42.0257,0.320622,3.1748,3.0879,2.4266,2.4326,4.8687,5.0169,5.1947,5.3713,5.4711,5.6536,5.5883,5.7885,5.6152,5.7929,5.9201,6.1724,4.0116,4.1348,4.0557,4.0743,-437.3702,-443.9279,1609.4086,,1609.4086,,1609.4037,1623.9768,0.330311
1410.6144,8.5,8.5,8.5,8.5,8.5,8.5,0.00429237,0.00337712,97.9378,,97.9378,,96.972,,96.972,,,,,,200.7628,,200.7628,,98.6123,,98.6123,,,,,,199.1902,202.3356,112.4215,,112.4215,,112.9576,106.165,9.2222,9.3417,9.3429,0.0038,-0.001831,2.5881,3.2201,2.4434,2.8796,43.0237,42.0257,0.320926,3.187,3.0927,2.4112,2.4327,5.0379,4.9942,5.3957,5.3432,5.6795,5.6456,5.8095,5.7774,5.8265,5.7824,6.2271,6.2358,4.2181,4.1321,4.0581,3.9191,-437.2982,-443.75,1633.3748,,1633.3748,,1633.3789,1621.3544,0.328614
1410.7668,8.5,8.5,8.5,8.5,8.5,8.5,0.0043,0.00334576,97.8262,,97.8262,,96.4414,,96.4414,,,,,,200.5313,,200.5313,,98.946,,98.946,,,,,,198.4376,202.6253,112.1717,,112.1717,,112.6897,99.8737,9.267,9.383,9.3576,0.0066,6e-05,2.4503,2.9599,2.333,2.6334,43.0237,42.0333,0.325764,3.2285,3.1221,2.3961,2.4321,4.9155,4.8224,5.256,5.1446,5.5431,5.4226,5.6751,5.5427,5.6988,5.5512,6.093,5.9197,3.7967,4.0333,3.9604,3.8566,-437.053,-443.5577,1622.2008,,1622.2008,,1622.1958,1610.2139,0.338273
1410.9192,8.5,8.5,8.5,8.5,8.5,8.5,0.00433813,0.00352288,97.8582,,97.8582,,96.229,,96.229,,,,,,200.4283,,200.4283,,99.3816,,99.3816,,,,,,197.961,202.8956,110.4224,,110.4224,,110.8688,118.2401,9.2573,9.3589,9.3766,0.0092,0.004886,1.7912,1.6458,1.8496,1.7579,43.0237,42.1103,0.33916,3.1729,3.1471,2.43,2.4327,4.9105,4.9359,5.2408,5.2866,5.5225,5.561,5.6225,5.6672,5.6539,5.687,6.1009,6.2027,3.7317,3.8095,3.7463,3.6467,-436.7018,-443.3077,1637.9711,,1637.9711,,1637.9723,1639.9144,0.335123
1411.0716,8.5,8.5,8.5,8.5,8.5,8.5,0.00480763,0.0036,98.1166,,98.1166,,96.4893,,96.4893,,,,,,200.2298,,200.2298,,99.8743,,99.8743,,,,,,197.6438,202.8157,110.2116,,110.2116,,110.7553,120.3055,9.207,9.3306,9.3457,0.0097,0.007631,1.666,1.4938,1.7608,1.6363,43.0237,42.0333,0.334731,3.2017,3.1374,2.4294,2.4317,4.9395,4.8328,5.2824,5.1747,5.5562,5.4545,5.644,5.5445,5.6802,5.5916,6.2208,6.1837,3.5839,3.5982,3.5413,3.4096,-436.4905,-443.0095,1635.7305,,1635.7305,,1635.735,1588.0642,0.341975
1411.224,8.5,8.5,8.5,8.5,8.5,8.5,0.00543813,0.00364576,98.2856,,98.2856,,96.3878,,96.3878,,,,,,199.8371,,199.8371,,100.1326,,100.1326,,,,,,197.2371,202.4368,110.9963,,110.9963,,111.5733,111.722,9.1906,9.3207,9.286,0.0063,0.006563,1.7525,1.0531,1.7849,1.2385,43.0237,42.0333,0.332576,3.2283,3.1109,2.405,2.4178,4.7654,4.6774,5.1076,5.0264,5.36,5.2409,5.448,5.3335,5.4881,5.3754,6.0958,5.8793,3.1613,3.2838,3.2367,3.3628,-436.197,-442.8268,1619.9696,,1619.9696,,1619.9664,1608.7621,0.360785
1411.3764,8.5,8.5,8.5,8.5,8.5,8.5,0.00637036,0.00415424,98.1715,,98.1715,,96.1923,,96.1923,,,,,,199.4701,,199.4701,,100.0529,,100.0529,,,,,,196.9633,201.9764,111.1612,,111.1612,,111.5056,112.4667,9.1644,9.2418,9.3211,0.0032,0.003948,1.2219,0.8681,1.3756,1.0912,43.0237,42.1103,0.335763,3.148,3.0829,2.4019,2.4013,4.68,4.7508,5.031,5.1275,5.2373,5.2944,5.3327,5.3996,5.3691,5.4385,5.9389,5.8959,3.6751,3.2315,3.1798,3.4973,-436.0095,-442.8077,1628.964,,1628.964,,1628.9657,1582.2875,0.369714
1411.5288,8.5,8.5,8.5,8.5,8.5,8.5,0.00588475,0.00414576,98.0643,,98.0643,,96.1892,,96.1892,,,,,,199.0848,,199.0848,,99.9379,,99.9379,,,,,,196.898,201.271,110.4861,,110.4861,,111.03,108.0013,9.1694,9.2925,9.3318,0.0039,0.001337,1.0737,1.0993,1.2768,1.3391,43.0237,42.0333,0.345896,3.0269,3.0897,2.4079,2.3829,4.8497,4.8617,5.2175,5.249,5.3892,5.4314,5.4999,5.5464,5.5306,5.5749,6.1163,6.0065,3.9485,3.264,3.2023,3.7038,-435.9423,-442.75,1624.1521,,1624.1521,,1624.1609,1574.3344,0.367124
1411.6812,8.5,8.5,8.5,8.5,8.5,8.5,0.00519151,0.00427712,98.0371,,98.0371,,96.2467,,96.2467,,,,,,198.5953,,198.5953,,99.8561,,99.8561,,,,,,196.8678,200.322,110.4978,,110.4978,,111.0049,113.5097,9.1835,9.2983,9.3368,0.0169,0.003375,1.0214,1.0003,1.2381,1.2084,43.0237,42.0257,0.34554,3.099,3.1296,2.3952,2.3775,4.8372,4.8851,5.1231,5.1855,5.3389,5.3928,5.4354,5.5023,5.4596,5.5248,5.979,6.094,3.4232,3.2364,3.1513,3.0888,-435.9471,-442.7018,1593.2062,,1593.2062,,1593.2083,1584.2871,0.34605
