DEPTH,BS,DI_HRLT,DPH8,DSO8,DT,EHGR_EDTC,HCAL,HDRA,HGR,HGR_EDTC,HMIN,HMNO,HNPO,HTEM,HTNP,PEF8,PEM8,REMS,RHO8,RLA0,RLA1,RLA2,RLA3,RLA4,RLA5,RM_HRLT,ROM8,RO_HILT,RSO8,RT,RT_HRLT,RXO8,RXO_HRLT,SP,SPHI,TENS,TNPH
1144.3716,8.5,28.2556,0.208007,0.012412,100.8726,106.5132,8.6645,0.0049,101.0828,106.5583,1.3827,1.4905,0.3249,39.5983,0.3312,3.0113,1.4962,0.163,2.3544,0.151563,7.9715,9.9773,11.1163,12.0245,13.1469,0.160489,1.2702,9.2793,0.068441,16.7454,16.5191,3.2376,4.5533,-248.5371,0.277975,1322.4509,0.3297
1144.524,8.5,27.7819,0.200519,0.007645,100.3157,112.9422,8.6401,0.0037,101.6678,113.0773,1.2777,1.4801,0.3132,39.5983,0.3231,3.0915,1.4997,0.163,2.3672,0.153466,8.3056,10.4159,11.6029,12.5465,13.6493,0.16152,1.298,9.4032,0.087936,17.1523,17.1548,3.5721,4.6852,-248.9193,0.276086,1333.0808,0.3262
1144.6764,8.5,27.6239,0.196092,0.01292,100.4201,112.1627,8.6615,0.0038,104.8522,112.1331,1.3322,1.5314,0.33,39.5983,0.3295,3.1215,1.498,0.163,2.3747,0.152478,8.0717,10.0939,11.3474,12.1969,13.226,0.161615,1.2851,9.3923,0.081513,16.6495,16.6575,3.5843,4.5245,-248.5507,0.276439,1327.5448,0.3305
1144.8288,8.5,27.4659,0.191665,0.018194,100.5245,111.3831,8.6829,0.0039,108.0366,111.189,1.3867,1.5826,0.3468,39.5983,0.336,3.1514,1.4963,0.163,2.3823,0.151489,7.8379,9.7719,11.0919,11.8474,12.8028,0.161709,1.2722,9.3815,0.075091,16.1468,16.1602,3.5965,4.3639,-248.1822,0.276792,1322.0087,0.3348
1144.9812,8.5,27.308,0.187238,0.023469,100.6289,110.6035,8.7044,0.004,111.2211,110.2449,1.4413,1.6338,0.3636,39.5983,0.3425,3.1813,1.4947,0.163,2.3898,0.1505,7.6041,9.4499,10.8364,11.4978,12.3795,0.161803,1.2593,9.3707,0.068668,15.644,15.6628,3.6087,4.2032,-247.8136,0.277145,1316.4727,0.3392
1145.1336,8.5,27.0106,0.187916,0.01929,100.7076,108.5738,8.7033,0.0037,107.6951,108.2699,1.4651,1.6526,0.3449,39.5983,0.3335,3.1472,1.4959,0.162994,2.3887,0.149328,7.7726,9.8199,11.1666,11.8818,12.7697,0.15908,1.269,9.5407,0.066717,16.0674,16.1963,3.6131,4.2184,-247.2688,0.277423,1316.6636,0.332
1145.286,8.5,26.6937,0.189312,0.013781,100.7827,106.3682,8.699,0.0034,103.2249,106.1498,1.4847,1.6668,0.3213,39.5983,0.3223,3.1039,1.4976,0.162988,2.3863,0.14813,7.9978,10.2874,11.5793,12.3691,13.2745,0.15596,1.2819,9.7361,0.065395,16.6211,16.8748,3.6165,4.2584,-246.6991,0.277689,1317.6605,0.3232
1145.4384,8.5,26.3767,0.190708,0.008272,100.8578,104.1626,8.6948,0.003,98.7547,104.0297,1.5042,1.6809,0.2976,39.5983,0.311,3.0607,1.4993,0.162981,2.3839,0.146931,8.223,10.7549,11.9919,12.8563,13.7793,0.15284,1.2948,9.9316,0.064073,17.1748,17.5533,3.6199,4.2983,-246.1295,0.277956,1318.6573,0.3144
1145.5908,8.5,26.2657,0.197892,0.018302,101.1549,101.465,8.7464,0.0058,93.5335,101.3765,1.4157,1.5749,0.294,39.5983,0.3116,3.0223,1.4973,0.162964,2.3716,0.144937,8.1635,10.6745,11.8753,12.727,13.6387,0.151448,1.2792,9.8803,0.069277,17.0227,17.3552,3.3576,4.2703,-245.4846,0.278968,1314.6227,0.3125
1145.7432,8.5,26.2946,0.209002,0.038874,101.6024,98.4337,8.8359,0.0107,87.8027,98.3615,1.2538,1.3873,0.3038,39.5983,0.3202,2.9871,1.4927,0.16294,2.3527,0.142403,7.9108,10.2226,11.3995,12.1795,13.0602,0.151229,1.2444,9.6616,0.078909,16.3919,16.5625,2.9148,4.1962,-244.7888,0.280486,1307.1746,0.3154
1145.8956,8.5,26.3234,0.220113,0.059446,102.05,95.4024,8.9255,0.0157,82.0719,95.3466,1.0919,1.1998,0.3137,39.5983,0.3287,2.9519,1.4881,0.162916,2.3337,0.139868,7.6582,9.7706,10.9238,11.6319,12.4817,0.151011,1.2095,9.443,0.088541,15.7611,15.7697,2.4721,4.1221,-244.0929,0.282004,1299.7266,0.3182
1146.048,8.5,26.2787,0.217815,0.06386,101.8052,93.6284,8.9598,0.0189,81.6493,93.5662,1.2048,1.2668,0.3184,39.5983,0.3322,2.9506,1.4851,0.1629,2.3376,0.139515,7.6493,9.6662,10.8099,11.4717,12.306,0.151477,1.1866,9.5296,0.087984,15.569,15.4965,2.4585,4.1617,-243.5587,0.281091,1294.3142,0.3193
1146.2004,8.5,26.0741,0.186354,0.033129,100.0547,94.5891,8.8742,0.0185,92.7722,94.4707,1.9153,1.8874,0.3121,39.5983,0.3248,3.0228,1.4856,0.1629,2.3914,0.143905,8.1703,10.3178,11.483,12.1539,13.0065,0.153432,1.1897,10.2803,0.065269,16.3311,16.3533,3.3783,4.4487,-243.3763,0.27489,1293.3298,0.3167
