DEPT,HVOL,AVOL,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
2071.3,0.134269,0.046587,50.9089,3088.867188,121.366187,0.307108,8.658711,0.082116,2.466057,3.225948,88.938726,-5.087277,4.007002,4.753502,4.729914,4.714255,4.694758,4.659873,4.636766,4.519847,8.5
2071.4,0.134559,0.046877,50.886065,3086.914062,122.139998,0.303642,8.665817,0.082576,2.469502,3.205696,88.9353,-5.101569,4.006785,4.705732,4.691447,4.681949,4.670104,4.648864,4.63476,4.563392,8.5
2071.5,0.134916,0.047235,50.863322,3066.40625,123.09502,0.298774,8.677394,0.077999,2.465521,3.198251,88.888048,-5.152654,4.017875,4.736706,4.728145,4.722446,4.715332,4.702555,4.694057,4.651061,8.5
2071.6,0.135176,0.047495,50.857045,3072.265625,124.977376,0.294486,8.688847,0.07169,2.460147,3.218834,88.806954,-5.055348,4.019765,4.841735,4.833864,4.828625,4.822083,4.810331,4.802513,4.762977,8.5
2071.7,0.135183,0.047502,50.831282,3087.402344,125.102271,0.291062,8.694121,0.065541,2.452938,3.248848,88.679961,-5.00852,4.021206,4.831245,4.82041,4.813201,4.804204,4.788055,4.777319,4.723058,8.5
2071.8,0.134924,0.047242,50.888163,3089.355469,125.16795,0.289366,8.689302,0.061658,2.444891,3.276411,88.52663,-5.04805,4.014537,4.827608,4.813418,4.803982,4.792212,4.7711,4.757077,4.686217,8.5
2071.9,0.134552,0.04687,50.957801,3087.402344,123.092467,0.289388,8.677437,0.062985,2.442013,3.298486,88.348663,-5.143836,4.01603,4.761098,4.745716,4.735489,4.722735,4.699866,4.684682,4.607948,8.5
2072.0,0.134248,0.046567,50.954799,3090.820313,121.760184,0.292091,8.665326,0.069461,2.445754,3.308386,88.166019,-5.249656,4.022653,4.782668,4.768178,4.758542,4.746525,4.724971,4.710656,4.638292,8.5
2072.1,0.134105,0.046424,50.862707,3092.285156,120.702142,0.296331,8.657873,0.078165,2.453752,3.293128,87.986536,-5.294356,4.039745,4.802435,4.78943,4.780779,4.769987,4.750623,4.737758,4.672706,8.5
2072.2,0.134127,0.046446,50.882834,3094.238281,120.38162,0.300205,8.656105,0.084268,2.459937,3.26732,87.831392,-5.285538,4.064046,4.852992,4.84018,4.831657,4.821026,4.801948,4.789272,4.725124,8.5
2072.3,0.134319,0.046638,50.902821,3086.425781,119.459857,0.300305,8.659282,0.086044,2.463487,3.240779,87.716831,-5.189144,4.092768,4.897887,4.880642,4.869181,4.854894,4.829286,4.812292,4.726267,8.5
2072.4,0.134659,0.046978,50.85816,3076.171875,118.712572,0.29661,8.668493,0.08346,2.463061,3.235461,87.656567,-5.025852,4.105904,5.04896,5.022863,5.005542,4.983979,4.945406,4.919863,4.79054,8.5
2072.5,0.135003,0.047322,50.905213,3076.171875,118.853197,0.290332,8.681194,0.078218,2.458263,3.249875,87.651384,-4.848269,4.093448,5.139271,5.102468,5.078082,5.047764,4.993653,4.957905,4.7769,8.5
2072.6,0.135111,0.047429,50.894903,3074.707031,117.820468,0.285319,8.690644,0.074061,2.453512,3.277821,87.698136,-4.767687,4.057905,5.061738,5.016943,4.987301,4.950497,4.884937,4.841717,4.622737,8.5
2072.7,0.134805,0.047124,50.933397,3069.824219,117.218269,0.282875,8.688106,0.072625,2.450136,3.287192,87.772852,-4.68437,4.026301,4.898077,4.84777,4.814519,4.773278,4.699932,4.651664,4.407076,8.5
2072.8,0.134169,0.046487,50.945005,3066.40625,117.129539,0.283902,8.670996,0.075292,2.453059,3.294572,87.849942,-4.660955,4.006722,4.827867,4.774016,4.73845,4.694364,4.616041,4.564553,4.303656,8.5
2072.9,0.133496,0.045814,50.940081,3073.730469,118.529175,0.286531,8.647064,0.07991,2.460194,3.292989,87.8925,-4.653961,4.012994,4.97661,4.920672,4.88373,4.837943,4.756606,4.703144,4.432335,8.5
2073.0,0.13306,0.045378,50.969082,3090.820313,118.055533,0.288291,8.627497,0.086053,2.473177,3.294564,87.893986,-4.748226,4.046779,5.053548,5.001967,4.967875,4.925587,4.85038,4.800885,4.550169,8.5
2073.1,0.132941,0.045259,50.947599,3090.820313,117.407769,0.287529,8.618843,0.089894,2.482774,3.284604,87.849745,-4.894185,4.108528,5.094684,5.052256,5.024171,4.989288,4.927118,4.88611,4.678443,8.5
2073.2,0.133062,0.04538,50.930267,3090.820313,116.353099,0.286156,8.619806,0.091142,2.487838,3.288193,87.792866,-5.081499,4.160782,5.063568,5.033688,5.013869,4.989209,4.945136,4.915978,4.768333,8.5
2073.3,0.133305,0.045624,50.916342,3090.820313,115.635386,0.28822,8.626676,0.089624,2.486513,3.292461,87.760754,-5.301045,4.191075,5.07885,5.060451,5.048223,5.032984,5.005677,4.987559,4.895863,8.5
2073.4,0.133554,0.045872,50.860778,3092.285156,113.858591,0.296033,8.635579,0.087549,2.482751,3.295924,87.790657,-5.433625,4.200015,5.095597,5.085343,5.078519,5.070003,5.054709,5.044541,4.993069,8.5
2073.5,0.133708,0.046026,50.907949,3094.238281,112.519128,0.306641,8.642757,0.085354,2.476264,3.291541,87.85577,-5.405346,4.201285,5.065742,5.056904,5.05102,5.043676,5.030485,5.021711,4.97731,8.5
2073.6,0.133742,0.04606,50.898382,3092.285156,111.582758,0.315201,8.645527,0.084999,2.471607,3.28896,87.911575,-5.336319,4.190072,5.104752,5.090575,5.081148,5.069389,5.0483,5.034293,4.963425,8.5
2073.7,0.133724,0.046042,50.913081,3095.703125,111.645553,0.317449,8.644955,0.086806,2.46944,3.285081,87.894781,-5.320203,4.179968,5.116358,5.093087,5.077635,5.058386,5.023929,5.001093,4.885554,8.5
2073.8,0.133761,0.04608,50.904813,3095.703125,112.523232,0.314367,8.644371,0.090476,2.470087,3.279396,87.750188,-5.183366,4.181301,5.102249,5.070342,5.049183,5.02286,4.975829,4.944722,4.787274,8.5
2073.9,0.133926,0.046244,50.948644,3095.703125,114.417059,0.306791,8.647387,0.093149,2.46967,3.278052,87.41577,-5.117989,4.203944,5.048861,5.010141,4.984495,4.952621,4.895764,4.858224,4.668165,8.5
2074.0,0.134192,0.04651,50.936787,3094.238281,116.934394,0.299365,8.654983,0.09281,2.46804,3.28161,86.957686,-5.164209,4.276134,5.046555,5.003458,4.974931,4.939501,4.876363,4.834719,4.623916,8.5
2074.1,0.134492,0.04681,50.847847,3090.820313,118.504676,0.295079,8.664587,0.087929,2.463919,3.300895,86.514037,-5.162992,4.448187,5.149741,5.106201,5.077379,5.041581,4.977781,4.935698,4.722705,8.5
2074.2,0.134767,0.047085,50.956145,3089.355469,119.175252,0.296658,8.674322,0.081166,2.462179,3.330959,86.265202,-5.097311,4.662903,5.602474,5.561729,5.534733,5.501174,5.441287,5.401729,5.201497,8.5
2074.3,0.134974,0.047292,50.959121,3084.472656,117.454593,0.301162,8.682315,0.074906,2.463324,3.369835,86.266805,-5.063558,4.828234,6.100092,6.065972,6.043333,6.015156,5.964775,5.931428,5.762633,8.5
2074.4,0.13509,0.047409,50.960172,3081.054688,114.876218,0.305208,8.687617,0.071766,2.468,3.394409,86.573537,-5.013993,4.862399,5.630801,5.609211,5.594865,5.576987,5.544954,5.523705,5.41619,8.5
2074.5,0.135125,0.047443,50.950665,3082.519531,112.311843,0.307927,8.689817,0.072009,2.472384,3.39887,87.121008,-4.962299,4.785057,5.016188,5.004615,4.996916,4.987309,4.970064,4.958602,4.900617,8.5
2074.6,0.135113,0.047431,50.969827,3085.9375,112.486606,0.309578,8.689849,0.075907,2.47595,3.39391,87.78484,-4.910605,4.600166,5.025653,5.017319,5.01177,5.004843,4.992398,4.984119,4.942226,8.5
2074.7,0.135073,0.047391,50.95255,3085.9375,114.428444,0.311114,8.68904,0.081507,2.476739,3.377059,88.34951,-4.871683,4.382411,5.148157,5.136366,5.128521,5.118734,5.101169,5.089495,5.030414,8.5
2074.8,0.135026,0.047344,50.932822,3087.402344,117.967612,0.312547,8.687267,0.084841,2.470813,3.348382,88.706966,-4.868946,4.208376,5.093933,5.073135,5.05932,5.042109,5.011285,4.990848,4.887399,8.5
2074.9,0.135047,0.047365,51.018871,3099.609375,120.628132,0.314913,8.686036,0.084836,2.461682,3.299988,88.809931,-4.885671,4.130351,5.076335,5.043571,5.021849,4.994832,4.946577,4.914673,4.753169,8.5
2075.0,0.135214,0.047532,51.000731,3120.117188,123.137741,0.316187,8.688604,0.081289,2.452074,3.24368,88.681998,-4.927634,4.104774,5.102745,5.058997,5.030042,4.994083,4.930008,4.887752,4.673844,8.5
2075.1,0.135509,0.047827,50.967922,3111.328125,124.380965,0.314818,8.696796,0.076031,2.446471,3.184558,88.385218,-4.992708,4.094223,5.148025,5.097782,5.06456,5.023336,4.949978,4.901668,4.65716,8.5
