DEPT,HVOL,AVOL,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
1110.6,0.137157,0.049476,41.670024,2020.605731,102.597632,0.381304,8.739131,0.115527,2.238986,2.971125,113.644553,-24.487205,1.146555,5.490611,6.338772,6.975818,7.862907,9.753552,11.260306,16.897694,8.5
1110.7,0.138255,0.050573,41.62359,2018.063015,101.350967,0.392546,8.779074,0.123337,2.232072,2.940854,114.358774,-25.211112,1.153299,5.102467,5.826807,6.366064,7.110973,8.678696,9.91181,14.694826,8.5
1110.8,0.138877,0.051196,41.62838,1998.678419,102.035673,0.389925,8.805504,0.126319,2.236067,2.888557,114.711561,-26.181475,1.111564,5.072211,5.693051,6.148763,6.770227,8.052026,9.039217,13.046318,8.5
1110.9,0.138891,0.051209,41.624504,2000.781175,103.080525,0.37632,8.814855,0.121146,2.241484,2.847523,114.62857,-27.250405,1.048652,5.337474,5.885171,6.281245,6.81411,7.890009,8.700285,12.131071,8.5
1111.0,0.138209,0.050527,41.711799,2015.610927,104.519363,0.356338,8.799508,0.110706,2.241421,2.836744,114.133903,-28.573952,1.014554,5.642903,6.157777,6.526877,7.019526,8.001909,8.732099,11.906311,8.5
1111.1,0.13733,0.049649,41.636338,2014.284943,106.879068,0.341528,8.77014,0.10225,2.239586,2.858215,113.317398,-29.994545,1.022108,5.00107,5.452966,5.776708,6.208567,7.068946,7.707842,10.47381,8.5
1111.2,0.136732,0.04905,41.642737,2012.460865,107.555987,0.340743,8.745389,0.09644,2.233732,2.891907,112.267112,-31.422952,1.063355,4.405237,4.872021,5.210452,5.666834,6.591698,7.290923,10.182992,8.5
1111.3,0.136613,0.048931,41.68711,2012.550088,107.094799,0.359018,8.736562,0.096924,2.227051,2.938287,111.670829,-33.078713,1.105624,4.190171,4.82288,5.297882,5.95921,7.36901,8.493472,12.608372,8.5
1111.4,0.13676,0.049079,41.670816,2016.601563,105.93085,0.393954,8.739896,0.107402,2.218837,2.984077,112.7857,-35.006762,1.120558,3.985249,4.909323,5.643857,6.721524,9.217812,11.388391,17.885216,8.5
1111.5,0.136948,0.049266,41.667433,2020.576655,103.070447,0.440626,8.746323,0.12281,2.193543,2.992702,116.346154,-37.538337,1.13811,3.832321,5.046659,6.064398,7.631591,11.549664,15.230754,24.268135,8.5
1111.6,0.13781,0.050128,41.66653,2026.367188,99.758387,0.491011,8.754713,0.137455,2.145572,2.935267,122.062331,-40.313133,1.098712,2.511641,3.425652,4.213089,5.456606,8.691661,11.854686,18.822055,8.5
1111.7,0.141831,0.054149,41.691462,2024.133923,96.395987,0.53095,8.837911,0.142847,2.082198,2.819108,127.777342,-42.7945,0.982655,2.161895,2.89658,3.521054,4.495245,6.981784,9.367659,14.979679,8.5
1111.8,0.149471,0.06179,41.720032,2021.484375,94.621263,0.549596,9.009083,0.139924,2.038116,2.722452,130.908932,-44.407443,0.792678,2.306276,2.866222,3.314296,3.975724,5.52287,6.881849,10.985543,8.5
