wellName,DEPT,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,TVD
,M,INCH,INCH,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,m
Cheal-G1,783.8,12.25,12.772,2.057,143.415,97.283,0.469,4.461,47.447,37.217,21.118,654.016
Cheal-G1,783.9,12.25,12.771,2.056,142.678,97.452,0.449,4.459,44.569,35.651,21.175,654.078
Cheal-G1,784,12.25,12.768,2.058,140.727,98.282,0.43,4.449,43.216,35.482,22.396,654.14
Cheal-G1,784.1,12.25,12.764,2.063,137.937,99.212,0.417,4.344,48.57,40.617,26.762,654.2
Cheal-G1,784.2,12.25,12.708,2.073,134.708,100.648,0.413,4.181,45.064,37.902,25.309,654.26
Cheal-G1,784.3,12.25,12.293,2.091,131.729,100.458,0.416,3.91,31.994,27.413,19.115,654.32
Cheal-G1,784.4,12.25,11.424,2.119,129.386,99.707,0.418,3.626,28.921,25.132,18.11,654.38
Cheal-G1,784.5,12.25,10.324,2.145,128.179,97.712,0.422,3.374,32.724,28.525,20.704,654.44
Cheal-G1,784.6,12.25,9.502,2.168,128.422,97.335,0.421,3.266,37.627,31.663,21.169,654.502
Cheal-G1,784.7,12.25,9.115,2.181,129.684,97.129,0.421,3.259,43.826,35.673,22.068,654.564
Cheal-G1,784.8,12.25,9.019,2.184,131.768,98.302,0.418,3.328,54.577,42.613,23.921,654.626
Cheal-G1,784.9,12.25,9.032,2.181,133.395,99.041,0.416,3.436,61.045,46.687,24.972,654.688
Cheal-G1,785,8.5,9.101,2.176,134.386,100.545,0.411,3.539,65.967,49.743,25.744,654.75
Cheal-G1,785.1,8.5,9.194,2.173,133.783,100.465,0.402,3.592,57.473,44.962,25.354,654.812
Cheal-G1,785.2,8.5,9.277,2.173,132.334,102.231,0.391,3.57,49.347,40.596,25.743,654.874
Cheal-G1,785.3,8.5,9.332,2.176,129.969,102.182,0.376,3.526,40.375,35.364,25.957,654.936
Cheal-G1,785.4,8.5,9.361,2.179,127.642,103.239,0.362,3.45,37.48,34.315,27.932,654.998
Cheal-G1,785.5,8.5,9.375,2.184,125.629,102.167,0.349,3.407,34.486,33.037,29.889,655.06
Cheal-G1,785.6,8.5,9.378,2.19,124.563,102.395,0.344,3.4,33.375,32.696,31.167,655.122
Cheal-G1,785.7,8.5,9.347,2.194,124.233,100.402,0.344,3.477,31.863,31.405,30.361,655.184
