wellName,DEPT,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,TVD
,M,INCH,INCH,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,m
Cheal-G3,682.3,8.5,8.617,2.262,114.242,103.259,0.364,2.927,264.432,133.841,27.325,660.882
Cheal-G3,682.4,8.5,8.616,2.256,114.765,101.114,0.369,2.907,232.03,122.731,27.77,660.976
Cheal-G3,682.5,8.5,8.615,2.252,114.988,98.419,0.369,2.893,194.19,107.36,26.933,661.07
Cheal-G3,682.6,8.5,8.624,2.251,115.045,96.008,0.365,2.891,165.045,94.45,25.68,661.164
Cheal-G3,682.7,8.5,8.651,2.251,115.015,94.803,0.36,2.881,146.028,86.504,25.493,661.258
Cheal-G3,682.8,8.5,8.683,2.25,114.993,94.898,0.355,2.895,119.291,73.663,23.919,661.352
Cheal-G3,682.9,8.5,8.694,2.249,114.946,96.209,0.353,2.898,100.122,65.254,24.032,661.446
Cheal-G3,683,8.5,8.67,2.248,114.938,97.118,0.352,2.909,82.507,57.195,24.325,661.54
Cheal-G3,683.1,8.5,8.63,2.247,115.03,99.895,0.352,2.88,65.418,48.284,23.77,661.632
Cheal-G3,683.2,8.5,8.601,2.244,115.353,101.811,0.35,2.861,53.921,42.244,23.904,661.724
Cheal-G3,683.3,8.5,8.592,2.241,115.973,103.335,0.347,2.811,48.718,39.807,24.845,661.816
Cheal-G3,683.4,8.5,8.595,2.236,116.924,103.162,0.345,2.774,44.465,37.333,24.829,661.908
Cheal-G3,683.5,8.5,8.6,2.23,118.142,101.932,0.344,2.736,41.35,34.997,23.714,662
Cheal-G3,683.6,8.5,8.603,2.22,119.513,97.843,0.343,2.731,37.271,31.766,21.877,662.094
Cheal-G3,683.7,8.5,8.604,2.208,120.889,93.213,0.342,2.724,40.5,34.669,24.123,662.188
Cheal-G3,683.8,8.5,8.614,2.192,122.229,89.24,0.343,2.727,48.765,42.356,30.487,662.282
Cheal-G3,683.9,8.5,8.643,2.174,123.493,87.359,0.347,2.734,49.586,43.773,32.724,662.376
Cheal-G3,684,8.5,8.684,2.158,124.645,85.767,0.353,2.736,47.735,43.333,34.575,662.47
Cheal-G3,684.1,8.5,8.718,2.145,125.556,85.459,0.36,2.729,45.199,42.304,36.251,662.564
Cheal-G3,684.2,8.5,8.73,2.138,126.179,86.068,0.365,2.724,41.452,39.938,36.618,662.658
Cheal-G3,684.3,8.5,8.732,2.136,126.446,88.054,0.366,2.743,38.057,37.227,35.36,662.752
Cheal-G3,684.4,8.5,8.748,2.14,126.391,88.341,0.366,2.765,36.779,35.836,33.728,662.846
Cheal-G3,684.5,8.5,8.743,2.147,126.095,88.982,0.367,2.787,38.781,36.977,33.088,662.94
Cheal-G3,684.6,8.5,8.686,2.15,125.727,87.92,0.37,2.787,43.377,40.008,33.13,663.032
Cheal-G3,684.7,8.5,8.591,2.148,125.433,87.767,0.376,2.772,50.094,44.349,33.378,663.124
