TVD,GR,ROP
73.3044,70.8869,21.4039
73.4568,69.8342,21.1258
73.6092,69.2048,21.4287
73.7616,69.2245,22.0462
73.914,69.6905,21.4452
74.0664,70.5625,20.5616
74.2188,70.7808,19.192
74.3712,71.106,17.6424
74.5236,71.9823,17.6196
74.676,70.0223,17.6536
74.8284,69.9866,19.1236
74.9808,70.6781,20.3938
75.1332,69.3532,21.2141
75.2856,70.353,21.1548
75.438,72.0775,19.7077
75.5904,71.5517,18.2606
75.7428,71.632,18.6443
75.8952,71.5541,19.2694
76.0476,70.7438,21.1474
76.2,70.253,21.9624
76.3524,70.4959,22.4382
76.5048,70.1425,23.1955
76.6572,70.4917,22.9319
76.8096,71.5268,22.4753
76.962,71.0006,22.2556
77.1144,70.8937,22.1675
77.2668,68.9581,23.8405
77.4192,68.531,23.7941
77.5716,68.2069,23.5859
77.724,67.4723,25.5683
77.8764,68.2748,24.2618
78.0288,68.3434,23.4174
78.1812,68.7024,22.5192
78.3336,68.843,20.7019
78.486,69.1712,17.6795
78.6384,70.1252,17.5916
78.7908,72.4058,17.3233
78.9432,75.1894,16.8541
79.0956,75.7134,16.4998
79.248,73.8395,16.2056
79.4004,71.8318,16.2861
79.5528,70.3196,16.0874
79.7052,68.7914,15.708
79.8576,69.4069,15.6792
80.01,69.1858,16.0394
80.1624,67.6475,18.5273
80.3148,68.4056,18.2411
80.4672,69.4521,18.2067
80.6196,69.1606,17.5891
80.772,71.3086,14.6404
80.9244,70.7043,12.1361
81.0768,69.144,11.7823
81.2292,67.4799,13.6269
81.3816,67.1882,15.7119
81.534,66.6097,17.6026
81.6864,68.3517,20.7368
81.8388,70.4396,21.1132
81.9912,71.8599,21.0609
82.1436,73.7857,21.1631
82.296,74.198,20.1409
82.4484,72.1818,19.1712
82.6008,71.282,19.5196
82.7532,69.7274,20.7965
82.9056,69.3895,21.9717
83.058,70.6634,21.8414
83.2104,71.455,20.8619
83.3628,72.7716,20.6114
83.5152,70.9549,17.7991
83.6676,69.6693,18.5818
83.82,66.5651,20.206
83.9724,65.8778,26.647
84.1248,66.3386,29.7412
84.2772,67.2407,32.4439
84.4296,68.1969,38.1916
84.582,67.5455,37.6259
84.7344,66.5442,38.6029
84.8868,65.8571,40.1948
85.0392,64.4641,46.4813
85.1916,63.4593,49.9023
85.344,63.9404,50.175
85.4964,63.9702,49.8138
85.6488,64.6417,40.4398
85.8012,65.9814,30.6765
85.9536,68.2946,21.8042
86.106,69.9881,14.1744
86.2584,72.4766,13.4313
86.4108,74.195,12.5724
86.5632,74.1441,12.7391
86.7156,72.9149,12.1666
86.868,72.3973,12.1988
87.0204,71.6245,12.6743
87.1728,73.0794,12.2724
87.3252,73.2038,13.4993
87.4776,71.7285,14.7699
87.63,71.2377,14.8159
87.7824,69.6264,15.5537
87.9348,69.2314,14.6019
88.0872,69.2157,13.9865
88.2396,67.7997,14.3918
88.392,67.5848,13.9771
88.5444,67.3155,14.3876
88.6968,68.1664,15.3843
88.8492,68.7449,22.2737
89.0016,68.9147,28.5206
89.154,67.1144,31.1812
89.3064,65.7953,33.3401
89.4588,66.0962,38.2041
89.6112,65.3442,36.0797
89.7636,65.4083,35.7518
89.916,64.4851,38.4705
90.0684,64.4285,31.9412
90.2208,63.6056,25.2509
90.3732,65.1681,23.4797
90.5256,66.1034,18.5981
90.678,66.097,15.1307
90.8304,65.0835,16.0775
90.9828,64.1979,15.4012
91.1352,64.8405,14.1387
91.2876,64.7551,14.598
91.44,68.577,16.4411
91.5924,69.236,17.459
91.7448,68.8745,19.1973
91.8972,70.1143,20.8573
92.0496,71.3032,20.0134
92.202,70.7225,20.1779
92.3544,71.0783,23.3173
92.5068,70.807,27.0416
92.6592,69.3056,30.0101
92.8116,67.9877,29.7695
92.964,68.0083,25.605
93.1164,67.921,25.1197
93.2688,69.4181,22.7801
93.4212,73.3267,23.0031
93.5736,72.3062,23.2652
93.726,71.0812,23.1986
93.8784,67.2258,29.8666
94.0308,63.6278,34.1724
94.1832,61.6829,38.8266
94.3356,60.7802,43.3865
94.488,59.8221,38.7382
94.6404,60.9816,32.7474
94.7928,62.2769,31.9629
94.9452,62.6459,30.7201
95.0976,65.4944,25.3837
95.25,66.2661,24.5792
95.4024,66.7289,25.4121
95.5548,68.6007,23.3701
95.7072,68.6803,23.0791
95.8596,68.508,24.5902
96.012,68.9432,22.6655
96.1644,67.1189,20.3693
96.3168,67.4021,21.7689
96.4692,68.2627,21.1915
96.6216,69.1596,18.5377
96.774,69.1708,18.7833
96.9264,69.6507,19.3559
97.0788,69.2349,16.5024
97.2312,67.5901,17.496
97.3836,66.8993,19.5865
97.536,65.8272,17.4621
97.6884,65.7483,19.2911
97.8408,66.1537,21.073
97.9932,66.1687,19.8176
98.1456,65.758,21.5453
98.298,66.0075,18.2378
98.4504,66.5689,14.5408
98.6028,66.2757,15.019
98.7552,66.9482,15.4707
98.9076,67.5316,18.6932
99.06,67.4172,23.4956
99.2124,67.4075,22.7447
99.3648,67.5331,21.9883
99.5172,67.9695,21.5612
99.6696,67.8455,21.443
99.822,67.6106,21.5584
99.9744,66.439,20.3427
100.1268,66.5833,19.2487
100.2792,66.9627,18.7184
100.4316,67.5658,17.4085
100.584,69.3915,18.1854
100.7364,71.025,17.5625
100.8888,71.1323,17.9061
101.0412,69.2943,18.6437
101.1936,67.6423,19.8886
101.346,64.7855,21.9101
101.4984,61.7726,23.1918
101.6508,60.7423,24.0181
101.8032,61.8405,24.0282
101.9556,61.6178,24.1319
102.108,61.9209,24.307
102.2604,62.61,24.5623
102.4128,62.2991,24.7805
102.5652,61.3024,24.7676
102.7176,62.2568,23.7233
102.87,63.8839,22.1472
103.0224,66.6677,21.5583
103.1748,68.6773,21.0527
103.3272,69.6563,27.5967
103.4796,68.649,29.6507
103.632,67.3436,30.4862
103.7844,66.1712,30.6103
103.9368,64.4981,25.17
104.0892,65.959,24.5995
104.2416,65.6372,22.7944
104.394,64.0912,22.3109
104.5464,64.5918,21.4069
104.6988,63.0425,21.5807
104.8512,62.611,21.3734
105.0036,63.4438,20.927
105.156,64.0348,23.2384
105.3084,64.4242,22.5488
105.4608,67.0267,24.8184
105.6132,69.1912,25.2608
105.7656,69.1725,26.3743
105.918,69.1082,26.1798
106.0704,68.3077,25.4426
106.2228,65.9614,24.1629
106.3752,65.0898,21.7536
106.5276,66.2439,21.2873
106.68,65.9061,24.2881
106.8324,65.486,27.6891
106.9848,63.2362,29.8797
107.1372,63.7963,31.5261
107.2896,64.9768,30.5274
107.442,65.4661,29.2235
107.5944,67.1647,28.4377
107.7468,67.8356,28.0209
107.8992,67.3486,26.5222
108.0516,68.2812,24.2715
108.204,68.9695,23.2465
108.3564,69.2641,22.0583
108.5088,70.0728,21.3505
108.6612,69.4191,21.9205
108.8136,68.664,25.4572
108.966,68.1423,29.4302
109.1184,68.2807,28.565
109.2708,68.0953,28.2464
109.4232,67.1427,24.5953
109.5756,66.6689,20.699
109.728,66.836,22.2428
109.8804,67.5255,26.0985
110.0328,68.1945,27.3465
110.1852,69.4149,27.7703
110.3376,70.0712,28.6588
110.49,69.0057,24.8951
110.6424,68.6464,22.5263
110.7948,68.5597,22.1454
110.9472,66.9229,18.111
111.0996,67.0881,19.6495
111.252,65.7031,23.8755
111.4044,65.6776,25.4863
111.5568,64.1898,26.317
111.7092,63.825,27.9409
111.8616,64.2446,25.0901
112.014,63.9261,23.834
112.1664,65.8695,24.7874
112.3188,66.4637,26.18
112.4712,66.0813,24.668
112.6236,67.2636,26.2317
112.776,67.0698,27.7551
112.9284,67.9339,26.4896
113.0808,70.0855,26.1979
113.2332,69.6656,22.6805
113.3856,69.572,18.8859
113.538,69.8783,14.6527
113.6904,69.3678,14.2358
113.8428,70.3073,13.8279
113.9952,69.3685,13.9059
114.1476,67.573,16.0257
114.3,66.8109,20.0558
114.4524,66.4707,24.4294
114.6048,66.5205,28.4589
114.7572,67.2409,29.1946
114.9096,67.4742,27.3844
115.062,67.1416,25.5741
115.2144,70.4898,26.4915
115.3668,71.6405,26.458
115.5192,72.0554,27.3911
115.6716,73.1467,26.9318
115.824,74.6265,25.9786
115.9764,74.4039,23.8012
116.1288,70.9536,23.7256
116.2812,69.3031,23.8816
116.4336,66.3173,23.7592
116.586,65.3939,27.2619
116.7384,65.7947,31.2912
116.8908,65.9831,32.3275
117.0432,65.808,32.7632
117.1956,65.8024,28.8717
117.348,65.5946,25.2645
117.5004,63.9701,24.9863
117.6528,63.2152,24.9588
117.8052,62.9956,25.3626
117.9576,62.7668,25.8481
118.11,62.5128,27.8532
118.2624,62.2588,29.7609
118.4148,62.1477,33.3152
118.5672,63.734,36.1954
118.7196,64.8323,33.7795
118.872,65.2901,31.0273
119.0244,66.5146,29.0064
119.1768,65.5271,27.965
119.3292,64.2361,31.1018
119.4816,63.2251,36.8119
119.634,62.6124,42.0303
119.7864,62.8575,45.0334
119.9388,61.6425,45.0262
120.0912,63.6462,43.3802
120.2436,64.4545,42.3995
120.396,63.8891,39.4253
120.5484,64.5884,39.0319
120.7008,63.6692,42.9154
120.8532,62.1837,43.2403
121.0056,63.7344,40.4171
121.158,64.7784,39.2267
121.3104,65.046,31.5343
121.4628,66.2333,25.9349
121.6152,65.5532,31.011
121.7676,64.7083,32.9853
121.92,66.0484,37.6019
122.0724,65.8585,42.6786
122.2248,65.0093,41.7645
122.3772,65.9676,40.091
122.5296,66.5149,40.9139
122.682,67.9593,40.0188
122.8344,68.5735,36.847
122.9868,65.7589,34.5492
123.1392,63.1947,33.6856
123.2916,61.3772,42.314
123.444,62.1513,44.6113
123.5964,63.9422,45.7489
123.7488,66.2168,42.1194
123.9012,66.6005,29.6637
124.0536,66.3601,21.3018
124.206,64.937,19.3676
124.3584,66.0293,15.4028
124.5108,66.3101,11.4549
124.6632,66.2183,11.5624
124.8156,66.1862,11.7689
124.968,65.208,13.0547
125.1204,64.708,13.8793
125.2728,64.9195,14.9333
125.4252,65.0898,15.1841
125.5776,65.9961,19.7102
125.73,65.6489,20.2654
125.8824,67.7433,22.8058
126.0348,71.1991,27.7932
126.1872,71.7511,23.5054
