DEPT,ROP,GR
83.6676,0.8851,18.0967
83.82,0.8781,17.2713
83.9724,0.876,16.9458
84.1248,0.894,17.2497
84.2772,0.871,16.5375
84.4296,0.8339,16.4461
84.582,0.8465,16.5137
84.7344,0.8614,15.2469
84.8868,0.859,14.7149
85.0392,0.8757,14.557
85.1916,0.9089,15.0154
85.344,0.8843,16.3681
85.4964,0.6976,17.7208
85.6488,0.6279,17.9462
85.8012,0.6728,17.9685
85.9536,0.4828,19.5059
86.106,0.2323,19.1057
86.2584,0.201,19.2936
86.4108,0.1669,19.2093
86.5632,0.1013,19.1482
86.7156,0.0636,19.6634
86.868,0.0588,18.9197
87.0204,0.0631,20.324
87.1728,0.0792,21.0713
87.3252,0.0948,19.9366
87.4776,0.1223,19.2885
87.63,0.1503,18.7223
87.7824,0.1494,18.4966
87.9348,0.1268,18.3853
88.0872,0.1706,19.1552
88.2396,0.3371,19.5025
88.392,0.4919,19.6778
88.5444,0.5247,19.9957
88.6968,0.522,19.3933
88.8492,0.5298,19.1089
89.0016,0.5275,18.7994
89.154,0.5163,19.0064
89.3064,0.5129,18.8009
89.4588,0.5323,19.347
89.6112,0.5641,20.5517
89.7636,0.5878,20.7263
89.916,0.6009,20.6066
90.0684,0.6071,20.7618
90.2208,0.6029,20.3872
90.3732,0.5992,21.6029
90.5256,0.6086,21.4212
90.678,0.6129,21.0463
90.8304,0.6043,18.999
90.9828,0.5975,16.8573
91.1352,0.5897,15.6959
91.2876,0.5906,16.7085
91.44,0.6215,17.4918
91.5924,0.5491,18.5808
91.7448,0.4099,19.6885
91.8972,0.3634,19.6314
92.0496,0.3591,19.9899
92.202,0.3183,19.4553
92.3544,0.2564,18.5354
92.5068,0.2128,19.4634
92.6592,0.202,19.9205
92.8116,0.2696,20.5143
92.964,0.3886,22.1791
93.1164,0.4458,21.6223
93.2688,0.4593,21.1028
93.4212,0.4661,20.2381
93.5736,0.4367,18.6065
93.726,0.4848,17.829
93.8784,0.5778,17.7375
94.0308,0.5764,17.4158
94.1832,0.5773,18.8999
94.3356,0.6444,18.4143
94.488,0.6706,17.9502
94.6404,0.6376,18.5355
94.7928,0.6332,19.0822
94.9452,0.6633,19.4301
95.0976,0.6936,20.3649
95.25,0.7342,20.6952
95.4024,0.7824,20.8505
95.5548,0.7949,21.1041
95.7072,0.7358,20.3779
95.8596,0.679,20.5515
96.012,0.6679,21.2036
96.1644,0.6703,20.5163
96.3168,0.67,21.1096
96.4692,0.6605,21.1721
96.6216,0.6882,21.2136
96.774,0.747,21.6513
96.9264,0.7436,21.1592
97.0788,0.6948,20.9616
97.2312,0.7011,21.8021
97.3836,0.7193,21.4719
97.536,0.7051,21.1983
97.6884,0.7272,20.9246
97.8408,0.8022,20.651
97.9932,1.0322,20.3773
98.1456,1.7253,20.1037
98.298,2.6439,19.83
98.4504,2.7782,19.5564
98.6028,2.6232,19.2827
98.7552,1.9074,19.0091
98.9076,1.1001,18.7354
99.06,0.7918,18.5016
99.2124,0.7013,19.4694
99.3648,0.7032,20.6039
99.5172,0.7638,20.254
99.6696,0.7784,19.598
99.822,0.7343,18.508
99.9744,0.7338,16.287
100.1268,0.8163,15.0425
100.2792,0.8298,14.8213
100.4316,0.7775,15.0007
100.584,0.672,14.5252
100.7364,0.4963,15.4081
100.8888,0.3747,14.7492
101.0412,0.3325,14.0476
101.1936,0.3323,14.1789
101.346,0.3347,14.2409
101.4984,0.3189,15.4108
101.6508,0.3278,16.0251
101.8032,0.4324,16.6982
101.9556,0.5228,17.3894
102.108,0.5109,16.8146
102.2604,0.5383,15.6937
102.4128,0.6119,16.8073
102.5652,0.6374,18.3077
102.7176,0.629,19.6045
102.87,0.6276,22.4543
103.0224,0.6161,24.4821
103.1748,0.6323,25.9801
103.3272,0.6764,27.5792
103.4796,0.6771,27.6476
103.632,0.6314,28.1059
103.7844,0.6003,25.9291
103.9368,0.5943,24.7555
104.0892,0.5832,24.567
104.2416,0.5585,24.898
104.394,0.5637,24.3408
104.5464,0.5916,25.4093
104.6988,0.6064,24.9769
104.8512,0.5879,25.3737
105.0036,0.5404,23.8966
105.156,0.5131,22.9588
105.3084,0.5408,22.1554
105.4608,0.5951,21.6436
105.6132,0.6592,21.6392
105.7656,0.647,22.3577
105.918,0.5246,22.6986
106.0704,0.4301,22.6743
106.2228,0.4149,23.3288
106.3752,0.4234,24.0461
106.5276,0.4427,24.0809
106.68,0.4546,24.5698
106.8324,0.4645,23.2669
106.9848,0.482,24.3943
107.1372,0.4815,25.1659
107.2896,0.4744,25.5946
107.442,0.4853,26.1529
107.5944,0.4878,26.2251
107.7468,0.4606,25.9028
107.8992,0.4367,25.5619
108.0516,0.4664,25.221
108.204,0.5338,25.2155
108.3564,0.6072,25.3246
108.5088,0.6299,25.4337
108.6612,0.5854,25.5428
108.8136,0.5585,25.6519
108.966,0.5495,25.761
109.1184,0.508,25.6264
109.2708,0.5155,25.5954
109.4232,0.5093,25.23
109.5756,0.4167,25.6962
109.728,0.3413,24.4379
109.8804,0.3305,24.3488
110.0328,0.3245,23.567
110.1852,0.3179,22.1531
110.3376,0.3107,21.9442
110.49,0.3122,22.0367
110.6424,0.3577,21.7333
110.7948,0.4031,21.2428
110.9472,0.4485,22.7862
111.0996,0.494,22.1234
111.252,0.5394,22.8465
111.4044,0.5849,24.2865
111.5568,0.6303,23.6439
111.7092,0.6758,21.9119
111.8616,0.7212,19.9159
112.014,0.7666,17.7647
112.1664,0.8121,17.1125
112.3188,0.922,18.0146
112.4712,1.0165,18.3282
112.6236,0.9571,19.033
112.776,0.8513,18.5499
112.9284,0.8309,17.3349
113.0808,0.8649,17.4133
113.2332,0.751,18.4741
113.3856,0.5502,18.8507
113.538,0.4021,19.1787
113.6904,0.3802,18.7343
113.8428,0.4323,17.206
113.9952,0.4864,16.9069
114.1476,0.5135,17.6417
114.3,0.5312,17.6129
114.4524,0.5224,17.9229
114.6048,0.4879,18.7555
114.7572,0.4634,17.8235
114.9096,0.4628,17.3221
115.062,0.458,17.509
115.2144,0.4384,15.4078
115.3668,0.4378,14.9132
115.5192,0.459,15.8197
115.6716,0.4557,17.2798
115.824,0.4421,18.5247
115.9764,0.4528,20.1961
116.1288,0.4693,19.6225
116.2812,0.464,18.0359
116.4336,0.4492,18.0131
116.586,0.4406,17.9247
116.7384,0.4421,19.0533
116.8908,0.4469,19.6431
117.0432,0.4499,19.0064
117.1956,0.4491,18.5754
117.348,0.4513,17.4853
117.5004,0.4511,17.707
117.6528,0.4537,17.5125
117.8052,0.4605,17.8179
117.9576,0.4562,17.6412
118.11,0.4467,17.4347
118.2624,0.4733,17.2756
118.4148,0.6,17.1166
118.5672,0.7833,16.9575
118.7196,0.8424,16.7985
118.872,0.8147,16.6394
119.0244,0.7917,16.4804
119.1768,0.7963,16.3213
119.3292,0.8301,16.1622
119.4816,0.8655,16.0032
119.634,0.8547,15.6024
119.7864,0.8348,15.4361
119.9388,0.856,14.7844
120.0912,0.8585,14.7698
120.2436,0.7443,15.1546
120.396,0.5006,15.208
120.5484,0.2951,15.6413
120.7008,0.2198,15.5468
120.8532,0.1947,15.7064
121.0056,0.1298,17.1263
121.158,0.0649,17.6887
121.3104,0.0,18.6566
121.4628,0.065,19.0729
121.6152,0.13,18.5889
