DEPT,BS,CALI,DSOZ,RT,DT,TENS:1,PEFZ,RSOZ,TNPH:1,RLA2,RLA4,GR:1,GR:2,RLA3,RLA5,TENS:2,NPHI,SP,RLA1,GR:3,RXO,RHOZ,RLA0,RXOZ,GR:4,TNPH:2
1529.944,8.5,8.854,0.019,4.695,99.362,3775.5,3.18,0.01,0.312,4.372,4.521,119.914,115.396,4.467,4.6,3793.999,0.286,,4.285,123.671,3.328,2.427,0.097,3.585,132.992,0.311
1530.096,8.5,8.737,0.007,4.581,99.008,3743.125,3.188,0.021,0.289,4.226,4.374,121.75,119.328,4.313,4.451,3717.0,0.285,,4.108,137.998,3.117,2.423,0.098,3.184,121.776,0.288
1530.248,8.5,8.804,0.024,4.614,99.264,3750.438,3.21,0.027,0.283,4.261,4.409,121.395,131.453,4.347,4.488,3756.501,0.295,,4.143,104.807,3.151,2.428,0.098,3.079,122.365,0.282
1530.401,8.5,8.819,0.024,4.801,99.149,3748.5,3.209,0.041,0.286,4.417,4.575,119.738,113.145,4.515,4.658,3787.999,0.305,,4.29,124.267,3.236,2.433,0.099,2.959,117.613,0.286
1530.553,8.5,8.819,0.02,4.683,98.583,3744.688,3.243,0.031,0.299,4.329,4.487,116.425,114.532,4.429,4.56,3749.667,0.324,,4.22,123.972,3.223,2.436,0.098,3.586,118.129,0.297
1530.706,8.5,8.733,0.004,4.704,97.823,3771.563,3.245,0.026,0.316,4.321,4.493,118.544,123.46,4.434,4.557,3795.667,0.338,,4.204,105.775,3.155,2.439,0.097,3.665,116.914,0.314
1530.858,8.5,8.619,0.01,4.64,96.898,3803.066,3.265,0.025,0.33,4.262,4.419,121.652,119.776,4.361,4.482,3822.667,0.357,,4.124,120.867,3.086,2.447,0.096,3.922,116.047,0.328
1531.01,8.5,8.584,0.019,4.835,96.805,3781.188,3.233,0.022,0.359,4.454,4.62,119.254,124.409,4.556,4.675,3781.334,0.351,,4.314,121.812,3.234,2.452,0.097,3.836,123.898,0.358
1531.163,8.5,8.756,0.019,4.784,97.522,3737.312,3.187,0.023,0.363,4.368,4.544,119.525,114.58,4.477,4.588,3760.667,0.356,,4.212,130.278,3.079,2.44,0.096,3.768,123.933,0.362
1531.315,8.5,8.67,0.024,4.655,98.604,3685.938,3.159,0.027,0.378,4.256,4.419,113.347,118.221,4.357,4.459,3677.0,0.342,,4.091,118.598,2.998,2.424,0.096,3.335,118.881,0.377
1531.468,8.5,8.631,0.043,4.548,99.75,3723.438,3.167,0.058,0.356,4.167,4.323,113.849,107.438,4.263,4.358,3680.999,0.35,,4.002,108.22,2.945,2.417,0.096,2.821,114.672,0.356
1531.62,8.5,8.549,0.055,4.316,99.571,3792.064,3.188,0.065,0.355,4.0,4.147,111.299,115.645,4.088,4.174,3804.001,0.345,,3.867,116.213,2.934,2.417,0.095,2.879,116.457,0.355
1531.772,8.5,8.737,0.049,4.403,99.603,3706.063,3.181,0.046,0.35,4.127,4.278,113.515,112.066,4.222,4.291,3676.0,0.344,,4.01,125.086,3.151,2.422,0.095,3.362,120.113,0.35
1531.925,8.5,8.772,0.031,4.651,99.321,3690.666,3.172,0.014,0.354,4.36,4.514,112.528,111.365,4.461,4.511,3671.332,0.347,,4.212,117.12,3.281,2.418,0.096,3.714,119.413,0.354
1532.077,8.5,8.749,0.044,4.664,98.877,3753.313,3.201,0.021,0.36,4.377,4.532,112.533,113.793,4.479,4.526,3742.001,0.332,,4.23,115.337,3.302,2.422,0.095,3.536,119.489,0.36
