DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
766.115,8.5,8.513,98.063,1.183,5.534,17.147,24.538,2.349,0.313,2.902,109.862
766.267,8.5,8.49,96.052,1.5,5.325,16.641,23.697,2.341,0.298,2.88,110.673
766.42,8.5,8.513,94.017,2.254,5.404,16.789,23.815,2.338,0.3,2.829,111.036
766.572,8.5,8.513,88.342,2.508,5.47,16.98,24.103,2.345,0.285,2.787,110.445
766.724,8.5,8.537,88.811,2.517,5.253,17.212,24.576,2.349,0.277,2.76,110.812
766.877,8.5,8.537,84.661,2.621,5.002,16.704,23.944,2.338,0.273,2.743,111.242
767.029,8.5,8.537,88.508,3.046,4.868,16.257,23.343,2.323,0.275,2.718,112.273
767.182,8.5,8.537,86.808,3.504,4.934,15.863,22.661,2.31,0.272,2.673,113.022
767.334,8.5,8.56,88.753,3.033,4.937,15.319,21.661,2.309,0.275,2.628,112.841
767.486,8.5,8.607,95.247,2.359,5.041,15.665,22.139,2.306,0.268,2.606,111.47
767.639,8.5,8.607,101.527,1.979,5.364,17.529,24.934,2.315,0.291,2.669,109.767
767.791,8.5,8.631,106.46,0.821,5.507,18.72,26.676,2.333,0.289,2.793,108.345
767.944,8.5,8.654,104.745,-0.763,5.64,18.837,26.7,2.347,0.315,2.902,107.751
768.096,8.5,8.678,111.122,-1.867,5.741,17.64,24.503,2.343,0.307,2.931,108.177
768.248,8.5,8.737,110.892,-2.429,5.852,16.454,22.524,2.334,0.314,2.89,108.759
768.401,8.5,8.796,108.7,-3.5,5.801,15.861,21.578,2.329,0.298,2.851,109.161
768.553,8.5,8.796,106.744,-4.408,5.557,14.675,19.672,2.328,0.321,2.829,109.425
768.706,8.5,8.788,109.96,-5.083,5.434,13.579,17.98,2.318,0.343,2.846,109.61
768.858,8.5,8.811,110.123,-5.339,5.541,13.641,17.937,2.313,0.338,2.869,110.423
769.01,8.5,8.866,105.747,-5.771,5.384,13.295,17.3,2.313,0.347,2.899,111.51
769.163,8.5,9.007,104.136,-6.267,5.367,13.394,17.353,2.324,0.348,2.929,111.797
769.315,8.5,9.078,105.778,-6.576,5.602,14.629,19.082,2.334,0.359,2.956,111.687
769.468,8.5,9.039,106.168,-6.821,5.706,14.993,19.597,2.343,0.355,2.98,111.41
769.62,8.5,9.125,105.249,-6.904,5.64,14.853,19.497,2.344,0.34,2.98,110.895
769.772,8.5,9.156,104.264,-7.036,5.74,15.216,20.001,2.335,0.343,2.982,110.829
769.925,8.5,9.078,103.453,-7.325,5.799,15.216,19.997,2.325,0.335,2.98,111.185
770.077,8.5,8.996,108.524,-7.717,5.554,14.515,19.069,2.321,0.323,2.981,111.261
770.23,8.5,8.854,113.606,-8.171,3.412,8.695,12.95,2.318,0.31,2.958,111.332
770.382,8.5,8.749,114.964,-8.424,5.57,14.594,19.341,2.318,0.318,2.925,111.473
770.534,8.5,8.654,113.576,-8.721,5.373,13.727,18.211,2.32,0.357,2.893,111.575
770.687,8.5,8.631,106.403,-8.917,5.481,13.927,18.512,2.324,0.348,2.876,111.786
770.839,8.5,8.631,106.635,-8.988,5.481,13.713,18.21,2.318,0.338,2.88,112.014
770.992,8.5,8.584,104.43,-8.884,5.448,13.718,18.227,2.316,0.332,2.915,111.963
771.144,8.5,8.584,110.887,-8.821,5.468,14.072,18.724,2.316,0.326,2.937,112.172
771.296,8.5,8.513,108.564,-8.796,5.491,14.062,18.703,2.323,0.355,2.938,112.288
771.449,8.5,8.513,106.355,-8.8,5.499,14.2,18.913,2.315,0.369,2.908,112.071
771.601,8.5,8.513,98.29,-8.701,5.669,15.025,20.127,2.318,0.354,2.922,112.19
771.754,8.5,8.451,97.182,-8.804,5.521,14.435,19.28,2.326,0.341,2.966,112.357
771.906,8.5,8.427,96.378,-9.121,5.454,13.82,18.382,2.336,0.329,3.006,112.112
772.058,8.5,8.407,104.236,-9.348,5.546,13.577,17.941,2.332,0.34,3.005,112.333
772.211,8.5,8.403,105.331,-9.942,5.663,13.976,18.426,2.332,0.334,2.983,112.368
772.363,8.5,8.443,105.327,-10.295,5.709,14.388,18.919,2.336,0.336,2.97,112.402
772.516,8.5,8.431,105.581,-10.467,5.691,14.222,18.605,2.343,0.334,2.968,112.603
772.668,8.5,8.502,106.623,-10.212,5.741,13.649,17.704,2.336,0.341,2.96,112.801
772.82,8.5,8.478,117.589,-10.163,5.697,12.91,16.731,2.33,0.339,2.934,112.56
