TVD,ROP,GR,T-TEMP
40.2336,31.1587,53.8302,22.2331
40.386,34.2082,55.7254,22.2373
40.5384,35.2789,56.1354,22.2414
40.6908,35.8448,56.3223,22.2456
40.8432,35.1986,58.0412,22.248
40.9956,33.1434,60.3565,22.2529
41.148,32.3777,61.3353,22.2595
41.3004,31.7515,61.2246,22.2661
41.4528,31.5655,61.0216,22.2709
41.6052,32.1549,60.1785,22.2722
41.7576,32.6798,59.764,22.2741
41.91,31.2714,61.1632,22.276
42.0624,29.8742,61.025,22.2779
42.2148,29.6787,54.9812,22.2793
42.3672,29.191,50.761,22.2894
42.5196,28.9564,50.5215,22.2994
42.672,29.0084,49.4656,22.3094
42.8244,26.8964,51.1721,22.3167
42.9768,23.9724,57.1082,22.3208
43.1292,22.58,58.2044,22.3268
43.2816,21.1432,57.511,22.3328
43.434,20.2562,60.4716,22.3389
43.5864,20.0463,60.8364,22.3388
43.7388,19.2209,60.776,22.3284
43.8912,19.6388,62.2433,22.318
44.0436,20.5464,62.7988,22.3279
44.196,22.3789,62.3239,22.3406
44.3484,24.9285,60.29,22.3458
44.5008,25.2474,59.4454,22.3427
44.6532,25.5206,56.3421,22.3414
44.8056,25.6809,55.3823,22.3541
44.958,24.9147,58.1941,22.3668
45.1104,24.9964,59.419,22.3795
45.2628,24.5868,60.2779,22.3929
45.4152,23.0493,59.8166,22.4045
45.5676,21.5119,59.2563,22.4152
45.72,19.9745,58.3078,22.4158
45.8724,18.4448,58.219,22.3907
46.0248,21.8581,59.8976,22.3656
46.1772,26.0794,58.5008,22.3625
46.3296,32.3646,56.0823,22.3625
46.482,36.8546,55.9792,22.3625
46.6344,41.2616,55.3314,22.3625
46.7868,41.571,57.5554,22.3625
46.9392,41.0446,58.2849,22.3625
47.0916,40.5157,58.2045,22.3625
47.244,37.3381,58.9473,22.3625
47.3964,35.2769,56.6813,22.3625
47.5488,32.9029,55.218,22.3625
47.7012,28.196,55.6988,22.3627
47.8536,27.4046,54.9755,22.3658
48.006,26.8737,54.918,22.3688
48.1584,25.7942,54.998,22.3719
48.3108,25.218,53.6357,22.3749
48.4632,24.0558,52.2891,22.3777
48.6156,23.2155,51.3477,22.3791
48.768,22.5734,52.5875,22.3838
48.9204,23.8312,53.5427,22.3886
49.0728,24.9622,55.811,22.3934
49.2252,25.2108,56.6289,22.3981
49.3776,26.0214,57.2823,22.4006
49.53,25.5534,58.0678,22.3987
49.6824,24.6276,58.7397,22.3964
49.8348,24.6589,55.4748,22.3942
49.9872,25.1578,53.9372,22.3939
50.1396,26.3298,52.8913,22.4058
50.292,26.3472,53.3216,22.4178
50.4444,27.2121,55.1761,22.4297
50.5968,27.33,56.6726,22.4332
50.7492,24.7954,58.5911,22.4398
50.9016,23.1053,58.6759,22.4464
51.054,20.4267,59.12,22.4531
51.2064,17.8707,58.6814,22.4597
51.3588,24.1405,58.2785,22.4612
51.5112,25.287,59.7753,22.4576
51.6636,26.9688,61.1754,22.454
51.816,28.9416,59.8318,22.4504
51.9684,25.1965,62.4437,22.4468
52.1208,25.2621,63.2787,22.4491
52.2732,25.9897,62.0287,22.4549
52.4256,26.6619,61.7074,22.4606
52.578,26.7022,60.2932,22.4663
52.7304,26.8899,57.4988,22.4733
52.8828,26.0611,54.5025,22.4843
53.0352,24.8443,52.7584,22.4952
53.1876,23.9285,52.0536,22.5016
53.34,22.5962,52.8577,22.5079
53.4924,21.9258,53.7905,22.5133
53.6448,22.4075,55.125,22.5156
53.7972,22.1118,53.9173,22.5219
53.9496,23.4084,53.1966,22.5283
54.102,26.7343,53.2645,22.5292
54.2544,29.6582,52.3132,22.5148
54.4068,32.678,53.0771,22.5005
54.5592,33.8331,53.1624,22.4861
54.7116,31.6154,51.9812,22.4795
54.864,29.6759,49.9669,22.4564
55.0164,29.505,48.1782,22.3765
55.1688,29.9512,47.4606,22.3884
55.3212,34.4363,44.4456,22.4716
55.4736,38.0569,44.2227,22.5191
55.626,40.7835,44.2625,22.5276
55.7784,42.838,45.2471,22.5462
55.9308,42.3027,45.3101,22.5538
56.0832,43.2092,46.8438,22.5614
56.2356,44.2087,46.7996,22.5685
56.388,45.5039,45.5242,22.5752
56.5404,46.9167,45.5533,22.5891
56.6928,47.7254,45.9332,22.6031
56.8452,49.2711,45.7455,22.6143
56.9976,50.2028,46.2728,22.6195
57.15,48.0297,45.914,22.626
57.3024,45.5195,47.2669,22.6325
57.4548,42.2693,48.3441,22.6371
57.6072,38.5947,48.8478,22.649
57.7596,36.531,49.0951,22.6624
57.912,35.6879,49.2521,22.6759
58.0644,36.9769,50.139,22.6829
58.2168,38.1604,49.6613,22.686
58.3692,39.3872,50.712,22.6894
58.5216,38.6562,51.3459,22.6918
58.674,37.4742,48.9935,22.7084
58.8264,35.6635,50.226,22.725
58.9788,34.2398,49.9762,22.7416
59.1312,33.8782,48.9167,22.7516
59.2836,32.7172,50.0724,22.7484
59.436,32.611,49.2585,22.7443
59.5884,32.8434,49.3907,22.7403
59.7408,32.1714,49.9042,22.7363
59.8932,31.9746,50.281,22.7414
60.0456,31.6203,49.8522,22.7542
60.198,32.2487,48.878,22.7669
60.3504,33.5989,47.083,22.7796
60.5028,33.5478,47.1897,22.7826
60.6552,34.2456,46.3337,22.7886
60.8076,34.4759,47.717,22.7946
60.96,34.7583,49.5613,22.8006
61.1124,34.1734,50.6617,22.805
61.2648,33.5964,51.1436,22.805
61.4172,33.609,51.0996,22.805
61.5696,32.73,49.8982,22.8064
61.722,33.462,50.9735,22.8136
61.8744,33.6142,50.7268,22.8209
62.0268,34.0072,50.266,22.8294
62.1792,34.2776,52.2114,22.8391
62.3316,34.8345,53.3858,22.8431
62.484,34.8801,52.5555,22.8431
62.6364,34.4228,53.4784,22.8431
62.7888,33.3858,53.4361,22.8431
62.9412,31.8922,52.4233,22.8465
63.0936,31.6114,52.6353,22.8535
63.246,31.5379,52.3803,22.8605
63.3984,32.0589,50.529,22.866
63.5508,32.456,49.4845,22.87
63.7032,32.8836,49.8241,22.8764
63.8556,33.0316,47.7547,22.8829
64.008,33.2443,48.6791,22.8889
64.1604,35.5479,49.4796,22.913
64.3128,37.429,49.0092,22.9484
64.4652,39.8889,49.9997,22.9838
64.6176,42.0178,51.5042,22.9881
64.77,40.6914,52.0683,22.979
64.9224,38.5803,54.6369,22.9599
65.0748,37.4679,55.3378,22.9437
65.2272,35.2567,55.8338,22.961
65.3796,34.1269,55.785,22.9784
65.532,34.5484,55.8403,22.9805
65.6844,34.6355,55.6927,22.9805
65.8368,37.6269,55.7659,22.9805
65.9892,40.5003,55.0984,22.9805
66.1416,43.0452,55.6924,22.9805
66.294,45.608,53.9793,22.9805
66.4464,46.2035,51.9812,22.9862
66.5988,48.7973,51.1681,22.9947
66.7512,46.1266,48.9859,23.0032
66.9036,46.1747,49.0517,23.011
67.056,44.5844,50.3119,23.0164
67.2084,40.4651,50.7614,23.0259
67.3608,41.1094,52.2083,23.0354
67.5132,41.0996,53.0364,23.0415
67.6656,41.8657,53.4131,23.0395
67.818,44.9219,52.3878,23.0368
67.9704,45.9212,52.0006,23.0342
68.1228,44.3322,49.5811,23.0374
68.2752,42.8397,50.237,23.0501
68.4276,37.6245,51.7345,23.0629
68.58,33.8045,50.574,23.072
68.7324,29.1517,50.8222,23.0824
68.8848,29.7733,50.9665,23.0961
69.0372,29.5225,50.2535,23.1097
69.1896,30.4043,50.3884,23.1136
69.342,33.5092,51.6138,23.1198
69.4944,37.0204,51.7277,23.1254
69.6468,39.8102,51.8417,23.1235
69.7992,42.8256,50.8394,23.1202
69.9516,43.2189,50.2587,23.1178
70.104,40.6664,48.2309,23.1311
70.2564,38.2485,48.2379,23.1462
70.4088,36.1103,47.9099,23.1653
70.5612,37.5409,47.8654,23.1735
70.7136,36.7194,48.1664,23.1811
70.866,35.9217,48.7406,23.1887
71.0184,35.7091,47.6926,23.1947
71.1708,34.777,47.8977,23.1966
71.3232,34.2927,48.8227,23.2016
71.4756,32.6869,48.365,23.2088
71.628,29.5715,49.5076,23.2161
71.7804,28.6733,51.5388,23.2212
71.9328,27.6974,51.6469,23.23
72.0852,27.1613,52.6163,23.2388
72.2376,28.503,53.3314,23.2426
72.39,27.9429,53.4993,23.2482
72.5424,25.7259,53.4589,23.2538
72.6948,24.6034,54.5556,23.273
72.8472,24.753,54.8041,23.2803
72.9996,24.3155,55.5349,23.2881
73.152,27.0573,55.1876,23.2984
73.3044,33.2898,55.1757,23.3019
73.4568,35.4034,53.7681,23.3066
73.6092,38.5995,52.0128,23.3209
73.7616,41.1192,52.2044,23.335
73.914,38.2682,50.5373,23.3439
74.0664,35.853,50.4206,23.3511
74.2188,34.51,51.0835,23.3689
74.3712,32.5316,49.3883,23.3937
74.5236,30.1682,47.9717,23.4196
74.676,27.5746,47.6364,23.4276
74.8284,27.3304,45.2529,23.4527
74.9808,27.9755,44.8459,23.4896
75.1332,28.4428,44.9824,23.5266
75.2856,29.122,44.8381,23.5527
75.438,29.77,45.6349,23.5551
75.5904,30.2248,47.1359,23.5586
75.7428,30.1034,48.3108,23.581
75.8952,30.0198,51.1791,23.5911
76.0476,29.789,52.2166,23.5984
76.2,29.7122,54.3231,23.5962
76.3524,29.6602,54.2475,23.5937
76.5048,30.0509,51.4211,23.5951
