TVD,ROP,GR,T-TEMP
39.4716,34.9987,,22.0472
39.624,52.9745,,22.0472
39.7764,56.2989,,22.0472
39.9288,56.5248,,22.0472
40.0812,56.7506,,22.0472
40.2336,56.9765,,22.0472
40.386,49.3755,,22.0472
40.5384,42.3267,,22.0472
40.6908,35.8448,,22.0472
40.8432,35.1986,,22.0472
40.9956,33.1434,,22.0472
41.148,32.3777,,22.0472
41.3004,31.7515,,22.0472
41.4528,31.5655,,22.0472
41.6052,32.1549,,22.0472
41.7576,32.6798,,22.0472
41.91,31.2714,,22.0472
42.0624,29.8742,,22.0472
42.2148,29.6787,,22.0472
42.3672,29.191,,22.0472
42.5196,28.9564,,22.0472
42.672,29.0084,,22.0472
42.8244,26.8964,,22.0472
42.9768,23.9724,,22.0472
43.1292,22.58,,22.0472
43.2816,21.1432,,22.0472
43.434,20.2562,,22.0472
43.5864,20.0463,,22.0472
43.7388,19.2209,,22.0472
43.8912,19.6388,,22.0472
44.0436,20.5464,,22.0472
44.196,22.3789,,22.0472
44.3484,24.9285,,22.0472
44.5008,25.2474,,22.0472
44.6532,25.5206,,22.0472
44.8056,25.6809,,22.0472
44.958,24.9147,,22.0472
45.1104,24.9964,,22.0472
45.2628,24.5936,,22.0472
45.4152,27.6727,,22.0472
45.5676,30.7518,,22.0472
45.72,33.8309,,22.0472
45.8724,36.8892,,22.0472
46.0248,34.5382,,22.0472
46.1772,35.3122,,22.0472
46.3296,35.7365,,22.0472
46.482,40.0982,,22.0472
46.6344,52.2529,,22.0472
46.7868,60.0489,,22.0472
46.9392,60.3069,,22.0472
47.0916,54.0582,,22.0472
47.244,43.7859,,22.0472
47.3964,35.2769,,22.0472
47.5488,32.9029,,22.0472
47.7012,28.196,,22.0472
47.8536,27.4046,,22.0472
48.006,26.8737,,22.0472
48.1584,25.7942,,22.0472
48.3108,25.218,,22.0472
48.4632,24.0558,,22.0472
48.6156,23.2155,,22.0472
48.768,22.5734,,22.0472
48.9204,23.8312,,22.0472
49.0728,24.9622,,22.0472
49.2252,25.2108,,22.0472
49.3776,26.0214,,22.0472
49.53,25.5534,,22.0472
49.6824,24.6276,,22.0472
49.8348,24.6589,,22.0472
49.9872,25.1578,,22.0472
50.1396,26.3298,,22.0472
50.292,26.3472,,22.0472
50.4444,27.2121,,22.0472
50.5968,27.33,,22.0472
50.7492,24.7954,,22.0472
50.9016,23.1053,,22.0472
51.054,20.4267,,22.0472
51.2064,17.8707,,22.0472
51.3588,24.1405,,22.0472
51.5112,25.287,,22.0472
51.6636,26.9688,,22.0472
51.816,28.9416,,22.0472
51.9684,25.1965,,22.0472
52.1208,25.2621,,22.0472
52.2732,25.9897,,22.0472
52.4256,26.6619,,22.0472
52.578,26.7022,,22.0472
52.7304,26.8899,,22.0472
52.8828,26.0611,,22.0472
53.0352,24.8443,,22.0472
53.1876,23.9285,,22.0472
53.34,22.5962,,22.0472
53.4924,21.9258,,22.0472
53.6448,22.4075,,22.0472
53.7972,22.1118,,22.0472
53.9496,23.4084,,22.0472
54.102,26.7343,,22.0472
54.2544,29.6582,,22.0472
54.4068,32.678,,22.0472
54.5592,33.8331,,22.0472
54.7116,31.6154,,22.0472
54.864,29.6759,,22.0472
55.0164,29.505,,22.0472
55.1688,29.9512,,22.0472
55.3212,34.4363,,22.0472
55.4736,38.0569,,22.0472
55.626,40.7835,,22.0472
55.7784,42.838,,22.0472
55.9308,42.3027,,22.0472
56.0832,43.2092,,22.0472
56.2356,44.2087,,22.0472
56.388,45.5039,,22.0472
