DEPT,TENS,CALI,BS,GR:1,GR:2,GR:3,PEFZ,RLA5,RLA0,RLA2,RXOZ,TNPH:1,RSOZ,RLA3,TNPH:2,RT,DT,RLA1,RXO,RLA4,NPHI,GR:4,RHOZ
35.509,,,17.5,31.664,26.651,29.58,,,,,,0.831,,,0.818,,,,,,0.708,30.985,
35.662,,,17.5,29.222,27.845,32.862,,,,,,0.939,,,0.932,,,,,,0.736,25.662,
35.814,,,17.5,28.492,25.589,25.223,,,,,,1.063,,,1.067,,,,,,0.704,27.363,
35.966,,,17.5,29.337,23.755,27.017,,,,,,0.857,,,0.861,,,,,,0.651,24.274,
36.119,,,12.25,31.417,22.597,35.374,,,,,,0.746,,,0.752,,,,,,0.684,20.173,
36.271,,,12.25,30.841,23.524,32.092,,,,,,0.863,,,0.867,,,,,,0.688,23.437,
36.424,,,12.25,28.549,24.423,25.428,,,,,,0.852,,,0.852,,,,,,0.718,26.44,
36.576,,,12.25,27.373,25.397,28.248,,,,,,0.984,,,0.981,,,,,,0.716,23.096,
36.728,,,12.25,29.041,24.744,27.683,,,,,,0.941,,,0.939,,,,,,0.727,26.319,
36.881,,,12.25,27.231,25.661,30.862,,,,,,1.008,,,1.009,,,,,,0.754,24.652,
37.033,,,12.25,27.503,24.828,22.967,,,,,,1.134,,,1.155,,,,,,0.73,25.919,
37.186,,,12.25,28.238,24.956,29.119,,,,,,1.09,,,1.107,,,,,,0.689,24.002,
37.338,,,12.25,31.223,22.737,33.015,,,,,,0.862,,,0.865,,,,,,0.703,25.141,
37.49,,,12.25,31.042,21.762,32.144,,,,,,0.857,,,0.851,,,,,,0.676,19.165,
37.643,,,12.25,29.764,22.936,28.504,,,,,,0.818,,,0.8,,,,,,0.726,21.162,
37.795,,,12.25,29.041,23.707,28.914,,,,,,1.003,,,0.979,,,,,,0.667,28.907,
37.948,,,12.25,29.148,23.788,30.247,,,,,,0.862,,,0.838,,,,,,0.662,21.441,
38.1,,,12.25,28.967,21.035,28.658,,,,,,0.842,,,0.823,,,,,,0.652,21.064,
38.252,,4.648,12.25,26.977,21.421,28.504,,,,,,0.746,,,0.738,,,,,,0.696,20.296,
38.405,,4.635,12.25,27.484,22.582,23.976,10.0,,,,0.035,0.863,0.316,,0.859,,,,,,0.72,22.516,2.301
38.557,,4.648,12.25,26.174,24.252,30.042,10.0,,,,0.035,0.888,0.315,,0.897,,,,,,0.793,24.801,2.301
38.71,,4.648,12.25,25.993,24.875,24.402,10.0,,,,0.035,1.239,0.317,,1.262,,,,,,0.804,25.391,2.301
38.862,,4.648,12.25,23.737,24.982,23.377,10.0,,,,0.035,1.431,0.316,,1.442,,,,,,0.863,24.299,2.301
39.014,,4.654,12.25,24.622,23.739,23.18,10.0,,,,0.035,1.751,0.316,,1.751,,,,,,0.808,25.067,2.301
39.167,,4.641,12.25,25.86,22.556,27.11,10.0,,,,0.036,1.382,0.317,,1.399,,,,,,0.822,21.634,2.301
39.319,,4.648,12.25,28.848,23.739,26.966,10.0,,,,0.036,1.462,0.317,,1.518,,,,,,0.736,21.066,2.301
39.472,,4.641,12.25,32.094,25.098,32.594,10.0,,,,0.036,1.024,0.317,,1.042,,,,,,0.706,28.531,2.301
39.624,,4.641,12.25,34.095,26.816,36.847,10.0,,,,0.035,0.917,0.312,,0.929,,,,,,0.696,25.655,2.301
39.776,,4.648,12.25,32.761,24.772,32.656,10.0,,,,0.035,0.935,0.309,,0.932,,,,,,0.77,26.202,2.304
39.929,,4.641,12.25,29.675,25.231,28.391,10.0,,,,0.035,1.232,0.305,,1.232,,,,,,0.777,22.535,2.313
40.081,,4.641,12.25,26.871,23.654,27.572,10.0,,,,0.035,1.164,0.311,,1.166,,,,,,0.769,27.138,2.319
40.234,,4.641,12.25,26.583,24.122,24.65,10.0,,,,0.034,1.134,0.311,,1.142,,,,,,0.718,21.257,2.32
40.386,,4.641,12.25,24.085,24.902,26.957,10.0,,,,0.034,1.035,0.314,,1.029,,,,,,0.707,23.483,2.317
40.538,,4.648,12.25,26.434,24.589,20.045,10.0,,,,0.034,0.961,0.315,,0.949,,,,,,0.75,29.536,2.312
40.691,,4.654,12.25,28.27,23.506,31.59,10.0,,,,0.035,1.091,0.321,,1.066,,,,,,0.769,20.336,2.298
40.843,,4.648,12.25,31.302,21.547,32.964,10.0,,,,0.035,1.307,0.318,,1.259,,,,,,0.873,20.642,2.234
40.996,,4.635,12.25,30.141,22.095,29.15,10.0,,,,0.035,2.045,0.315,,2.019,,,,,,0.81,23.695,2.139
41.148,,4.654,12.25,29.883,23.871,28.308,10.0,,,,0.035,1.601,0.316,,1.606,,,,,,0.816,22.048,2.055
41.3,,4.641,12.25,31.407,24.891,32.03,10.0,,,,0.035,1.39,0.317,,1.425,,,,,,0.705,25.839,2.017
41.453,,4.648,12.25,31.094,26.244,33.528,10.0,,,,0.035,0.882,0.313,,0.888,,,,,,0.733,26.826,2.015
41.605,,4.648,12.25,30.836,25.376,26.838,10.0,,,,0.035,0.977,0.31,,0.98,,,,,,0.738,26.115,2.015
41.758,,4.635,12.25,30.266,23.248,31.43,10.0,,,,0.035,1.024,0.306,,1.02,,,,,,0.759,23.286,2.016
41.91,,4.641,12.25,32.168,21.049,31.595,10.0,,,,0.034,1.179,0.306,,1.178,,,,,,0.791,20.076,2.019
42.062,,4.648,12.25,31.233,21.397,32.451,10.0,,,,0.034,1.256,0.303,,1.246,,,,,,0.771,19.395,2.021
42.215,,4.641,12.25,31.222,23.308,28.52,10.0,,,,0.034,1.207,0.305,,1.184,,,,,,0.822,24.283,2.023
42.367,,4.654,12.25,28.995,25.336,32.308,10.0,,,,0.034,1.641,0.306,,1.631,,,,,,0.749,26.437,2.022
42.52,,4.635,12.25,29.674,25.668,26.282,10.0,,,,0.033,1.181,0.306,,1.183,,,,,,0.799,25.685,2.018
