TVD,ROP,GR
83.6676,0.8852,18.0928
83.82,0.8779,17.2532
83.9724,0.8764,16.9771
84.1248,0.894,17.221
84.2772,0.8699,16.5399
84.4296,0.8337,16.4562
84.582,0.8471,16.5172
84.7344,0.8615,15.2286
84.8868,0.859,14.7215
85.0392,0.8766,14.5024
85.1916,0.9093,15.0498
85.344,0.8812,16.4027
85.4964,0.6924,17.7556
85.6488,0.6299,17.9412
85.8012,0.6707,18.0292
85.9536,0.475,19.4683
86.106,0.2296,19.1179
86.2584,0.2007,19.279
86.4108,0.1652,19.1968
86.5632,0.0998,19.1946
86.7156,0.0633,19.6911
86.868,0.0588,18.8857
87.0204,0.0634,20.3661
87.1728,0.0797,21.0286
87.3252,0.0953,19.9157
87.4776,0.1232,19.2934
87.63,0.1507,18.721
87.7824,0.1488,18.5102
87.9348,0.1268,18.4027
88.0872,0.1741,19.1727
88.2396,0.3424,19.5413
88.392,0.4941,19.6732
88.5444,0.5246,20.0226
88.6968,0.5221,19.4043
88.8492,0.53,19.0879
89.0016,0.5272,18.7986
89.154,0.516,19.0248
89.3064,0.5133,18.8187
89.4588,0.5331,19.3616
89.6112,0.5649,20.5427
89.7636,0.5883,20.7032
89.916,0.6012,20.6229
90.0684,0.6072,20.7561
90.2208,0.6027,20.3742
90.3732,0.5993,21.6285
90.5256,0.6089,21.4212
90.678,0.6128,21.0593
90.8304,0.604,18.948
90.9828,0.5973,16.7655
91.1352,0.5892,15.7032
91.2876,0.5918,16.7085
91.44,0.6209,17.5199
91.5924,0.5448,18.6349
91.7448,0.4068,19.6885
91.8972,0.3635,19.5742
92.0496,0.3582,20.0173
92.202,0.3163,19.4387
92.3544,0.2546,18.5681
92.5068,0.2121,19.4725
92.6592,0.2028,19.9379
92.8116,0.2734,20.5974
92.964,0.3916,22.2382
93.1164,0.4462,21.5925
93.2688,0.4603,21.0712
93.4212,0.465,20.1467
93.5736,0.437,18.5834
93.726,0.4882,17.8621
93.8784,0.5787,17.7044
94.0308,0.5756,17.424
94.1832,0.579,18.9435
94.3356,0.6464,18.4143
94.488,0.6699,17.9137
94.6404,0.6367,18.5689
94.7928,0.634,19.0907
94.9452,0.6643,19.5097
95.0976,0.6947,20.373
95.25,0.736,20.698
95.4024,0.7835,20.8642
95.5548,0.7936,21.082
95.7072,0.7333,20.3779
95.8596,0.6781,20.6125
96.012,0.668,21.145
96.1644,0.6705,20.5394
96.3168,0.6696,21.1301
96.4692,0.6608,21.1154
96.6216,0.6902,21.2715
96.774,0.7481,21.6369
96.9264,0.7416,21.1147
97.0788,0.6941,20.993
97.2312,0.7023,21.7555
97.3836,0.7192,21.4622
97.536,0.7051,21.1885
97.6884,0.7287,20.9148
97.8408,0.807,20.6411
97.9932,1.0479,20.3675
98.1456,1.7593,20.0938
98.298,2.6528,19.8201
98.4504,2.7768,19.5464
98.6028,2.6111,19.2728
98.7552,1.8756,18.9991
98.9076,1.083,18.7254
99.06,0.7868,18.5016
99.2124,0.7006,19.5348
99.3648,0.7048,20.601
99.5172,0.7656,20.2221
99.6696,0.777,19.5883
99.822,0.7331,18.4418
99.9744,0.7364,16.1906
100.1268,0.8178,15.0378
100.2792,0.8287,14.8315
100.4316,0.7743,14.9936
100.584,0.6662,14.499
100.7364,0.4902,15.3982
100.8888,0.3721,14.7265
101.0412,0.3321,14.0377
101.1936,0.3325,14.1668
101.346,0.3344,14.2709
101.4984,0.3182,15.4623
101.6508,0.3304,16.0393
101.8032,0.4373,16.7082
101.9556,0.5235,17.4226
102.108,0.5105,16.7571
102.2604,0.541,15.7357
102.4128,0.6139,16.8669
102.5652,0.6373,18.327
102.7176,0.6289,19.6695
102.87,0.6273,22.5688
103.0224,0.6158,24.5394
103.1748,0.6341,25.9801
103.3272,0.6775,27.6075
103.4796,0.6756,27.6232
103.632,0.6297,28.0704
103.7844,0.5998,25.8992
103.9368,0.5941,24.686
104.0892,0.5821,24.567
104.2416,0.558,24.9518
104.394,0.5647,24.4091
104.5464,0.5925,25.4432
104.6988,0.6064,25.0051
104.8512,0.5863,25.285
105.0036,0.5386,23.8966
105.156,0.5134,22.9227
105.3084,0.5426,22.1296
105.4608,0.5977,21.4697
105.6132,0.6608,21.6427
105.7656,0.6433,22.4247
105.918,0.5194,22.6674
106.0704,0.4287,22.6581
106.2228,0.415,23.3656
106.3752,0.4241,24.0642
106.5276,0.4433,24.0702
106.68,0.4549,24.5996
106.8324,0.4652,23.2102
106.9848,0.4823,24.4468
107.1372,0.4812,25.2158
107.2896,0.4744,25.6184
107.442,0.4859,26.1739
107.5944,0.487,26.2251
107.7468,0.4593,25.8891
107.8992,0.4369,25.5482
108.0516,0.4689,25.2073
108.204,0.5367,25.2199
108.3564,0.6095,25.329
108.5088,0.6287,25.4381
108.6612,0.5835,25.5472
108.8136,0.5585,25.6563
108.966,0.5479,25.7654
109.1184,0.5072,25.586
109.2708,0.5164,25.6417
109.4232,0.5067,25.2148
109.5756,0.4124,25.6756
109.728,0.3402,24.2381
109.8804,0.3303,24.3448
110.0328,0.3242,23.5572
110.1852,0.3176,22.0725
110.3376,0.3103,22.0184
110.49,0.3141,22.0361
110.6424,0.3595,21.6738
110.7948,0.405,21.3517
110.9472,0.4504,22.798
111.0996,0.4958,22.1234
111.252,0.5413,22.9006
111.4044,0.5867,24.3712
111.5568,0.6322,23.6359
111.7092,0.6776,21.9119
111.8616,0.7231,19.7948
112.014,0.7685,17.6804
112.1664,0.8139,17.1488
112.3188,0.9281,18.0464
112.4712,1.0169,18.3475
112.6236,0.9524,19.0391
112.776,0.8487,18.4946
112.9284,0.832,17.357
113.0808,0.8634,17.3808
113.2332,0.7429,18.5425
113.3856,0.5426,18.8507
113.538,0.3997,19.1826
113.6904,0.3817,18.7015
113.8428,0.4348,17.1182
113.9952,0.4878,16.9248
114.1476,0.5143,17.67
114.3,0.5314,17.5743
114.4524,0.5212,17.9466
114.6048,0.4866,18.7555
114.7572,0.4631,17.8034
114.9096,0.4629,17.3746
115.062,0.4572,17.4499
115.2144,0.4378,15.2811
115.3668,0.4386,14.9433
115.5192,0.4594,15.9519
115.6716,0.455,17.2798
115.824,0.4421,18.619
115.9764,0.4536,20.1838
116.1288,0.4695,19.5987
116.2812,0.4633,18.0022
116.4336,0.4488,18.0243
116.586,0.4405,18.0206
116.7384,0.4423,19.025
116.8908,0.4471,19.7041
117.0432,0.4499,19.0137
117.1956,0.4491,18.5648
117.348,0.4514,17.5372
117.5004,0.4511,17.7115
117.6528,0.454,17.6065
117.8052,0.4606,17.7483
117.9576,0.4558,17.6247
118.11,0.4467,17.428
118.2624,0.4766,17.269
118.4148,0.608,17.1099
118.5672,0.7892,16.9509
118.7196,0.8414,16.7918
118.872,0.8134,16.6327
119.0244,0.7915,16.4737
119.1768,0.7972,16.3146
119.3292,0.8318,16.1556
119.4816,0.8659,15.9965
119.634,0.8533,15.634
119.7864,0.8354,15.4769
119.9388,0.8567,14.7786
120.0912,0.8564,14.7873
120.2436,0.7354,15.159
120.396,0.4902,15.2082
120.5484,0.2899,15.6719
120.7008,0.2185,15.5443
120.8532,0.192,15.7297
121.0056,0.1271,17.1664
121.158,0.0622,17.6874
121.3104,0.0028,18.7356
121.4628,0.0678,19.0957
121.6152,0.1328,18.5889
121.7676,0.1977,18.8409
121.92,0.2627,19.403
122.0724,0.3277,20.6215
122.2248,0.3927,20.5378
122.3772,0.4495,20.7726
122.5296,0.4864,20.1339
122.682,0.497,20.3845
122.8344,0.4947,18.6199
122.9868,0.4951,18.967
123.1392,0.5061,18.4784
123.2916,0.5114,17.4817
123.444,0.5095,16.9215
123.5964,0.5056,15.7113
123.7488,0.4945,15.8078
123.9012,0.4781,15.8778
