DEPTH,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
99.517,12.25,,42.744,,,,,,,
99.67,12.25,,48.877,,,,,,,
99.822,12.25,,54.885,,,,,,,
99.974,12.25,,55.735,,,,,,,
100.127,12.25,,51.123,,,,,,,
100.279,12.25,,47.472,,,,,,,
100.432,12.25,,47.093,,,,,,,
100.584,12.25,,47.244,,,,,,,
100.736,12.25,,46.799,,,,,,,
100.889,12.25,,46.721,,,,,,,
101.041,12.25,,49.127,,,,,,,
101.194,12.25,,53.604,,,,,,,
101.346,12.25,,58.34,,,,,,,
101.498,12.25,,63.489,,,,,,,
101.651,12.25,,65.717,,,,,,,
101.803,12.25,,66.686,,,,,,,
101.956,12.25,,64.517,,,,,,,
102.108,12.25,,56.974,,,,,,,
102.26,12.25,,49.531,,,,,,,
102.413,12.25,,46.537,,,,,,,
102.565,12.25,,49.618,,,,,,,
102.718,12.25,,51.832,,,,,,,
102.87,12.25,,49.922,,,,,,,
103.022,12.25,,48.009,,,,,,,
103.175,12.25,,45.553,,,,,,,
103.327,12.25,,43.149,,,,,,,
103.48,12.25,,43.489,,,,,,,
103.632,12.25,,47.237,,,,,,,
103.784,12.25,,51.378,,,,,,,
103.937,12.25,,50.964,,,,,,,
104.089,12.25,,45.891,,,,,,,
104.242,12.25,,43.026,,,,,,,
104.394,12.25,,45.846,,,,,,,
104.546,12.25,,49.723,,,,,,,
104.699,12.25,,50.652,,,,,,,
104.851,12.25,,47.301,,,,,,,
105.004,12.25,,44.78,,,,,,,
105.156,12.25,,43.832,,,,,,,
105.308,12.25,,44.527,,,,,,,
105.461,12.25,,47.148,,,,,,,
105.613,12.25,,49.388,,,,,,,
105.766,12.25,,49.61,,,,,,,
105.918,12.25,,48.394,,,,,,,
106.07,12.25,,49.649,,,,,,,
106.223,12.25,,52.791,,,,,,,
106.375,12.25,,54.316,,,,,,,
106.528,12.25,,53.043,,,,,,,
106.68,12.25,,50.628,,,,,,,
106.832,12.25,,50.013,,,,,,,
106.985,12.25,,48.049,,,,,,,
107.137,12.25,,45.58,,,,,,,
107.29,12.25,,47.056,,,,,,,
107.442,12.25,,52.615,,,,,,,
107.594,12.25,,56.922,,,,,,,
107.747,12.25,,58.361,,,,,,,
107.899,12.25,,57.783,,,,,,,
108.052,12.25,,57.376,,,,,,,
108.204,12.25,,57.791,,,,,,,
108.356,12.25,,60.323,,,,,,,
108.509,12.25,,64.109,,,,,,,
108.661,12.25,,60.442,,,,,,,
108.814,12.25,,55.166,,,,,,,
108.966,12.25,,50.904,,,,,,,
109.118,12.25,,49.385,,,,,,,
109.271,12.25,,47.617,,,,,,,
109.423,12.25,,46.676,,,,,,,
109.576,12.25,,49.869,,,,,,,
109.728,12.25,,54.791,,,,,,,
109.88,12.25,,58.494,,,,,,,
110.033,12.25,,58.816,,,,,,,
110.185,12.25,,57.636,,,,,,,
110.338,12.25,,55.745,,,,,,,
110.49,12.25,,53.499,,,,,,,
110.642,12.25,,51.342,,,,,,,
110.795,12.25,,48.918,,,,,,,
110.947,12.25,,45.981,,,,,,,
111.1,12.25,,44.509,,,,,,,
111.252,12.25,,45.523,,,,,,,
111.404,12.25,,48.792,,,,,,,
111.557,12.25,,51.299,,,,,,,
111.709,12.25,,50.26,,,,,,,
111.862,12.25,,47.859,,,,,,,
112.014,12.25,,42.702,,,,,,,
112.166,12.25,,38.745,,,,,,,
112.319,12.25,,38.668,,,,,,,
112.471,12.25,,44.043,,,,,,,
112.624,12.25,,49.204,,,,,,,
112.776,12.25,,50.65,,,,,,,
112.928,12.25,,51.062,,,,,,,
113.081,12.25,,55.718,,,,,,,
113.233,12.25,,60.386,,,,,,,
113.386,12.25,,59.056,,,,,,,
113.538,12.25,,51.777,,,,,,,
113.69,12.25,,45.123,,,,,,,
113.843,12.25,,45.336,,,,,,,
113.995,12.25,,48.779,,,,,,,
114.148,12.25,,52.088,,,,,,,
114.3,12.25,,56.052,,,,,,,
114.452,12.25,,58.809,,,,,,,
114.605,12.25,,61.992,,,,,,,
114.757,12.25,,61.456,,,,,,,
114.91,12.25,,59.078,,,,,,,
115.062,12.25,,56.664,,,,,,,
115.214,12.25,,52.687,,,,,,,
115.367,12.25,,51.202,,,,,,,
