DEPT,CALI,BS,GR,SP,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
765.6576,8.24805,8.5,123.0883,-89.57917,0.08077,0.14298,7.77492,12.69782,15.21521,16.72135,18.52038,24.81532,110.77042,0.02269,3.04558,2.25947,0.36426,1.25927,1700.20014
765.81,8.24805,8.5,114.3034,-89.67083,0.03543,0.17217,8.05938,12.66561,15.20808,16.66483,18.41516,24.68456,111.33314,0.01684,2.91024,2.25739,0.35506,1.29317,1677.33325
765.9624,8.28256,8.5,100.3511,-89.48047,0.01244,0.11867,8.36648,12.95332,15.65678,17.15019,18.90738,25.38141,111.85047,0.00958,2.86313,2.25913,0.35406,1.3304,1703.46661
766.1148,8.27106,8.5,116.6138,-89.325,0.05814,0.04104,7.90896,12.22648,14.74673,16.06101,17.68418,23.67097,111.6996,0.01788,2.86911,2.301,0.34878,1.27536,1693.68742
766.2672,8.37844,8.5,112.2673,-89.7875,0.09529,0.08345,7.72282,12.08156,14.42637,15.69346,17.28042,23.07619,110.60649,0.02441,2.82407,2.31007,0.34488,1.2437,1687.06657
766.4196,8.34776,8.5,112.8169,-90.14167,0.08871,0.10482,8.00355,12.55405,14.94789,16.23762,17.87413,23.86588,109.82599,0.03355,3.0429,2.32434,0.37125,1.37138,1764.33341
766.572,8.29407,8.5,115.3386,-90.31667,0.02157,0.10524,8.25282,12.6101,15.08471,16.25477,17.8941,23.86103,109.21584,0.03216,3.06143,2.2954,0.37339,1.61665,1746.06678
766.7244,8.27106,8.5,108.2849,-90.0625,0.10789,0.14292,7.94945,12.35038,14.86973,16.08843,17.75136,23.71254,110.51822,0.0371,2.95177,2.3281,0.37938,1.49252,1745.8667
766.8768,8.27106,8.5,108.2851,-89.94583,0.15467,0.13697,7.62009,12.08317,14.49191,15.68016,17.3224,23.12135,110.83253,0.03503,2.91521,2.34357,0.35511,1.47523,1741.31252
767.0292,8.2864,8.5,116.8064,-89.625,0.09616,0.09608,7.8262,12.81691,15.49407,16.84189,18.61044,24.95914,112.05798,0.02959,2.89263,2.32394,0.36884,1.52239,1680.0667
767.1816,8.2864,8.5,105.9235,-89.22916,0.04507,0.05625,7.64764,12.21703,14.78934,16.09133,17.79218,23.84738,109.99747,0.01911,2.854,2.30841,0.40002,1.40087,1739.06668
767.334,8.33242,8.5,104.3927,-88.3625,-0.00929,0.07052,8.581,14.51873,17.8028,19.48519,21.63772,29.10945,110.67748,0.00932,2.74066,2.29026,0.38374,1.4428,1692.8001
767.4864,8.20203,8.5,104.5048,-87.55417,-0.01686,0.11158,8.12609,14.14532,17.32978,19.11527,21.24149,28.59973,109.5909,0.00181,2.7982,2.25956,0.37366,1.30854,1706.20006
767.6388,8.2097,8.5,105.925,-87.32917,0.02853,0.09661,7.66813,13.15664,16.06821,17.74549,19.76798,26.58678,108.98362,0.00139,2.76271,2.24216,0.3653,1.05167,1718.8667
