DEPT,ROP,GR,T-TEMP
40.2336,31.1555,53.8302,22.2331
40.386,34.2073,55.7224,22.2373
40.5384,35.2765,56.1327,22.2414
40.6908,35.8445,56.3248,22.2456
40.8432,35.2,58.0383,22.248
40.9956,33.1448,60.3559,22.2529
41.148,32.3785,61.3336,22.2595
41.3004,31.7515,61.2241,22.2661
41.4528,31.5651,61.023,22.2709
41.6052,32.1503,60.1886,22.2722
41.7576,32.6807,59.7633,22.2741
41.91,31.2725,61.1602,22.276
42.0624,29.8734,61.0256,22.2779
42.2148,29.6788,54.9915,22.2793
42.3672,29.1911,50.7632,22.2894
42.5196,28.956,50.5185,22.2994
42.672,29.0083,49.4658,22.3094
42.8244,26.9008,51.1689,22.3167
42.9768,23.9747,57.1002,22.3208
43.1292,22.5813,58.2059,22.3268
43.2816,21.1444,57.5063,22.3328
43.434,20.2561,60.4697,22.3388
43.5864,20.0471,60.8376,22.3388
43.7388,19.2198,60.7765,22.3284
43.8912,19.6378,62.2392,22.318
44.0436,20.5435,62.8017,22.3278
44.196,22.3754,62.3248,22.3406
44.3484,24.9265,60.2937,22.3458
44.5008,25.2466,59.4459,22.3427
44.6532,25.5209,56.3421,22.3414
44.8056,25.6816,55.3839,22.3541
44.958,24.9152,58.1903,22.3668
45.1104,24.9974,59.4186,22.3794
45.2628,24.589,60.2845,22.3929
45.4152,23.0517,59.8173,22.4045
45.5676,21.5143,59.2524,22.4151
45.72,19.9769,58.3105,22.4159
45.8724,18.4395,58.2179,22.3907
46.0248,21.8528,59.899,22.3656
46.1772,26.063,58.5084,22.3625
46.3296,32.3554,56.08,22.3625
46.482,36.8428,55.9791,22.3625
46.6344,41.259,55.33,22.3625
46.7868,41.5719,57.5494,22.3625
46.9392,41.0455,58.2851,22.3625
47.0916,40.5191,58.206,22.3625
47.244,37.3431,58.9474,22.3625
47.3964,35.2784,56.6868,22.3625
47.5488,32.9097,55.2174,22.3625
47.7012,28.1984,55.6998,22.3627
47.8536,27.4059,54.977,22.3658
48.006,26.8742,54.9175,22.3688
48.1584,25.7952,54.9998,22.3719
48.3108,25.2192,53.6407,22.3749
48.4632,24.0579,52.2892,22.3777
48.6156,23.2161,51.3449,22.3791
48.768,22.5674,52.5857,22.3838
48.9204,23.8293,53.5407,22.3886
49.0728,24.9631,55.8094,22.3934
49.2252,25.2113,56.6274,22.3981
49.3776,26.0212,57.2787,22.4006
49.53,25.5551,58.0665,22.3987
49.6824,24.6278,58.7487,22.3964
49.8348,24.6583,55.4786,22.3942
49.9872,25.1568,53.9422,22.3939
50.1396,26.3347,52.8913,22.4058
50.292,26.3449,53.32,22.4177
50.4444,27.2106,55.1731,22.4297
50.5968,27.3406,56.6726,22.4331
50.7492,24.8077,58.591,22.4398
50.9016,23.1125,58.6754,22.4464
51.054,20.4303,59.1162,22.453
51.2064,17.8526,58.6858,22.4597
51.3588,24.1402,58.28,22.4612
51.5112,25.2832,59.7698,22.4576
51.6636,26.9657,61.1745,22.454
51.816,28.9335,59.8318,22.4504
51.9684,25.207,62.4376,22.4468
52.1208,25.2592,63.2827,22.4491
52.2732,25.9893,62.0283,22.4549
52.4256,26.6598,61.7082,22.4606
52.578,26.7005,60.304,22.4663
52.7304,26.8921,57.5022,22.4733
52.8828,26.0648,54.5135,22.4843
53.0352,24.8456,52.7595,22.4952
53.1876,23.9312,52.0536,22.5016
53.34,22.5987,52.8586,22.5079
53.4924,21.9282,53.7839,22.5133
53.6448,22.4072,55.1233,22.5156
53.7972,22.1111,53.9221,22.5219
53.9496,23.399,53.1952,22.5283
54.102,26.7197,53.2675,22.5293
54.2544,29.6576,52.3126,22.5149
54.4068,32.6644,53.0745,22.5005
54.5592,33.8328,53.1647,22.4861
54.7116,31.619,51.9895,22.4795
54.864,29.6747,49.9691,22.4564
55.0164,29.5168,48.1831,22.3769
55.1688,29.9346,47.4637,22.3882
55.3212,34.418,44.4494,22.4714
55.4736,38.0492,44.2243,22.5191
55.626,40.7721,44.2587,22.5276
55.7784,42.8346,45.2429,22.5462
55.9308,42.2991,45.3119,22.5538
56.0832,43.2078,46.8413,22.5614
56.2356,44.2088,46.8017,22.5685
56.388,45.4965,45.5225,22.5751
56.5404,46.9135,45.556,22.5891
56.6928,47.7215,45.9385,22.6031
56.8452,49.2658,45.746,22.6143
56.9976,50.203,46.2697,22.6194
57.15,48.0365,45.9136,22.6259
57.3024,45.5291,47.2624,22.6324
57.4548,42.2758,48.3441,22.6371
57.6072,38.5984,48.8537,22.6489
57.7596,36.5354,49.0932,22.6624
57.912,35.6831,49.2541,22.6759
58.0644,36.974,50.139,22.6829
58.2168,38.1545,49.662,22.686
58.3692,39.3878,50.7074,22.6894
58.5216,38.6588,51.3501,22.6918
58.674,37.4802,48.9937,22.7084
58.8264,35.6718,50.2235,22.725
58.9788,34.2421,49.9798,22.7415
59.1312,33.8851,48.9157,22.7516
59.2836,32.7172,50.0661,22.7484
59.436,32.6104,49.2614,22.7444
59.5884,32.8473,49.3994,22.7403
59.7408,32.1699,49.9018,22.7363
59.8932,31.9751,50.2854,22.7414
60.0456,31.619,49.86,22.7541
60.198,32.2478,48.8822,22.7668
60.3504,33.5977,47.0913,22.7796
60.5028,33.5454,47.1955,22.7826
60.6552,34.2443,46.3337,22.7886
60.8076,34.4729,47.7077,22.7946
60.96,34.7655,49.5586,22.8006
61.1124,34.1711,50.6613,22.805
61.2648,33.5977,51.1413,22.805
61.4172,33.6133,51.1043,22.805
61.5696,32.7264,49.8916,22.8064
61.722,33.4625,50.9724,22.8136
61.8744,33.6133,50.7281,22.8209
62.0268,34.0065,50.2675,22.8294
62.1792,34.2769,52.2019,22.839
62.3316,34.8295,53.3952,22.8431
62.484,34.8752,52.5616,22.8431
62.6364,34.4272,53.4679,22.8431
62.7888,33.39,53.4384,22.8431
62.9412,31.8968,52.4229,22.8465
63.0936,31.6094,52.6234,22.8535
63.246,31.5366,52.3835,22.8605
63.3984,32.0618,50.5342,22.866
63.5508,32.4521,49.488,22.8699
63.7032,32.8818,49.8177,22.8764
63.8556,33.0316,47.7489,22.8829
64.008,33.2493,48.6791,22.8889
64.1604,35.5427,49.4791,22.9128
64.3128,37.4172,49.0073,22.9483
64.4652,39.877,49.9962,22.9837
64.6176,41.9984,51.4889,22.9881
64.77,40.6952,52.0611,22.979
64.9224,38.5877,54.6316,22.96
65.0748,37.4817,55.3374,22.9436
65.2272,35.2697,55.8315,22.961
65.3796,34.1289,55.785,22.9783
65.532,34.5469,55.8359,22.9805
65.6844,34.6253,55.691,22.9805
65.8368,37.6123,55.767,22.9805
65.9892,40.4861,55.0984,22.9805
66.1416,43.0346,55.7048,22.9805
66.294,45.6082,53.9888,22.9805
66.4464,46.1718,51.9891,22.9862
66.5988,48.8061,51.1815,22.9947
66.7512,46.1288,48.9907,23.0031
66.9036,46.1772,49.0495,23.011
67.056,44.612,50.3119,23.0163
67.2084,40.4742,50.7676,23.0259
67.3608,41.1047,52.1978,23.0354
67.5132,41.1114,53.0372,23.0415
67.6656,41.8521,53.414,23.0395
67.818,44.9062,52.3813,23.0369
67.9704,45.9221,52.0095,23.0342
68.1228,44.334,49.5948,23.0374
68.2752,42.8752,50.2289,23.0501
68.4276,37.654,51.7345,23.0628
68.58,33.8328,50.5818,23.072
68.7324,29.1549,50.8052,23.0824
68.8848,29.7729,50.9682,23.096
69.0372,29.5168,50.2722,23.1096
69.1896,30.4016,50.381,23.1136
