DEPT,UZ,RLA3,AZIM,CVEL:1,TNPH_LIM:1,RT,DPHI_LIM:1,NPOR:1,CVEL:2,DCAL,NPHI_SAN,NPOR:2,INCL,RHOZ,BS,TNPH_SAN:1,DT,DPHI_SAN:1,RLA2,NPOR_DOL:1,SMIN,DPHI_DOL:1,ITT,TNPH_DOL:1,GR:1,TENS:1,DPHI_DOL:2,RLA5,CALI,RLA4,TNPH:1,TNPH_DOL:2,NPHI_LIM,NPOR_SAN:1,RLA0,GR:2,RO,NPOR_DOL:2,CS:1,GR:3,NPOR_LIM:1,RSOZ,RHGX,MRES,PEFZ,VCL,SPHI,GR:4,NPHI_DOL,DPHI_SAN:2,DPHI_LIM:2,GDEV_EDTC,DSOZ,TNPH_LIM:2,TENS:2,SMNO,NPOR_SAN:2,CS:2,TNPH:2,NPHI,TNPH_SAN:2,DPHZ,HTEN,SVEL,RLA1,RXOZ,RXO,NPOR_LIM:2
1580.6928,7.90973,3.83742,317.37,-516.7664,0.32509,4.09818,0.18295,0.32145,-515.9052,-0.10434,0.413,0.32357,33.6,2.39597,8.5,0.37175,97.36525,0.15324,3.75887,0.28062,0.37796,0.24478,0.03577,0.28399,117.2862,3955.00079,0.24542,3.98249,8.39566,3.878,0.32537,0.28423,0.35767,0.3679,0.08882,115.1263,10.90153,0.28256,516.7664,117.7175,0.32357,0.20196,2.89436,0.09346,3.27619,0.73174,0.26553,122.3446,0.3282,0.15396,0.18364,33.70146,0.24658,0.32537,3938.74935,0.46606,0.36997,515.9052,0.32509,0.35767,0.37149,0.18364,1333.91983,3130.48,3.65663,1.40997,2.73839,0.32145
1580.8452,7.84747,3.9183,317.37,-514.0994,0.34797,4.16549,0.17359,0.33942,-514.9938,-0.03375,0.41049,0.31848,33.6,2.40313,8.5,0.39203,97.11772,0.14354,3.83126,0.29528,0.41029,0.23613,0.03572,0.30322,116.9535,3987.50142,0.24155,4.06046,8.46625,3.95887,0.34765,0.30296,0.35557,0.38393,0.08889,116.3837,10.33686,0.27591,514.0994,120.1046,0.31848,0.18869,2.92281,0.09309,3.24143,0.74141,0.26461,121.5188,0.32509,0.14962,0.17945,33.68382,0.24126,0.34765,3992.50117,0.50719,0.36333,514.9938,0.34797,0.35557,0.39232,0.17945,1408.49098,3138.459,3.74165,1.47421,2.82521,0.33942
1580.9976,7.81318,3.98273,317.37,-517.3874,0.35713,4.21159,0.19174,0.34308,-516.3777,0.06036,0.40158,0.34667,33.6,2.40538,8.5,0.40001,97.57504,0.16235,3.88571,0.29783,0.44951,0.25291,0.03567,0.3109,115.0156,3871.99908,0.24034,4.12284,8.56036,4.02358,0.3565,0.31037,0.34811,0.38681,0.08866,115.9314,10.13244,0.30123,517.3874,119.3927,0.34667,0.17957,2.93315,0.09372,3.22447,0.73793,0.2663,116.5487,0.31403,0.14826,0.17814,33.67474,0.23198,0.3565,3910.99894,0.55557,0.39038,516.3777,0.35713,0.34811,0.40058,0.17814,1430.03014,3123.75,3.81762,1.59161,2.91485,0.34308
1581.15,7.89432,3.92234,317.37,-520.4188,0.35288,4.144,0.17518,0.36282,-521.4089,0.06036,0.39847,0.36711,33.6,2.40821,8.5,0.39619,97.7763,0.14519,3.83537,0.31661,0.43962,0.2376,0.03562,0.30734,115.3594,3824.4992,0.23881,4.06113,8.56036,3.96388,0.35226,0.30682,0.34551,0.40647,0.08916,113.9144,10.30233,0.32068,520.4188,118.1082,0.36711,0.17384,2.93101,0.09613,3.2544,0.72242,0.26704,119.6369,0.31019,0.14654,0.17649,33.68652,0.22355,0.35226,3817.62454,0.54337,0.41072,521.4089,0.35288,0.34551,0.39675,0.17649,1357.43237,3117.32,3.76531,1.6247,2.89243,0.36282
1581.3024,8.02213,4.03739,317.37,-520.8517,0.34479,4.28754,0.1703,0.36202,-519.5966,0.15448,0.38913,0.36286,33.6,2.41236,8.5,0.38951,97.71202,0.14013,3.95226,0.31665,0.45543,0.23309,0.03557,0.30056,111.6803,3671.50098,0.23656,4.1787,8.65448,4.08577,0.34486,0.30062,0.3377,0.40634,0.09016,116.7785,10.61563,0.31743,520.8517,123.1025,0.36286,0.17136,2.92603,0.09779,3.30181,0.74445,0.2668,118.5968,0.2986,0.14402,0.17406,33.69678,0.21363,0.34486,3722.37524,0.56383,0.40716,519.5966,0.34479,0.3377,0.38944,0.17406,1266.73028,3119.37,3.85533,1.76513,2.92495,0.36202
1581.4548,8.12722,4.13943,317.37,-522.4897,0.32765,4.40431,0.16935,0.31424,-521.0815,0.13095,0.36243,0.28324,33.6,2.41826,8.5,0.3739,97.70401,0.13915,4.04418,0.27371,0.48632,0.23221,0.03552,0.28615,122.5888,3815.99917,0.23337,4.28054,8.63095,4.1945,0.32772,0.28621,0.31537,0.36058,0.09794,114.3679,11.28567,0.24512,522.4897,120.2076,0.28324,0.17274,2.913,0.09944,3.33749,0.72591,0.26678,130.4841,0.2655,0.14045,0.17061,33.69959,0.20406,0.32772,3817.39973,0.6179,0.32977,521.0815,0.32765,0.31537,0.37384,0.17061,1239.67295,3119.626,3.94441,2.03892,2.96296,0.31424
1581.6072,8.1564,4.15012,317.37,-519.0557,0.31502,4.43679,0.17129,0.3045,-520.6897,-0.13963,0.34642,0.27245,33.6,2.42235,8.5,0.36223,97.68279,0.14116,4.05036,0.26574,0.48828,0.23401,0.03547,0.27549,107.5782,4066.00021,0.23116,4.29051,8.36037,4.21161,0.31502,0.27549,0.30197,0.35178,0.09806,116.7693,11.83893,0.23621,519.0557,117.4241,0.27245,0.17304,2.90273,0.10087,3.34423,0.74438,0.2667,109.3298,0.24564,0.13797,0.16822,33.70021,0.19535,0.31502,4025.81336,0.63094,0.31982,520.6897,0.31502,0.30197,0.36223,0.16822,1331.91228,3120.304,3.94106,2.35673,2.91295,0.3045
1581.7596,8.18557,4.15795,317.37,-517.8205,0.30439,4.4414,0.1559,0.29972,-514.0923,-0.12787,0.33982,0.32082,33.6,2.42662,8.5,0.35239,96.89967,0.1252,4.06563,0.26217,0.49748,0.21978,0.03542,0.2665,121.5963,4097.99951,0.22886,4.29567,8.37213,4.21629,0.30439,0.2665,0.29645,0.34774,0.1031,113.1949,12.37404,0.2818,517.8205,113.2027,0.32082,0.17381,2.89439,0.10165,3.35071,0.71688,0.2638,112.8825,0.23746,0.13538,0.16572,33.70475,0.19215,0.30439,4110.62478,0.63858,0.36872,514.0923,0.30439,0.29645,0.35239,0.16572,1479.92424,3145.521,3.94674,2.38244,2.93016,0.29972
1581.912,8.21226,4.20363,317.37,-518.9807,0.29342,4.53924,0.15712,0.32711,-516.79,-0.10434,0.3676,0.31484,33.6,2.42682,8.5,0.34216,96.43948,0.12647,4.10879,0.28861,0.49548,0.22091,0.03538,0.2572,110.467,4046.99935,0.22874,4.35223,8.39566,4.26848,0.29342,0.2572,0.31969,0.37571,0.09806,120.9724,12.88056,0.27713,518.9807,114.575,0.31484,0.16943,2.88232,0.10265,3.36137,0.77671,0.26208,116.372,0.2719,0.13526,0.1656,33.69457,0.18582,0.29342,4033.68842,0.63485,0.36351,516.79,0.29342,0.31969,0.34216,0.1656,1488.98044,3160.531,3.96603,2.3681,2.8697,0.32711
1582.0644,8.22341,4.23946,317.37,-520.6251,0.30241,4.5557,0.17312,0.30225,-519.1968,-0.08081,0.35379,0.28044,33.6,2.42921,8.5,0.34991,95.75801,0.14305,4.13714,0.26468,0.506,0.2357,0.03533,0.26483,131.5097,3926.33315,0.22746,4.37357,8.41919,4.29412,0.30172,0.26424,0.30814,0.35038,0.10221,115.064,12.52201,0.24456,520.6251,119.7823,0.28044,0.16703,2.89413,0.10342,3.36287,0.73126,0.2595,114.4718,0.25478,0.13382,0.16421,33.66988,0.17737,0.30172,3917.25087,0.64959,0.32865,519.1968,0.30241,0.30814,0.35055,0.16421,1413.04605,3183.024,3.9925,2.37477,2.91506,0.30225
