TVD,ROP,GR
50.1396,31.4449,51.1725
50.292,33.0706,49.9478
50.4444,33.8764,48.7232
50.5968,32.8063,47.4986
50.7492,32.3731,46.2739
50.9016,32.0235,46.2
51.054,32.2657,47.0523
51.2064,32.0253,51.0027
51.3588,33.321,54.456
51.5112,35.2704,54.8
51.6636,35.4212,54.2398
51.816,36.1452,52.7374
51.9684,34.7699,50.8997
52.1208,33.1633,51.7499
52.2732,30.2059,53.4019
52.4256,24.4746,51.9056
52.578,21.699,50.533
52.7304,21.5185,48.8035
52.8828,24.3417,46.9003
53.0352,28.4317,47.5856
53.1876,30.4848,49.4339
53.34,31.0966,50.1512
53.4924,30.8129,50.166
53.6448,31.2286,51.6443
53.7972,31.3867,51.4885
53.9496,31.8226,51.5943
54.102,31.2099,51.7919
54.2544,31.517,51.9487
54.4068,31.0775,51.4777
54.5592,32.4968,51.653
54.7116,31.9397,49.7248
54.864,30.6068,49.4134
55.0164,31.1849,50.4594
55.1688,29.7739,51.8417
55.3212,28.9422,54.1146
55.4736,29.8262,55.6
55.626,29.687,55.0864
55.7784,29.0312,54.127
55.9308,29.8834,53.4286
56.0832,29.6276,53.419
56.2356,28.9995,51.7249
56.388,29.0669,50.8008
56.5404,28.3483,50.0466
56.6928,28.2466,49.5188
56.8452,28.5773,48.9909
56.9976,28.8857,50.4137
57.15,28.7049,50.6
57.3024,28.2747,51.416
57.4548,27.3586,49.7695
57.6072,27.1892,47.936
57.7596,27.4051,46.1025
57.912,27.5124,45.4
58.0644,27.7583,45.1829
58.2168,28.6437,45.3772
58.3692,28.3877,46.9835
58.5216,28.4045,48.5898
58.674,28.531,51.1972
58.8264,29.4495,51.9545
58.9788,29.3331,54.3306
59.1312,29.2678,55.7198
59.2836,29.3672,56.5514
59.436,28.0056,56.29
59.5884,27.8485,57.6089
59.7408,27.3219,59.0465
59.8932,27.5688,60.4842
60.0456,27.8631,61.9218
60.198,27.5505,62.4
60.3504,27.3206,62.4
60.5028,27.5826,63.0
60.6552,27.1288,63.0
60.8076,28.1316,63.0
60.96,28.212,63.0
61.1124,28.0316,62.9769
61.2648,28.0344,62.9102
61.4172,27.3653,62.8436
61.5696,26.2144,62.6019
61.722,22.5171,62.0
61.8744,24.0993,61.2946
62.0268,27.1645,59.7799
62.1792,30.3928,60.2426
62.3316,34.8512,59.6067
62.484,36.4415,57.6231
62.6364,34.98,55.5359
62.7888,33.8211,53.4486
62.9412,32.6921,52.2128
63.0936,31.5631,52.5011
63.246,30.4341,52.0249
63.3984,29.3051,52.0
63.5508,28.5655,52.0
63.7032,29.0958,52.9274
63.8556,30.0431,54.6198
64.008,31.9765,56.3123
64.1604,35.3341,57.9895
64.3128,33.4906,54.2219
64.4652,29.9174,50.4543
64.6176,26.5495,48.0
64.77,21.3905,48.0
64.9224,20.0057,48.104
65.0748,20.0642,48.2429
65.2272,19.9197,48.3818
65.3796,20.5098,48.5207
65.532,22.1112,48.6596
65.6844,23.7278,48.7985
65.8368,23.3639,48.9374
65.9892,23.4862,49.0763
66.1416,22.0959,49.2152
66.294,21.4051,49.3541
66.4464,21.6623,49.493
66.5988,22.6672,48.2734
66.7512,22.1412,46.796
66.9036,23.0724,44.8212
67.056,21.4266,45.5494
67.2084,21.7123,48.2017
67.3608,23.1392,52.2936
67.5132,25.4107,54.5217
