,DEPT,Pred_DTC
0,656.539,121.71689999999998
1,656.692,121.84349999999999
2,656.8439999999999,121.8424
3,656.9960000000001,125.39160000000001
4,657.1489999999999,125.2519
5,657.301,125.2519
6,657.454,125.02949999999998
7,657.6060000000001,119.88499999999999
8,657.758,119.88499999999999
9,657.9110000000001,120.13430000000001
10,658.063,119.487
11,658.216,119.7442
12,658.368,119.9188
13,658.52,121.67929999999998
14,658.673,121.6999
15,658.825,121.6999
16,658.9780000000001,120.1769
17,659.13,121.33939999999998
18,659.2819999999999,121.26759999999999
19,659.435,121.26759999999999
20,659.587,121.33939999999998
21,659.74,121.46379999999999
22,659.8919999999999,122.8154
23,660.044,123.58780000000002
24,660.197,120.71219999999998
25,660.3489999999999,121.16510000000001
26,660.502,120.9675
27,660.654,120.90830000000001
28,660.806,120.82419999999999
29,660.959,121.9493
30,661.1110000000001,119.96579999999999
31,661.2639999999999,120.38289999999999
32,661.416,119.74859999999998
33,661.568,119.17699999999999
34,661.721,120.02959999999999
35,661.873,119.17699999999999
36,662.0260000000001,119.17699999999999
37,662.178,121.1077
38,662.33,121.7687
39,662.4830000000001,120.73209999999999
40,662.635,119.112
41,662.788,119.1552
42,662.94,120.96019999999999
43,663.092,121.6777
44,663.245,120.37660000000001
45,663.3969999999999,119.61190000000002
46,663.55,119.60479999999998
47,663.702,119.63430000000001
48,663.8539999999999,120.3732
49,664.007,119.03899999999999
50,664.159,119.08959999999999
51,664.312,115.9805
52,664.4639999999999,114.12250000000002
53,664.6160000000001,116.7481
54,664.7689999999999,119.00729999999999
55,664.921,121.1564
56,665.074,121.0904
57,665.2260000000001,120.1105
58,665.378,119.3441
59,665.5310000000001,119.49680000000001
60,665.683,117.3981
61,665.836,120.29279999999999
62,665.988,119.89900000000003
63,666.14,119.59729999999999
64,666.293,119.7074
65,666.445,120.20520000000002
66,666.5980000000001,120.69890000000001
67,666.75,120.98430000000003
68,666.9019999999999,120.69890000000001
69,667.055,120.60860000000002
70,667.207,119.35230000000001
71,667.36,119.35230000000001
72,667.512,119.1914
73,667.664,120.32330000000002
74,667.817,118.63220000000001
75,667.9689999999999,118.8039
76,668.122,119.4672
77,668.2739999999999,116.5691
78,668.426,114.1739
79,668.579,104.9711
80,668.7310000000001,95.84880000000001
81,668.8839999999999,97.82809999999999
82,669.0360000000001,110.84559999999999
83,669.188,116.0891
84,669.341,119.98610000000004
85,669.493,120.79549999999999
86,669.6460000000001,122.29650000000001
87,669.798,122.35860000000002
88,669.95,114.46489999999999
89,670.1030000000001,114.15950000000001
90,670.255,114.25319999999999
91,670.408,115.37519999999999
92,670.56,115.04090000000001
93,670.712,116.096
94,670.865,115.57620000000001
95,671.0169999999999,114.66770000000001
96,671.17,113.92070000000001
97,671.322,113.8143
98,671.4739999999999,115.7363
99,671.627,115.76289999999999
100,671.779,116.79170000000002
101,671.932,115.4683
102,672.084,114.17760000000001
103,672.2360000000001,113.68909999999998
104,672.3889999999999,117.6209
105,672.541,113.91579999999999
106,672.694,115.7683
107,672.846,117.5589
108,672.998,116.4179
109,673.1510000000001,115.24660000000002
110,673.303,115.85420000000002
111,673.456,118.343
112,673.6080000000001,119.2859
113,673.76,111.66900000000001
114,673.913,111.7568
115,674.065,111.7568
116,674.2180000000001,111.66900000000001
117,674.37,113.86339999999998
118,674.5219999999999,112.4014
119,674.675,112.5359
120,674.827,112.55479999999997
121,674.98,114.04389999999998
122,675.132,117.0454
123,675.284,114.0021
124,675.437,114.7873
125,675.5889999999999,114.71379999999999
126,675.742,116.3182
127,675.8939999999999,119.28160000000003
128,676.046,121.11749999999999
129,676.199,116.48800000000001
130,676.3510000000001,114.5299
131,676.5039999999999,112.16019999999999
132,676.6560000000001,113.0943
133,676.808,117.5382
134,676.961,119.29369999999999
135,677.113,118.76050000000001
136,677.2660000000001,111.7518
137,677.418,115.05620000000002
138,677.57,118.26860000000002
139,677.7230000000001,118.88410000000002
140,677.875,121.3806
141,678.028,117.61390000000002
142,678.18,119.99549999999999
143,678.332,115.85330000000002
144,678.485,116.941
145,678.637,118.3528
146,678.79,121.42559999999999
147,678.942,121.10999999999999
148,679.0939999999999,121.61819999999997
149,679.247,120.92049999999999
150,679.3989999999999,121.93809999999999
151,679.552,120.07600000000002
152,679.704,119.168
153,679.8560000000001,118.51289999999999
154,680.0089999999999,120.61910000000003
155,680.1610000000001,118.40270000000001
156,680.314,112.06760000000001
157,680.466,113.9727
158,680.618,114.8385
159,680.7710000000001,119.38550000000001
160,680.923,117.67830000000001
161,681.076,118.5531
162,681.2280000000001,115.98460000000003
163,681.38,118.65450000000003
164,681.533,116.68310000000004
165,681.685,119.35900000000001
166,681.8380000000001,119.68680000000002
167,681.99,117.83730000000003
168,682.1419999999999,117.03620000000004
169,682.295,119.47070000000001
170,682.447,120.60340000000001
171,682.6,116.44810000000003
172,682.752,119.48859999999999
173,682.904,119.88370000000002
174,683.057,119.34740000000002
175,683.209,112.5536
176,683.362,118.23340000000003
177,683.5139999999999,119.81210000000002
178,683.666,119.5891
179,683.819,118.6895
180,683.971,120.5806
181,684.1239999999999,121.0172
182,684.2760000000001,120.5806
183,684.428,120.61190000000002
184,684.581,120.6738
185,684.7330000000001,120.95670000000003
186,684.8860000000001,123.07649999999998
187,685.038,123.04389999999998
188,685.19,123.07649999999998
189,685.3430000000001,118.53680000000001
190,685.495,119.28020000000001
191,685.648,119.09080000000002
192,685.8,119.09080000000002
193,685.952,121.91099999999999
194,686.105,121.06009999999999
195,686.257,121.3783
196,686.41,119.3663
197,686.562,122.79389999999998
198,686.7139999999999,125.332
199,686.867,122.13549999999998
200,687.0189999999999,122.7212
201,687.172,123.1018
202,687.324,121.3338
203,687.4760000000001,121.26010000000001
204,687.6289999999999,121.2288
205,687.7810000000001,123.429
206,687.934,123.09999999999998
207,688.086,122.97309999999997
208,688.238,121.91069999999998
209,688.3910000000001,122.6597
210,688.543,123.5154
211,688.696,123.0844
212,688.8480000000001,123.01209999999999
213,689.0,121.43059999999998
214,689.153,122.9686
215,689.305,121.59379999999999
216,689.4580000000001,125.00429999999999
217,689.61,125.00429999999999
218,689.762,121.75540000000001
219,689.915,121.44839999999999
220,690.067,120.97380000000001
221,690.22,121.47709999999998
222,690.372,121.2979
223,690.5239999999999,122.2186
224,690.677,122.9781
225,690.829,123.01970000000001
226,690.982,123.04979999999998
227,691.1339999999999,123.04979999999998
228,691.2860000000001,122.9827
229,691.439,123.28059999999998
230,691.591,121.26899999999998
231,691.7439999999999,121.86030000000001
232,691.8960000000001,121.86030000000001
233,692.048,121.2702
234,692.201,122.57579999999999
235,692.3530000000001,123.18819999999998
236,692.5060000000001,122.70749999999998
237,692.658,122.8389
238,692.81,123.67369999999998
239,692.9630000000001,122.36309999999999
240,693.115,122.87599999999998
241,693.268,122.87599999999998
242,693.42,122.14229999999998
243,693.572,121.0818
244,693.725,119.9835
245,693.877,119.92079999999999
246,694.03,121.4367
247,694.182,121.4367
248,694.334,117.59589999999999
249,694.487,119.07829999999998
250,694.6389999999999,119.59630000000001
251,694.7919999999999,118.47340000000001
