DEPTH,AZIMUTH,DEVIATION,TVD
0.0,0.0,0.0,0.0
45.0,210.0,0.1,45.0
65.0,302.8,0.2,65.0
74.0,334.7,0.4,74.0
93.0,3.2,0.7,93.0
112.0,8.5,1.6,111.99
131.0,9.9,2.2,130.98
149.0,357.9,2.6,148.97
168.0,355.1,3.1,167.95
187.0,5.3,3.7,186.91
206.0,6.0,4.0,205.87
225.0,11.0,4.2,224.82
244.0,13.4,4.1,243.77
273.0,9.5,4.2,272.69
301.0,9.5,4.1,300.62
329.0,12.0,3.9,328.55
389.0,359.0,3.4,388.43
419.0,1.5,3.2,418.38
447.0,359.0,3.2,446.34
476.0,1.8,3.3,475.29
505.0,1.8,3.2,504.25
533.0,2.9,3.1,532.2
561.0,356.5,3.1,560.16
590.0,3.6,2.4,589.13
618.0,39.4,2.1,617.11
628.0,39.8,2.2,627.1
656.0,71.8,2.6,655.08
684.5,76.7,2.5,683.55
694.0,76.0,2.7,693.04
703.5,80.2,2.9,702.53
712.9,89.7,3.4,711.91
722.3,101.0,3.8,721.3
731.8,106.6,4.2,730.77
741.3,106.6,4.6,740.24
750.7,104.1,5.3,749.61
760.2,102.4,6.3,759.06
769.8,101.3,7.3,768.59
779.2,99.9,8.1,777.91
788.8,99.2,9.0,787.4
798.3,97.4,9.8,796.77
807.7,96.0,10.5,806.03
817.0,95.7,11.2,815.16
827.0,95.0,11.5,824.96
836.0,95.0,12.1,833.77
845.0,95.3,12.8,842.56
855.0,95.0,13.9,852.29
865.0,95.7,14.6,861.98
874.0,96.0,15.7,870.67
884.0,95.7,16.7,880.27
893.0,95.0,17.6,888.87
903.0,94.3,18.5,898.38
912.0,93.6,19.3,906.9
922.0,93.6,20.3,916.31
931.0,93.6,21.2,924.72
941.0,93.6,22.3,934.01
951.0,92.5,23.1,943.24
960.0,92.2,23.8,951.49
970.0,92.5,24.9,960.6
998.0,92.9,27.1,985.77
1026.0,92.9,27.5,1010.65
1071.0,92.2,28.1,1050.45
1109.0,91.1,28.6,1083.9
1137.0,91.1,28.9,1108.4399
1175.0,90.1,27.7,1141.9
1206.0,88.7,27.9,1169.3199
1235.0,88.7,28.2,1194.92
1263.0,87.9,28.1,1219.61
1292.0,87.6,27.5,1245.26
1321.0,86.9,27.3,1271.01
1333.0,86.9,27.4,1281.66
1389.0,86.9,27.1,1331.45
1417.0,86.4,26.9,1356.4
1445.0,86.2,26.7,1381.39
1474.0,85.8,26.5,1407.3199
1503.0,85.5,26.5,1433.27
1531.0,85.1,26.4,1458.34
1560.0,85.1,26.3,1484.33
1588.0,85.5,26.0,1509.46
1617.0,82.7,25.8,1535.55
1645.0,84.1,25.4,1560.8
1673.0,83.7,25.2,1586.12
1702.0,83.4,24.9,1612.39
1730.0,83.7,24.6,1637.8199
1752.0,83.0,24.5,1657.83
1772.7,86.0,24.25,1676.6801
1801.1,86.0,24.75,1702.53
1829.5,86.0,25.0,1758.29
1857.9,85.5,25.25,1754.01
1886.3,85.0,26.0,1779.61
1914.4,84.0,26.5,1804.8101
1926.1,84.0,26.75,1815.27
1947.0,84.0,27.2,1833.9
