DEPTH,AZIMUTH,DEVIATION
0.0,0.0,0.0
282.6,173.38,1.16
292.95,175.22,0.98
301.4,169.58,0.56
311.92,51.48,0.18
320.8,5.84,0.54
331.8,10.67,1.34
339.18,8.99,1.92
350.05,13.29,2.8
358.21,15.43,3.62
367.77,11.71,4.47
378.12,15.5,5.44
388.75,15.8,6.62
396.73,16.7,7.83
406.08,18.27,8.77
416.44,18.91,9.87
424.65,19.3,11.06
434.16,19.09,12.45
443.8,17.7,13.87
452.65,18.37,15.28
463.24,18.52,16.66
472.74,19.24,17.91
483.04,19.11,19.21
491.51,19.53,19.99
501.78,19.5,20.65
510.46,19.4,21.45
520.43,18.52,22.45
529.7,18.63,23.6
539.96,18.29,24.75
549.33,18.37,26.14
558.11,18.23,27.23
567.26,19.06,28.23
577.41,19.04,29.69
587.2,18.53,31.13
596.91,17.66,32.23
605.82,18.0,33.68
625.21,19.17,35.11
635.07,19.26,35.16
644.56,19.1,35.75
662.35,19.34,35.61
682.39,19.38,36.1
701.54,19.42,36.26
720.59,19.58,36.22
740.18,19.76,36.14
758.41,19.74,36.05
777.86,20.05,35.83
797.33,19.19,35.53
817.36,18.61,35.72
836.48,18.75,35.51
855.29,18.61,35.42
874.33,18.1,35.18
892.94,18.97,35.55
911.32,19.32,35.78
930.63,19.11,35.41
950.02,19.09,35.15
969.04,19.17,35.41
988.47,18.9,36.01
1007.84,18.75,35.69
1027.1,19.1,35.88
1046.05,19.61,36.91
1064.39,19.6,36.95
1083.69,19.77,36.63
1102.84,19.94,36.72
1122.04,19.93,36.64
1140.53,20.09,36.47
1159.8,20.25,36.08
1178.81,20.01,35.72
1197.35,19.22,35.81
1217.8,18.46,35.74
1237.0,18.7,35.41
1255.63,18.23,35.58
1275.5,18.88,35.98
1294.18,19.75,36.22
1313.63,20.03,36.15
1332.1,19.86,35.65
1351.64,19.74,35.33
1370.73,19.18,35.6
1390.36,18.98,35.81
1409.8,18.37,35.59
1428.97,17.82,35.49
1447.8,17.57,35.64
1465.8,17.94,35.9
1485.92,20.15,36.07
1504.73,20.64,35.89
1523.5,20.3,35.92
1542.3,20.02,36.0
1561.44,20.21,35.8
1580.77,20.17,35.64
1599.42,20.04,35.62
1618.76,20.19,35.36
1637.89,18.72,35.42
1657.19,18.65,35.27
1675.13,18.45,35.03
1694.67,18.47,35.34
1713.37,18.11,36.1
1732.68,17.99,36.79
1735.59,18.05,36.77
1751.76,18.41,36.64
1770.71,18.64,36.43
1789.49,18.35,36.39
1809.19,17.8,36.45
1828.25,18.03,36.11
1847.11,17.93,35.66
1866.39,19.45,35.4
1875.61,19.5,35.34
1885.24,19.42,35.14
1904.26,19.52,34.94
1923.32,19.79,34.94
1942.68,19.33,35.01
1961.96,19.05,34.78
1981.32,19.12,34.16
2000.03,18.93,33.81
2019.34,18.85,33.42
2038.12,18.68,33.22
2057.07,18.47,32.81
2076.28,18.69,32.22
2095.55,18.47,31.66
2114.26,19.22,31.15
2119.72,18.96,30.97
2138.02,18.96,30.44
